start,end,word,alignment_score,probability,speaker
2.34,3.306,Hoy,0.3110,0.9989,SPEAKER_17
3.326,3.387,día,0.0080,0.9952,SPEAKER_17
3.407,3.628,vamos,0.9010,1.0000,SPEAKER_17
3.749,3.93,a,0.9610,1.0000,SPEAKER_17
6.889,7.332,conversar,0.8700,0.9964,SPEAKER_17
7.413,7.594,sobre,0.6840,1.0000,SPEAKER_17
7.614,7.654,el,0.4630,0.9097,SPEAKER_17
7.735,8.157,pensamiento,0.6990,0.9987,SPEAKER_17
8.238,8.58,conservador.,0.4100,0.9999,SPEAKER_17
9.84,10.583,La,0.9080,1.0000,SPEAKER_17
10.663,10.784,idea,0.9890,1.0000,SPEAKER_17
10.824,10.884,de,0.5360,1.0000,SPEAKER_17
10.904,11.045,este,0.8540,1.0000,SPEAKER_17
11.085,11.567,seminario,0.9530,1.0000,SPEAKER_17
11.587,12.189,surgió,0.8320,0.9997,SPEAKER_17
12.209,12.23,a,0.9750,0.9990,SPEAKER_17
12.27,12.912,comienzos,0.8830,0.9996,SPEAKER_17
12.993,13.093,de,0.9920,0.9989,SPEAKER_17
13.193,13.334,año,0.8360,0.9900,SPEAKER_17
13.374,13.394,y,0.9980,0.5504,SPEAKER_17
13.414,16.045,los,0.7870,0.9988,SPEAKER_17
16.105,16.607,fundamentos,0.8860,1.0000,SPEAKER_17
16.627,16.687,que,0.3330,1.0000,SPEAKER_17
17.23,17.33,nos,0.6240,1.0000,SPEAKER_17
17.37,17.631,llevaron,0.8990,0.9998,SPEAKER_17
17.671,17.691,a,0.7550,1.0000,SPEAKER_17
17.792,18.053,concebir,0.8020,0.9873,SPEAKER_17
18.093,18.193,este,0.6200,1.0000,SPEAKER_17
18.254,18.595,seminario,0.8150,1.0000,SPEAKER_17
18.635,18.716,los,0.6400,0.9652,SPEAKER_17
18.756,18.896,voy,0.9280,1.0000,SPEAKER_17
18.916,18.936,a,0.5350,1.0000,SPEAKER_17
18.977,19.559,explicar,0.3940,0.9999,SPEAKER_17
19.579,19.639,más,0.1600,0.9997,SPEAKER_17
19.659,19.84,adelante.,0.1110,0.9999,SPEAKER_17
20.66,21.423,Por,0.7990,0.9976,SPEAKER_17
21.444,21.524,el,0.5760,0.8788,SPEAKER_17
21.564,21.785,momento,0.9080,1.0000,SPEAKER_17
21.825,22.167,déjenme,0.5350,0.9964,SPEAKER_17
22.207,22.689,decirles,0.7100,1.0000,SPEAKER_17
22.81,23.051,que,0.9170,1.0000,SPEAKER_17
24.216,24.337,como,0.9680,0.4398,SPEAKER_17
