start,end,word,alignment_score,probability,speaker
9.8,10.845,Hoy,0.2930,0.1439,SPEAKER_09
10.865,11.167,día,0.8460,0.9091,SPEAKER_09
11.187,11.227,es,0.3160,0.9969,SPEAKER_09
11.428,11.77,Estatuto,0.7740,0.9546,SPEAKER_09
11.79,12.413,"Automotriz,",0.7970,0.8760,SPEAKER_09
12.454,12.554,una,0.9440,0.9956,SPEAKER_09
12.614,13.077,"evaluación,",0.8000,0.9957,SPEAKER_09
13.117,13.137,y,0.9990,1.0000,SPEAKER_09
14.464,14.765,para,0.9710,1.0000,SPEAKER_09
14.886,15.147,hacer,0.9510,1.0000,SPEAKER_09
15.75,15.811,el,0.5060,1.0000,SPEAKER_09
15.851,16.333,análisis,0.8850,1.0000,SPEAKER_09
16.373,16.474,de,0.6190,1.0000,SPEAKER_09
16.534,16.876,este,0.9070,1.0000,SPEAKER_09
17.519,17.68,estatuto,0.1240,0.8406,SPEAKER_09
17.66,18.486,hemos,0.7470,0.6517,SPEAKER_09
18.567,18.909,invitado,0.8780,0.9998,SPEAKER_09
18.949,18.969,a,0.8060,0.7365,SPEAKER_09
18.99,19.413,los,0.3930,0.9997,SPEAKER_09
19.896,20.4,economistas,0.9140,0.9999,SPEAKER_09
20.44,20.762,Juan,0.7960,0.9999,SPEAKER_09
20.803,21.065,Brown,0.5730,0.9399,SPEAKER_09
21.105,21.145,y,0.6640,0.9998,SPEAKER_09
21.186,21.548,Bernardo,0.7880,0.9997,SPEAKER_09
21.609,22.032,Fonten,0.9070,0.7165,SPEAKER_09
22.314,22.374,a,0.4570,0.9907,SPEAKER_09
22.394,22.455,que,0.8640,0.9997,SPEAKER_09
22.495,22.838,presenten,0.9290,0.9978,SPEAKER_09
22.918,23.039,su,0.8720,0.9922,SPEAKER_09
23.059,23.2,trabajo,0.1410,1.0000,SPEAKER_09
23.18,24.399,Proposiciones,0.7230,0.9359,SPEAKER_09
24.46,24.52,de,0.8500,1.0000,SPEAKER_09
24.642,24.927,Cambio,0.7200,0.9704,SPEAKER_09
24.967,25.008,en,0.8340,1.0000,SPEAKER_09
25.049,25.109,el,0.7900,0.9995,SPEAKER_09
25.15,25.475,Estatuto,0.7410,0.9998,SPEAKER_09
25.536,25.82,Automotriz.,0.3030,0.9985,SPEAKER_09
26.86,27.625,Este,0.9320,0.7992,SPEAKER_09
27.786,28.128,trabajo,0.8620,0.9987,SPEAKER_09
28.208,28.369,será,0.8820,0.9984,SPEAKER_09
28.429,28.852,comentado,0.9440,0.9974,SPEAKER_09
28.912,29.013,por,0.8070,0.9992,SPEAKER_09
29.053,29.114,el,0.8740,0.9998,SPEAKER_09
29.154,29.576,profesor,0.9870,0.9649,SPEAKER_09
29.596,29.959,Daniel,0.6220,0.9997,SPEAKER_09
30.059,30.562,"Weiscaver,",0.7790,0.6324,SPEAKER_09
31.387,31.749,profesor,0.9710,0.9734,SPEAKER_09
31.79,31.83,de,0.9920,0.9997,SPEAKER_09
31.85,31.89,la,0.7820,0.9999,SPEAKER_09
31.951,32.333,Pontificia,0.5580,0.9963,SPEAKER_09
32.353,32.393,de,0.6040,0.2749,SPEAKER_09
32.413,32.454,la,0.1930,0.9767,SPEAKER_09
32.474,32.876,Universidad,0.5920,0.9986,SPEAKER_09
32.916,33.319,Católica,0.8460,0.9997,SPEAKER_09
33.339,33.379,de,0.0000,0.9997,SPEAKER_09
33.399,33.52,Chile.,0.1670,0.9996,SPEAKER_09
35.34,36.01,Dejo,0.6880,0.9913,SPEAKER_09
36.03,36.111,con,0.2760,0.9814,SPEAKER_09
36.152,36.456,ustedes,0.7570,0.8981,SPEAKER_09
36.537,36.618,a,0.9120,0.9998,SPEAKER_09
37.065,37.349,Juan,0.8480,0.9999,SPEAKER_09
37.491,37.552,y,0.8030,0.9998,SPEAKER_09
37.613,37.714,a,0.8640,0.9999,SPEAKER_09
37.958,38.14,Bernardo.,0.1470,0.9998,SPEAKER_09
41.58,42.229,Buenas,0.7670,0.9928,SPEAKER_11
42.313,42.501,tardes.,0.3940,0.9999,SPEAKER_11
44.44,45.087,Quiero,0.6040,0.9920,SPEAKER_11
45.107,45.491,agradecer,0.7460,1.0000,SPEAKER_11
45.511,45.551,a,0.4960,0.9940,SPEAKER_11
45.612,45.834,todos,0.9550,0.9998,SPEAKER_11
45.895,45.955,por,0.3120,0.6760,SPEAKER_11
46.077,46.178,su,0.9300,0.9999,SPEAKER_11
46.218,46.683,presencia,0.8610,0.9999,SPEAKER_11
46.764,46.986,"aquí,",0.9580,0.9995,SPEAKER_11
47.511,47.572,en,0.8980,0.9977,SPEAKER_11
47.612,47.774,nombre,0.8780,0.9987,SPEAKER_11
47.895,48.037,mío,0.8240,0.9983,SPEAKER_11
48.158,48.178,y,0.0000,0.8709,SPEAKER_11
48.198,48.38,"Bernardo,",0.1110,0.6711,SPEAKER_11
48.52,49.627,y,0.8470,0.9996,SPEAKER_11
49.687,49.848,quiero,0.7650,0.9987,SPEAKER_11
