start,end,word,alignment_score,probability,speaker
12.08,12.644,El,0.6200,0.2937,SPEAKER_01
12.664,12.966,profesor,0.8550,0.5927,SPEAKER_01
12.986,13.046,de,0.3660,0.9974,SPEAKER_01
13.066,13.107,la,0.9940,1.0000,SPEAKER_01
13.127,13.408,Universidad,0.5780,0.9998,SPEAKER_01
13.449,13.791,Católica,0.9150,0.9998,SPEAKER_01
13.831,13.892,de,0.5930,1.0000,SPEAKER_01
13.912,14.214,Buenos,0.8200,1.0000,SPEAKER_01
14.234,14.858,Aires,0.7220,1.0000,SPEAKER_01
15.019,15.039,y,0.0000,0.9992,SPEAKER_01
15.059,15.139,del,0.9670,0.9993,SPEAKER_01
15.18,15.482,Instituto,0.6100,0.9991,SPEAKER_01
15.522,15.582,de,0.0600,0.9050,SPEAKER_01
15.663,16.146,"SEADE,",0.8850,0.7126,SPEAKER_01
17.877,17.897,y,0.0000,0.9961,SPEAKER_01
17.917,18.038,aunque,0.0180,1.0000,SPEAKER_01
18.058,18.4,habitualmente,0.2550,0.9999,SPEAKER_01
18.38,18.461,hago,0.0760,0.9998,SPEAKER_01
18.481,19.59,introducciones,0.6450,0.9997,SPEAKER_01
19.63,19.691,lo,0.9300,0.9996,SPEAKER_01
19.731,19.852,más,0.8970,0.9999,SPEAKER_01
19.953,20.175,breves,0.7640,0.9988,SPEAKER_01
20.276,20.86,"posibles,",0.9780,0.9964,SPEAKER_01
21.627,21.748,como,0.8540,0.9999,SPEAKER_01
21.788,21.889,este,0.8300,0.9997,SPEAKER_01
21.909,21.97,es,0.7480,1.0000,SPEAKER_01
22.01,22.07,un,0.9700,1.0000,SPEAKER_01
22.111,22.212,tema,0.7920,0.9999,SPEAKER_01
22.292,22.353,que,0.9020,1.0000,SPEAKER_01
22.393,22.554,me,0.2820,1.0000,SPEAKER_01
22.575,23.018,entretiene,0.4020,0.9973,SPEAKER_01
23.038,23.24,"demasiado,",0.1010,0.9996,SPEAKER_01
23.22,24.526,quería,0.8380,0.1149,SPEAKER_01
24.546,24.867,decir,0.9300,0.9992,SPEAKER_01
25.289,25.349,un,0.7620,0.9978,SPEAKER_01
25.45,25.591,par,0.9830,0.9995,SPEAKER_01
25.611,25.671,de,0.9710,0.9994,SPEAKER_01
25.771,26.053,cosas,0.8740,0.9997,SPEAKER_01
26.916,27.519,de,0.8460,0.9870,SPEAKER_01
28.805,28.865,lo,0.9860,0.9940,SPEAKER_01
28.905,28.986,que,0.9130,0.9999,SPEAKER_01
29.026,29.046,a,0.0180,0.9324,SPEAKER_01
29.106,29.166,mi,0.9940,0.9967,SPEAKER_01
29.247,29.649,juicio,0.9530,0.9998,SPEAKER_01
29.689,29.729,el,0.4920,0.8617,SPEAKER_01
30.412,30.834,pensamiento,0.8950,0.9971,SPEAKER_01
30.874,30.994,que,0.7300,0.9984,SPEAKER_01
31.035,31.075,ha,0.8470,0.9981,SPEAKER_01
31.115,31.517,desarrollado,0.8020,0.9998,SPEAKER_01
31.557,31.617,el,0.7380,0.9952,SPEAKER_01
31.637,31.959,profesor,0.7830,0.9749,SPEAKER_01
32.039,32.26,Chafuen,0.2310,0.6888,SPEAKER_01
32.24,33.163,puede,0.7390,0.9974,SPEAKER_01
33.244,33.685,significar,0.9870,0.9998,SPEAKER_01
33.745,33.786,en,0.9500,0.9996,SPEAKER_01
33.846,34.167,nuestro,0.8290,0.9998,SPEAKER_01
34.267,34.649,medio.,0.9500,0.9995,SPEAKER_01
38.904,39.185,Creo,0.9940,0.9958,SPEAKER_01
39.305,39.486,que,0.7140,1.0000,SPEAKER_01
39.667,39.747,se,0.8860,0.9997,SPEAKER_01
39.787,39.847,ha,0.9400,1.0000,SPEAKER_01
39.907,40.088,hecho,0.7790,0.9999,SPEAKER_01
40.249,40.429,muy,0.8310,0.9998,SPEAKER_01
40.65,41.072,común,0.9080,0.9999,SPEAKER_01
41.092,41.132,la,0.4980,0.9959,SPEAKER_01
41.754,42.135,"idea,",0.9660,0.9999,SPEAKER_01
42.276,42.296,y,0.9890,0.9998,SPEAKER_01
42.336,42.436,esto,0.9750,0.9997,SPEAKER_01
42.456,42.497,es,0.5090,0.9989,SPEAKER_01
42.517,42.557,lo,0.7660,0.9998,SPEAKER_01
42.577,42.637,que,1.0000,1.0000,SPEAKER_01
42.677,42.838,vamos,0.7410,0.9999,SPEAKER_01
42.878,42.898,a,0.0020,1.0000,SPEAKER_01
42.938,43.46,"discutir,",0.8090,1.0000,SPEAKER_01
44.7,45.544,de,0.9420,0.9993,SPEAKER_01
45.624,45.745,que,0.8020,0.9999,SPEAKER_01
45.946,46.107,hay,0.6690,0.9998,SPEAKER_01
46.288,46.408,una,0.9360,0.9999,SPEAKER_01
46.589,46.911,cierta,0.8830,0.9999,SPEAKER_01
47.111,48.156,incompatibilidad,0.8010,0.9998,SPEAKER_01
48.277,48.498,entre,0.8140,0.9997,SPEAKER_01
48.578,48.639,la,0.9770,0.9999,SPEAKER_01
48.719,49.181,doctrina,0.9400,0.9975,SPEAKER_01
49.201,49.222,o,0.9950,0.9988,SPEAKER_01
49.744,49.784,la,0.3540,0.9999,SPEAKER_01
49.985,50.588,mentalidad,0.9860,0.9997,SPEAKER_01
50.769,51.452,católica,0.9660,0.9989,SPEAKER_01
51.472,51.492,y,0.9980,0.9923,SPEAKER_01
52.397,52.477,la,0.9960,0.9996,SPEAKER_01
52.618,52.979,economía,0.8700,0.9955,SPEAKER_01
53.0,53.12,social,0.1660,0.9852,SPEAKER_01
53.1,53.16,de,0.1530,0.4450,SPEAKER_01
53.542,53.944,"mercado,",0.8740,0.9112,SPEAKER_01
55.411,55.471,y,0.9810,0.9967,SPEAKER_01
55.531,55.652,uno,0.9270,0.9987,SPEAKER_01
55.692,55.732,de,0.9930,0.9985,SPEAKER_01
55.772,55.873,los,0.6990,0.9998,SPEAKER_01
56.074,56.295,temas,0.9730,0.9998,SPEAKER_01
56.315,56.355,de,0.5000,0.9987,SPEAKER_01
56.436,56.657,este,0.7940,0.9976,SPEAKER_01
56.717,57.119,seminario,0.9410,0.9969,SPEAKER_01
57.199,57.239,va,0.8210,0.9958,SPEAKER_01
57.259,57.3,a,0.0270,0.9986,SPEAKER_01
57.4,57.521,ser,0.8240,0.9952,SPEAKER_01
57.922,58.284,discutir,0.8510,0.9987,SPEAKER_01
58.324,58.405,en,0.4890,0.9947,SPEAKER_01
58.485,58.686,torno,0.7510,0.9999,SPEAKER_01
58.706,58.726,a,0.9860,0.9998,SPEAKER_01
58.766,59.168,"eso,",0.7810,0.9964,SPEAKER_01
59.429,59.49,en,0.9260,0.9993,SPEAKER_01
59.59,60.012,función,0.9390,0.9996,SPEAKER_01
60.173,60.394,de,0.7660,0.9998,SPEAKER_01
61.198,61.258,lo,0.7800,0.9990,SPEAKER_01
61.298,61.379,que,0.7200,0.9999,SPEAKER_01
61.459,61.6,pueda,0.4160,0.7733,SPEAKER_01
61.62,61.72,haber,0.2000,0.9942,SPEAKER_01
61.7,61.76,de,0.2100,0.9992,SPEAKER_01
62.062,62.404,mentalidad,0.7220,0.9987,SPEAKER_01
62.464,62.867,católica,0.9010,0.9995,SPEAKER_01
62.907,62.947,en,0.9920,0.9991,SPEAKER_01
62.987,63.027,la,0.9660,0.9993,SPEAKER_01
63.048,63.651,escolástica,0.9730,0.9775,SPEAKER_01
63.671,63.691,o,0.9970,0.9927,SPEAKER_01
63.731,63.772,en,0.4990,0.9994,SPEAKER_01
63.892,63.933,la,0.9770,0.9998,SPEAKER_01
63.973,64.435,filosofía,0.9670,0.9999,SPEAKER_01
64.496,64.576,que,0.7140,0.9993,SPEAKER_01
64.636,64.777,viene,0.9080,0.9987,SPEAKER_01
64.817,64.918,del,0.6490,0.9985,SPEAKER_01
64.978,65.381,"tomismo,",0.9700,0.9783,SPEAKER_01
67.231,67.392,cosas,0.8080,0.9989,SPEAKER_01
67.432,67.513,que,0.4610,0.9999,SPEAKER_01
67.593,67.673,por,0.9280,0.9628,SPEAKER_01
67.734,67.955,cierto,0.9020,0.9993,SPEAKER_01
68.015,68.076,no,0.8760,0.9995,SPEAKER_01
68.136,68.277,son,0.9970,0.9999,SPEAKER_01
68.317,68.86,idénticas.,0.4870,0.9996,SPEAKER_01
70.38,70.943,En,0.9180,0.9995,SPEAKER_01
71.023,71.426,general,0.9870,0.9999,SPEAKER_01
71.506,71.546,la,0.9420,0.6486,SPEAKER_01
71.607,72.029,enseñanza,0.9100,1.0000,SPEAKER_01
72.069,72.19,que,0.6110,0.9999,SPEAKER_01
72.25,72.552,nosotros,0.9540,0.9998,SPEAKER_01
72.592,72.793,hemos,0.8890,0.9999,SPEAKER_01
