start,end,word,alignment_score,probability,speaker
11.84,12.908,Bienvenidos,0.7630,0.9923,SPEAKER_00
12.928,12.969,al,0.5000,0.9979,SPEAKER_00
13.372,13.553,Centro,0.8030,0.9943,SPEAKER_00
13.573,13.613,de,0.6130,0.9999,SPEAKER_00
13.634,13.896,Estudios,0.7360,0.9995,SPEAKER_00
14.037,14.399,Públicos,0.8640,0.9998,SPEAKER_00
14.42,14.44,a,0.9960,0.9895,SPEAKER_00
14.48,14.883,esta,0.6280,0.9998,SPEAKER_00
15.004,15.286,cuarta,0.9550,0.9999,SPEAKER_00
15.387,15.75,sesión,0.9280,0.9999,SPEAKER_00
15.77,16.072,del,0.5660,0.9999,SPEAKER_00
16.173,16.495,curso,0.9100,0.9994,SPEAKER_00
16.536,17.039,Elementos,0.1410,0.8912,SPEAKER_00
17.06,17.14,para,0.2500,0.9997,SPEAKER_00
17.12,17.18,una,0.1200,0.9979,SPEAKER_00
17.542,17.963,Formación,0.5800,0.9357,SPEAKER_00
18.385,18.987,Democrática.,0.8510,0.9999,SPEAKER_00
19.028,20.554,En,0.9670,0.9994,SPEAKER_00
20.574,20.694,esta,0.8270,0.9999,SPEAKER_00
20.734,21.337,oportunidad,0.7850,1.0000,SPEAKER_00
21.397,23.345,comienza,0.9560,0.9971,SPEAKER_00
23.385,24.188,una,0.8710,1.0000,SPEAKER_00
24.75,25.092,etapa,0.9600,0.9999,SPEAKER_00
25.152,25.232,de,0.6200,1.0000,SPEAKER_00
25.353,25.493,dos,0.8560,0.9999,SPEAKER_00
25.553,26.035,sesiones,0.8990,0.9999,SPEAKER_00
26.096,27.18,sobre,0.3290,0.9996,SPEAKER_00
27.2,27.24,el,0.4830,0.9999,SPEAKER_00
27.22,27.684,tema,0.8420,0.4505,SPEAKER_00
28.55,28.611,el,0.9510,0.5828,SPEAKER_00
28.732,28.913,rol,0.9580,0.9988,SPEAKER_00
28.953,29.074,del,0.7410,0.9995,SPEAKER_00
29.155,29.478,gobierno,0.7350,0.9435,SPEAKER_00
29.518,29.578,en,0.7400,0.9990,SPEAKER_00
29.619,29.659,la,0.9980,0.9994,SPEAKER_00
29.679,30.002,economía,0.6390,0.9994,SPEAKER_00
30.022,30.082,de,0.1220,0.9873,SPEAKER_00
30.183,30.667,mercado,0.9500,0.9993,SPEAKER_00
30.687,30.707,a,0.9920,0.9976,SPEAKER_00
30.727,31.009,la,0.4560,0.9998,SPEAKER_00
