start,end,word,alignment_score,probability,speaker
5.7,7.121,Gracias.,0.2440,0.2498,UNKNOWN
33.1,34.521,Gracias.,0.2820,0.0623,UNKNOWN
60.0,60.761,Gracias.,0.1770,0.0010,UNKNOWN
90.0,90.284,Gracias.,0.1840,0.0192,SPEAKER_06
120.12,121.021,Gracias.,0.2390,0.0004,SPEAKER_06
154.48,155.901,Gracias.,0.2300,0.6650,SPEAKER_06
180.0,180.363,Gracias.,0.2400,0.0362,SPEAKER_05
270.0,270.061,que,0.0950,0.0053,SPEAKER_05
270.081,270.121,yo,0.2160,0.6917,SPEAKER_05
270.142,270.182,sé,0.1310,0.9562,SPEAKER_05
270.202,270.486,en,0.0480,0.9289,SPEAKER_05
270.546,270.911,"economía,",0.8270,0.9636,SPEAKER_05
271.457,271.902,incluyendo,0.8490,0.9022,SPEAKER_05
271.983,272.105,desde,0.8430,0.9980,SPEAKER_05
272.145,272.327,luego,0.8780,0.8297,SPEAKER_05
272.449,272.611,todos,0.9240,0.9979,SPEAKER_05
272.671,272.752,los,0.6720,0.9895,SPEAKER_05
272.813,273.036,errores,0.8810,0.9987,SPEAKER_05
273.096,273.258,que,0.8200,0.9995,SPEAKER_05
273.279,273.42,cometa.,0.1420,0.9986,SPEAKER_05
277.94,278.627,Quiero,0.7660,0.9987,SPEAKER_05
278.667,279.051,entonces,0.8880,0.9888,SPEAKER_05
279.071,279.333,ahora,0.7140,0.9697,SPEAKER_05
279.374,279.899,entrar,0.5880,0.9658,SPEAKER_05
280.687,280.727,en,0.9940,0.9962,SPEAKER_05
280.747,280.808,la,0.2660,0.9991,SPEAKER_05
280.828,281.171,presentación,0.7580,0.9941,SPEAKER_05
281.212,281.333,del,0.7330,0.9994,SPEAKER_05
281.373,281.616,trabajo,0.8780,0.9976,SPEAKER_05
281.636,281.999,propiamente,0.3400,0.9971,SPEAKER_05
282.019,282.1,tal.,0.2520,0.9702,SPEAKER_05
282.4,283.104,Este,0.8590,0.9645,SPEAKER_05
283.125,283.185,es,0.7480,0.9680,SPEAKER_05
283.225,283.286,un,0.9240,0.9993,SPEAKER_05
283.326,283.608,trabajo,0.9870,0.9996,SPEAKER_05
283.648,284.151,escrito,0.7960,0.9996,SPEAKER_05
285.238,285.339,para,0.9760,0.9975,SPEAKER_05
285.399,285.5,ser,0.8980,0.9978,SPEAKER_05
285.54,285.902,presentado,0.7760,0.9988,SPEAKER_05
285.943,285.983,en,0.9340,0.9997,SPEAKER_05
286.023,286.104,una,0.9210,0.9996,SPEAKER_05
286.184,286.728,conferencia,0.9890,0.9994,SPEAKER_05
286.748,286.808,que,0.3240,0.9997,SPEAKER_05
286.828,286.868,se,0.4920,0.9868,SPEAKER_05
287.271,287.472,llevó,0.6930,0.9996,SPEAKER_05
287.492,287.513,a,0.3260,0.9948,SPEAKER_05
287.593,287.814,cabo,0.9870,0.9996,SPEAKER_05
288.036,288.096,en,0.7020,0.9998,SPEAKER_05
288.137,288.197,el,0.8640,0.9995,SPEAKER_05
288.257,288.418,Banco,0.7810,0.9996,SPEAKER_05
288.559,288.7,Mundial,0.1440,0.9986,SPEAKER_05
288.68,289.022,en,0.6450,0.9999,SPEAKER_05
289.644,290.006,octubre,0.7160,0.9235,SPEAKER_05
290.026,290.167,del,0.4590,0.9985,SPEAKER_05
290.207,290.307,año,0.6680,0.9995,SPEAKER_05
290.388,290.689,pasado.,0.9820,0.9998,SPEAKER_05
292.457,292.538,Por,0.6820,0.9998,SPEAKER_05
292.578,292.618,lo,0.9860,0.9991,SPEAKER_05
292.678,292.839,"tanto,",0.9720,0.9998,SPEAKER_05
292.919,292.96,el,0.9390,0.9999,SPEAKER_05
293.0,293.281,trabajo,0.8520,0.9983,SPEAKER_05
293.301,294.788,está,0.8510,0.9996,SPEAKER_05
294.828,295.069,escrito,0.8310,0.9972,SPEAKER_05
295.13,295.331,para,0.5260,0.9984,SPEAKER_05
