start,end,word,alignment_score,probability,speaker
11.52,12.462,¿Qué,0.2200,0.7176,SPEAKER_02
15.188,15.729,pasa,0.5390,0.2753,SPEAKER_02
18.956,19.477,con,0.8000,0.9270,SPEAKER_02
19.557,20.399,Jorge,0.5470,0.7544,SPEAKER_02
21.141,30.0,Soto?,0.5010,0.9843,SPEAKER_02
30.82,31.62,Le,0.7490,0.8549,SPEAKER_02
31.66,31.866,ofrezco,0.7600,0.9991,SPEAKER_02
31.927,31.968,la,0.9640,0.9998,SPEAKER_02
32.009,32.194,palabra,0.2960,0.9999,SPEAKER_02
32.214,32.235,a,0.0000,0.9871,SPEAKER_02
32.255,32.337,Juan,0.0000,0.9968,SPEAKER_02
32.358,32.48,Pablo.,0.1670,0.9740,SPEAKER_02
37.08,37.806,Yo,0.7300,0.7867,SPEAKER_06
37.847,37.928,me,0.9270,0.9999,SPEAKER_06
37.968,38.069,voy,0.9020,1.0000,SPEAKER_06
38.109,38.15,a,0.0510,1.0000,SPEAKER_06
38.17,38.634,referir,0.8480,1.0000,SPEAKER_06
38.654,38.674,a,0.9990,0.9996,SPEAKER_06
39.381,39.441,la,0.9990,0.9999,SPEAKER_06
39.522,39.925,formación,0.8320,0.9988,SPEAKER_06
39.966,40.369,general,0.9120,0.9997,SPEAKER_06
40.41,40.854,básica,0.8490,0.9999,SPEAKER_06
40.894,41.015,en,0.7580,0.9191,SPEAKER_06
41.055,41.116,la,0.8080,1.0000,SPEAKER_06
41.177,41.58,universidad.,0.2780,0.9918,SPEAKER_06
42.78,43.645,Las,0.7750,0.9998,SPEAKER_06
43.725,43.906,ideas,0.7350,0.9999,SPEAKER_06
44.007,44.087,que,0.8360,1.0000,SPEAKER_06
44.148,44.228,voy,0.9110,0.9996,SPEAKER_06
44.248,44.268,a,0.4750,1.0000,SPEAKER_06
44.308,44.61,exponer,0.7270,0.9976,SPEAKER_06
44.67,44.972,aquí,0.8200,0.9997,SPEAKER_06
45.716,45.877,son,0.9780,0.9948,SPEAKER_06
45.917,45.978,el,0.7400,0.9997,SPEAKER_06
46.078,46.4,fruto,0.9390,0.9999,SPEAKER_06
46.681,46.782,de,0.9890,1.0000,SPEAKER_06
46.842,46.943,una,0.9720,0.9999,SPEAKER_06
46.983,47.466,experiencia,0.7830,1.0000,SPEAKER_06
47.526,47.607,de,0.6990,0.9999,SPEAKER_06
47.667,48.15,análisis,0.8340,1.0000,SPEAKER_06
48.17,48.21,de,0.5000,0.9987,SPEAKER_06
48.713,48.773,la,0.9090,0.9999,SPEAKER_06
48.873,49.235,realidad,0.8800,0.9994,SPEAKER_06
49.256,49.758,educacional,0.6370,0.9978,SPEAKER_06
49.839,50.08,"chilena,",0.4430,0.9998,SPEAKER_06
50.94,51.142,en,0.5520,0.9998,SPEAKER_06
51.162,51.243,que,0.8740,0.9970,SPEAKER_06
51.304,51.566,tomaron,0.9490,0.9999,SPEAKER_06
51.586,52.091,parte,0.6730,0.9999,SPEAKER_06
52.556,52.778,muchos,0.8050,0.9999,SPEAKER_06
52.798,53.404,académicos,0.8660,1.0000,SPEAKER_06
53.444,53.525,de,0.5630,1.0000,SPEAKER_06
53.626,54.01,diversas,0.9220,0.9999,SPEAKER_06
54.05,55.1,organizaciones.,0.6500,1.0000,SPEAKER_06
56.16,56.891,Algunos,0.8640,0.9986,SPEAKER_06
56.931,57.419,estuvimos,0.8190,0.9993,SPEAKER_06
57.459,57.946,envueltos,0.4720,0.9986,SPEAKER_06
57.967,58.048,en,0.7420,0.8767,SPEAKER_06
58.109,58.332,forma,0.8730,0.9994,SPEAKER_06
58.393,58.494,muy,0.9560,0.9999,SPEAKER_06
58.535,58.9,"directa,",0.7870,0.9999,SPEAKER_06
58.88,60.03,otros,0.6990,0.2565,SPEAKER_06
60.05,60.09,en,0.2840,0.1741,SPEAKER_06
61.119,61.32,forma,0.9740,0.9994,SPEAKER_06
61.421,61.845,"indirecta,",0.9410,0.9998,SPEAKER_06
61.885,62.087,otros,0.6240,0.9995,SPEAKER_06
62.147,62.349,fueron,0.8850,0.9995,SPEAKER_06
62.43,62.934,consultados,0.9140,0.9999,SPEAKER_06
62.954,63.7,"ocasionalmente,",0.7170,0.9999,SPEAKER_06
63.76,64.484,pero,0.8150,0.9993,SPEAKER_06
64.505,64.585,las,0.5090,0.9999,SPEAKER_06
64.645,64.827,ideas,0.7080,0.9986,SPEAKER_06
64.927,65.269,provienen,0.8890,0.9996,SPEAKER_06
65.309,65.37,de,0.8490,1.0000,SPEAKER_06
65.41,65.47,un,0.8560,0.9998,SPEAKER_06
65.511,65.933,conjunto,0.9000,1.0000,SPEAKER_06
