start,end,word,alignment_score,probability,speaker
0.0,0.641,...,0.6510,0.0690,UNKNOWN
13.14,15.551,Muy,0.8070,0.2054,SPEAKER_11
15.591,15.812,buenas,0.7380,0.9999,SPEAKER_11
15.953,16.335,"tardes,",0.9830,1.0000,SPEAKER_11
18.143,18.665,bienvenidos,0.9220,0.9995,SPEAKER_11
18.685,18.705,a,0.9890,1.0000,SPEAKER_11
18.846,18.987,esta,0.8340,0.9998,SPEAKER_11
19.047,19.469,tercera,0.9110,0.9998,SPEAKER_11
19.489,19.549,y,0.0640,0.9998,SPEAKER_11
19.61,19.931,última,0.7580,0.9998,SPEAKER_11
20.011,20.373,sesión,0.9790,1.0000,SPEAKER_11
20.393,20.453,del,0.3350,0.9975,SPEAKER_11
21.438,21.92,seminario,0.3070,0.9521,SPEAKER_11
21.9,25.367,sobre,0.9420,0.9549,SPEAKER_11
25.508,25.75,justicia,0.7290,0.9827,SPEAKER_11
25.79,26.375,distributiva,0.7860,0.9970,SPEAKER_11
26.415,26.435,y,0.8690,0.9999,SPEAKER_11
26.556,27.08,escolástica.,0.5660,0.9963,SPEAKER_11
27.64,28.489,En,0.8590,0.1508,SPEAKER_11
28.57,28.711,la,0.6880,0.9858,SPEAKER_11
28.853,29.116,sesión,0.9820,0.9995,SPEAKER_11
29.156,29.257,de,0.3810,0.9998,SPEAKER_11
29.318,29.641,"ayer,",0.8860,0.9999,SPEAKER_11
29.682,30.005,este,0.6050,0.9971,SPEAKER_11
30.086,30.288,panel,0.9670,0.9997,SPEAKER_11
30.349,30.389,de,0.9940,0.9320,SPEAKER_11
30.43,30.611,alguna,0.8440,0.9999,SPEAKER_11
30.632,30.793,manera,0.7630,0.9999,SPEAKER_11
30.874,30.955,ya,0.9620,0.9996,SPEAKER_11
31.036,31.44,"comenzó,",0.6370,0.9999,SPEAKER_11
31.44,31.621,de,0.4670,0.9994,SPEAKER_11
31.701,31.882,manera,0.4000,0.9998,SPEAKER_11
31.943,32.023,que,0.7640,1.0000,SPEAKER_11
32.083,32.144,no,0.9180,0.9996,SPEAKER_11
32.224,32.324,creo,0.9140,0.9998,SPEAKER_11
32.385,32.465,que,0.8970,1.0000,SPEAKER_11
32.505,32.666,sea,0.9610,0.9998,SPEAKER_11
32.746,32.827,el,0.9060,0.9210,SPEAKER_11
32.927,33.35,caso,0.9980,0.9997,SPEAKER_11
38.274,38.455,hacer,0.7920,0.9041,SPEAKER_11
38.555,38.857,mayores,0.8710,0.9998,SPEAKER_11
38.877,39.5,presentaciones.,0.5580,0.9999,SPEAKER_11
40.92,41.526,Quiero,0.7290,0.9968,SPEAKER_11
41.547,41.85,decirte,0.6740,0.8043,SPEAKER_11
41.89,41.971,que,0.6490,1.0000,SPEAKER_11
42.032,42.315,aparte,0.9100,0.9292,SPEAKER_11
42.355,42.416,de,0.7440,1.0000,SPEAKER_11
42.436,42.517,los,0.9870,0.9998,SPEAKER_11
42.577,43.164,comentaristas,0.8740,0.9995,SPEAKER_11
43.244,43.325,que,0.8950,0.9989,SPEAKER_11
43.366,43.467,ya,0.9340,0.9988,SPEAKER_11
43.548,44.093,introduje,0.9090,0.9903,SPEAKER_11
44.114,44.154,en,0.4980,0.9996,SPEAKER_11
44.356,44.477,su,0.8120,0.9990,SPEAKER_11
44.498,44.74,"oportunidad,",0.0830,0.9999,SPEAKER_11
45.02,45.525,están,0.6420,0.9957,SPEAKER_11
45.586,45.647,con,0.9330,0.9999,SPEAKER_11
45.687,45.99,nosotros,0.8790,0.9999,SPEAKER_11
46.01,46.051,el,0.4900,0.9998,SPEAKER_11
46.091,46.415,profesor,0.6740,0.9936,SPEAKER_11
46.475,46.859,Fernando,0.9030,0.9997,SPEAKER_11
46.92,47.324,"Moreno,",0.8970,0.9998,SPEAKER_11
48.476,48.88,teólogo.,0.3230,0.9995,SPEAKER_11
52.08,52.625,Nadie,0.8220,0.9801,SPEAKER_11
52.706,52.867,quiere,0.7080,0.9995,SPEAKER_11
52.887,53.27,aceptar,0.8260,0.9999,SPEAKER_11
53.291,53.351,los,0.8770,0.9969,SPEAKER_11
53.936,54.582,"calificativos,",0.9370,0.9992,SPEAKER_11
54.643,54.703,los,0.7010,0.9986,SPEAKER_11
54.784,55.288,filósofos,0.7340,0.9999,SPEAKER_11
55.308,55.389,se,0.3780,0.9987,SPEAKER_11
55.47,55.732,definen,0.8200,0.9979,SPEAKER_11
55.793,55.873,como,0.8380,0.9997,SPEAKER_11
55.914,56.257,ingenieros,0.5840,0.9524,SPEAKER_11
56.358,56.64,"civiles,",0.4740,0.9893,SPEAKER_11
56.62,56.842,los,0.5740,0.6042,SPEAKER_11
56.862,57.144,ingenieros,0.5950,0.9991,SPEAKER_11
57.205,57.729,civiles,0.8730,0.9967,SPEAKER_11
58.435,58.536,dicen,0.0010,0.6344,SPEAKER_11
58.556,58.637,que,0.9690,1.0000,SPEAKER_11
58.677,58.758,ya,0.9100,0.8685,SPEAKER_11
58.798,58.859,no,0.9270,0.9999,SPEAKER_11
58.96,59.182,saben,0.6250,0.9999,SPEAKER_11
59.202,59.807,ingeniería,0.7570,0.9965,SPEAKER_11
59.827,60.009,porque,0.6050,0.9879,SPEAKER_11
60.029,60.11,han,0.4110,0.9998,SPEAKER_11
60.17,60.372,pasado,0.9860,0.9999,SPEAKER_11
60.412,60.735,muchos,0.7750,0.9998,SPEAKER_11
60.916,61.199,"años,",0.7380,1.0000,SPEAKER_11
61.219,61.259,en,0.0000,0.9973,SPEAKER_11
61.279,61.36,fin.,0.2500,0.9999,SPEAKER_11
62.56,64.153,"Bueno,",0.7770,0.9717,SPEAKER_11
64.173,64.234,el,0.7380,0.9736,SPEAKER_11
64.274,64.536,profesor,0.7120,0.9858,SPEAKER_11
64.617,64.899,Fernando,0.7500,0.9998,SPEAKER_11
64.939,65.322,Moreno,0.8080,0.9999,SPEAKER_11
65.343,65.383,ha,0.4980,0.9990,SPEAKER_11
65.786,65.988,sido,0.9620,1.0000,SPEAKER_11
66.028,66.633,investigador,0.9050,0.9999,SPEAKER_11
66.653,66.693,y,0.3760,0.9997,SPEAKER_11
66.714,67.097,profesor,0.7500,0.9997,SPEAKER_11
67.137,67.177,en,0.7080,0.9997,SPEAKER_11
67.359,67.52,"IGLADES,",0.1240,0.6967,SPEAKER_11
67.52,68.105,actualmente,0.6860,0.9977,SPEAKER_11
68.165,68.246,se,0.9860,0.9999,SPEAKER_11
68.307,68.771,desempeña,0.7620,0.9998,SPEAKER_11
68.831,68.932,como,0.6500,1.0000,SPEAKER_11
68.992,69.295,profesor,0.8380,1.0000,SPEAKER_11
