start,end,word,alignment_score,probability,speaker
0.92,1.648,"Sí,",0.6810,0.3101,SPEAKER_10
1.689,2.053,señores.,0.9310,0.9967,SPEAKER_10
2.093,2.761,En,0.7670,0.9996,SPEAKER_10
2.821,3.064,nombre,0.8420,0.9999,SPEAKER_10
3.104,3.226,del,0.6110,0.9999,SPEAKER_10
3.327,3.549,Centro,0.7030,0.9995,SPEAKER_10
3.57,3.61,de,0.7460,0.9999,SPEAKER_10
3.63,3.934,Estudios,0.5930,0.9983,SPEAKER_10
4.075,4.52,"Públicos,",0.8530,0.9996,SPEAKER_10
4.54,5.468,quiero,0.6390,0.9999,SPEAKER_10
5.933,6.155,dar,0.9380,0.9988,SPEAKER_10
6.235,6.296,la,0.7100,1.0000,SPEAKER_10
6.357,6.841,bienvenida,0.8000,1.0000,SPEAKER_10
6.861,6.901,al,0.4990,0.9904,SPEAKER_10
7.628,7.89,señor,0.8400,0.9987,SPEAKER_10
8.072,8.597,Mark,0.6740,0.9391,SPEAKER_10
8.617,8.96,"Falkoff,",0.3420,0.7508,SPEAKER_10
12.36,13.305,quien,0.2930,0.9999,SPEAKER_10
13.385,13.928,intervendrá,0.9170,0.9984,SPEAKER_10
13.988,14.129,hoy,0.8710,1.0000,SPEAKER_10
14.169,14.43,día,0.9760,1.0000,SPEAKER_10
17.687,17.968,sobre,0.8670,0.9997,SPEAKER_10
18.009,18.089,el,0.7170,1.0000,SPEAKER_10
18.149,18.31,tema,0.8510,1.0000,SPEAKER_10
18.37,18.451,de,0.7240,1.0000,SPEAKER_10
18.511,18.551,la,0.9980,1.0000,SPEAKER_10
18.632,19.034,transición,0.7540,0.9992,SPEAKER_10
19.054,19.074,a,0.9940,1.0000,SPEAKER_10
19.195,19.275,la,0.6180,1.0000,SPEAKER_10
19.335,19.737,democracia,0.7120,1.0000,SPEAKER_10
19.777,19.878,en,0.6040,1.0000,SPEAKER_10
19.918,20.099,el,0.8720,1.0000,SPEAKER_10
20.119,20.2,Cono,0.0000,0.6819,SPEAKER_10
20.22,20.3,Sur.,0.2500,0.9961,SPEAKER_10
21.9,22.565,"Además,",0.9770,0.9994,SPEAKER_10
23.13,23.432,quisiera,0.6270,0.9996,SPEAKER_10
23.472,23.997,agradecer,0.6870,1.0000,SPEAKER_10
24.017,24.117,muy,0.7260,0.9998,SPEAKER_10
24.178,24.883,especialmente,0.8390,0.9996,SPEAKER_10
24.924,25.972,al,0.7670,0.9867,SPEAKER_10
26.053,26.254,señor,0.8730,0.9999,SPEAKER_10
26.395,26.657,Peter,0.4090,0.9986,SPEAKER_10
26.678,27.0,"Dichazo,",0.3380,0.8612,SPEAKER_10
26.98,28.45,agregado,0.5250,0.7306,SPEAKER_10
28.511,28.853,cultural,0.7890,0.9911,SPEAKER_10
28.893,29.014,de,0.5800,0.9875,SPEAKER_10
29.054,29.095,la,0.9410,0.9967,SPEAKER_10
29.155,29.477,Embajada,0.7280,0.9141,SPEAKER_10
29.518,29.578,de,0.9340,0.9977,SPEAKER_10
29.618,29.699,los,0.9260,0.9900,SPEAKER_10
29.779,30.041,Estados,0.5780,0.9902,SPEAKER_10
30.102,30.343,"Unidos,",0.8640,0.9997,SPEAKER_10
30.384,30.545,por,0.4200,0.9950,SPEAKER_10
30.565,30.766,haber,0.2050,0.9984,SPEAKER_10
30.786,30.948,hecho,0.6960,0.9990,SPEAKER_10
31.028,31.471,posible,0.8830,0.9991,SPEAKER_10
32.156,32.357,esta,0.7830,0.9968,SPEAKER_10
32.619,32.76,visita.,0.1400,0.9995,SPEAKER_10
34.3,34.541,El,0.8910,0.9983,SPEAKER_10
34.602,35.064,profesor,0.8980,0.9705,SPEAKER_10
35.707,36.129,Falkoff,0.7520,0.7111,SPEAKER_10
36.712,36.893,es,0.8220,0.9890,SPEAKER_10
37.838,38.522,investigador,0.8630,0.9996,SPEAKER_10
38.542,38.602,del,0.3340,0.9927,SPEAKER_10
39.446,40.07,American,0.6040,0.9981,SPEAKER_10
40.09,40.673,Enterprise,0.5450,0.9968,SPEAKER_10
40.713,41.276,"Institute,",0.6190,0.9914,SPEAKER_10
41.457,41.798,ubicado,0.5800,0.9992,SPEAKER_10
41.819,41.879,en,0.5860,0.9998,SPEAKER_10
41.899,42.12,Washington.,0.0860,0.9999,SPEAKER_10
43.38,43.725,Es,0.7090,0.9982,SPEAKER_10
44.292,44.698,doctor,0.8560,0.9961,SPEAKER_10
44.738,44.799,en,0.7970,0.9984,SPEAKER_10
44.86,45.042,ciencia,0.5720,0.8937,SPEAKER_10
45.103,45.428,política,0.8880,0.9996,SPEAKER_10
45.468,45.549,de,0.5880,0.9285,SPEAKER_10
45.59,45.651,la,0.7350,0.9999,SPEAKER_10
45.671,46.016,Universidad,0.4800,0.9993,SPEAKER_10
46.056,46.137,de,0.5810,0.9997,SPEAKER_10
46.158,46.36,Princeton.,0.1000,0.9998,SPEAKER_10
46.9,48.411,Y,0.9490,0.9252,SPEAKER_10
48.431,48.613,entre,0.8050,0.9007,SPEAKER_10
48.673,48.915,sus,0.7320,0.9999,SPEAKER_10
49.318,49.963,publicaciones,0.8820,0.9998,SPEAKER_10
50.003,50.467,quisiera,0.1270,0.9308,SPEAKER_10
50.527,50.91,destacar,0.7740,0.9999,SPEAKER_10
50.95,50.99,un,0.4970,0.9997,SPEAKER_10
51.011,51.555,libro,0.6180,0.9999,SPEAKER_10
51.635,52.159,sobre,0.7950,0.9998,SPEAKER_10
52.179,52.3,"Perón,",0.1680,0.9994,SPEAKER_10
52.34,53.977,un,0.6400,0.9995,SPEAKER_10
54.057,54.381,libro,0.6300,1.0000,SPEAKER_10
54.441,54.987,sobre,0.8310,0.9999,SPEAKER_10
55.169,55.391,la,0.9620,0.9997,SPEAKER_10
