start,end,word,alignment_score,probability,speaker
1.3,1.985,Muy,0.7990,0.9980,SPEAKER_00
2.025,2.227,buenas,0.6300,0.9999,SPEAKER_00
2.327,2.63,"tardes,",0.9050,1.0000,SPEAKER_00
2.65,2.67,a,0.9870,0.8589,SPEAKER_00
4.019,4.201,nombre,0.8230,0.9999,SPEAKER_00
4.221,4.281,del,0.7170,0.9997,SPEAKER_00
4.322,4.503,Centro,0.7250,0.9942,SPEAKER_00
4.523,4.563,de,0.4100,0.9984,SPEAKER_00
4.584,4.825,Estudios,0.8160,0.9976,SPEAKER_00
4.946,5.389,Públicos,0.8560,0.9931,SPEAKER_00
5.409,5.45,le,0.4950,0.1348,SPEAKER_00
6.135,6.376,doy,0.4970,0.9964,SPEAKER_00
6.397,6.477,la,0.7720,0.9997,SPEAKER_00
6.538,6.799,bienvenida,0.1500,0.9999,SPEAKER_00
6.82,6.84,a,0.0000,1.0000,SPEAKER_00
6.86,6.9,la,0.5000,0.9996,SPEAKER_00
6.88,7.343,reunión,0.5880,1.0000,SPEAKER_00
7.363,7.403,de,0.4280,0.9999,SPEAKER_00
7.423,7.544,esta,0.5040,1.0000,SPEAKER_00
7.604,7.865,tarde.,0.8920,1.0000,SPEAKER_00
9.555,9.696,Como,0.9230,0.9999,SPEAKER_00
9.756,9.937,todos,0.8450,0.9998,SPEAKER_00
9.977,10.218,ustedes,0.6170,0.9997,SPEAKER_00
10.339,10.741,"saben,",0.9910,1.0000,SPEAKER_00
10.762,12.35,el,0.9390,1.0000,SPEAKER_00
12.411,12.551,tema,0.9800,0.9998,SPEAKER_00
12.572,12.632,de,0.8790,1.0000,SPEAKER_00
12.712,12.873,hoy,0.7970,1.0000,SPEAKER_00
12.893,12.954,va,0.7580,0.9999,SPEAKER_00
12.974,12.994,a,0.0240,1.0000,SPEAKER_00
13.014,13.135,ser,0.5830,1.0000,SPEAKER_00
13.175,13.456,efectos,0.8530,0.9169,SPEAKER_00
13.497,14.12,redistributivos,0.2480,0.9998,SPEAKER_00
14.1,14.201,de,0.3100,1.0000,SPEAKER_00
14.442,14.523,la,0.9220,1.0000,SPEAKER_00
14.604,14.845,política,0.9120,0.9787,SPEAKER_00
14.865,14.966,de,0.6040,0.9988,SPEAKER_00
