start,end,word,alignment_score,probability,speaker
0.58,1.529,Autoridades,0.7680,0.9946,SPEAKER_02
1.61,2.156,"presentes,",0.9280,1.0000,SPEAKER_02
2.519,2.964,señoras,0.8630,0.9994,SPEAKER_02
2.984,3.004,y,0.9990,1.0000,SPEAKER_02
3.186,3.59,"señores,",0.9630,0.9989,SPEAKER_02
3.61,4.055,muy,0.5930,0.9992,SPEAKER_02
4.095,4.297,buenas,0.7890,1.0000,SPEAKER_02
4.337,4.62,tardes.,0.7530,1.0000,SPEAKER_02
5.28,6.306,El,0.8810,0.9999,SPEAKER_02
6.487,6.849,Centro,0.8700,0.9997,SPEAKER_02
6.889,6.95,de,0.6200,1.0000,SPEAKER_02
6.99,7.452,Estudios,0.7070,0.9999,SPEAKER_02
7.593,8.036,Públicos,0.9310,0.9997,SPEAKER_02
8.096,9.021,tiene,0.9650,0.9999,SPEAKER_02
9.082,9.202,el,0.2500,0.9996,SPEAKER_02
9.222,9.605,agrado,0.9190,0.9992,SPEAKER_02
9.685,9.745,de,0.9580,1.0000,SPEAKER_02
9.806,10.329,"presentar,",0.9010,1.0000,SPEAKER_02
10.349,10.369,a,0.9900,1.0000,SPEAKER_02
10.972,11.596,consideración,0.9140,0.9999,SPEAKER_02
11.676,11.757,de,0.9600,1.0000,SPEAKER_02
11.837,12.039,todos,0.7220,1.0000,SPEAKER_02
12.159,12.32,"ustedes,",0.1270,0.9999,SPEAKER_02
12.58,13.324,una,0.8080,0.9999,SPEAKER_02
13.425,13.666,nueva,0.9370,1.0000,SPEAKER_02
13.807,14.088,"obra,",0.8890,1.0000,SPEAKER_02
14.712,15.214,titulada,0.9980,1.0000,SPEAKER_02
15.255,16.743,"Cristianismo,",0.8760,0.9671,SPEAKER_02
16.783,17.768,Sociedad,0.8770,0.9752,SPEAKER_02
17.809,18.231,Libre,0.8530,0.9988,SPEAKER_02
18.251,18.271,y,0.9990,1.0000,SPEAKER_02
18.633,19.075,Opción,0.8900,0.9987,SPEAKER_02
19.317,19.437,por,0.9680,0.9999,SPEAKER_02
19.498,19.598,los,0.9720,1.0000,SPEAKER_02
