start,end,word,alignment_score,probability,speaker
0.0,0.666,"Bueno,",0.8090,0.9983,SPEAKER_06
1.292,1.535,vamos,0.8280,1.0000,SPEAKER_06
1.636,1.696,a,0.9860,1.0000,SPEAKER_06
2.302,2.726,comenzar,0.8760,0.9999,SPEAKER_06
2.767,2.948,con,0.7640,1.0000,SPEAKER_06
3.009,3.09,la,0.9580,1.0000,SPEAKER_06
3.473,3.736,reunión,0.8830,1.0000,SPEAKER_06
3.776,3.817,de,0.5240,1.0000,SPEAKER_06
3.877,4.059,esta,0.8550,0.9999,SPEAKER_06
4.079,4.18,noche,0.1910,1.0000,SPEAKER_06
4.16,4.363,que,0.2660,0.3648,SPEAKER_06
5.679,5.943,trata,0.8810,1.0000,SPEAKER_06
5.963,6.408,entonces,0.7110,0.9983,SPEAKER_06
6.571,7.016,del,0.6890,0.3664,SPEAKER_06
7.036,7.34,tema,0.4830,0.9998,SPEAKER_06
7.32,7.401,Los,0.1500,0.4739,SPEAKER_06
7.665,8.111,determinantes,0.7380,0.9285,SPEAKER_06
8.151,8.293,del,0.3580,0.9995,SPEAKER_06
8.334,8.678,descenso,0.8070,0.9993,SPEAKER_06
8.719,8.779,de,0.7090,1.0000,SPEAKER_06
8.82,8.861,la,0.9430,1.0000,SPEAKER_06
8.921,9.428,mortalidad,0.8700,0.9999,SPEAKER_06
10.178,10.219,en,0.0000,0.9988,SPEAKER_06
10.239,10.34,Chile,0.1920,1.0000,SPEAKER_06
11.18,11.931,cuyo,0.6620,0.9569,SPEAKER_06
11.972,12.439,expositor,0.9140,0.9989,SPEAKER_06
12.479,12.52,es,0.5990,0.9999,SPEAKER_06
12.581,12.641,el,0.7850,1.0000,SPEAKER_06
12.662,13.007,profesor,0.9380,0.9993,SPEAKER_06
13.088,13.494,Tarciso,0.7440,0.9331,SPEAKER_06
13.656,13.92,Castañeda,0.2490,0.9878,SPEAKER_06
13.9,15.396,quien,0.6690,0.9673,SPEAKER_06
15.416,15.456,es,0.9840,1.0000,SPEAKER_06
15.558,16.022,máster,0.7640,0.9108,SPEAKER_06
16.043,16.063,y,0.9860,1.0000,SPEAKER_06
16.305,16.669,doctor,0.9520,0.9999,SPEAKER_06
16.75,16.831,de,0.9040,0.9999,SPEAKER_06
16.912,16.952,la,0.8210,1.0000,SPEAKER_06
17.013,17.478,Universidad,0.8380,0.9999,SPEAKER_06
17.498,17.539,de,0.0000,1.0000,SPEAKER_06
17.559,17.7,Chicago,0.1430,0.9998,SPEAKER_06
19.94,20.718,actualmente,0.8870,0.9760,SPEAKER_06
20.84,21.004,también,0.9150,0.9759,SPEAKER_06
21.045,21.516,experto,0.8710,0.9842,SPEAKER_06
21.536,21.577,de,0.0000,0.7647,SPEAKER_06
21.598,21.639,la,0.0000,0.4183,SPEAKER_06
21.659,21.72,OEA,0.3330,0.9903,SPEAKER_06
22.48,23.415,en,0.9240,0.9993,SPEAKER_06
23.455,23.496,el,0.8810,1.0000,SPEAKER_06
23.557,23.902,estudio,0.8400,0.9999,SPEAKER_06
23.963,24.044,de,0.9840,1.0000,SPEAKER_06
24.126,24.451,aspectos,0.9860,0.9995,SPEAKER_06
24.491,24.532,de,0.8530,1.0000,SPEAKER_06
24.634,24.918,política,0.8650,0.9998,SPEAKER_06
24.938,25.06,social,0.1670,0.9999,SPEAKER_06
25.04,25.404,y,0.2280,0.9995,SPEAKER_06
25.445,26.376,se,0.9390,0.9997,SPEAKER_06
26.437,26.862,desempeña,0.8610,0.9999,SPEAKER_06
26.943,27.186,también,0.9220,0.9999,SPEAKER_06
27.206,27.388,como,0.0460,0.9999,SPEAKER_06
27.429,27.874,profesor,0.7740,0.9996,SPEAKER_06
27.894,27.915,e,0.6360,0.9631,SPEAKER_06
27.955,28.38,investigador,0.2010,0.9999,SPEAKER_06
28.36,28.687,del,0.3830,0.9116,SPEAKER_06
28.707,29.136,Departamento,0.7690,0.9809,SPEAKER_06
29.176,29.217,de,0.7330,1.0000,SPEAKER_06
29.238,29.646,Economía,0.8390,0.9999,SPEAKER_06
29.666,29.707,de,0.7260,0.9998,SPEAKER_06
29.748,29.789,la,0.9960,0.9999,SPEAKER_06
29.829,30.197,Universidad,0.7880,0.9997,SPEAKER_06
30.217,30.258,de,0.0000,0.9999,SPEAKER_06
30.278,30.38,Chile,0.2000,0.9999,SPEAKER_06
32.6,33.332,¿Quién,0.8650,0.6799,SPEAKER_06
33.352,33.413,va,0.4600,0.9998,SPEAKER_06
33.433,33.454,a,0.0930,0.9999,SPEAKER_06
33.474,33.962,"comentar,",0.8140,0.9996,SPEAKER_06
34.043,34.45,"digamos,",0.9220,0.9999,SPEAKER_06
34.572,34.937,su,0.8970,0.9998,SPEAKER_06
34.958,35.12,trabajo?,0.1250,0.9975,SPEAKER_06
35.48,36.254,Es,0.5580,0.9182,SPEAKER_06
36.295,36.335,la,0.9780,1.0000,SPEAKER_06
36.376,36.783,profesora,0.7290,0.9993,SPEAKER_06
36.865,37.252,Dagmar,0.5720,0.9878,SPEAKER_06
37.272,37.72,Racinchi,0.6210,0.5064,SPEAKER_06
37.7,38.755,La,0.5360,0.8157,SPEAKER_06
38.776,39.1,profesora,0.5440,1.0000,SPEAKER_06
39.141,39.527,Racinchi,0.4060,0.9980,SPEAKER_06
39.628,39.669,es,0.2440,0.9136,SPEAKER_06
39.689,40.075,licenciada,0.6360,0.9917,SPEAKER_06
40.095,40.136,de,0.2220,0.8456,SPEAKER_06
40.156,40.46,Sociología,0.2340,0.9845,SPEAKER_06
40.44,40.806,de,0.1880,0.9824,SPEAKER_06
40.929,40.969,la,0.9960,0.9999,SPEAKER_06
41.01,41.397,Universidad,0.8160,0.9998,SPEAKER_06
41.417,41.478,de,0.7440,0.9854,SPEAKER_06
41.519,42.272,"California,",0.7930,0.9983,SPEAKER_06
42.313,42.435,Los,0.6700,0.4544,SPEAKER_06
42.578,42.72,Ángeles,0.1460,0.9995,SPEAKER_06
44.7,45.42,"Perdón,",0.3760,0.8015,SPEAKER_06
45.441,45.482,de,0.9390,1.0000,SPEAKER_06
45.502,45.543,la,0.7620,1.0000,SPEAKER_06
45.585,45.975,Universidad,0.2560,1.0000,SPEAKER_06
45.996,46.161,Católica,0.1240,0.9999,SPEAKER_06
46.14,46.465,Es,0.7120,0.8660,SPEAKER_06
46.608,46.872,máster,0.6350,0.4794,SPEAKER_06
46.974,47.014,y,0.5250,0.7992,SPEAKER_06
47.055,47.116,PhD,0.2210,0.8191,SPEAKER_06
47.177,47.258,de,0.4360,0.8948,SPEAKER_06
47.299,47.36,la,0.9360,1.0000,SPEAKER_06
47.401,47.706,Universidad,0.4810,0.9999,SPEAKER_06
47.726,47.787,de,0.4500,0.9999,SPEAKER_06
47.808,48.255,"California,",0.5370,0.9999,SPEAKER_06
48.275,48.418,Los,0.7820,0.9995,SPEAKER_06
48.438,48.58,Ángeles,0.1440,0.9999,SPEAKER_06
48.56,49.632,y,0.6960,0.3537,SPEAKER_06
49.673,50.118,actualmente,0.9170,0.9995,SPEAKER_06
50.158,50.34,ya,0.2550,0.9618,SPEAKER_06
50.442,50.563,es,0.8520,0.9999,SPEAKER_06
50.866,51.453,investigadora,0.8400,0.9988,SPEAKER_06
51.514,51.797,de,0.8640,0.9986,SPEAKER_06
51.817,52.08,CIEPLAN,0.3580,0.9510,SPEAKER_06
52.06,52.648,la,0.6350,0.8533,SPEAKER_06
52.689,53.115,Corporación,0.7440,0.9994,SPEAKER_06
53.156,53.196,de,0.9740,1.0000,SPEAKER_06
53.257,53.846,Investigaciones,0.6290,0.9545,SPEAKER_06
53.886,54.332,Económicas,0.7890,0.9995,SPEAKER_06
54.414,54.596,para,0.7070,0.9969,SPEAKER_06
54.617,54.88,Latinoamérica,0.0770,0.9993,SPEAKER_06
54.86,55.853,"Además,",0.8440,0.7909,SPEAKER_06
55.874,56.238,"digamos,",0.5920,0.9993,SPEAKER_06
56.259,56.765,desempeñarse,0.7650,0.8720,SPEAKER_06
56.806,56.988,como,0.5700,0.9923,SPEAKER_06
57.029,57.434,profesora,0.7150,0.9999,SPEAKER_06
57.475,57.536,de,0.6140,1.0000,SPEAKER_06
57.596,57.88,Sociología,0.2320,0.9938,SPEAKER_06
58.36,58.954,en,0.8170,0.1326,SPEAKER_06
58.975,59.016,la,0.9990,0.6735,SPEAKER_06
59.057,59.405,Universidad,0.7380,0.9938,SPEAKER_06
59.466,59.876,Católica,0.8680,0.9904,SPEAKER_06
59.897,59.938,de,0.0000,0.2174,SPEAKER_06
59.958,60.06,Chile,0.2000,0.9480,SPEAKER_06
61.58,62.792,Antes,0.7950,0.9998,SPEAKER_06
62.812,62.873,de,0.3610,0.9145,SPEAKER_06
62.893,63.398,"comenzar,",0.8730,0.9998,SPEAKER_06
63.438,64.772,"digamos,",0.7500,0.9963,SPEAKER_06
64.792,65.176,probablemente,0.8050,0.9999,SPEAKER_06
65.236,65.62,conveniente,0.3660,0.9998,SPEAKER_06
65.6,66.75,señalar,0.6210,0.9984,SPEAKER_06
66.79,66.871,que,0.4710,0.0061,SPEAKER_06
66.891,66.972,la,0.0070,0.9995,SPEAKER_06
67.012,67.274,próxima,0.7180,0.9998,SPEAKER_06
67.355,67.698,"sección,",0.8930,0.8801,SPEAKER_06
67.738,67.778,el,0.4980,0.9146,SPEAKER_06
68.968,69.271,próximo,0.9770,0.9895,SPEAKER_06
69.392,69.473,día,0.4810,0.9378,SPEAKER_06
69.493,69.755,martes,0.5410,1.0000,SPEAKER_06
69.775,69.957,12,0.6480,0.9999,SPEAKER_06
69.997,70.118,de,0.8450,0.9996,SPEAKER_06
70.138,70.36,junio,0.3420,0.9982,SPEAKER_06
71.0,71.787,se,0.8360,0.9999,SPEAKER_06
71.828,72.292,"desarrollará,",0.9040,0.9997,SPEAKER_06
72.332,72.655,"digamos,",0.7990,0.9704,SPEAKER_06
72.696,72.837,bajo,0.9810,0.9834,SPEAKER_06
72.877,72.978,el,0.3870,0.8266,SPEAKER_06
73.079,73.281,tema,0.8150,0.9999,SPEAKER_06
73.301,73.342,de,0.4980,0.9995,SPEAKER_06
73.665,74.27,desarrollo,0.8000,0.9575,SPEAKER_06
74.311,74.937,social,0.9060,0.9999,SPEAKER_06
