start,end,word,alignment_score,probability,speaker
0.96,1.934,Muy,0.5170,0.9635,SPEAKER_02
2.036,2.584,bienvenidos,0.8900,0.9999,SPEAKER_02
2.604,2.645,al,0.4760,0.9999,SPEAKER_02
2.665,3.152,Centro,0.6110,0.9605,SPEAKER_02
3.193,3.233,de,0.8670,1.0000,SPEAKER_02
3.254,3.7,Estudios.,0.7300,0.9997,SPEAKER_02
4.8,5.228,Tenemos,0.6350,0.9999,SPEAKER_02
5.269,5.391,hoy,0.2920,0.9998,SPEAKER_02
5.431,5.554,día,0.4490,0.9563,SPEAKER_02
5.615,5.696,una,0.9190,1.0000,SPEAKER_02
5.778,6.063,sesión,0.8520,0.9999,SPEAKER_02
6.124,6.776,especialmente,0.8150,1.0000,SPEAKER_02
6.796,7.02,interesante,0.0910,0.9998,SPEAKER_02
7.56,9.011,para,0.8320,0.9914,SPEAKER_02
9.091,9.414,discutir,0.8790,1.0000,SPEAKER_02
9.434,9.797,algunos,0.6350,1.0000,SPEAKER_02
9.938,10.26,puntos,0.9580,1.0000,SPEAKER_02
10.28,10.341,con,0.3280,1.0000,SPEAKER_02
11.711,11.751,el,0.9410,1.0000,SPEAKER_02
11.811,12.376,profesor,0.7440,0.9939,SPEAKER_02
12.396,12.859,Michel,0.5650,0.8827,SPEAKER_02
12.879,13.0,Novak.,0.1670,0.9332,SPEAKER_02
14.28,14.565,Todos,0.8860,0.9998,SPEAKER_02
14.605,14.951,ustedes,0.9200,1.0000,SPEAKER_02
15.033,15.216,tienen,0.8450,1.0000,SPEAKER_02
15.277,15.338,las,0.6770,0.9971,SPEAKER_02
15.399,15.927,referencias,0.9070,1.0000,SPEAKER_02
15.968,16.111,del,0.8080,1.0000,SPEAKER_02
16.192,16.7,"profesor,",0.8690,1.0000,SPEAKER_02
17.28,17.562,hombre,0.2640,0.7775,SPEAKER_02
17.602,17.683,muy,0.5630,1.0000,SPEAKER_02
17.784,18.328,destacado,0.9310,1.0000,SPEAKER_02
18.348,18.389,en,0.5000,0.9941,SPEAKER_02
19.255,19.497,materia,0.9140,0.9999,SPEAKER_02
19.537,19.578,de,0.8910,1.0000,SPEAKER_02
19.618,20.202,filosofía,0.9820,0.9998,SPEAKER_02
20.323,20.767,política,0.8290,0.9000,SPEAKER_02
20.787,20.807,y,0.9970,0.9991,SPEAKER_02
20.888,21.492,filosofía,0.8860,0.9998,SPEAKER_02
21.513,21.553,en,0.5260,0.9986,SPEAKER_02
21.593,21.896,materia,0.7100,1.0000,SPEAKER_02
21.916,22.5,"económica,",0.9230,1.0000,SPEAKER_02
23.76,24.408,investigador,0.6180,0.9988,SPEAKER_02
24.448,25.075,americano,0.9800,0.7161,SPEAKER_02
25.096,25.156,del,0.3340,0.6378,SPEAKER_02
25.581,26.532,American,0.8390,0.9996,SPEAKER_02
26.573,26.998,Enterprise,0.6650,0.9631,SPEAKER_02
27.018,27.2,Institute,0.1110,0.9992,SPEAKER_02
27.18,28.43,y,0.7160,0.9391,SPEAKER_02
28.51,28.893,autor,0.7400,0.9983,SPEAKER_02
28.913,28.974,de,0.8510,1.0000,SPEAKER_02
