start,end,word,alignment_score,probability,speaker
19.34,20.761,Gracias.,0.2320,0.1919,UNKNOWN
35.46,36.881,Gracias.,0.2690,0.6999,UNKNOWN
71.98,73.401,Gracias.,0.3890,0.1762,UNKNOWN
90.3,91.021,Gracias.,0.1290,0.1040,SPEAKER_02
130.82,132.241,Gracias.,0.2290,0.0057,SPEAKER_02
149.9,152.568,Bien.,0.2150,0.8877,SPEAKER_01
152.588,152.729,Debo,0.9100,0.9988,SPEAKER_01
152.789,153.07,partir,0.9900,0.9989,SPEAKER_01
153.11,153.371,dando,0.8510,0.9898,SPEAKER_01
153.491,153.672,las,0.9620,0.9997,SPEAKER_01
154.033,154.454,excusas,0.8890,0.9888,SPEAKER_01
154.474,154.514,al,0.4950,0.6678,SPEAKER_01
154.554,155.096,director,0.8970,0.9475,SPEAKER_01
155.136,155.216,del,0.5000,0.8397,SPEAKER_01
155.236,155.357,Centro,0.0080,0.9254,SPEAKER_01
155.377,155.417,de,0.0420,0.8507,SPEAKER_01
155.437,155.617,Estudios,0.4380,0.6845,SPEAKER_01
155.738,156.039,"Públicos,",0.8150,0.9990,SPEAKER_01
156.079,156.42,Arturo,0.4790,0.9996,SPEAKER_01
156.44,156.821,"Montén,",0.4810,0.5162,SPEAKER_01
157.804,158.025,quien,0.8410,0.9983,SPEAKER_01
158.165,158.286,por,0.9520,0.9224,SPEAKER_01
158.466,159.068,compromisos,0.8650,1.0000,SPEAKER_01
159.088,159.79,personales,0.9070,1.0000,SPEAKER_01
159.83,160.974,debe,0.6560,0.9997,SPEAKER_01
161.034,161.235,estar,0.8660,0.9999,SPEAKER_01
161.275,161.736,ausente,0.8890,1.0000,SPEAKER_01
161.997,162.177,hoy,0.7570,1.0000,SPEAKER_01
162.198,162.398,día,0.8050,0.9999,SPEAKER_01
162.88,162.92,de,0.0220,0.9999,SPEAKER_01
162.94,163.02,acá.,0.2220,1.0000,SPEAKER_01
163.78,164.65,Dos,0.7970,0.9989,SPEAKER_01
164.71,165.054,palabras,0.9360,1.0000,SPEAKER_01
165.176,165.438,sobre,0.9930,1.0000,SPEAKER_01
165.62,165.701,el,0.8910,0.9999,SPEAKER_01
165.782,166.268,seminario,0.9680,0.9992,SPEAKER_01
166.308,166.814,antes,0.8910,0.9067,SPEAKER_01
166.834,166.874,de,0.4280,0.9999,SPEAKER_01
166.895,167.158,entrar,0.6220,0.9998,SPEAKER_01
167.178,167.218,en,0.0060,1.0000,SPEAKER_01
167.238,167.279,el,0.0000,1.0000,SPEAKER_01
167.299,167.4,tema.,0.2000,0.9999,SPEAKER_01
171.42,172.124,Estamos,0.9200,0.9303,SPEAKER_01
172.204,172.788,conscientes,0.8130,0.9997,SPEAKER_01
172.808,173.894,de,0.8850,0.9996,SPEAKER_01
174.014,174.155,que,0.8630,1.0000,SPEAKER_01
174.195,174.457,el,0.9450,0.9995,SPEAKER_01
174.517,174.919,quehacer,0.5680,0.9867,SPEAKER_01
175.422,175.925,político,0.9520,0.9995,SPEAKER_01
175.965,177.273,exige,0.9710,0.9983,SPEAKER_01
177.313,177.695,de,0.9020,0.9990,SPEAKER_01
177.775,177.956,cada,0.9860,0.9984,SPEAKER_01
178.057,178.158,uno,0.9750,0.9991,SPEAKER_01
178.178,178.218,de,0.3800,0.9998,SPEAKER_01
178.318,178.62,"nosotros,",0.2940,0.9995,SPEAKER_01
178.6,178.921,no,0.3210,0.7246,SPEAKER_01
179.965,180.105,solo,0.9050,0.4516,SPEAKER_01
180.145,180.466,una,0.3630,0.9353,SPEAKER_01
180.546,181.169,participación,0.9450,0.9998,SPEAKER_01
181.209,181.951,"responsable,",0.7840,0.9998,SPEAKER_01
182.613,182.794,sino,0.7390,0.9999,SPEAKER_01
182.834,182.894,que,0.3110,0.9996,SPEAKER_01
183.536,183.657,una,0.8070,0.9998,SPEAKER_01
183.777,184.359,formación,0.9660,1.0000,SPEAKER_01
184.379,184.399,y,0.9890,0.9996,SPEAKER_01
184.861,184.921,un,0.9970,0.9999,SPEAKER_01
184.981,185.182,nivel,0.9820,0.9999,SPEAKER_01
185.302,185.864,conceptual,0.9990,0.9998,SPEAKER_01
185.904,187.269,concorde,0.9640,0.9763,SPEAKER_01
187.369,187.51,con,0.9840,1.0000,SPEAKER_01
187.67,187.73,la,0.9920,0.9999,SPEAKER_01
187.79,188.232,calidad,0.9590,0.9998,SPEAKER_01
188.954,189.155,de,0.9000,0.9927,SPEAKER_01
189.496,190.038,universitarios,0.6510,0.9797,SPEAKER_01
190.138,190.279,que,0.6020,0.9996,SPEAKER_01
190.379,190.54,ustedes,0.3020,0.9981,SPEAKER_01
190.56,190.7,tienen.,0.1430,0.9999,SPEAKER_01
192.08,192.945,Se,0.8960,0.9989,SPEAKER_01
193.005,193.106,ha,0.9740,1.0000,SPEAKER_01
193.247,193.79,evidenciado,0.6990,0.9997,SPEAKER_01
193.83,194.413,en,0.9640,0.9993,SPEAKER_01
194.453,194.514,el,0.9720,1.0000,SPEAKER_01
194.574,194.976,debate,0.8970,0.9999,SPEAKER_01
195.6,195.66,de,0.7740,0.9999,SPEAKER_01
195.7,195.761,los,0.8740,0.9999,SPEAKER_01
195.801,196.123,diversos,0.6690,0.9999,SPEAKER_01
196.183,196.545,actores,0.9590,0.9991,SPEAKER_01
197.651,197.973,cierta,0.9270,0.9204,SPEAKER_01
198.074,198.577,pequeñez,0.8790,0.9992,SPEAKER_01
198.677,198.738,en,0.9600,0.9999,SPEAKER_01
198.778,198.838,el,0.8620,1.0000,SPEAKER_01
198.878,199.2,"lenguaje,",0.6100,0.9999,SPEAKER_01
199.28,200.507,que,0.8100,0.9997,SPEAKER_01
200.628,201.07,obviamente,0.9100,0.9997,SPEAKER_01
201.09,201.13,va,0.4880,0.9999,SPEAKER_01
201.331,201.392,en,0.9040,0.9999,SPEAKER_01
201.432,201.915,desmedro,0.8990,0.9988,SPEAKER_01
202.619,202.679,de,0.8180,0.9998,SPEAKER_01
202.739,202.8,lo,0.9160,0.9999,SPEAKER_01
202.86,202.961,que,0.8460,1.0000,SPEAKER_01
203.061,203.202,se,0.8860,1.0000,SPEAKER_01
203.423,203.644,llama,0.9820,0.9999,SPEAKER_01
203.725,203.785,un,0.7020,0.9996,SPEAKER_01
203.825,204.308,proceso,0.8490,0.9999,SPEAKER_01
204.348,205.052,de,0.8860,1.0000,SPEAKER_01
205.133,205.636,tránsito,0.8440,0.9999,SPEAKER_01
205.696,205.837,hacia,0.8440,0.9991,SPEAKER_01
205.917,205.957,la,0.9340,0.9999,SPEAKER_01
206.018,206.44,democracia.,0.8040,1.0000,SPEAKER_01
208.58,208.641,no,0.1300,0.9522,SPEAKER_01
208.661,208.984,siendo,0.6670,0.3801,SPEAKER_01
209.025,209.51,partidarios,0.8720,0.4208,SPEAKER_01
209.57,209.631,de,0.9210,0.2682,SPEAKER_01
209.671,209.732,la,0.9340,0.9867,SPEAKER_01
209.813,210.278,"crítica,",0.8660,0.2041,SPEAKER_01
211.066,211.308,sino,0.7180,0.1383,SPEAKER_01
211.328,211.45,más,0.8650,0.9839,SPEAKER_01
211.47,211.591,bien,0.9810,0.8530,SPEAKER_01
211.611,211.672,de,0.5720,0.7084,SPEAKER_01
211.733,211.793,la,0.8150,0.9981,SPEAKER_01
211.894,212.46,"construcción,",0.8330,0.9995,SPEAKER_01
213.88,214.122,es,0.6430,0.5747,SPEAKER_01
214.203,214.324,que,0.8820,0.9414,SPEAKER_01
214.525,214.626,el,0.7620,0.9938,SPEAKER_01
214.727,214.888,Centro,0.8480,0.9893,SPEAKER_01
214.929,214.969,de,0.5920,0.8414,SPEAKER_01
214.989,215.151,Estudios,0.0990,0.6585,SPEAKER_01
215.211,215.574,Públicos,0.7580,0.9930,SPEAKER_01
215.776,215.816,se,0.9970,0.9979,SPEAKER_01
215.856,215.897,ha,0.9480,0.0644,SPEAKER_01
215.937,216.441,propuesto,0.9370,0.9855,SPEAKER_01
216.482,216.945,entregar,0.7020,0.9975,SPEAKER_01
216.986,217.47,elementos,0.7770,0.9992,SPEAKER_01
217.53,217.57,de,0.9060,0.9992,SPEAKER_01
217.671,218.276,formación,0.8950,0.9916,SPEAKER_01
218.296,218.74,democrática,0.2260,0.9870,SPEAKER_01
219.6,220.751,en,0.8120,0.9955,SPEAKER_01
220.771,221.053,forma,0.2150,0.9993,SPEAKER_01
221.114,221.74,"pluralista,",0.8820,0.9987,SPEAKER_01
221.76,222.305,abierta,0.8330,0.9999,SPEAKER_01
222.345,222.365,y,0.9990,0.9997,SPEAKER_01
222.386,223.173,académica,0.9610,0.9952,SPEAKER_01
223.274,223.98,"fundamentalmente,",0.8150,0.9998,SPEAKER_01
223.98,224.402,a,0.3420,0.9959,SPEAKER_01
224.443,224.885,ustedes,0.8790,0.8779,SPEAKER_01
224.905,225.046,que,0.4340,0.7162,SPEAKER_01
225.107,225.227,son,0.8850,0.7509,SPEAKER_01
225.268,225.328,los,0.9240,0.9953,SPEAKER_01
225.348,225.73,llamados,0.9020,0.9849,SPEAKER_01
226.495,226.555,a,0.9930,0.9995,SPEAKER_01
226.636,227.078,intervenir,0.9080,0.9999,SPEAKER_01
227.098,227.139,en,0.4990,0.9987,SPEAKER_01
227.3,227.34,la,0.5340,0.9496,SPEAKER_01
227.4,227.923,universidad,0.9020,0.9994,SPEAKER_01
227.943,227.984,en,0.5000,0.9990,SPEAKER_01
228.869,228.929,los,0.9990,0.9996,SPEAKER_01
228.97,229.211,debates,0.8800,0.9046,SPEAKER_01
229.332,229.654,propios,0.8730,0.9983,SPEAKER_01
