start,end,word,alignment_score,probability,speaker
3.6,4.078,¿Tenés,0.2400,0.4889,SPEAKER_05
4.098,4.182,los,0.2890,0.6941,SPEAKER_05
4.202,4.306,retos,0.0990,0.5833,SPEAKER_05
4.327,4.368,de,0.0370,0.9850,SPEAKER_05
4.389,4.701,derechos?,0.3730,0.4587,SPEAKER_05
4.98,5.372,"No,",0.9370,0.9965,SPEAKER_05
5.414,5.723,algunos.,0.5650,0.9850,SPEAKER_05
5.744,5.806,Los,0.0950,0.7210,SPEAKER_05
5.826,5.992,otros,0.7860,0.9659,SPEAKER_05
6.054,6.157,son,0.5020,0.9978,SPEAKER_05
6.177,6.281,de...,0.2000,0.9704,SPEAKER_05
6.26,6.906,"Bueno,",0.1570,0.8896,SPEAKER_05
6.927,6.967,el,0.0070,0.8428,SPEAKER_05
6.987,7.31,núcleo,0.5550,0.9915,SPEAKER_05
7.33,7.512,son,0.6090,0.9920,SPEAKER_05
7.532,7.694,de,0.7260,0.9969,SPEAKER_05
8.098,8.583,economista,0.7880,0.7811,SPEAKER_05
8.643,9.047,o,0.5450,0.5655,SPEAKER_05
9.088,9.128,de,0.6500,0.7468,SPEAKER_05
9.249,9.653,economía,0.8700,0.7986,SPEAKER_05
9.673,9.694,o,0.9910,0.9999,SPEAKER_05
9.754,9.795,de,0.3460,0.9962,SPEAKER_05
9.835,10.037,ingeniería,0.0320,0.9962,SPEAKER_05
10.057,10.36,civil.,0.5360,1.0000,SPEAKER_05
10.56,11.203,Los,0.4630,0.5574,SPEAKER_05
11.223,11.327,retos,0.1150,0.9372,SPEAKER_05
11.348,11.451,son,0.3860,0.9999,SPEAKER_05
11.472,11.513,de,0.0020,0.9994,SPEAKER_05
11.534,11.721,derechos.,0.1120,0.9898,SPEAKER_05
12.5,13.018,"No,",0.3290,0.6278,SPEAKER_05
13.08,13.453,no,0.6860,0.9381,SPEAKER_05
13.474,13.516,se,0.0020,0.6386,SPEAKER_05
13.536,13.661,puede.,0.1600,0.2295,SPEAKER_05
14.56,14.832,"No,",0.1830,0.8473,SPEAKER_05
14.853,15.461,seguro.,0.2750,0.5429,SPEAKER_05
15.8,16.143,Seguro.,0.1940,0.6940,SPEAKER_05
18.5,19.227,Por,0.9030,0.9420,SPEAKER_05
19.287,19.57,"favor,",0.9720,0.9999,SPEAKER_05
20.479,20.68,puedo,0.7520,0.4122,SPEAKER_05
20.741,21.347,acomodarse,0.7430,0.9998,SPEAKER_05
22.175,22.397,dentro,0.8740,0.8339,SPEAKER_05
22.417,22.457,de,0.1480,0.7933,SPEAKER_05
22.477,22.538,los,0.1070,0.8573,SPEAKER_05
22.558,22.78,bolsillos.,0.1710,0.7695,SPEAKER_05
24.48,24.942,Bien.,0.3400,0.9870,SPEAKER_05
24.92,25.282,"Bien,",0.6190,0.9607,SPEAKER_05
26.348,26.71,la,0.9960,1.0000,SPEAKER_05
27.072,27.474,tercera,0.9420,0.9997,SPEAKER_05
27.554,27.936,sesión,0.8090,0.9994,SPEAKER_05
27.977,28.037,del,0.3350,0.9995,SPEAKER_05
28.057,29.445,seminario,0.7320,0.7911,SPEAKER_05
29.465,29.505,de,0.5210,0.5582,SPEAKER_05
29.545,29.867,formación,0.9100,0.9060,SPEAKER_05
29.927,30.591,democrática,0.9320,0.9998,SPEAKER_05
30.631,30.692,del,0.3330,0.9697,SPEAKER_05
31.436,31.576,Centro,0.7600,0.9445,SPEAKER_05
31.637,31.677,de,0.0050,0.9799,SPEAKER_05
31.697,31.858,Estudios,0.1740,0.9736,SPEAKER_05
31.898,32.26,Públicos,0.6920,0.9993,SPEAKER_05
32.24,33.931,cuenta,0.9450,0.9295,SPEAKER_05
34.052,34.233,con,0.9830,1.0000,SPEAKER_05
34.615,34.676,la,0.9980,1.0000,SPEAKER_05
34.736,35.36,presencia,0.8840,0.9999,SPEAKER_05
35.4,35.44,de,0.4980,0.9795,SPEAKER_05
36.447,36.507,don,0.0460,0.7671,SPEAKER_05
36.527,36.688,José,0.4020,0.9989,SPEAKER_05
36.749,37.051,Piñera,0.6670,0.8746,SPEAKER_05
37.071,37.675,"Echeñique,",0.4400,0.7967,SPEAKER_05
38.057,38.319,ingeniero,0.2690,0.9945,SPEAKER_05
38.339,38.54,"comercial,",0.1010,0.9998,SPEAKER_05
40.2,40.623,doctor,0.3970,0.9986,SPEAKER_05
40.643,40.703,en,0.7900,0.9995,SPEAKER_05
40.965,41.468,"economía,",0.8900,0.8995,SPEAKER_05
41.488,41.529,ex,0.5000,0.9900,SPEAKER_05
42.756,42.998,ministro,0.2630,0.9052,SPEAKER_05
43.018,43.058,de,0.3050,0.9997,SPEAKER_05
43.079,43.441,Estado,0.9140,0.9710,SPEAKER_05
43.461,43.481,y,0.9970,0.9924,SPEAKER_05
43.521,44.769,director,0.9400,0.9999,SPEAKER_05
45.253,45.293,de,0.0000,0.9984,SPEAKER_05
45.313,45.353,la,0.3040,0.9999,SPEAKER_05
45.434,45.716,revista,0.8000,0.9992,SPEAKER_05
45.756,46.098,Economía,0.6410,0.9987,SPEAKER_05
46.118,46.138,y,0.7010,0.9992,SPEAKER_05
46.158,46.42,Sociedad.,0.4720,0.9998,SPEAKER_05
47.24,48.167,El,0.8090,0.9984,SPEAKER_05
48.288,48.57,tema,0.9580,0.9999,SPEAKER_05
49.275,49.376,que,0.5900,0.9998,SPEAKER_05
49.416,49.476,el,0.5830,0.9994,SPEAKER_05
49.497,49.678,señor,0.9320,0.9984,SPEAKER_05
49.738,50.02,Piñera,0.8390,0.9994,SPEAKER_05
50.081,50.242,va,0.9770,0.9997,SPEAKER_05
50.282,50.302,a,0.9820,1.0000,SPEAKER_05
50.544,50.907,exponer,0.9780,0.9992,SPEAKER_05
50.947,52.438,lleva,0.6300,0.9714,SPEAKER_05
52.458,52.579,por,0.4870,0.9996,SPEAKER_05
52.599,52.72,título,0.1660,0.9919,SPEAKER_05
52.7,52.761,El,0.3100,0.1053,SPEAKER_05
52.781,52.983,futuro,0.3230,0.9756,SPEAKER_05
53.003,53.043,de,0.0030,0.2160,SPEAKER_05
53.063,53.164,Chile,0.0560,0.9891,SPEAKER_05
53.185,53.245,en,0.6860,0.6336,SPEAKER_05
53.285,53.326,el,0.9660,0.9982,SPEAKER_05
53.407,53.77,"futuro,",0.9680,0.9874,SPEAKER_05
53.81,54.275,el,0.9540,0.9990,SPEAKER_05
54.315,54.537,orden,0.9300,0.9962,SPEAKER_05
54.598,55.082,económico,0.8240,0.9997,SPEAKER_05
55.103,55.123,y,0.9990,0.9980,SPEAKER_05
55.204,55.607,"social,",0.7890,0.9999,SPEAKER_05
55.648,56.354,evaluación,0.8560,0.9625,SPEAKER_05
56.455,56.496,y,0.7860,0.9999,SPEAKER_05
56.576,56.98,perspectiva.,0.4890,0.9890,SPEAKER_05
58.56,58.982,Gracias.,0.1730,0.9870,SPEAKER_05
60.92,61.404,Más,0.5980,0.9935,SPEAKER_02
61.424,61.485,que,0.5470,1.0000,SPEAKER_02
61.505,61.808,exponer,0.8340,0.9638,SPEAKER_02
61.868,61.929,un,0.9360,1.0000,SPEAKER_02
62.009,62.211,"tema,",0.9370,1.0000,SPEAKER_02
62.231,62.251,a,0.9500,0.4592,SPEAKER_02
62.271,62.312,mí,0.2900,0.9839,SPEAKER_02
62.594,62.635,me,0.7700,0.9999,SPEAKER_02
62.675,63.139,gustaría,0.6740,0.9998,SPEAKER_02
64.874,65.317,conversar,0.9760,0.9983,SPEAKER_02
65.358,65.479,con,0.8680,1.0000,SPEAKER_02
65.499,65.66,ustedes.,0.1250,0.9998,SPEAKER_02
