start,end,word,alignment_score,probability,speaker
5.06,6.587,...con,0.7660,0.7151,SPEAKER_01
6.868,6.949,la,0.9980,0.9992,SPEAKER_01
7.009,7.672,exposición,0.8870,0.9996,SPEAKER_01
7.692,7.712,a,0.9950,0.9998,SPEAKER_01
7.753,9.661,cargo,0.9820,1.0000,SPEAKER_01
9.762,9.862,de,0.9780,1.0000,SPEAKER_01
9.963,10.244,Fernando,0.7420,0.9998,SPEAKER_01
10.264,10.626,"Molina,",0.9510,0.9999,SPEAKER_01
11.249,11.631,titulada,0.9810,1.0000,SPEAKER_01
11.751,11.831,Las,0.7740,0.9599,SPEAKER_01
11.912,12.133,bases,0.8700,0.9833,SPEAKER_01
12.153,12.635,sociales,0.9080,1.0000,SPEAKER_01
12.675,12.716,de,0.5000,1.0000,SPEAKER_01
12.876,12.977,la,0.9630,1.0000,SPEAKER_01
13.037,13.479,democracia,0.6240,0.9997,SPEAKER_01
13.499,13.68,política.,0.1110,0.9999,SPEAKER_01
14.98,15.383,Fernando,0.6080,1.0000,SPEAKER_01
15.424,15.726,Molina,0.8690,1.0000,SPEAKER_01
15.746,15.787,es,0.5000,0.9999,SPEAKER_01
17.239,17.723,"abogado,",0.9370,1.0000,SPEAKER_01
17.784,18.147,cientista,0.7900,0.9960,SPEAKER_01
18.207,18.631,"político,",0.9130,1.0000,SPEAKER_01
18.671,19.074,máster,0.4580,0.9324,SPEAKER_01
19.095,19.135,de,0.9080,0.9989,SPEAKER_01
19.175,19.216,la,0.9630,1.0000,SPEAKER_01
19.256,19.478,Universidad,0.0140,0.9997,SPEAKER_01
19.498,19.538,de,0.0000,1.0000,SPEAKER_01
19.558,19.76,"Wisconsin,",0.1010,0.9997,SPEAKER_01
20.16,20.683,profesor,0.7260,0.9999,SPEAKER_01
20.744,21.287,visitante,0.9950,0.9999,SPEAKER_01
21.468,21.549,de,0.9400,1.0000,SPEAKER_01
21.589,21.951,diversas,0.9600,1.0000,SPEAKER_01
21.992,23.461,universidades,0.8490,1.0000,SPEAKER_01
23.501,25.192,norteamericanas,0.8980,0.9998,SPEAKER_01
25.212,25.232,y,0.9860,0.9997,SPEAKER_01
25.977,26.48,"europeas,",0.9400,0.9999,SPEAKER_01
26.46,27.791,y,0.8170,0.8730,SPEAKER_01
27.851,27.972,ex,0.6090,0.9363,SPEAKER_01
27.992,28.497,profesor,0.9080,0.9942,SPEAKER_01
28.517,28.557,de,0.5000,0.9998,SPEAKER_01
28.92,28.96,la,0.9940,1.0000,SPEAKER_01
29.001,29.303,Universidad,0.2920,0.9982,SPEAKER_01
29.323,29.727,Católica,0.9020,0.9997,SPEAKER_01
29.767,29.868,de,0.4360,0.9837,SPEAKER_01
29.888,30.352,Valparaíso,0.8880,0.9942,SPEAKER_01
30.372,30.392,y,0.9690,0.9990,SPEAKER_01
30.553,31.017,Católica,0.9420,0.9997,SPEAKER_01
31.178,31.259,de,0.7220,0.9999,SPEAKER_01
31.279,31.4,Chile.,0.1660,0.9999,SPEAKER_01
33.54,34.306,Fernando,0.7360,0.9914,SPEAKER_01
34.346,34.588,Molina,0.8940,0.9996,SPEAKER_01
34.628,36.402,corresponderá,0.6630,0.7105,SPEAKER_01
36.442,36.462,a,0.9990,0.9960,SPEAKER_01
36.503,36.563,su,0.9960,0.9998,SPEAKER_01
36.624,36.886,"trabajo,",0.9250,0.9999,SPEAKER_01
36.906,37.148,mejor,0.4820,0.9981,SPEAKER_01
37.208,37.389,"dicho,",0.8390,1.0000,SPEAKER_01
37.49,37.631,por,0.9600,0.9995,SPEAKER_01
37.692,37.994,alrededor,0.6490,1.0000,SPEAKER_01
38.034,38.075,de,0.8990,1.0000,SPEAKER_01
38.095,38.135,45,0.5070,0.9956,SPEAKER_01
38.478,38.78,"minutos,",0.5760,1.0000,SPEAKER_01
39.76,40.486,después,0.8940,0.9991,SPEAKER_01
