start,end,word,alignment_score,probability,speaker
3.72,4.425,En,0.6540,0.7790,SPEAKER_01
4.465,4.627,nombre,0.9160,0.9841,SPEAKER_01
4.667,4.727,del,0.6640,0.2554,SPEAKER_01
4.788,5.009,Centro,0.6690,0.9993,SPEAKER_01
5.07,5.15,de,0.3010,0.9976,SPEAKER_01
5.171,5.412,Estudios,0.7500,0.9984,SPEAKER_01
5.573,5.997,"Públicos,",0.8730,0.9999,SPEAKER_01
6.017,6.702,agradezco,0.2790,0.9998,SPEAKER_01
6.722,6.742,a,0.0050,0.9971,SPEAKER_01
6.762,7.064,ustedes,0.7720,0.6740,SPEAKER_01
7.769,7.83,la,0.7500,0.9996,SPEAKER_01
7.87,8.334,asistencia,0.9860,0.9998,SPEAKER_01
8.354,8.374,a,0.9180,0.9955,SPEAKER_01
8.394,8.716,esta,0.6540,1.0000,SPEAKER_01
8.978,9.24,reunión,0.3500,1.0000,SPEAKER_01
9.22,10.107,que,0.6570,0.4783,SPEAKER_01
10.167,10.429,contará,0.9460,0.9992,SPEAKER_01
10.469,10.53,con,0.9970,1.0000,SPEAKER_01
10.57,10.61,la,0.9990,1.0000,SPEAKER_01
10.63,11.074,intervención,0.7850,1.0000,SPEAKER_01
11.094,11.154,del,0.3330,0.9994,SPEAKER_01
11.477,11.839,profesor,0.6270,0.9823,SPEAKER_01
11.9,12.182,Ricardo,0.5380,0.9841,SPEAKER_01
12.303,12.787,"Balandarian,",0.7500,0.5312,SPEAKER_01
13.895,14.177,doctor,0.7260,0.9628,SPEAKER_01
14.197,14.237,en,0.1900,0.9995,SPEAKER_01
14.257,14.56,Economía,0.0720,0.9863,SPEAKER_01
14.58,14.62,de,0.4160,0.9057,SPEAKER_01
14.6,14.68,la,0.1460,1.0000,SPEAKER_01
14.701,15.103,Universidad,0.1700,1.0000,SPEAKER_01
15.123,15.163,de,0.3400,1.0000,SPEAKER_01
15.204,15.666,Minnesota,0.6840,0.9958,SPEAKER_01
15.707,15.727,y,0.9700,0.9961,SPEAKER_01
16.572,16.954,profesor,0.8780,1.0000,SPEAKER_01
16.974,17.015,de,0.8970,0.9992,SPEAKER_01
17.055,17.115,las,0.6740,0.9883,SPEAKER_01
17.155,17.779,Universidades,0.8720,0.8775,SPEAKER_01
18.323,18.403,de,0.7870,1.0000,SPEAKER_01
18.524,18.725,Chile,0.7760,1.0000,SPEAKER_01
18.745,18.765,y,0.5150,0.8452,SPEAKER_01
18.826,21.099,"Católica,",0.7790,0.9996,SPEAKER_01
21.12,21.22,quien,0.2010,0.9998,SPEAKER_01
21.2,21.687,hará,0.8020,0.9999,SPEAKER_01
21.869,21.95,una,0.8500,1.0000,SPEAKER_01
22.011,22.437,intervención,0.9540,1.0000,SPEAKER_01
22.457,22.802,acerca,0.6870,1.0000,SPEAKER_01
22.842,22.944,del,0.7630,1.0000,SPEAKER_01
23.004,23.146,tema,0.8830,1.0000,SPEAKER_01
23.207,23.248,de,0.8170,1.0000,SPEAKER_01
23.308,23.511,nuestra,0.7950,0.9999,SPEAKER_01
23.552,23.775,crisis,0.7890,1.0000,SPEAKER_01
23.957,24.18,financiera.,0.1010,1.0000,SPEAKER_01
25.24,25.824,Como,0.9130,0.7285,SPEAKER_01
25.904,26.609,"comentaristas,",0.9360,0.9981,SPEAKER_01
27.293,27.675,actuarán,0.8880,0.9981,SPEAKER_01
28.118,28.219,don,0.6850,0.8019,SPEAKER_01
28.239,28.601,Mauricio,0.6840,0.9996,SPEAKER_01
28.621,29.024,"Larraín,",0.8570,0.9886,SPEAKER_01
29.99,30.191,don,0.8470,0.9994,SPEAKER_01
30.372,30.594,Carlos,0.6190,0.9994,SPEAKER_01
30.654,31.137,Sustado,0.8420,0.7455,SPEAKER_01
31.298,31.318,y,0.4970,0.9871,SPEAKER_01
31.359,31.459,don,0.4850,0.9950,SPEAKER_01
31.479,31.6,Sergio,0.1660,0.9999,SPEAKER_01
31.58,31.746,Baeza,0.0850,0.9860,SPEAKER_01
31.767,31.809,en,0.3180,0.6794,SPEAKER_01
31.996,32.162,ese,0.6360,0.9902,SPEAKER_01
32.516,32.641,orden.,0.1520,0.9981,SPEAKER_01
33.66,34.469,Desde,0.9080,0.9926,SPEAKER_01
34.529,34.65,ya,0.9270,0.9707,SPEAKER_01
34.711,34.873,dejo,0.8660,0.9602,SPEAKER_01
34.913,35.014,con,0.6810,0.9883,SPEAKER_01
35.055,35.419,ustedes,0.8770,0.9997,SPEAKER_01
35.439,35.479,al,0.4700,0.9998,SPEAKER_01
35.782,36.106,profesor,0.3470,0.9851,SPEAKER_01
36.288,37.48,Balandarian.,0.6370,0.5835,SPEAKER_01
45.54,46.393,"Gracias,",0.5820,0.9578,SPEAKER_06
46.414,46.581,Marqués.,0.1250,0.6633,SPEAKER_06
52.86,53.603,"Bueno,",0.3320,0.3780,SPEAKER_06
53.624,53.706,como,0.2500,0.9946,SPEAKER_06
53.727,53.872,ustedes,0.1380,0.9899,SPEAKER_06
53.934,54.161,saben...,0.6380,0.3561,SPEAKER_06
54.16,54.241,Como,0.0450,0.2088,SPEAKER_06
54.261,54.403,ustedes,0.0250,0.2074,SPEAKER_06
54.423,54.545,"saben,",0.2040,0.9623,SPEAKER_06
54.565,54.605,ya,0.0020,0.9882,SPEAKER_06
54.626,54.747,hemos,0.6910,0.9979,SPEAKER_06
54.787,55.091,cumplido,0.8360,0.9978,SPEAKER_06
55.131,55.334,dos,0.7540,0.8844,SPEAKER_06
55.415,55.577,años,0.5790,0.9993,SPEAKER_06
55.658,55.718,de,0.5350,0.9978,SPEAKER_06
55.82,56.245,"recesión,",0.9690,0.9983,SPEAKER_06
56.872,56.913,en,0.7560,0.9949,SPEAKER_06
56.953,57.317,realidad,0.6960,0.9998,SPEAKER_06
57.338,57.378,de,0.0000,0.8643,SPEAKER_06
57.398,57.459,una,0.0010,0.9988,SPEAKER_06
57.479,57.56,gran,0.2500,0.9996,SPEAKER_06
57.54,58.264,"contracción,",0.4810,0.9988,SPEAKER_06
58.465,58.706,tanto,0.9670,0.9995,SPEAKER_06
58.786,58.887,por,0.9110,0.9996,SPEAKER_06
58.927,58.967,la,0.9900,0.9997,SPEAKER_06
59.028,59.43,magnitud,0.8760,0.9997,SPEAKER_06
59.51,59.731,como,0.9960,0.9979,SPEAKER_06
60.254,60.355,por,0.8490,0.9993,SPEAKER_06
60.395,60.455,la,0.9720,0.9999,SPEAKER_06
60.515,60.938,"duración,",0.8960,0.9999,SPEAKER_06
62.063,62.084,y,0.9600,0.9987,SPEAKER_06
62.124,62.224,hoy,0.8690,0.9995,SPEAKER_06
62.265,62.325,me,0.9970,0.9988,SPEAKER_06
62.365,62.566,quiero,0.7690,0.9997,SPEAKER_06
62.606,63.049,referir,0.9370,0.9999,SPEAKER_06
65.18,65.2,a,0.0000,0.9970,SPEAKER_06
65.22,65.26,lo,0.4560,0.9993,SPEAKER_06
65.24,65.381,que,0.2130,0.9999,SPEAKER_06
65.582,65.723,yo,0.4480,0.9993,SPEAKER_06
65.763,66.065,considero,0.7180,0.9998,SPEAKER_06
66.146,66.307,una,0.8640,0.9992,SPEAKER_06
66.689,67.313,característica,0.8560,0.9997,SPEAKER_06
67.353,67.856,distintiva,0.7280,0.9990,SPEAKER_06
67.876,67.896,y,0.0130,0.9994,SPEAKER_06
67.977,68.339,crucial,0.9510,0.9998,SPEAKER_06
68.359,68.4,de,0.4990,0.9993,SPEAKER_06
68.943,69.144,esta,0.5770,0.9997,SPEAKER_06
69.225,69.668,"recesión,",0.9210,0.9999,SPEAKER_06
71.177,71.338,esto,0.9970,0.9982,SPEAKER_06
71.398,71.479,es,0.8840,0.9999,SPEAKER_06
71.519,71.559,la,0.0010,0.9995,SPEAKER_06
71.579,71.7,crisis,0.1670,0.9996,SPEAKER_06
71.68,72.401,financiera.,0.3000,1.0000,SPEAKER_06
73.04,73.605,Hay,0.8160,0.9994,SPEAKER_06
73.645,73.726,que,0.8360,1.0000,SPEAKER_06
73.766,73.907,tener,0.7600,0.9999,SPEAKER_06
73.968,74.008,en,0.5000,0.9998,SPEAKER_06
74.069,74.23,cuenta,0.6340,0.9998,SPEAKER_06
74.271,74.392,que,0.4860,0.9997,SPEAKER_06
74.412,74.553,esta,0.7620,0.9994,SPEAKER_06
74.614,74.856,crisis,0.7790,0.9999,SPEAKER_06
74.936,75.32,financiera,0.7810,0.9997,SPEAKER_06
75.36,75.421,es,0.7800,0.9987,SPEAKER_06
75.481,76.006,básicamente,0.9480,0.9956,SPEAKER_06
76.046,76.187,una,0.6570,0.9994,SPEAKER_06
76.268,76.53,crisis,0.9510,0.9999,SPEAKER_06
76.591,76.651,de,0.8620,0.9995,SPEAKER_06
76.752,77.7,"sobreendeudamiento,",0.7610,0.9843,SPEAKER_06
79.28,79.603,en,0.4740,0.9704,SPEAKER_06
79.623,80.288,contraposición,0.8950,0.9996,SPEAKER_06
80.308,80.369,con,0.3330,0.9998,SPEAKER_06
80.571,80.752,otro,0.7070,0.9236,SPEAKER_06
80.813,80.994,tipo,0.8140,0.9996,SPEAKER_06
