start,end,word,alignment_score,probability,speaker
9.06,10.628,"Bueno,",0.2730,0.2515,SPEAKER_04
10.648,10.689,la,0.4110,0.9993,SPEAKER_04
10.729,10.869,idea,0.6740,0.9999,SPEAKER_04
10.89,10.93,es,0.2790,0.9857,SPEAKER_04
10.95,11.091,que,0.9230,1.0000,SPEAKER_04
11.312,11.452,esta,0.9700,1.0000,SPEAKER_04
11.493,11.714,tarde,0.9360,1.0000,SPEAKER_04
11.754,12.578,conversemos,0.8940,0.9972,SPEAKER_04
12.679,13.161,básicamente,0.9910,0.9986,SPEAKER_04
13.202,13.242,de,0.4990,1.0000,SPEAKER_04
13.684,13.785,la,0.9820,1.0000,SPEAKER_04
13.845,14.247,situación,0.9270,0.9999,SPEAKER_04
14.85,15.373,económica,0.9510,1.0000,SPEAKER_04
16.559,16.74,"presente,",0.1010,1.0000,SPEAKER_04
17.08,17.643,su,0.8220,0.5788,SPEAKER_04
17.763,18.286,perspectiva,0.9310,1.0000,SPEAKER_04
18.306,18.326,y,0.9990,0.9972,SPEAKER_04
18.768,19.049,sus,0.7040,0.9632,SPEAKER_04
19.11,19.572,enseñanzas,0.7980,0.9999,SPEAKER_04
19.592,20.094,respecto,0.7880,0.9999,SPEAKER_04
20.697,20.898,a,0.9960,1.0000,SPEAKER_04
21.602,21.742,las,0.9140,0.9967,SPEAKER_04
21.823,22.245,ventajas,0.7180,0.9998,SPEAKER_04
22.285,22.325,y,0.4990,1.0000,SPEAKER_04
22.345,22.988,desventajas,0.7860,0.9997,SPEAKER_04
23.109,24.355,del,0.9230,0.9924,SPEAKER_04
24.978,25.36,proyecto,0.7040,0.9999,SPEAKER_04
25.38,25.42,de,0.4900,0.9217,SPEAKER_04
25.4,26.065,desarrollo,0.4700,0.2389,SPEAKER_04
26.105,26.125,o,1.0000,0.1214,SPEAKER_04
26.186,26.286,del,0.6570,0.9892,SPEAKER_04
26.367,26.83,sistema,0.9700,0.9991,SPEAKER_04
26.87,28.099,económico,0.8780,0.9987,SPEAKER_04
28.139,28.2,que,0.3320,0.9975,SPEAKER_04
28.22,28.26,se,0.5000,0.9996,SPEAKER_04
28.804,28.985,ha,0.8040,0.9983,SPEAKER_04
29.227,29.449,estado,0.9830,0.9981,SPEAKER_04
29.509,29.932,construyendo,0.8020,0.9973,SPEAKER_04
29.972,30.013,en,0.9970,0.9987,SPEAKER_04
30.093,30.335,Chile,0.8980,0.9619,SPEAKER_04
30.778,30.859,en,0.8240,0.9978,SPEAKER_04
30.879,30.919,el,0.0000,0.9995,SPEAKER_04
30.939,31.06,último,0.1670,0.9985,SPEAKER_04
31.04,31.341,decenio.,0.1150,0.9968,SPEAKER_04
31.582,34.071,"Naturalmente,",0.9140,0.9934,SPEAKER_04
36.62,36.661,la,0.9880,0.9918,SPEAKER_04
36.701,36.841,idea,0.7630,0.9978,SPEAKER_04
36.861,36.901,es,0.5780,0.9998,SPEAKER_04
36.922,37.022,que,0.6180,0.9999,SPEAKER_04
38.668,38.728,la,0.9950,0.9998,SPEAKER_04
38.748,39.11,exposición,0.9660,0.9995,SPEAKER_04
39.13,39.471,sea,0.5200,0.9998,SPEAKER_04
39.892,40.334,relativamente,0.8850,0.9995,SPEAKER_04
40.414,40.675,breve,0.9920,0.9999,SPEAKER_04
40.695,40.715,y,0.9810,0.9744,SPEAKER_04
41.278,41.518,después,0.9300,0.9992,SPEAKER_04
41.559,41.659,nos,0.6810,0.9997,SPEAKER_04
41.679,41.98,enfranquemos,0.1980,0.8302,SPEAKER_04
41.96,42.283,en,0.1450,0.9999,SPEAKER_04
42.323,42.383,una,0.9260,0.9998,SPEAKER_04
42.424,42.686,discusión,0.9090,0.9999,SPEAKER_04
42.746,42.908,porque,0.8050,0.7152,SPEAKER_04
42.928,43.029,todo,0.9100,0.9993,SPEAKER_04
43.069,43.109,lo,0.9960,1.0000,SPEAKER_04
43.129,43.19,que,0.9780,0.9999,SPEAKER_04
43.21,43.271,yo,0.7820,0.7813,SPEAKER_04
43.311,43.371,voy,0.0800,0.9847,SPEAKER_04
43.391,43.412,a,0.7020,0.9997,SPEAKER_04
43.452,43.654,hablar,0.8710,0.9947,SPEAKER_04
43.875,43.956,es,0.9880,0.9999,SPEAKER_04
44.5,45.105,esencialmente,0.9110,0.9996,SPEAKER_04
45.267,45.771,discutible,0.8780,0.9996,SPEAKER_04
46.88,46.9,y,0.0000,0.9426,SPEAKER_04
46.92,46.96,es,0.4720,0.9998,SPEAKER_04
47.72,48.274,abundantemente,0.4200,0.9985,SPEAKER_04
48.315,48.787,discutido,0.9050,0.9998,SPEAKER_04
49.012,49.053,en,0.2110,0.9775,SPEAKER_04
49.074,49.156,este,0.0000,0.9830,SPEAKER_04
49.176,49.341,momento.,0.1260,0.9997,SPEAKER_04
52.72,53.373,Partamos,0.7970,0.9842,SPEAKER_04
53.434,53.842,por,0.6480,0.9999,SPEAKER_04
53.883,54.23,reconocer,0.8880,0.9993,SPEAKER_04
54.291,54.332,un,0.9980,0.9998,SPEAKER_04
54.372,54.576,hecho,0.8220,0.9994,SPEAKER_04
54.597,54.78,objetivo.,0.1110,0.9976,SPEAKER_04
54.76,54.82,La,0.1740,0.7958,SPEAKER_04
55.123,55.425,situación,0.7270,0.9992,SPEAKER_04
55.486,55.768,económica,0.7340,0.9995,SPEAKER_04
55.808,56.131,actual,0.9000,0.9997,SPEAKER_04
56.413,56.513,es,0.6380,0.9983,SPEAKER_04
57.017,57.904,extraordinariamente,0.8910,0.9996,SPEAKER_04
57.985,58.247,mala.,0.9710,0.9998,SPEAKER_04
58.529,58.73,Estamos,0.6370,0.9926,SPEAKER_04
58.771,58.811,en,0.4900,0.9997,SPEAKER_04
58.831,58.912,una,0.9290,0.9999,SPEAKER_04
58.932,59.275,situación,0.7960,0.9999,SPEAKER_04
59.315,60.0,objetivamente,0.1680,0.9998,SPEAKER_04
59.98,60.241,mala.,0.2860,0.9998,SPEAKER_04
60.261,62.892,En,0.9340,0.9994,SPEAKER_04
62.932,63.213,"realidad,",0.9200,1.0000,SPEAKER_04
64.579,64.639,la,0.7840,0.9998,SPEAKER_04
64.699,65.442,violencia,0.9260,0.9998,SPEAKER_04
65.884,66.145,de,0.9720,0.9991,SPEAKER_04
66.406,66.728,la,0.9120,0.9999,SPEAKER_04
67.33,67.792,onda,0.9270,0.9992,SPEAKER_04
68.093,68.555,recesiva,0.8590,0.9998,SPEAKER_04
68.636,68.696,que,0.9940,0.9995,SPEAKER_04
68.736,68.776,ha,0.6860,0.9992,SPEAKER_04
68.816,69.077,azotado,0.8140,0.9966,SPEAKER_04
69.097,69.118,a,0.6800,0.8259,SPEAKER_04
69.158,69.198,la,0.9990,1.0000,SPEAKER_04
69.218,69.579,economía,0.6120,0.9999,SPEAKER_04
69.6,69.74,chilena,0.1430,0.9997,SPEAKER_04
69.72,69.8,es,0.2460,0.9825,SPEAKER_04
71.491,71.591,muy,0.8330,1.0000,SPEAKER_04
71.692,72.074,"fuerte,",0.9370,0.9999,SPEAKER_04
72.094,73.583,medido,0.7900,0.9879,SPEAKER_04
