start,end,word,alignment_score,probability,speaker
0.0,0.262,En,0.4080,0.7112,SPEAKER_01
0.282,0.563,nombre,0.3880,0.8517,SPEAKER_01
0.603,0.684,de,0.9740,0.9906,SPEAKER_01
0.724,0.785,la,0.9390,0.9948,SPEAKER_01
0.845,1.408,"Asamblea,",0.8570,0.9929,SPEAKER_01
2.132,2.535,le,0.7930,0.2351,SPEAKER_01
2.615,3.279,deseo,0.8920,0.6097,SPEAKER_01
3.4,3.52,la,0.5800,0.9532,SPEAKER_01
3.621,4.224,bienvenida,0.6220,0.9968,SPEAKER_01
4.687,4.788,a,0.6890,0.8995,SPEAKER_01
4.808,5.009,su,0.6390,0.9490,SPEAKER_01
5.029,5.693,excelencia,0.5240,0.7470,SPEAKER_01
5.713,5.793,el,0.3290,0.2606,SPEAKER_01
5.813,5.974,señor,0.3920,0.7530,SPEAKER_01
6.055,6.517,Salvador,0.9420,0.9696,SPEAKER_01
6.658,6.98,"Agendé,",0.2380,0.5355,SPEAKER_01
7.62,8.316,Presidente,0.5120,0.6895,SPEAKER_01
8.357,8.439,de,0.9250,0.9958,SPEAKER_01
8.48,8.542,la,0.8990,0.9879,SPEAKER_01
8.624,9.136,República,0.7360,0.9965,SPEAKER_01
9.156,9.197,de,0.0010,0.9945,SPEAKER_01
9.218,9.34,"Chile,",0.1660,0.9978,SPEAKER_01
10.78,10.961,y,0.8380,0.9558,SPEAKER_01
10.982,11.022,le,0.0020,0.5849,SPEAKER_01
11.042,11.163,deseo,0.2630,0.6238,SPEAKER_01
11.183,11.243,el,0.5610,0.7612,SPEAKER_01
11.304,11.586,gran,0.5450,0.8429,SPEAKER_01
11.606,12.15,placer,0.7930,0.9743,SPEAKER_01
12.17,12.211,de,0.5000,0.9847,SPEAKER_01
12.916,13.501,invitarlo,0.5450,0.8007,SPEAKER_01
14.065,14.266,a,0.6770,0.9986,SPEAKER_01
14.286,14.528,tomar,0.1920,0.1946,SPEAKER_01
14.548,14.629,la,0.9400,0.9489,SPEAKER_01
14.71,15.093,palabra,0.3760,0.9866,SPEAKER_01
15.133,15.193,en,0.2240,0.4480,SPEAKER_01
15.274,15.536,frente,0.1840,0.7786,SPEAKER_01
15.556,15.596,de,0.5140,0.9940,SPEAKER_01
15.637,15.677,la,0.9900,0.9989,SPEAKER_01
15.697,16.1,Asamblea.,0.7100,0.9996,SPEAKER_01
22.76,23.569,Vengo,0.9680,0.9329,SPEAKER_02
23.63,23.69,de,0.9770,0.9988,SPEAKER_02
23.791,24.155,"Chile,",0.8360,0.9993,SPEAKER_02
25.571,25.672,un,0.9870,0.9976,SPEAKER_02
25.813,26.096,país,0.8280,0.9767,SPEAKER_02
26.278,26.44,"pequeño,",0.1260,0.9960,SPEAKER_02
27.62,29.069,pero,0.9090,0.7106,SPEAKER_02
29.089,29.412,donde,0.3020,0.9992,SPEAKER_02
29.472,29.613,hoy,0.9800,0.9994,SPEAKER_02
29.774,30.197,cualquier,0.7760,0.9996,SPEAKER_02
30.297,30.841,ciudadano,0.8860,0.9999,SPEAKER_02
30.861,30.901,es,0.5000,0.9990,SPEAKER_02
31.324,31.767,libre,0.8630,0.9999,SPEAKER_02
31.807,31.867,de,0.2160,0.9994,SPEAKER_02
31.888,32.612,expresarse,0.8840,0.9931,SPEAKER_02
32.713,32.894,como,0.9540,0.9993,SPEAKER_02
32.995,33.297,mejor,0.9810,0.9999,SPEAKER_02
33.659,33.84,"prefiera,",0.1090,0.9994,SPEAKER_02
33.92,35.45,de,0.8890,0.9987,SPEAKER_02
35.491,36.276,irrestricta,0.9250,0.9985,SPEAKER_02
36.397,37.021,tolerancia,0.8980,1.0000,SPEAKER_02
37.142,37.686,"cultural,",0.7510,0.9998,SPEAKER_02
38.31,39.095,religiosa,0.8740,0.9999,SPEAKER_02
39.176,39.196,e,0.4190,0.9996,SPEAKER_02
39.276,39.82,"ideológica,",0.7680,1.0000,SPEAKER_02
40.8,41.144,donde,0.9010,0.9989,SPEAKER_02
41.184,41.225,la,0.7620,0.9969,SPEAKER_02
41.306,41.933,discriminación,0.7900,0.9999,SPEAKER_02
41.973,42.6,racial,0.7750,0.9994,SPEAKER_02
43.612,43.693,no,0.9720,0.9997,SPEAKER_02
43.814,44.037,tiene,0.9600,0.9998,SPEAKER_02
44.219,44.36,cabida.,0.1440,0.9997,SPEAKER_02
45.52,46.002,Un,0.7330,0.9978,SPEAKER_02
46.123,46.384,país,0.7830,0.9993,SPEAKER_02
47.812,47.932,con,0.9920,0.9547,SPEAKER_02
47.992,48.093,una,0.7490,0.9999,SPEAKER_02
48.193,48.515,clase,0.9600,0.9999,SPEAKER_02
48.595,48.957,obrera,0.9310,0.9999,SPEAKER_02
50.485,50.807,unida,0.9920,0.9781,SPEAKER_02
50.827,50.867,en,0.4880,0.9993,SPEAKER_02
50.907,51.47,una,0.8950,0.9999,SPEAKER_02
51.651,52.033,sola,0.9890,1.0000,SPEAKER_02
52.334,52.998,organización,0.9400,0.9997,SPEAKER_02
53.299,53.48,"sindical,",0.1110,0.9997,SPEAKER_02
53.62,55.347,donde,0.9500,0.9934,SPEAKER_02
55.368,55.449,el,0.5820,0.9984,SPEAKER_02
55.53,55.937,sufragio,0.5840,0.9991,SPEAKER_02
55.957,56.16,"universal,",0.1000,0.9365,SPEAKER_02
56.42,56.782,y,0.5050,0.2117,SPEAKER_02
56.802,57.245,secreto,0.8620,0.9362,SPEAKER_02
57.265,57.326,es,0.7040,0.9659,SPEAKER_02
57.386,57.487,el,0.8860,0.9999,SPEAKER_02
57.688,58.171,vehículo,0.9730,0.9999,SPEAKER_02
58.231,58.291,de,0.8030,0.9999,SPEAKER_02
58.392,58.996,definición,0.8940,1.0000,SPEAKER_02
59.016,59.056,de,0.5000,0.9995,SPEAKER_02
60.304,60.424,un,0.9690,0.9999,SPEAKER_02
60.585,61.129,régimen,0.8200,0.9999,SPEAKER_02
61.169,62.98,"multipartidista,",0.7940,0.9994,SPEAKER_02
64.0,64.261,con,0.8310,0.9984,SPEAKER_02
64.342,64.442,un,0.9450,0.9999,SPEAKER_02
64.543,65.326,Parlamento,0.8940,0.8564,SPEAKER_02
67.055,67.115,de,0.9780,0.9988,SPEAKER_02
67.155,67.678,actividad,0.8630,0.9993,SPEAKER_02
67.899,68.904,ininterrumpida,0.9010,0.9997,SPEAKER_02
68.964,69.145,desde,0.5960,0.9933,SPEAKER_02
69.225,69.285,su,0.9880,1.0000,SPEAKER_02
69.346,69.828,creación,0.9290,1.0000,SPEAKER_02
69.848,70.893,hace,0.6240,0.9859,SPEAKER_02
70.913,71.536,160,0.8840,0.9958,SPEAKER_02
72.079,72.34,"años,",0.3780,1.0000,SPEAKER_02
73.58,73.884,donde,0.7370,0.9979,SPEAKER_02
73.945,74.046,los,0.7180,0.9998,SPEAKER_02
74.066,74.41,tribunales,0.7330,0.8436,SPEAKER_02
74.471,74.532,de,0.7060,0.9999,SPEAKER_02
74.654,75.119,justicia,0.7960,0.9983,SPEAKER_02
75.221,75.322,son,0.8430,0.9992,SPEAKER_02
75.403,76.173,independientes,0.8420,0.9997,SPEAKER_02
76.233,76.335,del,0.6300,0.9986,SPEAKER_02
76.375,76.78,"Ejecutivo,",0.4870,0.9934,SPEAKER_02
76.88,78.367,en,0.8460,0.9954,SPEAKER_02
78.428,78.548,que,0.8870,0.9997,SPEAKER_02
78.609,78.81,desde,0.9170,0.9996,SPEAKER_02
78.91,80.518,"1833,",0.8470,0.9998,SPEAKER_02
80.639,82.347,sólo,0.9370,0.7742,SPEAKER_02
82.428,82.568,una,0.8860,0.9999,SPEAKER_02
82.629,82.83,"vez,",0.9510,1.0000,SPEAKER_02
83.774,83.835,se,0.7120,0.9995,SPEAKER_02
83.875,83.935,ha,0.9610,1.0000,SPEAKER_02
83.975,84.277,cambiado,0.7220,1.0000,SPEAKER_02
84.297,84.337,la,0.4900,0.9997,SPEAKER_02
84.398,84.599,Carta,0.5730,0.9823,SPEAKER_02
