start,end,word,alignment_score,probability,speaker
0.0,0.283,El,0.6780,0.9572,SPEAKER_00
0.344,0.788,presidente,0.9330,0.9918,SPEAKER_00
0.869,1.273,Allende,0.9310,0.9983,SPEAKER_00
1.536,2.021,confiaba,0.9490,0.9974,SPEAKER_00
2.061,2.324,aún,0.8660,0.9997,SPEAKER_00
2.344,2.708,en,0.8950,0.9993,SPEAKER_00
2.748,3.072,evitar,0.9370,0.9998,SPEAKER_00
3.132,3.213,el,0.9900,0.9998,SPEAKER_00
3.274,3.88,enfrentamiento.,0.7470,0.9999,SPEAKER_00
4.42,5.245,Estamos,0.8210,0.8467,SPEAKER_01
6.151,6.252,en,0.7790,0.9978,SPEAKER_01
6.353,6.494,la,0.7500,0.9985,SPEAKER_01
6.514,6.715,hora,0.5520,0.9937,SPEAKER_01
6.735,7.037,"dura,",0.8850,0.9997,SPEAKER_01
7.782,7.943,pero,0.6800,0.9932,SPEAKER_01
8.003,8.084,que,0.6690,0.9991,SPEAKER_01
8.185,8.567,abre,0.7330,0.9944,SPEAKER_01
9.191,9.272,el,0.9840,0.9992,SPEAKER_01
9.393,9.695,camino,0.9980,0.9994,SPEAKER_01
9.715,9.735,a,0.9500,0.9656,SPEAKER_01
9.916,9.956,la,0.0370,0.5851,SPEAKER_01
9.976,10.178,nueva,0.5210,0.9443,SPEAKER_01
10.198,10.54,alborada.,0.3290,0.9934,SPEAKER_01
10.78,11.305,Y,0.8730,0.9394,SPEAKER_01
11.325,11.386,yo,0.8060,0.9999,SPEAKER_01
11.426,11.789,tengo,0.4300,0.9998,SPEAKER_01
11.81,12.032,fe,0.4710,0.9959,SPEAKER_01
12.052,12.092,en,0.3580,1.0000,SPEAKER_01
12.213,12.556,"ustedes,",0.6240,0.9992,SPEAKER_01
12.96,13.263,tengo,0.4610,0.9999,SPEAKER_01
13.283,13.364,fe,0.4180,1.0000,SPEAKER_01
13.384,13.465,en,0.2240,1.0000,SPEAKER_01
13.485,13.525,el,0.3100,1.0000,SPEAKER_01
13.647,13.929,"pueblo,",0.2610,1.0000,SPEAKER_01
13.949,14.353,tengo,0.3810,0.9999,SPEAKER_01
14.373,14.494,fe,0.5980,1.0000,SPEAKER_01
14.515,14.575,en,0.4860,1.0000,SPEAKER_01
14.716,15.12,Chile.,0.5520,0.9999,SPEAKER_01
15.36,15.844,Y,0.8280,0.9999,SPEAKER_01
15.864,16.348,gastaré,0.8100,0.9999,SPEAKER_01
16.368,16.489,mis,0.5860,0.9976,SPEAKER_01
16.751,17.033,últimas,0.7210,1.0000,SPEAKER_01
17.114,17.638,energías,0.8330,0.9998,SPEAKER_01
18.001,18.142,para,0.9130,0.9999,SPEAKER_01
18.284,18.707,impedir,0.4450,0.9996,SPEAKER_01
18.848,18.929,la,0.7560,0.5607,SPEAKER_01
18.969,19.211,paga,0.3960,0.7254,SPEAKER_01
19.231,19.251,y,0.2620,0.9268,SPEAKER_01
19.272,19.352,el,0.3940,0.9937,SPEAKER_01
19.372,19.776,avance,0.3570,0.9995,SPEAKER_01
19.796,19.917,del,0.6610,0.9999,SPEAKER_01
20.018,20.34,"fascismo,",0.2790,0.9895,SPEAKER_01
20.38,20.844,para,0.7360,0.9999,SPEAKER_01
20.905,21.187,evitar,0.8190,0.9999,SPEAKER_01
21.308,21.348,la,0.8080,0.9996,SPEAKER_01
21.389,21.813,guerra,0.3780,0.9998,SPEAKER_01
21.833,22.519,"civil,",0.5000,0.9998,SPEAKER_01
22.539,22.781,para,0.6610,0.9999,SPEAKER_01
22.801,23.023,hacer,0.5440,0.9998,SPEAKER_01
23.084,23.164,que,0.6160,0.9992,SPEAKER_01
23.265,23.568,Chile,0.5010,0.9998,SPEAKER_01
24.274,24.577,solucione,0.2110,0.9975,SPEAKER_01
24.597,24.758,sus,0.2330,0.9784,SPEAKER_01
24.779,24.96,problemas,0.1230,0.9999,SPEAKER_01
24.94,25.729,con,0.2500,0.9974,SPEAKER_01
25.749,26.377,conciencia,0.4080,0.9972,SPEAKER_01
26.397,27.186,revolucionaria,0.3630,0.9998,SPEAKER_01
27.408,27.429,y,0.0020,0.9993,SPEAKER_01
27.449,27.894,con,0.4090,0.9998,SPEAKER_01
27.914,28.096,voluntad,0.1740,0.9993,SPEAKER_01
28.117,28.197,de,0.7020,0.9980,SPEAKER_01
28.218,28.44,chileno.,0.1900,0.8589,SPEAKER_01
28.42,29.799,¡Adelante,0.7290,0.8800,SPEAKER_01
29.839,30.467,"camarada,",0.6730,0.7439,SPEAKER_01
30.893,31.42,venceremos!,0.2830,0.9748,SPEAKER_01
32.18,36.243,"¡Venceremos,",0.4190,0.8960,UNKNOWN
36.264,36.485,"venceremos,",0.0910,0.9993,UNKNOWN
36.505,36.565,mil,0.0320,0.6881,UNKNOWN
36.585,37.652,cadenas,0.7040,0.9660,UNKNOWN
37.672,37.973,habrá,0.8820,0.9900,UNKNOWN
38.376,38.818,que,0.6480,0.9991,UNKNOWN
38.838,39.14,romper!,0.4760,0.9969,UNKNOWN
41.7,43.129,"¡Venceremos,",0.3790,0.9994,UNKNOWN
43.149,46.35,"venceremos,",0.4830,0.9999,UNKNOWN
46.37,46.47,la,0.7280,0.5112,UNKNOWN
46.491,46.752,miseria,0.3020,0.6081,UNKNOWN
47.094,47.255,sabremos,0.0180,0.9974,UNKNOWN
47.276,48.0,vencer!,0.2690,0.9884,UNKNOWN
50.34,51.553,"¡Venceremos,",0.4180,0.9997,UNKNOWN
51.573,53.878,"venceremos,",0.4260,0.9999,UNKNOWN
53.898,54.12,venceremos!,0.0920,0.9845,UNKNOWN
66.82,68.241,¡Venceremos!,0.1590,0.2370,UNKNOWN
