start,end,word,alignment_score,probability,speaker
0.0,0.802,Aquí,0.4110,0.6506,SPEAKER_01
0.823,1.213,"Patricia,",0.3060,0.6303,SPEAKER_01
1.234,1.481,adelante.,0.2600,0.9816,SPEAKER_01
2.66,3.419,"Dice,",0.3200,0.6423,SPEAKER_01
3.44,3.912,"hola,",0.4000,0.9980,SPEAKER_01
3.932,4.261,Augusto.,0.1950,0.9645,SPEAKER_01
4.24,4.806,"Dime,",0.8020,0.9926,SPEAKER_01
5.433,5.514,los,0.4610,0.9446,SPEAKER_01
5.615,6.181,señores,0.3020,0.9998,SPEAKER_01
6.202,6.768,"Altamirano,",0.6160,0.9799,SPEAKER_01
6.788,6.909,los,0.4410,0.3733,SPEAKER_01
7.01,7.314,señores,0.4300,1.0000,SPEAKER_01
7.334,7.516,de,0.6360,0.5967,SPEAKER_01
7.536,7.9,otra...,0.6530,0.8162,SPEAKER_01
10.98,11.632,"Enrique,",0.6290,0.8101,SPEAKER_01
11.693,11.775,los,0.4930,0.5923,SPEAKER_01
11.856,12.427,otros,0.3450,0.9380,SPEAKER_01
12.447,12.61,"señores,",0.0110,0.9999,SPEAKER_01
12.63,12.732,¿cómo,0.0020,0.8369,SPEAKER_01
12.753,12.793,se,0.1220,0.9997,SPEAKER_01
12.814,13.18,llaman?,0.4990,0.8359,SPEAKER_01
13.36,13.994,Panezco,0.3480,0.4336,SPEAKER_01
14.015,14.035,y,0.0010,0.9493,SPEAKER_01
14.056,14.178,todos,0.1360,0.5202,SPEAKER_01
14.199,14.322,estos,0.1260,0.8046,SPEAKER_01
14.342,14.424,que,0.2160,0.6135,SPEAKER_01
14.444,14.506,han,0.1360,0.2726,SPEAKER_01
14.526,14.71,llegado,0.1300,0.7804,SPEAKER_01
14.731,14.751,a,0.0320,0.7258,SPEAKER_01
14.772,14.956,estar,0.6240,0.9895,SPEAKER_01
14.976,15.16,metidos.,0.2720,0.9994,SPEAKER_01
18.42,19.012,¿Lo,0.2980,0.6249,SPEAKER_01
19.033,19.094,han,0.1110,0.9961,SPEAKER_01
19.114,19.605,encontrado,0.5300,0.9989,SPEAKER_01
19.666,19.686,o,0.5030,0.9743,SPEAKER_01
19.829,20.054,están,0.3810,0.9591,SPEAKER_01
20.074,20.36,fondeados?,0.2540,0.8967,SPEAKER_01
22.74,23.288,No,0.7410,0.9981,SPEAKER_01
23.431,24.06,tengo,0.5200,0.9953,SPEAKER_01
24.08,24.405,informaciones,0.2150,0.9064,SPEAKER_01
24.446,24.507,de,0.5300,0.9999,SPEAKER_01
24.649,24.832,dónde,0.5380,0.9580,SPEAKER_01
24.852,24.893,se,0.0030,0.9999,SPEAKER_01
24.913,25.38,encuentran.,0.5270,0.9999,SPEAKER_01
26.34,26.865,Es,0.7120,0.1549,SPEAKER_01
26.925,27.652,conveniente,0.4440,0.9942,SPEAKER_01
27.672,28.581,hablar,0.5540,0.3214,SPEAKER_01
28.601,28.682,a,0.7510,0.9038,SPEAKER_01
28.884,28.944,la,0.7710,0.9735,SPEAKER_01
29.348,29.893,Comisión,0.3020,0.5754,SPEAKER_01
29.913,30.014,de,0.4870,0.8853,SPEAKER_01
30.034,30.66,Inteligencia,0.6960,0.8806,SPEAKER_01
30.64,30.985,de,0.5880,0.9713,SPEAKER_01
31.451,31.695,las,0.2830,0.9989,SPEAKER_01
31.715,31.938,tres,0.5260,0.9741,SPEAKER_01
32.04,32.689,instituciones,0.4450,0.9997,SPEAKER_01
32.75,32.871,para,0.6200,0.9297,SPEAKER_01
32.891,32.973,que,0.3380,0.9995,SPEAKER_01
32.993,33.358,las,0.5080,0.4806,SPEAKER_01
33.378,33.52,ubiquen,0.1480,0.9224,SPEAKER_01
33.5,34.409,y,0.8390,0.8195,SPEAKER_01
34.429,34.53,las,0.3730,0.8941,SPEAKER_01
34.551,34.773,tres,0.3630,0.2549,SPEAKER_01
34.813,35.116,empresas,0.6510,0.9835,SPEAKER_01
35.157,35.298,que,0.5040,0.5663,SPEAKER_01
35.318,35.561,van,0.5570,0.2559,SPEAKER_01
35.601,35.621,a,0.5750,0.9987,SPEAKER_01
35.722,36.086,estar,0.2970,0.9409,SPEAKER_01
36.106,36.369,"fondeadas,",0.2410,0.2119,SPEAKER_01
36.389,36.51,que,0.4840,0.9893,SPEAKER_01
36.53,36.611,son,0.4280,0.9830,SPEAKER_01
36.631,37.116,"verdaderas,",0.3460,0.7300,SPEAKER_01
37.136,37.237,¿cuál,0.0040,0.6845,SPEAKER_01
37.258,37.338,es,0.3300,0.8840,SPEAKER_01
37.359,37.399,la,0.0080,0.7540,SPEAKER_01
37.419,37.52,idea?,0.2060,0.3239,SPEAKER_01
39.78,40.448,"Conforme,",0.3970,0.9834,SPEAKER_01
40.469,40.761,conforme.,0.3950,0.9877,SPEAKER_01
40.86,41.525,Yo,0.4200,0.9724,SPEAKER_01
41.545,42.089,acabo,0.3590,0.7635,SPEAKER_01
42.11,43.319,de...,0.3220,0.8862,SPEAKER_01
43.339,43.903,Comandante,0.5450,0.9455,SPEAKER_01
43.923,44.427,Barriola,0.5050,0.7472,SPEAKER_01
44.83,45.072,está,0.7580,0.9935,SPEAKER_01
45.132,45.213,en,0.5850,0.9999,SPEAKER_01
45.253,45.556,contacto,0.4620,0.9999,SPEAKER_01
45.636,45.697,con,0.0000,0.9999,SPEAKER_01
45.717,45.777,la,0.6540,0.9290,SPEAKER_01
45.798,46.14,moneda.,0.4790,0.9143,SPEAKER_01
46.88,47.747,Entonces,0.8270,0.9992,SPEAKER_01
47.888,48.009,se,0.7850,0.6454,SPEAKER_01
48.049,48.17,le,0.8620,0.9980,SPEAKER_01
48.19,48.392,va,0.8670,1.0000,SPEAKER_01
48.412,48.432,a,0.9810,0.8650,SPEAKER_01
49.823,50.387,transmitir,0.5590,0.9819,SPEAKER_01
50.428,50.549,el,0.1440,0.8108,SPEAKER_01
50.589,51.133,ofrecimiento,0.7480,0.9899,SPEAKER_01
51.174,51.194,a,0.8390,0.8488,SPEAKER_01
51.274,51.476,esta,0.2910,0.5683,SPEAKER_01
51.496,51.798,última,0.4190,0.9998,SPEAKER_01
51.819,52.02,rendición.,0.1090,0.7134,SPEAKER_01
52.54,53.109,Me,0.7260,0.9772,SPEAKER_01
53.231,53.495,acaban,0.8260,0.9992,SPEAKER_01
53.516,53.577,de,0.9420,1.0000,SPEAKER_01
53.658,54.064,informar,0.9070,1.0000,SPEAKER_01
54.105,54.532,de,0.7140,0.9831,SPEAKER_01
54.593,54.674,que,0.5910,0.9999,SPEAKER_01
54.694,55.06,habría...,0.3370,0.8388,SPEAKER_01
56.0,56.818,Intención,0.5970,0.6869,SPEAKER_01
56.839,56.9,de,0.9310,0.9840,SPEAKER_01
57.023,57.82,parlamentar.,0.9030,0.9917,SPEAKER_01
60.22,60.945,Parlamentar,0.7740,0.9590,SPEAKER_01
61.065,61.508,significa,0.3680,0.9953,SPEAKER_01
61.569,61.689,que,0.6620,0.9689,SPEAKER_01
61.709,61.75,el,0.3170,0.7861,SPEAKER_01
62.092,63.159,monedador,0.3540,0.3171,SPEAKER_01
63.179,63.219,no,0.0270,0.9335,SPEAKER_01
63.239,63.44,tiene,0.7050,0.9638,SPEAKER_01
63.481,63.561,que,0.8690,0.9903,SPEAKER_01
63.642,63.762,ir,0.7540,0.9992,SPEAKER_01
64.105,64.346,a,0.4950,0.9984,SPEAKER_01
64.427,64.487,la,0.7060,0.9980,SPEAKER_01
64.527,64.809,moneda,0.3650,0.9981,SPEAKER_01
64.99,65.212,él,0.6490,0.6612,SPEAKER_01
65.453,65.514,con,0.0820,0.9718,SPEAKER_01
65.534,65.594,una,0.1360,0.9136,SPEAKER_01
65.614,65.775,pequeña,0.2110,0.9996,SPEAKER_01
65.795,66.037,cantidad,0.1890,0.9993,SPEAKER_01
66.158,66.198,de,0.0000,0.9939,SPEAKER_01
66.218,66.54,dinero.,0.5460,0.4085,SPEAKER_01
66.68,66.965,Lo,0.5890,0.0499,SPEAKER_01
66.987,67.162,tiraron.,0.1350,0.9983,SPEAKER_01
67.6,68.191,El,0.8230,0.1504,SPEAKER_01
68.619,69.19,"ministerio,",0.3950,0.8979,SPEAKER_01
69.21,69.292,al,0.5440,0.9118,SPEAKER_01
69.312,69.74,ministerio.,0.4520,0.9886,SPEAKER_01
69.74,70.169,Que,0.4830,0.1537,SPEAKER_01
70.19,70.374,está,0.4480,0.9536,SPEAKER_01
70.496,70.925,ofreciendo,0.4890,0.9997,SPEAKER_01
71.069,71.62,parlamentar.,0.8890,0.9981,SPEAKER_01
71.78,72.612,Rendición,0.4190,0.9227,SPEAKER_01
72.694,73.404,"incondicional,",0.6940,0.9999,SPEAKER_01
73.566,73.648,no,0.9660,0.9974,SPEAKER_01
73.668,73.729,hay,0.2380,0.5993,SPEAKER_01
73.993,74.5,parlamentar.,0.2940,0.9994,SPEAKER_01
75.52,76.511,Rendición,0.2290,0.9997,SPEAKER_01
76.532,76.821,incondicional.,0.0810,1.0000,SPEAKER_01
78.68,79.341,"Bien,",0.1570,0.9693,SPEAKER_01
79.361,79.981,conforme.,0.3630,0.9985,SPEAKER_01
80.26,81.289,Rendición,0.5460,0.9991,SPEAKER_01
81.309,82.075,incondicional,0.6980,1.0000,SPEAKER_01
82.459,82.479,y,0.0040,0.9919,SPEAKER_01
82.499,82.6,se,0.7340,0.9999,SPEAKER_01
82.62,82.761,le,0.8070,0.9991,SPEAKER_01
82.781,83.003,toma,0.7770,0.9998,SPEAKER_01
83.023,83.77,preso,0.8420,0.9691,SPEAKER_01
84.173,85.02,ofreciéndole...,0.5630,0.9109,SPEAKER_01
85.36,85.726,Nada,0.2940,0.1835,SPEAKER_01
86.113,86.174,más,0.3130,0.9996,SPEAKER_01
86.561,86.642,que,0.5710,0.9987,SPEAKER_01
86.663,87.009,respetar,0.6040,0.9542,SPEAKER_01
87.05,87.07,a,0.7290,0.3447,SPEAKER_01
87.111,87.151,la,0.7780,0.9984,SPEAKER_01
87.212,87.477,"vida,",0.4200,0.9912,SPEAKER_01
87.498,87.66,digamos.,0.1310,0.9858,SPEAKER_01
87.84,88.223,La,0.7060,0.8573,SPEAKER_01
88.485,88.586,vida,0.4130,0.9878,SPEAKER_01
88.606,88.626,y,0.9630,0.5433,SPEAKER_01
88.868,89.029,se,0.5930,0.0226,SPEAKER_01
89.432,89.714,le...,0.6710,0.5563,SPEAKER_01
90.137,91.225,Integridad,0.3740,0.6539,SPEAKER_01
91.246,91.367,física,0.2040,0.9977,SPEAKER_01
91.427,91.447,y,0.0010,0.9922,SPEAKER_01
91.467,91.87,enseguida,0.4190,0.9330,SPEAKER_01
91.971,92.052,se,0.5440,0.9972,SPEAKER_01
92.072,92.112,le,0.0700,0.9978,SPEAKER_01
92.132,92.193,va,0.2770,0.5501,SPEAKER_01
92.213,92.233,a,0.6530,0.9593,SPEAKER_01
92.273,92.697,despachar,0.6630,0.9926,SPEAKER_01
92.737,92.817,el,0.1750,0.8468,SPEAKER_01
92.838,93.18,pausa-paz.,0.4200,0.5578,SPEAKER_01
94.64,95.142,Conforme.,0.1990,0.4272,SPEAKER_01
96.06,96.807,O,0.7350,0.9665,SPEAKER_01
96.827,96.928,sea,0.4650,0.9855,SPEAKER_01
97.049,97.129,que,0.7350,0.9998,SPEAKER_01
97.19,97.331,se,0.7700,0.9865,SPEAKER_01
97.614,98.138,mantiene,0.8550,0.9845,SPEAKER_01
98.158,98.199,el,0.4920,0.9997,SPEAKER_01
98.522,99.248,ofrecimiento,0.6410,0.9986,SPEAKER_01
99.268,99.308,de,0.4920,0.9982,SPEAKER_01
99.329,100.438,sacarlo,0.5970,0.9950,SPEAKER_01
100.459,100.519,del,0.0000,0.9986,SPEAKER_01
100.539,100.64,país.,0.2000,0.9797,SPEAKER_01
102.0,102.794,Se,0.6860,0.9999,SPEAKER_01
102.814,103.099,mantiene,0.4250,0.9873,SPEAKER_01
103.14,103.201,el,0.5860,0.9998,SPEAKER_01
103.221,103.75,ofrecimiento,0.3570,0.9987,SPEAKER_01
103.771,103.832,de,0.4680,0.9999,SPEAKER_01
103.852,104.015,sacarlo,0.1190,0.9974,SPEAKER_01
104.035,104.198,del,0.4860,0.9995,SPEAKER_01
104.219,104.32,país.,0.1960,0.9999,SPEAKER_01
105.24,105.831,Pero,0.8520,1.0000,SPEAKER_01
105.872,106.076,la,0.5860,0.9933,SPEAKER_01
106.096,106.157,vía,0.2240,0.8419,SPEAKER_01
106.239,106.442,secada,0.2790,0.5788,SPEAKER_01
106.463,106.504,ya,0.3240,0.6736,SPEAKER_01
106.524,106.585,fue,0.1410,0.7152,SPEAKER_01
106.626,106.748,cuando,0.1070,0.9367,SPEAKER_01
106.769,106.932,había,0.4030,0.6889,SPEAKER_01
106.952,107.4,volado.,0.5870,0.8848,SPEAKER_01
108.6,109.102,Conforme.,0.2040,0.6824,SPEAKER_01
110.34,110.842,Conforme.,0.2110,0.9988,SPEAKER_01
111.1,111.606,Vamos,0.3220,0.9370,SPEAKER_01
111.667,111.687,a,0.0120,0.9960,SPEAKER_01
111.708,111.87,procurar,0.1750,0.9999,SPEAKER_01
111.91,112.052,que,0.4670,0.9995,SPEAKER_01
112.072,113.47,prospere,0.6600,0.9999,SPEAKER_01
113.875,113.936,el,0.7340,0.9749,SPEAKER_01
113.997,114.28,parlamento.,0.1430,0.9974,SPEAKER_01
116.6,118.164,Estado,0.6480,0.6159,SPEAKER_01
118.706,120.571,"sitio,",0.6750,0.7484,SPEAKER_01
120.591,121.213,solicito,0.6980,0.7542,SPEAKER_01
121.574,122.075,estado,0.7980,0.9997,SPEAKER_01
122.616,122.997,sitio,0.6320,0.4558,SPEAKER_01
124.04,124.201,y,0.6910,0.9997,SPEAKER_01
124.221,124.562,toque,0.5450,0.9135,SPEAKER_01
124.883,125.023,de,0.8120,0.9997,SPEAKER_01
125.043,125.404,"queda,",0.8070,0.9970,SPEAKER_01
126.768,126.788,y,0.0080,0.9968,SPEAKER_01
126.808,127.149,toque,0.8540,0.9589,SPEAKER_01
127.51,127.69,de,0.8400,1.0000,SPEAKER_01
127.71,128.051,queda,0.8590,1.0000,SPEAKER_01
129.094,129.174,a,0.8490,1.0000,SPEAKER_01
129.214,129.315,las,0.7340,0.9924,SPEAKER_01
129.335,130.137,18,0.8060,1.0000,SPEAKER_01
130.157,130.297,horas,0.4220,0.9882,SPEAKER_01
130.678,131.3,local.,0.4540,0.9980,SPEAKER_01
131.54,132.614,A,0.8480,0.9998,SPEAKER_01
132.634,132.736,las,0.7920,0.9618,SPEAKER_01
132.756,133.688,18,0.8260,0.9999,SPEAKER_01
134.012,134.498,horas,0.2910,0.9999,SPEAKER_01
134.519,134.64,local.,0.1640,1.0000,SPEAKER_01
135.74,137.603,Firmado,0.5090,1.0000,SPEAKER_01
138.514,138.595,Golf,0.0360,0.9917,SPEAKER_01
138.616,139.0,Alcomjet.,0.2530,0.4602,SPEAKER_01
139.7,140.532,Firmado,0.6400,0.4923,SPEAKER_01
141.221,141.302,Golf,0.2250,0.9903,SPEAKER_01
141.728,142.6,Alcomjet.,0.5060,0.9994,SPEAKER_01
142.84,143.842,Dígame,0.6510,0.9998,SPEAKER_01
144.047,144.19,cómo,0.3240,0.9587,SPEAKER_01
144.415,144.66,recibió.,0.1970,0.9222,SPEAKER_01
146.9,147.341,Solicito,0.6210,0.9898,SPEAKER_00
148.083,148.504,estado,0.7860,0.8778,SPEAKER_00
148.564,148.644,de,0.7480,0.9823,SPEAKER_00
148.764,149.165,"sitio,",0.9720,0.9999,SPEAKER_00
150.469,151.03,solicito,0.9950,0.9982,SPEAKER_00
151.05,152.433,estado,0.5700,0.9705,SPEAKER_00
152.473,152.533,de,0.7490,0.9998,SPEAKER_00
152.634,152.995,sitio,0.9410,0.9982,SPEAKER_00
153.796,153.857,y,0.7770,0.9998,SPEAKER_00
153.917,154.177,toque,0.8530,0.9388,SPEAKER_00
154.238,154.298,de,0.8620,0.9998,SPEAKER_00
154.358,154.679,"queda,",0.8930,1.0000,SPEAKER_00
155.521,155.561,y,0.8200,0.9950,SPEAKER_00
155.641,155.881,toque,0.8390,0.9381,SPEAKER_00
155.922,156.002,de,0.5670,0.9999,SPEAKER_00
156.062,156.343,queda,0.8010,1.0000,SPEAKER_00
157.485,157.545,a,0.9650,0.9999,SPEAKER_00
157.606,157.706,las,0.9240,0.9710,SPEAKER_00
157.726,158.568,18.00,0.7960,0.9999,SPEAKER_00
159.029,159.63,horas,0.4770,0.9924,SPEAKER_00
160.813,163.66,local.,0.5840,0.9883,SPEAKER_00
164.48,165.355,Horas,0.7180,0.3337,SPEAKER_00
165.376,165.501,local.,0.1670,0.9988,SPEAKER_00
166.0,166.87,Lo,0.7520,0.5497,SPEAKER_00
166.951,167.356,firma,0.9170,0.9999,SPEAKER_00
168.205,168.63,Golf,0.5600,0.9938,SPEAKER_00
168.995,169.48,Alcomjet.,0.4990,0.9998,SPEAKER_00
