start,end,word,alignment_score,probability,speaker
0.0,0.628,"Dos,",0.2120,0.0150,UNKNOWN
0.648,0.79,"tres,",0.2590,0.9948,UNKNOWN
0.81,0.952,"cuatro,",0.0390,0.6528,UNKNOWN
0.972,1.093,"cinco,",0.2060,0.9651,UNKNOWN
1.701,1.802,"seis,",0.0120,0.9067,UNKNOWN
1.822,1.944,"siete,",0.1200,0.7613,UNKNOWN
1.964,2.065,"ocho,",0.0330,0.9666,UNKNOWN
2.085,2.207,"nueve,",0.1310,0.7868,UNKNOWN
2.227,2.348,"ocho,",0.1500,0.6599,UNKNOWN
2.369,2.49,"nueve,",0.0570,0.7430,UNKNOWN
2.51,2.652,"ocho,",0.1960,0.8394,UNKNOWN
2.672,2.834,"nueve,",0.1830,0.8436,UNKNOWN
2.855,3.179,"ocho,",0.3710,0.7948,UNKNOWN
3.199,3.32,"nueve,",0.1610,0.9423,UNKNOWN
3.3,3.786,Muy,0.3000,0.0193,SPEAKER_14
3.806,3.989,buenas,0.5240,0.9999,SPEAKER_14
4.07,4.373,"tardes,",0.8330,1.0000,SPEAKER_14
6.034,6.257,buenas,0.5990,0.6888,SPEAKER_14
6.277,6.52,tardes.,0.5860,1.0000,SPEAKER_14
8.86,9.666,Una,0.5310,0.9937,SPEAKER_14
9.686,9.727,de,0.9640,1.0000,SPEAKER_14
9.767,9.868,las,0.9050,1.0000,SPEAKER_14
9.928,10.472,actividades,0.8470,1.0000,SPEAKER_14
10.492,11.117,relevantes,0.5470,0.9999,SPEAKER_14
11.177,11.278,del,0.8350,1.0000,SPEAKER_14
11.359,11.56,Centro,0.8000,0.9964,SPEAKER_14
11.581,11.621,de,0.8550,0.9999,SPEAKER_14
11.641,11.943,Estudios,0.7160,0.9999,SPEAKER_14
12.084,12.447,Públicos,0.9540,0.9998,SPEAKER_14
13.293,13.354,en,0.8970,0.9978,SPEAKER_14
13.394,13.596,estos,0.9800,1.0000,SPEAKER_14
13.656,14.079,últimos,0.9180,1.0000,SPEAKER_14
14.1,14.18,años,0.2460,1.0000,SPEAKER_14
14.16,14.2,ha,0.0630,0.9988,SPEAKER_14
14.241,14.885,sido,0.8210,1.0000,SPEAKER_14
14.966,15.047,la,0.8120,1.0000,SPEAKER_14
15.067,15.167,de,0.9100,1.0000,SPEAKER_14
15.309,15.732,efectuar,0.9610,0.9999,SPEAKER_14
15.772,16.538,sondeos,0.9540,0.9997,SPEAKER_14
16.558,16.598,de,0.4960,0.9999,SPEAKER_14
17.646,17.988,opinión,0.7890,1.0000,SPEAKER_14
18.009,18.029,a,0.9580,1.0000,SPEAKER_14
18.069,18.694,distintos,0.7850,1.0000,SPEAKER_14
18.774,19.177,estratos,0.8680,0.9894,SPEAKER_14
19.218,19.278,de,0.9700,1.0000,SPEAKER_14
19.298,19.359,la,0.4760,1.0000,SPEAKER_14
19.379,19.56,población,0.1090,1.0000,SPEAKER_14
19.54,19.842,para,0.0570,0.9999,SPEAKER_14
20.669,20.952,evaluar,0.8560,1.0000,SPEAKER_14
21.093,21.698,tendencias,0.8950,0.9999,SPEAKER_14
21.718,21.738,o,0.9910,0.9990,SPEAKER_14
22.303,22.626,grados,0.9110,0.9948,SPEAKER_14
22.726,22.787,de,0.9360,1.0000,SPEAKER_14
22.827,23.372,aceptación,0.9240,0.9999,SPEAKER_14
23.614,23.755,de,0.9870,1.0000,SPEAKER_14
23.876,24.178,ciertas,0.8870,0.9999,SPEAKER_14
24.198,24.4,políticas.,0.0970,0.9999,SPEAKER_14
25.78,26.649,Es,0.7380,0.4778,SPEAKER_14
26.709,26.952,así,0.9890,0.9945,SPEAKER_14
27.133,27.255,como,0.8560,0.9606,SPEAKER_14
27.295,27.356,en,0.6200,0.9965,SPEAKER_14
27.376,27.679,diversos,0.7950,0.9995,SPEAKER_14
27.82,28.042,números,0.9770,0.9988,SPEAKER_14
28.083,28.143,de,0.9280,0.9988,SPEAKER_14
28.184,28.224,la,0.9780,0.9987,SPEAKER_14
28.345,28.608,serie,0.9630,0.9961,SPEAKER_14
28.628,29.234,Documentos,0.8770,0.6812,SPEAKER_14
29.456,29.517,de,0.6820,0.9994,SPEAKER_14
29.598,29.86,Trabajo,0.4350,0.9994,SPEAKER_14
29.84,29.901,se,0.2920,0.9151,SPEAKER_14
30.264,30.345,han,0.7540,0.9998,SPEAKER_14
30.386,30.507,dado,0.5530,0.9999,SPEAKER_14
30.527,30.547,a,0.9860,0.9998,SPEAKER_14
30.588,30.931,conocer,0.9520,0.9998,SPEAKER_14
30.951,30.972,a,0.1740,0.9945,SPEAKER_14
30.992,31.255,nuestros,0.6580,0.9992,SPEAKER_14
31.356,31.921,asociados,0.9020,0.9997,SPEAKER_14
31.962,32.265,los,0.8350,0.9983,SPEAKER_14
32.346,32.831,resultados,0.9210,0.9999,SPEAKER_14
32.871,32.912,de,0.4920,0.9999,SPEAKER_14
32.952,33.235,tales,0.6320,0.9992,SPEAKER_14
33.255,33.76,estudios.,0.3970,0.9999,SPEAKER_14
34.7,35.466,Durante,0.8850,0.9996,SPEAKER_14
35.486,35.547,el,0.5820,0.9998,SPEAKER_14
35.587,36.051,presente,0.8670,0.9998,SPEAKER_14
