start,end,word,alignment_score,probability,speaker
0.0,0.442,Dijo,0.3790,0.7337,SPEAKER_00
0.483,0.543,en,0.3760,0.8823,SPEAKER_00
0.603,0.764,la,0.9130,1.0000,SPEAKER_00
0.986,1.247,última,0.9740,0.9981,SPEAKER_00
1.327,1.71,"sesión,",0.9290,0.9994,SPEAKER_00
3.419,3.479,en,0.9160,0.9999,SPEAKER_00
3.5,3.54,el,0.9300,1.0000,SPEAKER_00
3.6,3.942,sentido,0.8750,1.0000,SPEAKER_00
3.982,4.043,de,0.2120,0.9999,SPEAKER_00
4.103,4.183,que,0.7170,1.0000,SPEAKER_00
4.204,4.344,hemos,0.7620,1.0000,SPEAKER_00
4.425,4.907,agregado,0.7630,1.0000,SPEAKER_00
4.928,4.988,una,0.3360,0.9998,SPEAKER_00
5.833,6.215,jornada,0.9210,1.0000,SPEAKER_00
6.295,6.456,más,0.9320,0.9999,SPEAKER_00
6.537,6.657,al,0.2600,1.0000,SPEAKER_00
6.677,7.16,"seminario,",0.6450,0.9992,SPEAKER_00
8.3,9.125,esta,0.8920,0.3055,SPEAKER_00
9.145,9.306,va,0.9600,0.9997,SPEAKER_00
9.507,9.567,el,0.8510,1.0000,SPEAKER_00
9.668,9.909,lunes,0.9420,1.0000,SPEAKER_00
10.01,10.533,próximo,0.9350,0.9999,SPEAKER_00
10.553,10.573,a,0.9990,0.9881,SPEAKER_00
11.438,11.599,las,0.8680,1.0000,SPEAKER_00
12.403,12.625,seis,0.6280,0.8141,SPEAKER_00
12.645,12.665,y,0.0030,0.9997,SPEAKER_00
12.685,12.987,"media,",0.9220,0.9999,SPEAKER_00
13.791,13.972,con,0.9600,1.0000,SPEAKER_00
14.013,14.053,el,0.9130,1.0000,SPEAKER_00
14.093,14.455,profesor,0.6220,0.9997,SPEAKER_00
14.495,14.696,Juan,0.6190,0.9999,SPEAKER_00
14.717,15.038,Andrés,0.5800,0.9968,SPEAKER_00
15.059,15.34,Fontén,0.4260,0.7822,SPEAKER_00
16.28,17.209,y,0.8520,0.5874,SPEAKER_00
17.229,17.37,con,0.9830,1.0000,SPEAKER_00
17.431,17.491,el,0.9400,1.0000,SPEAKER_00
17.612,17.875,"tema,",0.9900,1.0000,SPEAKER_00
17.915,18.258,la,0.8640,0.8288,SPEAKER_00
18.339,18.581,marcha,0.8610,0.9235,SPEAKER_00
18.642,18.682,de,0.9900,0.9999,SPEAKER_00
18.722,18.763,la,0.9670,1.0000,SPEAKER_00
18.803,19.247,"economía,",0.8860,0.9996,SPEAKER_00
19.288,20.095,restricciones,0.6040,0.9979,SPEAKER_00
20.115,20.135,y,0.1530,0.9999,SPEAKER_00
20.176,20.66,perspectivas.,0.3510,0.9708,SPEAKER_00
22.22,23.148,"Bueno,",0.8040,0.6491,SPEAKER_00
23.168,23.248,en,0.9250,0.9997,SPEAKER_00
