start,end,word,alignment_score,probability,speaker
2.92,3.404,¿Qué,0.4650,0.7803,SPEAKER_02
3.464,4.008,considera,0.8510,0.5525,SPEAKER_02
5.036,5.076,la,0.9830,0.9581,SPEAKER_02
5.137,5.641,presencia,0.8650,0.9953,SPEAKER_02
5.741,5.822,de,0.8580,0.9999,SPEAKER_02
5.862,6.145,ustedes,0.7940,0.9827,SPEAKER_02
6.165,6.265,a,0.2170,0.8414,SPEAKER_02
6.286,6.467,sala,0.7900,0.9368,SPEAKER_02
6.507,6.669,llena,0.7500,0.9998,SPEAKER_02
6.709,6.83,hoy,0.6500,0.9982,SPEAKER_02
6.89,7.132,día,0.9910,0.9941,SPEAKER_02
7.636,7.716,lo,0.7680,0.4019,SPEAKER_02
7.777,8.2,confirma?,0.4230,0.9972,SPEAKER_02
8.3,8.985,Que,0.7720,0.9502,SPEAKER_02
9.005,9.086,el,0.4310,1.0000,SPEAKER_02
9.166,9.368,tema,0.9120,1.0000,SPEAKER_02
9.69,9.731,de,0.9960,1.0000,SPEAKER_02
9.771,10.073,política,0.7900,0.9983,SPEAKER_02
10.113,10.657,arancelaria,0.9470,0.9979,SPEAKER_02
10.778,11.06,reviste,0.9620,0.9951,SPEAKER_02
11.141,11.181,la,0.9950,0.9999,SPEAKER_02
11.222,11.383,mayor,0.8440,0.9993,SPEAKER_02
11.463,12.028,importancia,0.8730,1.0000,SPEAKER_02
12.048,12.088,en,0.4980,0.9999,SPEAKER_02
12.672,12.934,este,0.7640,0.9999,SPEAKER_02
13.015,13.357,momento,0.8970,1.0000,SPEAKER_02
13.398,13.599,en,0.3620,1.0000,SPEAKER_02
13.619,13.74,Chile.,0.1670,1.0000,SPEAKER_02
14.44,15.105,Como,0.9270,0.9991,SPEAKER_02
15.125,15.186,es,0.6580,1.0000,SPEAKER_02
15.206,15.246,de,0.7900,0.9994,SPEAKER_02
15.306,15.73,conocimiento,0.8570,0.9999,SPEAKER_02
15.77,15.81,de,0.5040,0.6693,SPEAKER_02
15.851,16.032,todos,0.8340,1.0000,SPEAKER_02
16.052,16.475,"ustedes,",0.6400,1.0000,SPEAKER_02
16.516,17.14,la,0.9410,1.0000,SPEAKER_02
17.181,17.442,política,0.7940,1.0000,SPEAKER_02
17.463,17.946,arancelaria,0.8570,1.0000,SPEAKER_02
17.987,18.41,seguida,0.7430,0.5789,SPEAKER_02
18.934,19.055,hasta,0.9580,0.9998,SPEAKER_02
19.095,19.216,este,0.7480,1.0000,SPEAKER_02
19.276,19.498,momento,0.8850,1.0000,SPEAKER_02
19.578,19.639,en,0.7040,1.0000,SPEAKER_02
19.659,19.699,el,0.0000,1.0000,SPEAKER_02
19.72,19.8,país,0.2500,0.9999,SPEAKER_02
19.78,20.491,constituye,0.5990,0.9865,SPEAKER_02
20.532,21.101,una,0.8750,0.9998,SPEAKER_02
21.121,21.162,de,0.0320,0.9999,SPEAKER_02
21.182,21.284,las,0.6740,1.0000,SPEAKER_02
21.345,21.568,bases,0.7480,0.9998,SPEAKER_02
21.588,21.629,de,0.5220,0.9999,SPEAKER_02
21.67,21.71,la,0.8320,1.0000,SPEAKER_02
21.771,22.036,política,0.6820,1.0000,SPEAKER_02
22.056,22.096,de,0.0000,1.0000,SPEAKER_02
22.117,22.34,desarrollo.,0.0910,1.0000,SPEAKER_02
23.9,24.566,Hay,0.5890,0.2976,SPEAKER_02
24.646,24.808,dudas,0.8530,0.9998,SPEAKER_02
24.868,25.009,sobre,0.8500,1.0000,SPEAKER_02
25.05,25.171,esta,0.9480,1.0000,SPEAKER_02
25.231,25.614,política,0.9680,1.0000,SPEAKER_02
25.635,25.675,en,0.5000,0.9993,SPEAKER_02
26.704,26.966,este,0.8260,0.9998,SPEAKER_02
27.047,27.369,momento,0.9570,0.9980,SPEAKER_02
27.389,27.43,en,0.4900,0.9692,SPEAKER_02
27.47,27.631,la,0.6340,1.0000,SPEAKER_02
27.692,28.015,discusión,0.8060,1.0000,SPEAKER_02
28.095,28.337,pública,0.7750,0.9998,SPEAKER_02
28.378,28.499,en,0.6590,0.9990,SPEAKER_02
28.519,28.559,el,0.0000,1.0000,SPEAKER_02
28.579,28.66,país,0.2500,1.0000,SPEAKER_02
