start,end,word,alignment_score,probability,speaker
12.94,13.523,Buenas,0.8000,0.8457,SPEAKER_04
13.623,13.925,"tardes,",0.9160,1.0000,SPEAKER_04
14.246,14.507,entonces,0.5060,0.8640,SPEAKER_04
14.547,14.748,vamos,0.8180,0.9989,SPEAKER_04
14.869,14.949,a,0.9730,0.9999,SPEAKER_04
16.577,17.039,comenzar,0.9460,0.9997,SPEAKER_04
17.059,18.264,esta,0.9030,0.9998,SPEAKER_04
18.345,18.727,reunión,0.8250,1.0000,SPEAKER_04
18.747,18.787,en,0.4920,0.9966,SPEAKER_04
20.233,20.314,que,0.7960,0.9866,SPEAKER_04
20.374,20.515,vamos,0.8750,1.0000,SPEAKER_04
20.535,20.575,a,0.0970,1.0000,SPEAKER_04
20.595,20.937,escuchar,0.7610,1.0000,SPEAKER_04
20.957,21.158,dos,0.4640,0.9998,SPEAKER_04
21.218,21.68,trabajos.,0.9280,1.0000,SPEAKER_04
22.38,22.945,Quiero,0.8770,0.9998,SPEAKER_04
23.006,23.248,primero,0.8090,0.9997,SPEAKER_04
23.308,23.753,justificarme,0.8720,0.9926,SPEAKER_04
23.813,23.934,que,0.5760,0.9550,SPEAKER_04
23.954,24.096,porque,0.8740,0.3729,SPEAKER_04
24.136,24.318,estoy,0.6950,1.0000,SPEAKER_04
24.378,24.54,aquí,0.6920,0.9998,SPEAKER_04
24.56,24.58,a,0.9900,0.9815,SPEAKER_04
24.6,24.762,la,0.1690,1.0000,SPEAKER_04
24.802,24.863,vez,0.6740,1.0000,SPEAKER_04
24.923,25.105,poner,0.7160,0.5591,SPEAKER_04
25.165,25.206,un,0.8440,1.0000,SPEAKER_04
25.266,25.589,"trabajo,",0.8680,1.0000,SPEAKER_04
25.63,25.71,lo,0.6160,0.9982,SPEAKER_04
25.751,25.832,que,0.8170,0.9999,SPEAKER_04
25.892,26.054,pasa,0.8040,0.9986,SPEAKER_04
26.094,26.154,es,0.3740,0.9952,SPEAKER_04
26.175,26.235,que,0.5660,0.9999,SPEAKER_04
26.276,26.558,Arturo,0.8810,0.9998,SPEAKER_04
26.578,26.78,"Fonten,",0.3120,0.7340,SPEAKER_04
26.76,27.183,quien,0.5650,0.7862,SPEAKER_04
27.706,27.887,era,0.2380,0.9902,SPEAKER_04
27.928,27.968,la,0.9890,0.9998,SPEAKER_04
28.028,28.25,persona,0.9810,0.9998,SPEAKER_04
28.27,28.391,que,0.3140,0.9998,SPEAKER_04
28.411,28.532,iba,0.5820,0.9999,SPEAKER_04
28.552,28.572,a,0.0260,0.9999,SPEAKER_04
28.592,28.934,moderar,0.8830,0.9966,SPEAKER_04
28.975,29.377,esta,0.6030,0.9994,SPEAKER_04
29.82,30.163,"reunión,",0.9820,1.0000,SPEAKER_04
31.169,31.753,desgraciadamente,0.7850,0.9989,SPEAKER_04
31.793,31.914,no,0.6510,0.9984,SPEAKER_04
31.934,31.975,se,0.5340,0.9999,SPEAKER_04
32.015,32.055,ha,0.8140,0.9963,SPEAKER_04
32.095,32.397,sentido,0.9050,0.9982,SPEAKER_04
