start,end,word,alignment_score,probability,speaker
12.08,12.904,El,0.8170,0.4538,SPEAKER_08
13.185,14.772,seminario,0.9570,0.8150,SPEAKER_08
14.792,14.832,de,0.4980,0.4231,SPEAKER_08
15.575,15.776,Centro,0.8290,0.5299,SPEAKER_08
15.816,15.856,de,0.9220,0.9995,SPEAKER_08
15.916,16.117,Estudios,0.5330,0.9856,SPEAKER_08
16.238,16.66,Públicos,0.9100,0.9997,SPEAKER_08
16.7,18.568,sobre,0.9510,0.8171,SPEAKER_08
18.769,19.291,Transición,0.8880,0.9834,SPEAKER_08
19.311,19.331,a,0.9910,0.9997,SPEAKER_08
19.351,19.391,la,0.4940,1.0000,SPEAKER_08
19.431,20.195,Democracia,0.8520,0.9989,SPEAKER_08
20.215,20.235,y,0.9650,0.9997,SPEAKER_08
20.275,21.44,Sistema,0.3500,0.9626,SPEAKER_08
21.45,21.791,de,0.4060,0.1543,SPEAKER_08
21.811,22.113,Partido,0.5530,0.6381,SPEAKER_08
22.173,22.595,Político.,0.9090,0.9984,SPEAKER_08
25.406,25.446,El,0.9610,0.9988,SPEAKER_08
25.506,26.048,seminario,0.9970,0.9955,SPEAKER_08
27.293,27.514,tiene,0.9280,0.9995,SPEAKER_08
27.554,27.675,una,0.7290,0.9998,SPEAKER_08
27.755,28.217,estructura,0.6740,0.9995,SPEAKER_08
28.277,28.357,de,0.9660,0.9999,SPEAKER_08
28.458,28.598,tres,0.7010,0.9825,SPEAKER_08
28.658,29.14,sesiones,0.8110,0.9998,SPEAKER_08
29.16,29.221,que,0.3290,0.9410,SPEAKER_08
29.241,31.048,se,0.9220,0.9999,SPEAKER_08
31.128,31.59,efectuarán,0.1720,0.9989,SPEAKER_08
31.57,31.851,los,0.2530,0.9987,SPEAKER_08
31.952,32.213,días,0.8260,0.9972,SPEAKER_08
32.574,32.936,lunes,0.9160,0.9910,SPEAKER_08
34.0,34.04,a,0.7480,0.8791,SPEAKER_08
34.08,34.402,partir,0.9790,0.9998,SPEAKER_08
34.442,34.482,de,0.9710,0.9999,SPEAKER_08
34.562,34.743,"hoy,",0.9010,1.0000,SPEAKER_08
34.783,36.029,lunes,0.7200,0.9069,SPEAKER_08
36.049,36.912,"12,",0.7360,0.9984,SPEAKER_08
36.932,36.972,19,0.9880,0.9995,SPEAKER_08
36.993,37.013,y,0.9820,0.9996,SPEAKER_08
37.033,37.254,26,0.8900,0.9981,SPEAKER_08
37.856,37.916,de,0.9760,0.9999,SPEAKER_08
37.997,38.479,"diciembre,",0.8050,0.9997,SPEAKER_08
40.085,40.146,y,0.9790,0.9999,SPEAKER_08
40.206,40.447,habrán,0.8430,0.9988,SPEAKER_08
40.628,40.828,tres,0.5310,0.9974,SPEAKER_08
40.849,41.21,exposiciones,0.3010,0.9990,SPEAKER_08
41.19,41.994,"centrales,",0.8170,0.9997,SPEAKER_08
42.014,42.055,la,0.4960,0.9997,SPEAKER_08
43.522,43.864,primera,0.9820,0.9994,SPEAKER_08
43.884,43.945,del,0.3130,0.6684,SPEAKER_08
43.985,45.071,profesor,0.8120,0.9815,SPEAKER_08
45.252,45.513,Carlos,0.6880,0.9993,SPEAKER_08
45.593,45.955,"Uneus,",0.8730,0.5377,SPEAKER_08
45.975,46.016,la,0.4880,0.9997,SPEAKER_08
46.337,46.699,segunda,0.9280,0.9988,SPEAKER_08
46.74,46.88,del,0.6800,0.9749,SPEAKER_08
46.941,47.041,que,0.7260,0.8892,SPEAKER_08
47.081,47.403,habla,0.8130,0.9964,SPEAKER_08
47.423,47.443,y,0.9900,0.5373,SPEAKER_08
48.308,48.368,la,0.7400,0.9999,SPEAKER_08
48.589,48.73,tercera,0.1430,0.9984,SPEAKER_08
48.71,50.153,del,0.5630,0.9996,SPEAKER_08
50.214,50.62,profesor,0.9650,0.9996,SPEAKER_08
50.64,50.844,Enal,0.5010,0.8647,SPEAKER_08
50.945,51.27,Arraín.,0.2520,0.9630,SPEAKER_08
51.45,52.795,Cada,0.8140,0.1215,SPEAKER_08
52.895,53.035,uno,0.8820,0.9986,SPEAKER_08
53.116,53.296,con,0.9900,0.9994,SPEAKER_08
54.019,54.099,su,0.6190,0.9992,SPEAKER_08
