start,end,word,alignment_score,probability,speaker
0.0,0.483,Las,0.2610,0.9970,SPEAKER_00
0.503,1.147,personas,0.6080,0.9999,SPEAKER_00
2.174,2.234,más,0.0020,0.9742,SPEAKER_00
2.254,2.818,adelante,0.7860,1.0000,SPEAKER_00
2.858,3.502,nombradas,0.5750,0.9999,SPEAKER_00
4.348,4.791,deberán,0.2890,0.9965,SPEAKER_00
4.871,5.837,entregarse,0.5950,0.9996,SPEAKER_00
5.857,6.3,voluntariamente,0.2220,0.9998,SPEAKER_00
6.28,6.883,hasta,0.4910,0.9962,SPEAKER_00
8.312,8.372,las,0.4150,0.9993,SPEAKER_00
8.432,9.72,16.30,0.7020,0.9994,SPEAKER_00
9.74,9.901,horas,0.4110,0.9969,SPEAKER_00
9.921,10.384,de,0.7560,0.9802,SPEAKER_00
11.229,11.711,"hoy,",0.4810,0.9999,SPEAKER_00
11.732,11.852,11,0.3260,1.0000,SPEAKER_00
11.872,11.973,de,0.3840,0.9998,SPEAKER_00
11.993,12.536,septiembre,0.5100,1.0000,SPEAKER_00
12.556,12.677,de,0.7220,0.9999,SPEAKER_00
12.697,13.22,"1973,",0.8660,1.0000,SPEAKER_00
15.28,15.464,en,0.2620,0.9996,SPEAKER_00
15.484,15.688,el,0.3500,1.0000,SPEAKER_00
15.709,16.484,Ministerio,0.1510,0.9999,SPEAKER_00
16.505,16.546,de,0.2360,0.9999,SPEAKER_00
16.566,16.954,Defensa,0.4380,1.0000,SPEAKER_00
16.974,17.28,Nacional.,0.2990,0.9976,SPEAKER_00
18.8,19.263,La,0.4400,1.0000,SPEAKER_00
19.283,19.444,no,0.7380,0.9999,SPEAKER_00
19.504,20.45,presentación,0.5010,1.0000,SPEAKER_00
20.511,22.02,le,0.7600,0.9996,SPEAKER_00
22.041,22.524,significará,0.3460,0.7449,SPEAKER_00
23.087,23.188,que,0.6850,0.9999,SPEAKER_00
23.268,23.309,se,0.5640,1.0000,SPEAKER_00
23.429,23.671,ponen,0.7210,1.0000,SPEAKER_00
23.731,23.953,al,0.5620,0.9940,SPEAKER_00
23.973,24.476,margen,0.4970,1.0000,SPEAKER_00
24.496,24.858,de,0.5650,0.9999,SPEAKER_00
24.879,24.919,lo,0.0080,0.9999,SPEAKER_00
24.939,25.12,dispuesto,0.1140,0.9997,SPEAKER_00
25.1,25.564,por,0.4690,0.9999,SPEAKER_00
25.584,25.645,la,0.6070,0.9991,SPEAKER_00
25.766,25.988,Junta,0.6240,0.9996,SPEAKER_00
26.028,26.088,de,0.7980,0.9998,SPEAKER_00
26.149,26.674,Comandantes,0.7920,0.9998,SPEAKER_00
26.754,26.996,en,0.5420,0.9993,SPEAKER_00
27.016,27.299,"Jefe,",0.6430,0.9434,SPEAKER_00
27.924,28.086,con,0.4710,0.9923,SPEAKER_00
28.106,28.186,las,0.6570,0.9877,SPEAKER_00
28.247,28.953,consecuencias,0.6340,0.9997,SPEAKER_00
29.256,29.498,fáciles,0.3670,0.9999,SPEAKER_00
29.518,29.619,de,0.6470,0.9997,SPEAKER_00
29.639,29.78,prever.,0.1390,1.0000,SPEAKER_00
57.76,58.534,La,0.4200,0.9901,SPEAKER_00
58.554,58.86,presentación,0.1020,0.0047,SPEAKER_00
58.88,58.921,le,0.0050,0.4631,SPEAKER_00
58.941,59.165,significará,0.0690,0.0004,SPEAKER_00
59.186,59.247,que,0.0330,0.4184,SPEAKER_00
59.267,59.308,se,0.0200,0.1904,SPEAKER_00
59.328,59.43,ponen,0.0040,0.0336,SPEAKER_00
59.45,59.532,al,0.3080,0.4821,SPEAKER_00
59.552,59.674,margen,0.0250,0.0142,SPEAKER_00
59.695,59.736,de,0.0020,0.4112,SPEAKER_00
59.756,59.797,lo,0.0030,0.1595,SPEAKER_00
59.817,60.0,dispuesto,0.1120,0.0018,SPEAKER_00
75.08,77.454,por,0.2790,0.4920,SPEAKER_00
77.474,79.928,la,0.7160,0.0001,SPEAKER_00
79.949,80.049,Junta,0.0390,0.1549,SPEAKER_00
80.069,80.109,de,0.1110,0.4984,SPEAKER_00
80.13,80.371,Comandantes,0.0820,0.7383,SPEAKER_00
80.391,80.431,en,0.0220,0.2630,SPEAKER_00
80.452,81.055,"Jefe,",0.2490,0.0093,SPEAKER_00
81.075,81.136,con,0.0180,0.3964,SPEAKER_00
81.156,81.216,las,0.1250,0.0145,SPEAKER_00
81.236,81.538,consecuencias,0.1010,0.0391,SPEAKER_00
81.558,81.699,fáciles,0.0070,0.6664,SPEAKER_00
81.719,81.759,de,0.0100,0.4547,SPEAKER_00
81.779,81.92,prever.,0.1360,0.5425,SPEAKER_00
