start,end,word,alignment_score,probability,speaker
7.54,8.567,Muy,0.7640,0.9006,SPEAKER_00
8.587,8.849,buenas,0.6840,0.9998,SPEAKER_00
8.869,10.399,"tardes,",0.4260,1.0000,SPEAKER_00
10.42,10.54,les,0.7760,0.9992,SPEAKER_00
10.621,10.782,doy,0.9450,1.0000,SPEAKER_00
10.883,10.983,la,0.9200,1.0000,SPEAKER_00
11.064,11.567,bienvenida,0.8830,1.0000,SPEAKER_00
11.608,11.628,a,0.9990,0.9999,SPEAKER_00
11.648,11.688,la,0.6610,0.9999,SPEAKER_00
11.869,12.111,reunión,0.8100,1.0000,SPEAKER_00
12.151,12.192,de,0.4280,0.9998,SPEAKER_00
12.232,12.353,esta,0.7880,0.9999,SPEAKER_00
12.413,12.635,tarde,0.9650,0.9999,SPEAKER_00
12.655,12.735,en,0.6500,0.9984,SPEAKER_00
12.755,12.997,nombre,0.8270,0.9999,SPEAKER_00
13.037,13.138,del,0.8530,0.9999,SPEAKER_00
13.319,13.44,Centro,0.1670,0.9879,SPEAKER_00
13.42,13.48,de,0.1780,0.9999,SPEAKER_00
13.682,13.964,Estudios,0.5950,0.9994,SPEAKER_00
14.105,14.507,Públicos.,0.8280,0.9994,SPEAKER_00
16.823,17.165,Antes,0.9270,0.9999,SPEAKER_00
17.246,17.366,de,0.9440,1.0000,SPEAKER_00
17.85,18.494,presentar,0.9810,1.0000,SPEAKER_00
18.514,18.554,a,0.4490,1.0000,SPEAKER_00
18.655,18.876,quienes,0.8100,1.0000,SPEAKER_00
18.957,19.038,van,0.9300,1.0000,SPEAKER_00
19.058,19.078,a,0.4620,1.0000,SPEAKER_00
19.158,19.42,participar,0.2170,0.9999,SPEAKER_00
19.4,19.5,en,0.1940,0.0694,SPEAKER_00
19.801,19.942,esta,0.6960,0.9740,SPEAKER_00
20.002,20.343,"reunión,",0.9930,0.9997,SPEAKER_00
20.364,20.404,se,0.4990,0.9986,SPEAKER_00
21.769,21.809,me,0.9940,0.9996,SPEAKER_00
21.849,21.889,ha,0.9540,0.9996,SPEAKER_00
21.969,22.371,pedido,0.9880,0.9998,SPEAKER_00
22.993,23.214,que,0.7250,0.9978,SPEAKER_00
25.462,25.623,les,0.8410,0.9955,SPEAKER_00
25.743,26.325,informe,0.8570,0.9997,SPEAKER_00
27.229,27.47,que,0.7890,0.9965,SPEAKER_00
28.795,28.875,la,0.9650,0.9990,SPEAKER_00
28.995,29.397,charla,0.8860,0.9966,SPEAKER_00
29.497,29.597,que,0.9510,0.9990,SPEAKER_00
29.698,29.838,iba,0.7860,0.9995,SPEAKER_00
29.858,29.879,a,0.1510,0.9994,SPEAKER_00
29.959,30.24,dictar,0.2340,0.9997,SPEAKER_00
30.26,30.3,el,0.4980,0.9987,SPEAKER_00
30.28,30.884,profesor,0.4600,0.9466,SPEAKER_00
30.924,31.628,Alexander,0.9100,0.9794,SPEAKER_00
31.789,32.372,Alexiev,0.7620,0.8454,SPEAKER_00
33.137,33.217,el,0.9840,0.8753,SPEAKER_00
33.298,33.459,día,0.9600,0.9988,SPEAKER_00
33.619,33.901,jueves,0.7710,0.9992,SPEAKER_00
33.921,33.961,17,0.9800,0.9987,SPEAKER_00
33.982,34.022,de,0.5000,0.9984,SPEAKER_00
34.143,34.666,este,0.6480,0.9996,SPEAKER_00
34.706,34.786,"mes,",0.2350,0.9999,SPEAKER_00
34.907,35.048,se,0.7750,0.8893,SPEAKER_00
35.893,35.973,ha,0.8690,0.9996,SPEAKER_00
36.034,36.637,suspendido,0.9670,0.9999,SPEAKER_00
36.758,36.959,por,0.9390,0.9997,SPEAKER_00
36.979,37.16,problemas,0.1110,0.9991,SPEAKER_00
37.14,38.305,personales,0.7010,0.9997,SPEAKER_00
38.727,38.867,del,0.9040,0.9967,SPEAKER_00
38.928,39.169,señor,0.9980,0.9992,SPEAKER_00
39.39,39.852,Alexiev,0.7080,0.9993,SPEAKER_00
40.434,40.515,y,0.9730,0.4286,SPEAKER_00
40.595,40.675,se,0.9680,0.9945,SPEAKER_00
40.735,41.197,avisará,0.9150,0.9984,SPEAKER_00
43.025,43.086,en,0.6370,0.9991,SPEAKER_00
43.166,43.347,otra,0.6780,0.9947,SPEAKER_00
43.427,43.929,oportunidad,0.8130,0.9999,SPEAKER_00
43.949,45.476,cuando,0.4860,0.4013,SPEAKER_00
45.556,45.637,se,0.9120,0.9993,SPEAKER_00
45.677,46.259,"haría,",0.9360,0.9994,SPEAKER_00
46.279,46.34,en,0.2460,0.9985,SPEAKER_00
46.36,46.44,"fin,",0.2500,0.9998,SPEAKER_00
46.44,46.789,lo,0.2310,0.6837,SPEAKER_00
47.056,47.138,que,0.7960,0.9999,SPEAKER_00
47.199,47.507,ocurra,0.9180,0.9998,SPEAKER_00
47.528,47.835,al,0.4130,0.9991,SPEAKER_00
47.856,48.041,respecto.,0.1110,0.9997,SPEAKER_00
48.02,49.189,"Entonces,",0.7260,0.8870,SPEAKER_00
49.229,49.31,no,0.9530,0.9988,SPEAKER_00
49.35,49.713,habría,0.7080,0.9982,SPEAKER_00
49.753,49.894,esta,0.8150,0.9996,SPEAKER_00
49.955,50.458,presentación,0.8770,0.9999,SPEAKER_00
50.499,50.64,del,0.4020,0.9996,SPEAKER_00
50.7,50.821,día,0.9570,0.9996,SPEAKER_00
50.942,51.184,jueves,0.8560,0.9995,SPEAKER_00
51.204,51.244,17,0.9700,0.9474,SPEAKER_00
51.265,51.728,de,0.3650,1.0000,SPEAKER_00
51.789,52.252,abril,0.7310,1.0000,SPEAKER_00
52.695,52.776,que,0.3550,0.4879,SPEAKER_00
52.796,52.897,era,0.8710,0.9999,SPEAKER_00
52.978,53.159,sobre,0.8990,1.0000,SPEAKER_00
53.179,53.219,el,0.0000,0.9999,SPEAKER_00
53.24,53.32,tema,0.2500,1.0000,SPEAKER_00
53.3,53.894,política,0.7120,0.7537,SPEAKER_00
53.976,54.446,soviética,0.7640,0.9988,SPEAKER_00
54.467,54.569,hacia,0.1950,0.9938,SPEAKER_00
54.59,54.897,América,0.8560,0.9999,SPEAKER_00
54.917,55.06,Latina.,0.1430,0.9997,SPEAKER_00
58.16,59.386,El,0.8080,0.9865,SPEAKER_00
59.487,59.768,tema,0.9660,0.9998,SPEAKER_00
59.829,59.889,de,0.9770,1.0000,SPEAKER_00
59.97,60.171,hoy,0.9230,1.0000,SPEAKER_00
61.136,61.276,es,0.9880,0.9998,SPEAKER_00
62.241,62.322,el,0.9960,0.9991,SPEAKER_00
62.422,62.945,proceso,0.9350,0.9999,SPEAKER_00
63.006,63.066,de,0.7150,1.0000,SPEAKER_00
63.106,63.528,ajuste,0.8960,0.9999,SPEAKER_00
