start,end,word,alignment_score,probability,speaker
17.02,18.265,Buenas,0.6080,0.9137,SPEAKER_10
18.305,19.791,tardes.,0.9150,1.0000,SPEAKER_10
19.811,19.871,En,0.9930,0.9988,SPEAKER_10
19.911,20.072,esta,0.6840,0.8983,SPEAKER_10
20.152,20.775,segunda,0.9240,0.9997,SPEAKER_10
23.686,24.067,charla,0.9250,0.9989,SPEAKER_10
24.288,24.409,del,0.8030,0.9988,SPEAKER_10
24.529,24.73,Ciclo,0.8210,0.7248,SPEAKER_10
24.79,25.192,Liberales,0.8640,0.6506,SPEAKER_10
25.212,25.654,Argentinos,0.8990,0.9655,SPEAKER_10
25.694,25.754,de,0.8340,0.9998,SPEAKER_10
25.814,25.995,"hoy,",0.8920,0.9832,SPEAKER_10
27.119,27.18,les,0.0010,0.9996,SPEAKER_10
27.2,27.32,quiero,0.1660,0.9999,SPEAKER_10
27.3,27.983,presentar,0.4570,0.4923,SPEAKER_10
28.023,29.067,al,0.9600,0.9733,SPEAKER_10
29.107,29.589,profesor,0.9180,0.9553,SPEAKER_10
30.552,30.873,Gabriel,0.6120,0.8455,SPEAKER_10
30.934,31.436,"Zanotti,",0.8630,0.9745,SPEAKER_10
33.584,35.571,licenciado,0.1510,0.9745,SPEAKER_10
35.591,35.651,por,0.0480,0.7850,SPEAKER_10
35.671,35.712,la,0.2120,0.9317,SPEAKER_10
35.732,36.234,Universidad,0.7830,0.9912,SPEAKER_10
36.976,37.097,del,0.9880,0.9953,SPEAKER_10
37.177,37.458,Norte,0.7000,0.9980,SPEAKER_10
37.478,37.518,de,0.4880,0.9605,SPEAKER_10
37.639,37.86,Santo,0.3030,0.9878,SPEAKER_10
37.88,37.98,Tomás,0.2000,0.9983,SPEAKER_10
37.96,38.201,de,0.4180,0.9961,SPEAKER_10
38.342,38.603,"Aquino,",0.8110,0.9869,SPEAKER_10
40.131,40.472,profesor,0.7140,0.9975,SPEAKER_10
40.492,40.513,e,0.8770,0.6685,SPEAKER_10
41.377,41.819,investigador,0.8460,0.9988,SPEAKER_10
41.92,42.06,de,0.8320,0.9942,SPEAKER_10
