start,end,word,alignment_score,probability,speaker
4.72,5.441,...ante,0.8470,0.7251,SPEAKER_01
5.502,5.544,la,0.9880,0.9999,SPEAKER_01
5.626,6.141,cooperación.,0.5660,0.9999,SPEAKER_01
7.18,7.831,Creo,0.8310,0.9998,SPEAKER_01
7.871,7.932,que,0.7510,1.0000,SPEAKER_01
7.973,8.136,esta,0.3200,0.9999,SPEAKER_01
8.197,8.4,tesis,0.7930,0.9998,SPEAKER_01
8.482,8.827,central,0.8320,1.0000,SPEAKER_01
8.909,8.97,de,0.5800,1.0000,SPEAKER_01
9.01,9.051,la,0.6350,1.0000,SPEAKER_01
9.132,9.498,sociedad,0.7600,0.9977,SPEAKER_01
9.519,9.62,libre,0.1750,1.0000,SPEAKER_01
10.86,11.506,trasciende,0.8500,0.9844,SPEAKER_01
11.546,11.627,a,0.5320,0.9998,SPEAKER_01
11.647,11.949,Burke,0.6110,0.9652,SPEAKER_01
12.091,12.131,y,0.8220,0.9994,SPEAKER_01
12.212,12.494,podría,0.8830,1.0000,SPEAKER_01
12.555,12.635,ser,0.9500,1.0000,SPEAKER_01
12.736,13.301,justificada,0.9680,1.0000,SPEAKER_01
13.321,13.341,a,0.9980,1.0000,SPEAKER_01
13.483,13.725,partir,0.9760,1.0000,SPEAKER_01
13.765,13.806,de,0.9930,1.0000,SPEAKER_01
13.846,14.31,concepciones,0.8290,0.9998,SPEAKER_01
14.35,14.895,filosóficas,0.9030,0.9999,SPEAKER_01
14.935,15.5,"diversas,",0.8320,1.0000,SPEAKER_01
15.48,16.349,a,0.8710,1.0000,SPEAKER_01
16.37,16.673,"saber,",0.9340,0.9993,SPEAKER_01
17.178,17.259,una,0.9460,1.0000,SPEAKER_01
17.32,17.805,interpretación,0.9240,1.0000,SPEAKER_01
17.926,18.371,tomista,0.9980,0.9984,SPEAKER_01
18.412,18.796,del,0.5590,1.0000,SPEAKER_01
18.857,19.059,bien,0.9210,0.9999,SPEAKER_01
19.079,19.2,"común,",0.1690,1.0000,SPEAKER_01
19.46,19.847,una,0.2890,0.9999,SPEAKER_01
19.867,20.213,interpretación,0.4740,0.9999,SPEAKER_01
20.233,20.64,"moderna,",0.5300,0.9999,SPEAKER_01
20.66,20.742,por,0.9230,1.0000,SPEAKER_01
20.782,21.108,"supuesto,",0.7020,1.0000,SPEAKER_01
21.128,21.433,tomista,0.9000,0.9979,SPEAKER_01
21.474,21.556,del,0.7370,1.0000,SPEAKER_01
21.576,21.698,bien,0.7420,1.0000,SPEAKER_01
21.718,21.84,"común,",0.1670,1.0000,SPEAKER_01
21.96,22.588,como,0.8940,0.9998,SPEAKER_01
22.669,23.377,perteneciente,0.9500,0.9993,SPEAKER_01
23.418,23.438,a,0.9960,1.0000,SPEAKER_01
23.904,23.944,la,0.9500,1.0000,SPEAKER_01
24.005,24.43,categoría,0.9890,1.0000,SPEAKER_01
24.471,24.572,del,0.4210,0.9971,SPEAKER_01
24.633,24.997,accidente,0.7470,0.9998,SPEAKER_01
25.017,25.058,de,0.0000,1.0000,SPEAKER_01
25.078,25.26,"relación,",0.1130,0.9997,SPEAKER_01
25.48,26.128,un,0.4880,0.9979,SPEAKER_01
26.208,26.472,"orden,",0.9220,0.9992,SPEAKER_01
26.775,26.836,un,0.8900,1.0000,SPEAKER_01
26.876,27.099,modo,0.6540,0.9996,SPEAKER_01
27.119,27.18,de,0.9480,1.0000,SPEAKER_01
27.261,27.928,"coordinación,",0.9150,0.9997,SPEAKER_01
27.949,27.969,y,0.9980,0.9999,SPEAKER_01
28.252,28.333,no,0.9480,0.9999,SPEAKER_01
28.374,28.455,de,0.7400,0.9995,SPEAKER_01
28.475,28.536,la,0.6920,0.9980,SPEAKER_01
28.556,28.94,sustancia.,0.2420,0.9985,SPEAKER_01
29.52,30.126,O,0.9220,0.4550,SPEAKER_01
30.207,30.247,a,0.2630,0.7889,SPEAKER_01
30.268,30.853,"Locant,",0.7910,0.6015,SPEAKER_01
30.874,30.954,en,0.3200,0.9972,SPEAKER_01
30.995,31.136,base,0.8780,0.9996,SPEAKER_01
31.157,31.177,a,0.0370,1.0000,SPEAKER_01
31.258,31.318,las,0.6910,0.9999,SPEAKER_01
31.359,32.046,distinciones,0.8970,0.9996,SPEAKER_01
32.086,32.53,entre,0.6360,0.9992,SPEAKER_01
32.652,33.076,derecho,0.9200,0.9912,SPEAKER_01
33.258,33.379,y,0.8300,1.0000,SPEAKER_01
33.399,33.5,bien.,0.2000,0.9998,SPEAKER_01
34.4,34.985,Habría,0.6560,0.9916,SPEAKER_01
35.025,35.287,entonces,0.8000,0.9742,SPEAKER_01
35.308,35.449,una,0.1840,0.9993,SPEAKER_01
35.57,36.134,pluralidad,0.9210,0.9999,SPEAKER_01
36.155,36.195,de,0.5000,0.9998,SPEAKER_01
36.417,37.022,fundamentaciones,0.9190,0.9993,SPEAKER_01
37.042,37.808,"ontológicas,",0.9190,0.9978,SPEAKER_01
37.869,38.514,metafísicas,0.8440,0.9999,SPEAKER_01
38.554,38.595,y,0.4890,0.9994,SPEAKER_01
38.615,39.26,antropológicas,0.3970,0.9997,SPEAKER_01
39.8,40.427,que,0.9460,0.3301,SPEAKER_01
40.468,40.791,"abonan,",0.8140,0.9999,SPEAKER_01
40.832,40.933,sin,0.6460,0.9999,SPEAKER_01
40.993,41.358,"embargo,",0.8470,1.0000,SPEAKER_01
41.398,41.438,en,0.8760,0.9920,SPEAKER_01
41.499,41.56,lo,0.9890,0.9999,SPEAKER_01
41.62,42.187,"sustancial,",0.9230,0.9997,SPEAKER_01
42.349,42.51,desde,0.7000,0.9997,SPEAKER_01
42.551,42.591,un,0.5870,0.9999,SPEAKER_01
42.652,42.834,punto,0.8870,0.9999,SPEAKER_01
42.875,42.935,de,0.2590,1.0000,SPEAKER_01
42.996,43.178,vista,0.7910,1.0000,SPEAKER_01
43.198,43.38,"político,",0.1110,0.9999,SPEAKER_01
43.68,44.088,un,0.2710,0.9997,SPEAKER_01
44.108,44.291,mismo,0.9700,0.9999,SPEAKER_01
44.454,44.74,"orden,",0.9620,0.9996,SPEAKER_01
45.31,45.371,la,0.9860,0.9995,SPEAKER_01
45.412,45.718,sociedad,0.6860,0.9986,SPEAKER_01
45.738,45.86,libre.,0.1670,0.9998,SPEAKER_01
46.48,47.067,Con,0.9410,0.9979,SPEAKER_01
47.188,47.37,"todo,",0.9910,1.0000,SPEAKER_01
47.431,47.512,por,0.9620,1.0000,SPEAKER_01
47.593,47.876,"cierto,",0.8940,0.9998,SPEAKER_01
48.058,48.139,una,0.9100,0.9996,SPEAKER_01
48.2,48.564,derivación,0.8810,1.0000,SPEAKER_01
48.726,49.171,kantiana,0.8000,0.9666,SPEAKER_01
49.212,49.293,de,0.5830,0.9994,SPEAKER_01
49.353,49.394,la,0.9940,0.9999,SPEAKER_01
49.455,49.819,sociedad,0.8900,0.9999,SPEAKER_01
49.839,49.94,libre,0.1820,0.9999,SPEAKER_01
49.92,49.981,y,0.3170,0.9971,SPEAKER_01
50.021,50.325,una,0.3710,0.9992,SPEAKER_01
50.386,50.832,"burkiana,",0.6360,0.8338,SPEAKER_01
50.872,50.974,por,0.8440,0.9998,SPEAKER_01
51.014,51.46,"ejemplo,",0.8180,0.9999,SPEAKER_01
51.48,51.5,o,0.9990,0.9906,SPEAKER_01
51.986,52.047,un,0.4020,0.4171,SPEAKER_01
52.068,52.736,"utilitarista,",0.9340,0.9980,SPEAKER_01
52.756,53.06,"etc.,",0.6500,0.8599,SPEAKER_01
53.56,53.865,a,0.8670,0.9984,SPEAKER_01
53.946,54.15,pesar,0.8600,0.9999,SPEAKER_01
54.17,54.272,de,0.6100,1.0000,SPEAKER_01
54.292,54.82,concordar,0.6330,0.9996,SPEAKER_01
54.861,54.922,en,0.8360,0.9995,SPEAKER_01
54.963,55.024,el,0.6940,0.9999,SPEAKER_01
55.105,55.349,ideal,0.7720,0.9993,SPEAKER_01
55.43,55.593,antes,0.9290,0.9988,SPEAKER_01
55.654,56.04,"reseñado,",0.4930,0.9995,SPEAKER_01
56.1,56.81,discreparán,0.6950,0.7801,SPEAKER_01
56.871,56.912,en,0.9980,0.9960,SPEAKER_01
56.972,57.135,torno,0.7600,0.9988,SPEAKER_01
57.155,57.236,al,0.3600,0.9940,SPEAKER_01
57.277,57.703,alcance,0.9000,0.9997,SPEAKER_01
57.743,57.764,y,0.8610,0.9955,SPEAKER_01
57.845,58.372,naturaleza,0.7970,0.9999,SPEAKER_01
58.393,58.433,de,0.0000,0.9988,SPEAKER_01
58.454,58.657,muchísimas,0.0000,0.9918,SPEAKER_01
58.677,58.92,limitaciones,0.0860,0.5139,SPEAKER_01
58.92,59.082,y,0.2520,0.0042,SPEAKER_01
59.163,59.405,normas,0.6100,0.4985,SPEAKER_01
59.486,60.133,específicas,0.8250,0.9996,SPEAKER_01
60.173,60.982,llamadas,0.5180,0.9948,SPEAKER_01
61.002,61.022,a,0.9710,0.9991,SPEAKER_01
61.063,61.872,implementarlo,0.9190,0.9875,SPEAKER_01
62.013,62.074,en,0.9900,0.9998,SPEAKER_01
62.114,62.175,la,0.9810,0.9999,SPEAKER_01
62.235,62.518,praxis,0.5650,0.9648,SPEAKER_01
62.539,62.68,social.,0.1430,0.9999,SPEAKER_01
63.2,63.867,Pero,0.9030,0.9997,SPEAKER_01
63.928,63.989,al,0.8460,0.9379,SPEAKER_01
64.049,64.272,nivel,0.9670,1.0000,SPEAKER_01
64.332,64.393,de,0.7780,0.9999,SPEAKER_01
64.454,64.514,lo,0.9910,1.0000,SPEAKER_01
64.595,64.959,que,0.7560,1.0000,SPEAKER_01
65.707,66.233,interesa,0.9340,0.9986,SPEAKER_01
66.314,66.354,al,0.0120,0.9232,SPEAKER_01
66.374,66.758,profesor,0.5130,0.9866,SPEAKER_01
66.779,66.92,"Taller,",0.1700,0.4899,SPEAKER_01
67.02,67.545,de,0.4640,0.0854,SPEAKER_01
67.566,67.626,la,0.6220,0.9999,SPEAKER_01
67.687,67.909,sociedad,0.9040,0.9998,SPEAKER_01
68.05,68.616,"pluralista,",0.9530,0.9999,SPEAKER_01
69.041,69.202,creo,0.9700,0.9998,SPEAKER_01
69.283,69.364,que,0.8350,1.0000,SPEAKER_01
69.465,69.525,es,0.9580,0.9999,SPEAKER_01
69.586,69.99,posible,0.8680,1.0000,SPEAKER_01
70.212,70.374,un,0.9900,1.0000,SPEAKER_01
70.515,70.98,consenso.,0.7700,0.9999,SPEAKER_01
72.0,72.141,La,0.5400,0.9997,SPEAKER_01
72.181,72.443,sociedad,0.8560,1.0000,SPEAKER_01
72.564,73.169,"totalitaria,",0.9800,1.0000,SPEAKER_01
73.451,73.995,barruntada,0.9510,0.9807,SPEAKER_01
74.076,74.237,por,0.8140,1.0000,SPEAKER_01
74.257,74.58,Burke,0.6060,0.9416,SPEAKER_01
75.487,75.527,en,0.7840,0.9666,SPEAKER_01
75.567,75.628,el,0.7960,0.9999,SPEAKER_01
75.688,75.89,modo,0.8810,0.9999,SPEAKER_01
75.93,75.97,de,0.9870,1.0000,SPEAKER_01
76.01,76.333,actuar,0.8730,0.9999,SPEAKER_01
76.897,77.28,"jacobino,",0.5050,0.9780,SPEAKER_01
77.42,78.03,se,0.6080,0.9997,SPEAKER_01
78.091,78.498,aparta,0.9670,0.9999,SPEAKER_01
78.538,78.599,de,0.8830,1.0000,SPEAKER_01
78.64,78.701,la,0.7440,1.0000,SPEAKER_01
78.742,79.21,pluralidad,0.9280,1.0000,SPEAKER_01
79.311,79.433,del,0.9100,0.9998,SPEAKER_01
79.494,79.718,orden,0.8280,0.9999,SPEAKER_01
79.738,79.86,"libre,",0.1660,0.9999,SPEAKER_01
80.56,80.762,en,0.8040,0.9998,SPEAKER_01
80.803,81.187,beneficio,0.8390,1.0000,SPEAKER_01
81.228,81.288,de,0.3640,1.0000,SPEAKER_01
81.329,81.389,un,0.9680,0.9999,SPEAKER_01
81.45,81.632,orden,0.8010,1.0000,SPEAKER_01
