start,end,word,alignment_score,probability,speaker
0.78,1.624,La,0.6480,0.7113,SPEAKER_02
1.644,1.946,sexta,0.7070,0.9823,SPEAKER_02
2.026,2.488,sesión,0.7390,0.9997,SPEAKER_02
4.297,4.418,del,0.8480,0.9999,SPEAKER_02
4.538,4.96,"curso,",0.9910,0.9999,SPEAKER_02
7.332,7.814,entramos,0.8580,0.9995,SPEAKER_02
7.854,7.995,al,0.7220,0.9990,SPEAKER_02
8.075,8.296,tema,0.9860,1.0000,SPEAKER_02
8.538,9.06,jurídico.,0.8570,0.9999,SPEAKER_02
9.08,9.91,La,0.7390,1.0000,SPEAKER_02
9.95,10.193,sesión,0.8840,1.0000,SPEAKER_02
10.254,10.315,se,0.6620,1.0000,SPEAKER_02
10.375,10.537,llama,0.7840,1.0000,SPEAKER_02
10.598,10.639,el,0.9500,0.8239,SPEAKER_02
10.72,10.922,marco,0.9140,0.9977,SPEAKER_02
11.003,11.367,jurídico,0.8490,1.0000,SPEAKER_02
11.428,11.468,de,0.7280,1.0000,SPEAKER_02
11.509,11.57,una,0.9830,0.9996,SPEAKER_02
11.61,11.934,economía,0.8410,1.0000,SPEAKER_02
12.015,12.217,social,0.4910,1.0000,SPEAKER_02
12.238,12.278,de,0.0000,0.9273,SPEAKER_02
12.298,12.46,mercado.,0.1250,0.9987,SPEAKER_02
17.26,18.666,El,0.9390,0.9999,SPEAKER_02
18.726,19.128,profesor,0.7960,0.9999,SPEAKER_02
19.188,19.288,es,0.9780,1.0000,SPEAKER_02
19.71,20.072,Enrique,0.7560,0.9999,SPEAKER_02
20.092,20.433,Barros,0.9100,0.9989,SPEAKER_02
20.453,20.473,y,0.9880,0.9366,SPEAKER_02
23.687,23.988,me,0.9970,0.9989,SPEAKER_02
24.088,24.229,han,0.9060,0.9811,SPEAKER_02
24.369,24.63,entregado,0.5540,0.9660,SPEAKER_02
24.691,25.333,recién,0.6340,0.9997,SPEAKER_02
25.394,25.594,una,0.7980,0.9999,SPEAKER_02
25.695,25.876,lista,0.8390,0.9998,SPEAKER_02
25.916,26.458,abreviada,0.6910,0.9892,SPEAKER_02
26.518,26.599,de,0.8560,0.9998,SPEAKER_02
26.679,26.799,sus,0.6140,0.9942,SPEAKER_02
26.82,26.96,títulos,0.1360,0.9999,SPEAKER_02
26.94,27.764,"familiares,",0.7700,0.4949,SPEAKER_02
28.749,29.111,entre,0.5790,0.9561,SPEAKER_02
29.211,29.272,los,0.9290,0.9988,SPEAKER_02
29.352,29.814,cuales,0.7620,0.9987,SPEAKER_02
29.854,31.503,selecciono,0.7140,0.9703,SPEAKER_02
31.523,31.583,que,0.3460,0.2847,SPEAKER_02
31.724,31.844,es,0.8610,0.9935,SPEAKER_02
31.885,32.427,"abogado,",0.8400,0.9998,SPEAKER_02
32.447,33.111,profesor,0.5670,0.9998,SPEAKER_02
33.151,33.935,de,0.4730,0.9994,SPEAKER_02
33.955,34.196,Derecho,0.8970,0.9779,SPEAKER_02
34.297,34.558,Civil,0.8500,0.9989,SPEAKER_02
34.578,34.598,e,0.9710,0.8791,SPEAKER_02
34.638,35.0,Introducción,0.1230,0.9795,SPEAKER_02
34.98,35.02,al,0.1210,0.9964,SPEAKER_02
35.04,35.181,Derecho,0.0920,0.9993,SPEAKER_02
35.201,35.242,en,0.1620,0.9274,SPEAKER_02
35.262,35.302,la,0.1890,0.9987,SPEAKER_02
35.443,35.966,Universidad,0.4520,0.9998,SPEAKER_02
36.006,36.066,de,0.1690,0.9997,SPEAKER_02
36.187,36.469,"Chile,",0.8990,0.9998,SPEAKER_02
37.555,37.897,profesor,0.6260,0.9997,SPEAKER_02
37.958,38.4,visitante,0.8670,0.9986,SPEAKER_02
38.42,38.481,en,0.2150,0.9286,SPEAKER_02
38.501,38.541,la,0.3560,1.0000,SPEAKER_02
38.621,38.883,Universidad,0.3680,0.9996,SPEAKER_02
38.903,38.964,de,0.7570,0.9985,SPEAKER_02
39.024,39.386,Múnich,0.7780,0.9869,SPEAKER_02
41.096,41.177,y,0.9540,0.8465,SPEAKER_02
41.338,41.78,colaborador,0.6970,0.9999,SPEAKER_02
41.76,41.843,del,0.1890,0.9988,SPEAKER_02
41.863,42.008,Centro,0.1720,0.9991,SPEAKER_02
42.049,42.09,de,0.2410,0.9735,SPEAKER_02
42.111,42.648,Estudios,0.3070,0.9980,SPEAKER_02
42.669,43.041,Públicos.,0.5360,0.9969,SPEAKER_02
46.52,47.144,La,0.5500,0.9902,SPEAKER_02
47.204,47.526,próxima,0.9630,0.9995,SPEAKER_02
47.587,47.909,sesión,0.8130,0.9997,SPEAKER_02
47.929,47.969,va,0.4800,0.9982,SPEAKER_02
47.989,48.01,a,0.9790,0.9995,SPEAKER_02
49.278,49.68,estar,0.8140,0.9986,SPEAKER_02
49.701,49.721,a,0.3620,0.9994,SPEAKER_02
49.821,50.043,cargo,0.9680,0.9987,SPEAKER_02
50.063,50.103,de,0.5360,0.9968,SPEAKER_02
50.164,50.365,Juan,0.7040,0.9947,SPEAKER_02
50.385,50.949,"Irarraza,",0.7000,0.7745,SPEAKER_02
51.009,51.15,el,0.4610,0.5950,SPEAKER_02
51.19,51.331,tema,0.6430,0.9998,SPEAKER_02
51.351,51.391,va,0.0990,0.9988,SPEAKER_02
51.412,51.432,a,0.2840,0.9999,SPEAKER_02
51.613,51.734,ser,0.7970,0.9999,SPEAKER_02
51.875,51.955,los,0.9620,0.9113,SPEAKER_02
52.015,52.398,partidos,0.8820,0.9974,SPEAKER_02
52.418,52.74,políticos,0.2790,0.9998,SPEAKER_02
52.72,53.147,en,0.3580,0.9997,SPEAKER_02
53.167,53.208,la,0.6670,0.9999,SPEAKER_02
53.248,53.614,democracia,0.8270,0.9996,SPEAKER_02
53.655,54.082,"moderna,",0.6130,0.9971,SPEAKER_02
54.265,54.549,sistemas,0.5050,0.9509,SPEAKER_02
54.57,55.24,alternativos.,0.7320,0.9999,SPEAKER_02
55.24,55.752,La,0.8660,0.9818,SPEAKER_02
55.834,55.998,idea,0.7850,0.9997,SPEAKER_02
56.039,56.08,va,0.7220,0.9993,SPEAKER_02
56.101,56.121,a,0.8670,0.9997,SPEAKER_02
56.203,56.285,ser,0.8190,0.9992,SPEAKER_02
56.326,56.49,hacer,0.6560,0.9965,SPEAKER_02
56.552,56.716,un,0.5790,0.8812,SPEAKER_02
56.736,56.92,análisis.,0.1130,0.9595,SPEAKER_02
56.94,57.141,La,0.2800,0.8717,SPEAKER_02
57.161,57.383,idea,0.2690,0.9994,SPEAKER_02
57.403,57.443,es,0.2520,0.9956,SPEAKER_02
57.524,57.645,hacer,0.8430,0.9999,SPEAKER_02
57.685,57.826,ahí,0.4090,0.9958,SPEAKER_02
57.866,57.927,un,0.9770,0.9998,SPEAKER_02
57.967,58.47,análisis,0.7150,1.0000,SPEAKER_02
58.49,59.457,de,0.9100,0.9975,SPEAKER_02
59.517,59.658,la,0.9520,1.0000,SPEAKER_02
60.162,60.524,forma,0.9270,0.9999,SPEAKER_02
60.564,60.625,de,0.3700,0.9989,SPEAKER_02
60.705,61.39,"organización,",0.9270,0.9999,SPEAKER_02
61.41,61.45,el,0.4900,0.9985,SPEAKER_02
61.491,62.256,"estilo,",0.8320,1.0000,SPEAKER_02
62.618,62.679,los,0.0000,0.9973,SPEAKER_02
62.699,62.88,distintos,0.1350,0.9999,SPEAKER_02
62.86,63.484,tipos,0.7090,1.0000,SPEAKER_02
63.505,63.565,de,0.7500,1.0000,SPEAKER_02
63.646,63.968,partidos,0.8540,0.9999,SPEAKER_02
64.048,64.492,políticos,0.8830,0.9999,SPEAKER_02
64.512,64.572,que,0.3330,0.9919,SPEAKER_02
65.418,65.761,podría,0.8330,0.9996,SPEAKER_02
65.821,66.043,haber,0.8540,0.9999,SPEAKER_02
66.083,66.123,en,0.0010,0.9999,SPEAKER_02
66.143,66.204,el,0.6500,0.9954,SPEAKER_02
66.345,66.526,Chile,0.9620,0.9996,SPEAKER_02
66.627,66.929,futuro,0.8280,0.9990,SPEAKER_02
66.989,67.594,un,0.4430,0.7846,SPEAKER_02
67.614,67.714,"poco,",0.0020,0.9998,SPEAKER_02
67.735,68.137,tomando,0.9420,0.9997,SPEAKER_02
68.419,68.52,casos,0.1990,0.9999,SPEAKER_02
69.24,69.946,de,0.6600,0.9998,SPEAKER_02
70.067,70.248,otras,0.8160,0.9998,SPEAKER_02
70.269,70.793,experiencias,0.9070,0.9999,SPEAKER_02
70.854,70.914,de,0.9200,0.9997,SPEAKER_02
70.975,71.499,transición,0.7720,0.9998,SPEAKER_02
71.519,71.68,desde,0.4600,0.9971,SPEAKER_02
71.902,72.245,regímenes,0.8030,0.9938,SPEAKER_02
72.285,72.911,autoritarios,0.8340,1.0000,SPEAKER_02
73.153,73.334,hacia,0.7170,0.9956,SPEAKER_02
73.435,73.596,una,0.3680,0.9997,SPEAKER_02
73.738,74.04,"democracia,",0.2680,0.9999,SPEAKER_02
74.08,74.675,haciendo,0.7580,0.9891,SPEAKER_02
74.799,74.881,un,0.3380,0.6805,SPEAKER_02
74.901,75.209,análisis,0.5830,0.9997,SPEAKER_02
75.435,75.641,comparado.,0.1030,0.9996,SPEAKER_02
76.72,76.782,Ese,0.1470,0.9878,SPEAKER_02
76.802,76.843,va,0.2130,0.9987,SPEAKER_02
76.864,76.884,a,0.1830,1.0000,SPEAKER_02
76.905,76.966,ser,0.0840,1.0000,SPEAKER_02
76.987,77.315,el,0.2300,1.0000,SPEAKER_02
77.336,77.459,tema,0.5100,1.0000,SPEAKER_02
77.521,77.562,de,0.6880,1.0000,SPEAKER_02
77.603,77.644,la,0.5240,1.0000,SPEAKER_02
77.705,78.136,próxima,0.6790,0.9999,SPEAKER_02
78.157,78.301,sesión.,0.1630,0.9996,SPEAKER_02
79.86,80.625,Enrique,0.6900,0.9997,SPEAKER_02
80.666,80.928,va,0.9960,0.9999,SPEAKER_02
82.015,82.035,a,0.0120,1.0000,SPEAKER_02
82.056,82.338,"hablar,",0.9210,0.9999,SPEAKER_02
83.405,83.465,no,0.8090,0.9995,SPEAKER_02
83.546,83.707,"sé,",0.8900,0.9998,SPEAKER_02
84.17,84.291,tres,0.6940,0.7389,SPEAKER_02
84.332,84.573,cuartos,0.7970,0.9999,SPEAKER_02
84.614,84.734,de,0.5860,1.0000,SPEAKER_02
84.755,84.956,hora,0.8260,0.9997,SPEAKER_02
85.097,85.117,o,0.1370,0.6137,SPEAKER_02
85.137,85.238,una,0.8280,0.9216,SPEAKER_02
85.298,85.439,cosa,0.5240,0.9999,SPEAKER_02
85.46,85.54,así.,0.2510,0.9999,SPEAKER_02
87.2,87.988,"Aproximadamente,",0.7380,0.7673,SPEAKER_02
88.008,88.029,y,0.9980,0.9789,SPEAKER_02
88.19,88.453,después,0.2870,0.9962,SPEAKER_02
88.493,88.918,ustedes,0.6490,0.9771,SPEAKER_02
90.474,90.656,pueden,0.7370,0.9743,SPEAKER_02
90.696,90.878,hacerle,0.4170,0.9840,SPEAKER_02
90.898,91.1,preguntas.,0.1000,0.9939,SPEAKER_02
91.08,91.181,No,0.2180,0.9900,SPEAKER_02
91.221,91.786,necesito,0.6160,0.9995,SPEAKER_02
91.866,92.209,repetir,0.8310,0.9997,SPEAKER_02
92.229,92.269,lo,0.4940,0.9932,SPEAKER_02
92.31,92.41,que,0.9180,0.9999,SPEAKER_02
93.398,93.479,han,0.5590,0.6971,SPEAKER_02
93.539,93.721,hecho,0.7210,0.9978,SPEAKER_02
93.882,93.963,en,0.7520,0.9980,SPEAKER_02
94.003,94.144,otras,0.8150,0.9992,SPEAKER_02
94.164,94.91,"oportunidades,",0.5850,0.9992,SPEAKER_02
95.091,95.152,y,0.8140,0.9951,SPEAKER_02
95.212,95.333,creo,0.8130,0.9977,SPEAKER_02
95.374,95.454,que,0.8030,0.9999,SPEAKER_02
95.515,95.615,con,0.4610,0.9985,SPEAKER_02
95.636,96.079,bastante,0.7910,0.9993,SPEAKER_02
96.099,96.22,éxito.,0.1660,0.9999,SPEAKER_02
96.22,96.543,Pónganlo,0.1520,0.9883,SPEAKER_02
