start,end,word,alignment_score,probability,speaker
0.0,1.021,Gracias.,0.2460,0.0335,UNKNOWN
32.64,33.887,Esta,0.7440,0.9421,SPEAKER_06
33.928,34.33,experiencia,0.8410,0.9997,SPEAKER_06
34.37,34.491,me,0.2930,0.9993,SPEAKER_06
34.572,34.833,permite,0.6990,0.9999,SPEAKER_06
34.873,35.517,anticiparles,0.7220,0.9984,SPEAKER_06
35.739,36.161,que,0.9960,0.9993,SPEAKER_06
36.644,36.906,nuestro,0.4400,0.9994,SPEAKER_06
36.966,37.449,invitado,0.9630,1.0000,SPEAKER_06
37.851,38.073,está,0.8400,0.9970,SPEAKER_06
38.213,38.777,singularmente,0.8810,0.9998,SPEAKER_06
38.797,39.34,calificado,0.2890,0.9998,SPEAKER_06
39.32,39.904,para,0.2560,0.9973,SPEAKER_06
40.608,40.85,hablar,0.9650,0.9997,SPEAKER_06
40.93,41.111,sobre,0.8850,0.9999,SPEAKER_06
41.131,41.192,el,0.6940,0.9995,SPEAKER_06
41.292,41.433,tema,0.8440,1.0000,SPEAKER_06
41.453,41.494,de,0.4540,0.5855,SPEAKER_06
41.514,42.017,teología,0.7240,0.6707,SPEAKER_06
42.097,42.158,de,0.4580,0.9803,SPEAKER_06
42.218,42.258,la,0.8850,0.9999,SPEAKER_06
42.339,42.842,"liberación,",0.9000,0.9988,SPEAKER_06
42.862,44.17,tradición,0.4710,0.9997,SPEAKER_06
44.251,44.714,cristiana,0.8700,1.0000,SPEAKER_06
44.754,44.774,y,0.7510,0.9996,SPEAKER_06
44.794,45.579,tradición,0.6790,0.9998,SPEAKER_06
45.599,45.72,judía.,0.1180,0.9999,SPEAKER_06
47.7,48.584,"Además,",0.9270,0.9990,SPEAKER_06
48.604,48.644,el,0.4970,0.9999,SPEAKER_06
48.684,49.065,hecho,0.5640,1.0000,SPEAKER_06
49.146,49.347,de,0.8640,1.0000,SPEAKER_06
49.588,49.808,ser,0.9300,0.9998,SPEAKER_06
50.09,50.511,nacido,0.9140,0.9997,SPEAKER_06
50.531,50.551,y,0.9920,0.9999,SPEAKER_06
