start,end,word,alignment_score,probability,speaker
12.28,15.708,Este,0.6870,0.0486,SPEAKER_11
17.412,17.813,es,0.2860,0.0501,SPEAKER_11
17.833,18.053,el,0.1570,0.2143,SPEAKER_11
18.073,18.875,canal,0.5330,0.0396,SPEAKER_11
18.975,30.0,de,0.7280,0.9240,SPEAKER_11
32.32,33.168,El,0.8060,0.6114,SPEAKER_02
33.249,33.451,Centro,0.8200,0.9798,SPEAKER_02
33.471,33.512,de,0.6650,0.9927,SPEAKER_02
33.532,33.815,Estudios,0.7860,0.9995,SPEAKER_02
33.936,34.421,Públicos,0.8260,0.9998,SPEAKER_02
34.441,34.482,da,0.5000,0.9945,SPEAKER_02
35.047,35.532,inicio,0.9540,0.9999,SPEAKER_02
35.754,35.835,en,0.9870,0.9175,SPEAKER_02
35.875,35.936,el,0.9800,0.9997,SPEAKER_02
35.976,36.098,día,0.9680,0.9998,SPEAKER_02
36.138,36.279,de,0.7800,1.0000,SPEAKER_02
36.3,36.36,hoy,0.3340,1.0000,SPEAKER_02
36.34,38.149,a,0.8600,0.9760,SPEAKER_02
38.27,38.391,una,0.9900,0.9998,SPEAKER_02
38.471,38.712,nueva,0.7950,0.9999,SPEAKER_02
38.793,39.336,jornada,0.7240,0.9997,SPEAKER_02
39.376,39.436,de,0.6960,0.9999,SPEAKER_02
39.456,40.019,"análisis,",0.7810,1.0000,SPEAKER_02
40.059,41.648,esta,0.9820,0.9988,SPEAKER_02
41.748,41.929,vez,0.9990,1.0000,SPEAKER_02
42.412,42.894,referida,0.9170,0.9997,SPEAKER_02
42.914,43.156,a,0.7840,1.0000,SPEAKER_02
43.216,43.256,la,0.9980,0.9999,SPEAKER_02
43.296,43.497,política,0.8010,0.9831,SPEAKER_02
43.518,43.819,exterior,0.5300,0.9967,SPEAKER_02
43.839,43.879,de,0.0300,0.9994,SPEAKER_02
43.9,44.0,Chile,0.2000,0.9996,SPEAKER_02
44.72,45.647,y,0.8820,0.4056,SPEAKER_02
45.687,45.768,nos,0.9200,0.9999,SPEAKER_02
45.808,46.05,sentimos,0.6360,0.9999,SPEAKER_02
46.151,46.252,muy,0.7190,0.9998,SPEAKER_02
46.312,46.755,honrados,0.6650,0.9994,SPEAKER_02
46.997,47.058,de,0.9620,0.9997,SPEAKER_02
47.138,47.521,contar,0.9690,0.9996,SPEAKER_02
47.602,47.703,con,0.9300,0.9999,SPEAKER_02
47.743,47.783,la,0.9960,0.9998,SPEAKER_02
47.824,48.428,presencia,0.9310,0.9999,SPEAKER_02
49.436,49.537,del,0.7540,0.9995,SPEAKER_02
49.577,50.0,diplomático,0.5740,0.9997,SPEAKER_02
50.76,51.465,ex,0.6480,0.2157,SPEAKER_02
51.485,52.008,"embajador,",0.9640,0.9867,SPEAKER_02
52.028,52.552,don,0.2810,0.3657,SPEAKER_02
52.612,52.854,José,0.7190,0.9992,SPEAKER_02
52.874,53.115,Miguel,0.6210,0.9995,SPEAKER_02
53.156,53.8,"Barros,",0.8980,0.9980,SPEAKER_02
54.907,55.068,quien,0.5940,0.9559,SPEAKER_02
55.088,55.149,nos,0.7900,0.9987,SPEAKER_02
55.189,55.813,representara,0.9240,0.7072,SPEAKER_02
55.974,56.095,en,0.7220,0.9998,SPEAKER_02
56.457,56.86,"Holanda,",0.6390,0.9992,SPEAKER_02
56.92,57.701,Estados,0.6480,0.9987,SPEAKER_02
57.763,58.051,Unidos,0.8480,0.9994,SPEAKER_02
58.257,58.277,y,0.0000,0.9987,SPEAKER_02
58.298,58.401,Perú.,0.1980,0.9997,SPEAKER_02
59.18,59.805,Aparte,0.6590,0.5392,SPEAKER_02
59.825,59.865,de,0.3080,0.9996,SPEAKER_02
59.905,60.127,tener,0.9570,0.9998,SPEAKER_02
60.167,60.389,una,0.8780,0.9977,SPEAKER_02
60.832,61.618,importante,0.8270,0.9864,SPEAKER_02
61.799,62.444,vinculación,0.9780,0.9985,SPEAKER_02
63.733,63.813,al,0.9730,0.9502,SPEAKER_02
63.914,64.095,tema,0.9490,0.9996,SPEAKER_02
64.116,64.176,del,0.3070,0.9991,SPEAKER_02
64.357,64.539,canal,0.8320,0.8020,SPEAKER_02
64.559,64.599,de,0.0040,0.9892,SPEAKER_02
64.619,64.74,"Vigli,",0.1670,0.4610,SPEAKER_02
65.58,66.269,actualmente,0.8710,0.9952,SPEAKER_02
66.309,66.35,él,0.4960,0.9227,SPEAKER_02
66.37,66.876,se,0.4640,0.9992,SPEAKER_02
66.896,67.281,desempeña,0.7810,0.9994,SPEAKER_02
67.342,67.443,como,0.4410,0.9956,SPEAKER_02
67.463,67.828,profesor,0.6450,0.9998,SPEAKER_02
67.848,67.889,en,0.7220,0.9999,SPEAKER_02
68.172,68.395,algunas,0.7990,0.9998,SPEAKER_02
68.456,68.82,universidades.,0.4130,1.0000,SPEAKER_02
69.74,70.45,Don,0.5440,0.5125,SPEAKER_02
70.491,70.694,José,0.5460,0.9913,SPEAKER_02
70.714,71.039,"Miguel,",0.4840,0.9289,SPEAKER_02
72.012,72.073,le,0.5230,0.4828,SPEAKER_02
72.094,72.236,cedo,0.4740,0.7395,SPEAKER_02
72.256,72.337,el,0.5680,0.4144,SPEAKER_02
72.357,72.56,auditorio.,0.1000,0.9966,SPEAKER_02
72.7,73.19,Muchas,0.1540,0.8908,SPEAKER_02
73.211,73.381,gracias.,0.1260,0.9999,SPEAKER_02
77.86,78.668,El,0.9010,0.9532,SPEAKER_11
78.728,78.89,tema,0.9270,0.9999,SPEAKER_11
78.95,79.011,de,0.7800,1.0000,SPEAKER_11
79.072,79.112,la,1.0000,1.0000,SPEAKER_11
79.193,79.839,conferencia,0.9210,0.9998,SPEAKER_11
80.707,81.717,"es,",0.9840,0.9942,SPEAKER_11
81.737,81.777,y,0.5560,0.9996,SPEAKER_11
81.798,81.899,el,0.6260,1.0000,SPEAKER_11
81.919,82.06,"título,",0.1430,0.9997,SPEAKER_11
82.32,83.092,en,0.6020,0.3014,SPEAKER_11
83.214,83.579,torno,0.9660,1.0000,SPEAKER_11
83.6,83.62,a,1.0000,1.0000,SPEAKER_11
83.904,83.965,la,0.7590,0.9999,SPEAKER_11
84.026,84.351,política,0.9480,0.9977,SPEAKER_11
84.392,84.737,exterior,0.4660,0.9998,SPEAKER_11
84.758,84.798,de,0.1000,0.9998,SPEAKER_11
84.818,84.94,Chile.,0.1660,0.9998,SPEAKER_11
86.14,86.855,Si,0.4780,0.9950,SPEAKER_11
86.876,86.957,en,0.6580,0.9996,SPEAKER_11
86.978,87.039,vez,0.6330,0.9999,SPEAKER_11
87.08,87.121,de,0.4660,1.0000,SPEAKER_11
87.162,87.591,tratarse,0.8910,0.9997,SPEAKER_11
87.632,87.693,de,0.9620,1.0000,SPEAKER_11
87.734,87.918,un,0.9100,1.0000,SPEAKER_11
87.938,88.04,"país,",0.1930,1.0000,SPEAKER_11
88.38,88.463,si,0.4380,0.0361,SPEAKER_11
88.484,88.546,se,0.4030,0.9685,SPEAKER_11
88.609,88.879,tratara,0.9120,0.9974,SPEAKER_11
88.921,88.983,de,0.9060,0.9991,SPEAKER_11
89.025,89.108,una,0.8760,0.9990,SPEAKER_11
89.17,89.441,"persona,",0.4650,0.9988,SPEAKER_11
90.72,91.346,diría,0.9550,0.9982,SPEAKER_11
91.447,91.588,yo,0.9770,0.9961,SPEAKER_11
91.689,91.79,que,0.5540,0.9962,SPEAKER_11
91.83,91.991,esto,0.6310,0.9960,SPEAKER_11
92.072,92.657,significa,0.8950,0.9974,SPEAKER_11
92.92,93.122,hacer,0.8790,0.9955,SPEAKER_11
93.202,93.283,una,0.9390,0.9993,SPEAKER_11
93.323,93.888,biografía,0.8090,0.9984,SPEAKER_11
94.897,94.958,de,0.9860,0.9875,SPEAKER_11
94.978,95.019,la,0.0000,0.9987,SPEAKER_11
95.039,95.2,"persona,",0.1240,0.9996,SPEAKER_11
95.38,95.866,hablar,0.7820,0.9973,SPEAKER_11
95.906,95.947,de,0.9990,0.9996,SPEAKER_11
96.008,96.068,su,0.7440,0.9995,SPEAKER_11
96.17,96.716,"conducta,",0.8790,0.9998,SPEAKER_11
96.736,97.769,hacer,0.7620,0.9987,SPEAKER_11
97.83,97.91,una,0.9990,0.9997,SPEAKER_11
97.931,98.275,historia,0.8880,0.9997,SPEAKER_11
98.336,98.417,de,0.9160,0.9995,SPEAKER_11
98.498,98.599,su,0.7380,0.9994,SPEAKER_11
98.619,98.72,"vida,",0.2000,0.9999,SPEAKER_11
100.06,100.63,exhibir,0.7270,0.9959,SPEAKER_11
100.691,100.752,una,0.7020,0.9940,SPEAKER_11
100.793,101.037,especie,0.8770,0.9978,SPEAKER_11
101.058,101.098,de,0.5150,0.9994,SPEAKER_11
101.159,101.689,certificado,0.8330,0.9997,SPEAKER_11
101.709,101.75,de,0.8660,0.9992,SPEAKER_11
101.79,102.36,antecedentes.,0.5390,0.9962,SPEAKER_11
102.48,103.055,Pero,0.7590,0.9984,SPEAKER_11
103.137,103.24,como,0.8590,0.9960,SPEAKER_11
103.301,103.363,se,0.7380,0.9997,SPEAKER_11
103.445,103.609,trata,0.8150,0.9997,SPEAKER_11
103.671,103.712,de,0.9860,0.9998,SPEAKER_11
103.774,103.876,un,0.8620,0.9998,SPEAKER_11
103.897,104.041,"Estado,",0.1470,0.9598,SPEAKER_11
104.84,105.022,en,0.6570,0.9993,SPEAKER_11
105.043,105.103,el,0.7330,0.9998,SPEAKER_11
105.184,105.387,fondo,0.9460,0.9999,SPEAKER_11
105.428,105.569,esto,0.9480,0.9814,SPEAKER_11
105.63,106.117,significa,0.9750,0.9997,SPEAKER_11
106.137,106.603,hablar,0.7380,0.9996,SPEAKER_11
106.907,106.988,de,0.6620,0.9996,SPEAKER_11
107.028,107.069,la,0.9980,0.9998,SPEAKER_11
107.109,107.474,historia,0.8470,0.9993,SPEAKER_11
107.535,107.596,de,0.5700,0.9875,SPEAKER_11
107.616,107.778,ese,0.2910,0.9853,SPEAKER_11
107.798,107.94,"Estado,",0.1520,0.9982,SPEAKER_11
107.96,108.123,de,0.4530,0.5475,SPEAKER_11
108.164,108.204,la,0.9410,0.9820,SPEAKER_11
108.245,108.469,historia,0.9680,0.9999,SPEAKER_11
108.51,108.55,de,0.5300,0.9993,SPEAKER_11
108.571,108.774,sus,0.8750,0.9993,SPEAKER_11
109.019,109.385,relaciones,0.8920,0.9998,SPEAKER_11
109.507,110.24,"internacionales,",0.8370,0.9996,SPEAKER_11
110.24,110.656,la,0.4110,0.9238,SPEAKER_11
110.677,110.906,historia,0.6750,0.9998,SPEAKER_11
110.968,111.301,"diplomática,",0.4850,0.9999,SPEAKER_11
111.96,112.585,de,0.7420,0.9993,SPEAKER_11
112.625,112.686,las,0.9970,0.9992,SPEAKER_11
112.766,113.27,posiciones,0.9200,0.9998,SPEAKER_11
113.391,113.915,políticas,0.8180,0.9994,SPEAKER_11
113.935,113.955,y,0.9880,0.9999,SPEAKER_11
114.016,115.023,jurídicas,0.7570,0.9999,SPEAKER_11
115.064,115.124,que,0.3320,0.9995,SPEAKER_11
115.144,115.749,ha,0.5920,0.9999,SPEAKER_11
115.789,116.152,adoptado,0.9260,0.9995,SPEAKER_11
116.213,116.334,ese,0.6020,0.9975,SPEAKER_11
116.354,116.616,Estado,0.8920,0.9999,SPEAKER_11
116.676,116.797,ante,0.8000,0.9944,SPEAKER_11
116.817,116.878,el,0.8080,0.9999,SPEAKER_11
116.898,116.999,mundo,0.1680,0.9999,SPEAKER_11
117.019,117.2,"exterior,",0.1110,0.9998,SPEAKER_11
117.18,117.22,y,0.0950,0.5347,SPEAKER_11
117.24,118.449,tal,0.4940,0.9870,SPEAKER_11
118.529,118.67,"vez,",0.8700,0.9996,SPEAKER_11
119.959,120.523,dependiendo,0.9450,0.9999,SPEAKER_11
120.543,120.704,del,0.4830,0.9997,SPEAKER_11
120.845,121.047,foro,0.8580,0.9998,SPEAKER_11
121.148,121.248,que,0.9500,0.9996,SPEAKER_11
121.329,121.591,espero,0.9390,0.9975,SPEAKER_11
121.691,122.014,tengamos,0.9260,0.9998,SPEAKER_11
122.054,122.336,después,0.7520,0.9996,SPEAKER_11
122.396,122.457,de,0.9100,0.9998,SPEAKER_11
122.497,122.557,la,0.8350,0.9999,SPEAKER_11
122.618,122.96,"conferencia,",0.4800,0.9987,SPEAKER_11
123.98,124.404,algunas,0.6320,0.9988,SPEAKER_11
124.464,124.928,referencias,0.8990,0.9999,SPEAKER_11
124.969,125.049,a,0.2090,1.0000,SPEAKER_11
125.13,125.211,las,0.8340,1.0000,SPEAKER_11
125.271,125.917,previsiones,0.9090,0.9995,SPEAKER_11
126.058,126.219,que,0.9320,0.9999,SPEAKER_11
126.603,126.986,cabría,0.9430,0.9988,SPEAKER_11
127.087,127.511,formular,0.9810,0.9999,SPEAKER_11
128.075,128.378,acerca,0.8050,0.9997,SPEAKER_11
128.398,128.459,del,0.1910,0.9975,SPEAKER_11
128.479,128.62,futuro.,0.1430,0.9999,SPEAKER_11
130.08,130.744,Después,0.7960,0.9997,SPEAKER_11
130.785,130.825,de,0.6170,1.0000,SPEAKER_11
130.845,131.087,esta,0.8140,1.0000,SPEAKER_11
131.63,132.093,brevísima,0.9070,0.9998,SPEAKER_11
132.133,132.596,descripción,0.8290,0.9999,SPEAKER_11
132.657,132.717,de,0.6680,0.9999,SPEAKER_11
132.758,132.818,lo,0.9600,1.0000,SPEAKER_11
132.878,132.959,que,0.9230,1.0000,SPEAKER_11
133.039,133.402,debería,0.7320,1.0000,SPEAKER_11
133.543,133.704,ser,0.9780,0.9999,SPEAKER_11
