start,end,word,alignment_score,probability,speaker
26.24,29.013,Muy,0.6250,0.6690,SPEAKER_14
29.053,29.357,buenas,0.5740,0.9994,SPEAKER_14
29.397,29.66,tardes.,0.6430,1.0000,SPEAKER_14
31.54,32.385,En,0.7260,0.7192,SPEAKER_14
32.446,32.667,nombre,0.7790,0.9962,SPEAKER_14
32.687,32.788,del,0.7750,0.9998,SPEAKER_14
32.888,33.11,Centro,0.8030,0.9967,SPEAKER_14
33.13,33.19,de,0.7360,0.9998,SPEAKER_14
33.21,33.532,Estudios,0.5960,0.9995,SPEAKER_14
33.673,34.076,"Públicos,",0.9130,0.9999,SPEAKER_14
35.323,35.505,quiero,0.8120,0.9993,SPEAKER_14
35.565,36.028,agradecer,0.8630,1.0000,SPEAKER_14
36.068,36.149,la,0.6660,0.9997,SPEAKER_14
36.189,36.591,presencia,0.8710,0.9998,SPEAKER_14
36.652,36.712,de,0.9520,0.9998,SPEAKER_14
36.752,37.034,ustedes,0.7450,0.9988,SPEAKER_14
37.155,37.396,aquí,0.8330,0.9995,SPEAKER_14
37.416,37.859,esta,0.3320,0.9888,SPEAKER_14
37.879,38.0,tarde.,0.1660,1.0000,SPEAKER_14
38.68,39.503,El,0.7520,0.9985,SPEAKER_14
39.564,39.985,objetivo,0.8750,0.9998,SPEAKER_14
40.086,40.126,de,0.6640,1.0000,SPEAKER_14
40.186,40.327,esta,0.9800,0.9997,SPEAKER_14
40.407,40.748,reunión,0.9050,1.0000,SPEAKER_14
40.788,40.829,es,0.4980,0.9994,SPEAKER_14
40.849,42.114,tomar,0.9710,0.9998,SPEAKER_14
42.234,42.796,contacto,0.9790,0.9999,SPEAKER_14
44.363,44.483,con,0.9970,0.9994,SPEAKER_14
44.564,44.985,ustedes,0.8230,0.9988,SPEAKER_14
45.005,45.025,a,0.9890,0.9970,SPEAKER_14
45.066,46.23,propósito,0.8480,1.0000,SPEAKER_14
47.033,47.174,del,0.7880,0.9995,SPEAKER_14
47.254,47.556,libro,0.9730,0.9998,SPEAKER_14
47.997,48.078,El,0.9360,0.9793,SPEAKER_14
48.118,48.278,Otro,0.8330,0.8694,SPEAKER_14
48.399,48.7,"Sendero,",0.2980,0.9980,SPEAKER_14
50.06,50.344,del,0.7430,0.9927,SPEAKER_14
50.405,50.527,cual,0.9040,0.9998,SPEAKER_14
50.568,50.629,es,0.9600,0.9972,SPEAKER_14
50.71,51.015,autor,0.9550,0.9984,SPEAKER_14
51.035,51.441,don,0.2710,0.5606,SPEAKER_14
51.462,51.827,Hernando,0.8540,0.9984,SPEAKER_14
51.888,51.969,de,0.8160,0.9876,SPEAKER_14
52.03,52.254,Soto,0.9650,0.9993,SPEAKER_14
52.294,52.477,aquí,0.7440,0.8645,SPEAKER_14
52.497,52.68,"presente,",0.1080,0.9996,SPEAKER_14
53.54,54.368,y,0.8040,0.9995,SPEAKER_14
54.388,54.449,que,0.8140,0.9999,SPEAKER_14
54.509,54.691,lleva,0.9760,0.9996,SPEAKER_14
54.812,55.176,prólogo,0.9420,0.9955,SPEAKER_14
55.216,55.317,del,0.7120,0.9923,SPEAKER_14
55.378,55.519,gran,0.8770,0.9997,SPEAKER_14
55.559,55.983,novelista,0.9080,0.9991,SPEAKER_14
56.105,56.529,peruano,0.9740,0.9995,SPEAKER_14
56.892,57.114,Mario,0.8810,0.9908,SPEAKER_14
57.215,57.599,Vargas,0.7810,0.9992,SPEAKER_14
57.619,57.74,"Llosa,",0.1690,0.9925,SPEAKER_14
57.88,58.981,y,0.7770,0.9975,SPEAKER_14
59.063,59.144,que,0.5760,0.9998,SPEAKER_14
59.185,59.246,es,0.7530,0.9996,SPEAKER_14
59.287,59.368,uno,0.8730,0.9982,SPEAKER_14
59.389,59.45,de,0.7480,0.9999,SPEAKER_14
59.491,59.572,los,0.8490,0.9997,SPEAKER_14
59.633,59.858,libros,0.7980,0.9978,SPEAKER_14
59.878,60.0,más...,0.1660,0.4934,SPEAKER_14
60.0,60.204,...más,0.1240,0.4975,SPEAKER_14
60.265,60.57,vendidos,0.6290,0.9931,SPEAKER_14
60.652,60.713,en,0.7420,0.9987,SPEAKER_14
60.754,60.917,este,0.7260,0.9958,SPEAKER_14
60.978,61.344,momento,0.7580,0.9999,SPEAKER_14
61.426,61.487,en,0.7200,0.9970,SPEAKER_14
61.528,61.589,el,0.8760,0.9997,SPEAKER_14
61.69,62.24,"continente,",0.7840,0.9987,SPEAKER_14
63.14,63.642,y,0.8740,0.9930,SPEAKER_14
63.662,63.742,que,0.8270,0.9994,SPEAKER_14
63.863,64.184,trata,0.9130,0.9996,SPEAKER_14
64.365,64.445,de,0.9940,0.9684,SPEAKER_14
64.506,64.586,la,0.9980,0.9977,SPEAKER_14
64.626,65.208,actividad,0.8780,0.9975,SPEAKER_14
65.249,66.112,económica,0.8770,0.9792,SPEAKER_14
66.152,67.197,informal,0.9420,0.9444,SPEAKER_14
68.12,68.161,y,0.8080,0.4862,SPEAKER_14
68.201,68.261,de,0.9360,0.9986,SPEAKER_14
68.301,68.381,los,0.8910,0.9994,SPEAKER_14
68.502,69.104,procesos,0.8920,0.9993,SPEAKER_14
70.048,70.169,para,0.9700,0.9834,SPEAKER_14
70.329,71.052,formalizar,0.9560,0.9997,SPEAKER_14
71.072,71.113,la,0.5000,0.9943,SPEAKER_14
72.257,72.739,economía,0.9540,0.9998,SPEAKER_14
72.759,72.94,"informal,",0.1110,0.9991,SPEAKER_14
74.16,74.523,de,0.9070,0.9993,SPEAKER_14
74.563,74.644,las,0.9810,0.9997,SPEAKER_14
74.705,75.289,ventajas,0.8390,0.9997,SPEAKER_14
75.552,75.632,que,0.9790,0.9991,SPEAKER_14
75.733,76.015,tiene,0.8980,0.9997,SPEAKER_14
76.459,76.499,la,1.0000,0.9992,SPEAKER_14
76.54,76.943,economía,0.7660,0.9999,SPEAKER_14
77.064,77.467,formal,0.9020,0.9980,SPEAKER_14
78.113,78.476,versus,0.9280,0.9942,SPEAKER_14
78.677,78.798,la,0.8660,0.9994,SPEAKER_14
78.819,79.0,"informal,",0.1110,0.9998,SPEAKER_14
79.38,80.083,pero,0.7320,0.9995,SPEAKER_14
80.164,80.405,también,0.8530,0.9997,SPEAKER_14
80.425,80.465,de,0.4700,0.9996,SPEAKER_14
80.505,80.706,las,0.6010,0.9998,SPEAKER_14
80.767,81.229,virtudes,0.8730,0.9999,SPEAKER_14
81.269,83.198,empresariales,0.8960,0.9995,SPEAKER_14
83.921,84.122,que,0.9560,0.9804,SPEAKER_14
84.323,84.384,en,0.9260,0.9774,SPEAKER_14
84.504,84.745,muchos,0.7480,0.9997,SPEAKER_14
84.846,85.187,países,0.6460,0.9986,SPEAKER_14
85.208,85.248,se,0.5000,0.9960,SPEAKER_14
85.891,86.453,canalizan,0.9850,0.9998,SPEAKER_14
86.775,86.896,por,0.9560,0.9974,SPEAKER_14
86.976,87.036,la,0.9800,0.9999,SPEAKER_14
87.096,87.237,vía,0.6630,0.7683,SPEAKER_14
87.297,87.358,de,0.6510,0.9973,SPEAKER_14
87.378,87.498,lo,0.4500,0.9996,SPEAKER_14
87.579,87.719,no,0.8930,0.9992,SPEAKER_14
87.74,87.86,"legal,",0.1660,0.9976,SPEAKER_14
87.84,89.367,debido,0.9590,0.9324,SPEAKER_14
