start,end,word,alignment_score,probability,speaker
29.06,29.269,El,0.3640,0.9480,SPEAKER_11
29.29,29.52,Centro,0.3100,0.9498,SPEAKER_11
29.541,29.583,de,0.0000,0.9083,SPEAKER_11
29.604,29.813,Estudios,0.1260,0.9997,SPEAKER_11
29.834,30.001,Públicos,0.1250,0.9985,SPEAKER_11
33.72,34.563,En,0.4140,0.9406,SPEAKER_11
34.623,34.804,primer,0.8020,0.9998,SPEAKER_11
34.864,35.024,lugar,0.8250,1.0000,SPEAKER_11
35.345,35.386,va,0.9650,0.3934,SPEAKER_11
35.406,35.426,a,0.0260,0.9984,SPEAKER_11
35.446,35.586,hacer,0.4520,0.9068,SPEAKER_11
35.646,35.727,uso,0.9770,0.9998,SPEAKER_11
35.747,35.787,de,0.5100,0.7561,SPEAKER_11
35.807,35.867,la,0.7490,0.9999,SPEAKER_11
35.927,36.208,palabra,0.9350,0.9992,SPEAKER_11
36.228,36.289,don,0.3310,0.6923,SPEAKER_11
36.67,37.031,Eduardo,0.5920,0.9996,SPEAKER_11
37.111,37.473,"García,",0.8660,0.9998,SPEAKER_11
38.376,38.496,que,0.7470,0.9942,SPEAKER_11
38.576,38.657,es,0.6900,1.0000,SPEAKER_11
38.717,38.998,ingeniero,0.7310,0.9834,SPEAKER_11
39.078,39.339,comercial,0.6820,0.9998,SPEAKER_11
39.379,39.439,de,0.7240,0.9998,SPEAKER_11
39.459,39.499,la,0.8410,0.9999,SPEAKER_11
39.539,39.901,Universidad,0.8360,0.9994,SPEAKER_11
39.921,39.961,de,0.8600,1.0000,SPEAKER_11
40.041,40.282,"Chile,",0.7100,0.9999,SPEAKER_11
40.744,41.045,doctor,0.8930,0.9951,SPEAKER_11
41.105,41.145,en,0.4790,0.9974,SPEAKER_11
41.245,41.606,Economía,0.8550,0.8027,SPEAKER_11
41.626,41.687,del,0.3310,0.9988,SPEAKER_11
42.249,42.65,"MIT,",0.8420,0.9999,SPEAKER_11
43.132,43.433,director,0.8570,0.9862,SPEAKER_11
43.473,43.553,del,0.7990,0.9998,SPEAKER_11
43.593,43.834,Programa,0.6380,0.8232,SPEAKER_11
43.854,43.894,de,0.1560,0.9984,SPEAKER_11
43.914,44.556,Investigaciones,0.8120,0.9990,SPEAKER_11
45.158,45.299,del,0.9140,0.9995,SPEAKER_11
45.419,45.68,ILPES.,0.4530,0.9514,SPEAKER_11
45.86,46.49,Con,0.4480,0.6254,SPEAKER_11
46.51,48.054,"ustedes,",0.5980,0.9958,SPEAKER_11
48.074,48.135,don,0.0020,0.9995,SPEAKER_11
48.156,48.298,Eduardo,0.0060,0.9999,SPEAKER_11
48.318,48.46,García.,0.1430,1.0000,SPEAKER_11
52.46,53.264,Vamos,0.9140,0.9543,SPEAKER_11
53.305,53.325,a,0.0960,1.0000,SPEAKER_11
53.365,53.526,hacer,0.9270,0.9991,SPEAKER_11
53.566,53.807,primero,0.9290,0.9999,SPEAKER_11
53.848,53.908,las,0.3340,0.9999,SPEAKER_11
54.511,54.652,dos,0.9620,0.7684,SPEAKER_11
54.753,55.316,"exposiciones,",0.8510,0.9995,SPEAKER_11
56.1,56.422,después,0.8240,0.9981,SPEAKER_11
56.784,56.885,van,0.8680,0.9999,SPEAKER_11
56.905,56.945,a,0.4960,1.0000,SPEAKER_11
56.965,57.327,"exponer,",0.8880,0.7543,SPEAKER_11
57.729,57.85,van,0.8660,0.9993,SPEAKER_11
57.89,58.051,a,0.9920,1.0000,SPEAKER_11
58.433,59.539,comentar,0.8970,0.9997,SPEAKER_11
59.559,59.68,los...,0.1910,0.3279,SPEAKER_11
60.0,60.945,"...comentaristas,",0.9010,0.7477,SPEAKER_11
60.965,60.986,y,0.9960,0.9928,SPEAKER_11
61.549,61.73,después,0.3150,0.9973,SPEAKER_11
61.75,61.79,va,0.7500,0.9899,SPEAKER_11
61.81,61.83,a,0.7850,0.9998,SPEAKER_11
61.851,62.032,quedar,0.7570,0.9982,SPEAKER_11
62.092,62.494,abierta,0.9680,0.9966,SPEAKER_11
62.514,62.534,a,0.9960,0.4028,SPEAKER_11
64.103,64.405,las,0.7500,0.9520,SPEAKER_11
65.109,65.511,preguntas,0.9130,0.9594,SPEAKER_11
65.531,65.552,y,0.8850,0.7560,SPEAKER_11
65.733,66.095,planteamientos,0.8200,0.9971,SPEAKER_11
66.135,66.235,que,0.7680,0.7527,SPEAKER_11
66.256,66.416,pueden,0.6730,0.9187,SPEAKER_11
66.457,66.618,hacer,0.8550,0.9973,SPEAKER_11
66.678,66.879,desde,0.6770,0.9917,SPEAKER_11
66.899,66.939,la,0.0240,0.9988,SPEAKER_11
66.96,67.06,sala.,0.2000,0.9969,SPEAKER_11
73.44,74.863,"Bien,",0.1970,0.9660,SPEAKER_12
74.884,74.924,yo,0.0040,0.4417,SPEAKER_12
74.944,75.004,en,0.8630,0.9635,SPEAKER_12
75.044,75.204,primer,0.7950,0.9991,SPEAKER_12
75.244,75.405,lugar,0.8500,1.0000,SPEAKER_12
75.425,75.906,quiero,0.6080,0.9988,SPEAKER_12
76.648,77.229,agradecer,0.6610,0.9997,SPEAKER_12
77.249,77.911,esta,0.8840,0.9998,SPEAKER_12
78.933,79.194,gentil,0.7550,0.9983,SPEAKER_12
79.214,79.756,invitación,0.9050,0.9999,SPEAKER_12
79.776,80.437,del,0.4770,0.9941,SPEAKER_12
80.537,80.698,Centro,0.7400,0.9922,SPEAKER_12
80.718,80.758,de,0.9680,0.9998,SPEAKER_12
80.778,81.039,Estudios,0.7430,0.9994,SPEAKER_12
81.159,81.58,Públicos,0.9370,0.9987,SPEAKER_12
83.485,83.866,para,0.9770,0.6585,SPEAKER_12
84.367,84.948,participar,0.9930,0.9973,SPEAKER_12
87.114,87.174,en,0.9820,0.9975,SPEAKER_12
87.214,87.334,este,0.9630,0.9997,SPEAKER_12
87.394,87.695,debate,0.9440,0.9795,SPEAKER_12
87.735,88.076,sobre,0.8190,0.9962,SPEAKER_12
88.156,88.216,un,0.9760,0.9998,SPEAKER_12
88.297,88.457,tema,0.6260,0.9999,SPEAKER_12
88.497,88.557,que,0.3340,0.9982,SPEAKER_12
88.918,89.439,ciertamente,0.9790,0.9975,SPEAKER_12
