start,end,word,alignment_score,probability,speaker
0.0,0.283,El,0.9420,0.9884,SPEAKER_00
0.323,0.686,acuerdo,0.8650,0.9811,SPEAKER_00
0.767,0.827,de,0.6890,0.9996,SPEAKER_00
0.868,0.928,la,0.9460,0.9996,SPEAKER_00
0.989,1.272,Cámara,0.9530,0.9812,SPEAKER_00
1.857,2.22,resultó,0.9740,0.9980,SPEAKER_00
2.26,2.301,un,0.5000,0.9992,SPEAKER_00
2.523,2.725,paso,0.9720,0.9998,SPEAKER_00
2.826,3.108,clave,0.8530,0.9999,SPEAKER_00
3.128,3.169,en,0.4790,0.9993,SPEAKER_00
3.33,3.371,la,0.9920,0.9999,SPEAKER_00
3.411,3.835,escalada,0.9220,0.9996,SPEAKER_00
3.895,3.956,de,0.9620,0.9999,SPEAKER_00
3.996,4.077,los,0.8350,0.9997,SPEAKER_00
4.117,4.44,"golpistas,",0.4320,0.9997,SPEAKER_00
4.68,5.387,los,0.7180,0.9987,SPEAKER_00
5.467,5.73,mismos,0.9850,0.9996,SPEAKER_00
5.77,6.275,que,0.7940,0.9991,SPEAKER_00
6.356,6.921,organizaron,0.9680,0.9999,SPEAKER_00
7.002,7.042,la,0.9960,0.9998,SPEAKER_00
7.103,7.749,manifestación,0.9700,0.9999,SPEAKER_00
7.85,7.911,de,0.9870,0.9998,SPEAKER_00
7.971,8.052,un,0.9830,0.9998,SPEAKER_00
8.113,8.314,grupo,0.7980,0.9999,SPEAKER_00
8.395,8.476,de,0.8940,0.9999,SPEAKER_00
8.577,8.92,señoras,0.7580,0.9994,SPEAKER_00
8.9,9.776,frente,0.8950,0.9681,SPEAKER_00
9.797,9.838,a,0.4990,0.9997,SPEAKER_00
9.878,9.919,la,0.8070,0.9998,SPEAKER_00
10.001,10.225,casa,0.9410,0.9962,SPEAKER_00
10.286,10.408,del,0.8120,0.9994,SPEAKER_00
10.49,10.918,general,0.9580,0.9445,SPEAKER_00
10.938,11.06,Prats.,0.1630,0.9818,SPEAKER_00
46.78,47.767,En,0.7140,0.3138,SPEAKER_02
48.009,49.862,otro,0.5720,0.9854,SPEAKER_02
50.003,51.07,lugar,0.5010,0.9993,SPEAKER_02
51.09,51.292,de,0.5820,0.9963,SPEAKER_02
51.533,52.52,"Santiago,",0.4440,0.9968,SPEAKER_02
60.72,64.605,el,0.3730,0.0076,SPEAKER_03
64.625,71.875,gobierno,0.4790,0.3872,SPEAKER_03
71.895,71.935,de,0.0100,0.1819,SPEAKER_03
71.955,73.417,la,0.5140,0.1910,SPEAKER_03
73.437,75.48,Cámara,0.3220,0.4515,SPEAKER_03
75.5,75.741,resultó,0.1180,0.1424,SPEAKER_03
75.761,75.801,un,0.0050,0.0237,SPEAKER_03
75.821,77.683,paso,0.4730,0.0004,SPEAKER_03
77.703,78.084,clave,0.2380,0.4657,SPEAKER_03
78.104,78.144,en,0.0020,0.2075,SPEAKER_03
78.164,79.125,la,0.4970,0.6439,SPEAKER_03
79.145,85.614,escalada,0.4610,0.1560,SPEAKER_03
85.634,85.995,de,0.5210,0.3348,SPEAKER_03
86.015,86.315,los,0.2870,0.0617,SPEAKER_03
86.335,90.0,"golpistas,",0.3160,0.1725,SPEAKER_03
89.98,90.02,el,0.1030,0.0136,SPEAKER_00
91.101,93.705,gobierno,0.6050,0.0390,SPEAKER_00
93.725,93.805,de,0.4600,0.3548,SPEAKER_00
93.865,93.905,la,0.9960,0.1725,SPEAKER_00
93.965,94.466,Cámara,0.6800,0.4499,SPEAKER_00
94.506,95.608,resultó,0.4390,0.2150,SPEAKER_00
95.628,95.668,un,0.4980,0.0131,SPEAKER_00
96.609,96.909,paso,0.3430,0.0004,SPEAKER_00
97.59,99.373,clave,0.7840,0.3083,SPEAKER_00
99.393,99.433,en,0.5000,0.1814,SPEAKER_00
99.453,99.513,la,0.4070,0.5401,SPEAKER_00
99.593,100.394,escalada,0.4060,0.1368,SPEAKER_00
101.716,101.916,de,0.6470,0.3718,SPEAKER_00
102.116,102.617,los,0.6340,0.0671,SPEAKER_00
102.637,119.98,"golpistas,",0.3580,0.0906,SPEAKER_00
119.98,122.023,el,0.7120,0.0986,SPEAKER_01
122.063,123.965,gobierno,0.5770,0.3234,SPEAKER_01
123.986,124.026,de,0.4940,0.0121,SPEAKER_01
124.386,124.887,la,0.3800,0.1562,SPEAKER_01
128.932,133.258,Cámara,0.7080,0.4372,SPEAKER_01
133.459,136.623,resultó,0.6020,0.0387,SPEAKER_01
136.863,138.325,un,0.8120,0.0253,SPEAKER_01
138.345,138.786,paso,0.4900,0.0004,SPEAKER_01
138.926,139.527,clave,0.7560,0.4554,SPEAKER_01
140.668,141.029,en,0.6940,0.1305,SPEAKER_01
141.349,141.43,la,0.9370,0.4764,SPEAKER_01
141.57,142.211,escalada,0.3650,0.1758,SPEAKER_01
142.451,142.992,de,0.6000,0.3731,SPEAKER_01
145.375,145.936,los,0.5320,0.0863,SPEAKER_01
145.956,149.08,"golpistas,",0.4470,0.3111,SPEAKER_01
149.98,150.061,y,0.2060,0.1103,SPEAKER_01
150.122,150.224,ellos,0.1950,0.6243,SPEAKER_01
150.245,150.285,se,0.3000,0.8468,SPEAKER_01
150.306,150.713,"esconden,",0.3870,0.9894,SPEAKER_01
152.036,152.117,como,0.2080,0.8742,SPEAKER_01
152.138,152.3,siempre.,0.1250,0.0908,SPEAKER_01
