start,end,word,alignment_score,probability,speaker
0.0,0.423,Muy,0.7900,0.9961,SPEAKER_03
0.464,0.645,buenas,0.6550,1.0000,SPEAKER_03
0.746,1.069,"tardes,",0.9700,1.0000,SPEAKER_03
2.178,2.319,quiero,0.9100,0.9999,SPEAKER_03
2.359,2.52,darles,0.8190,0.9970,SPEAKER_03
2.561,2.601,la,0.9770,1.0000,SPEAKER_03
2.641,3.105,bienvenida,0.8890,1.0000,SPEAKER_03
3.125,3.146,a,0.9850,0.9998,SPEAKER_03
4.275,4.416,este,0.8720,0.9999,SPEAKER_03
4.456,4.94,seminario.,0.8480,1.0000,SPEAKER_03
6.5,7.286,Es,0.8070,0.9977,SPEAKER_03
7.346,7.507,para,0.9790,1.0000,SPEAKER_03
7.548,7.608,el,0.7740,1.0000,SPEAKER_03
7.689,7.85,Centro,0.7330,0.9997,SPEAKER_03
7.87,7.91,de,0.5260,0.9969,SPEAKER_03
7.93,8.152,Estudios,0.5980,0.9990,SPEAKER_03
8.233,8.515,Públicos,0.8510,0.9995,SPEAKER_03
8.676,8.777,un,0.6680,0.9996,SPEAKER_03
8.978,9.119,gran,0.9720,1.0000,SPEAKER_03
9.159,9.442,honor,0.8650,1.0000,SPEAKER_03
11.094,11.356,tener,0.9450,0.9993,SPEAKER_03
11.617,11.738,esta,0.4890,1.0000,SPEAKER_03
11.759,11.98,oportunidad,0.0900,1.0000,SPEAKER_03
11.96,12.302,para,0.1510,1.0000,SPEAKER_03
12.322,12.685,poder,0.7040,1.0000,SPEAKER_03
12.846,13.248,discutir,0.8870,1.0000,SPEAKER_03
13.269,14.738,este,0.6420,0.9999,SPEAKER_03
14.799,15.221,trabajo,0.8530,1.0000,SPEAKER_03
15.262,15.302,en,0.5000,1.0000,SPEAKER_03
16.248,16.711,presencia,0.9340,1.0000,SPEAKER_03
16.751,16.812,de,0.7420,1.0000,SPEAKER_03
16.933,17.235,personas,0.8220,1.0000,SPEAKER_03
17.416,17.557,tan,0.5270,1.0000,SPEAKER_03
17.839,18.08,distinguidas,0.0830,0.9997,SPEAKER_03
18.06,18.161,como,0.1060,1.0000,SPEAKER_03
18.181,18.242,las,0.1060,0.9995,SPEAKER_03
18.444,18.545,que,0.1190,1.0000,SPEAKER_03
18.585,18.807,tenemos,0.4900,1.0000,SPEAKER_03
18.868,19.07,"aquí,",0.8600,1.0000,SPEAKER_03
20.807,20.908,tan,0.7530,0.9995,SPEAKER_03
20.969,21.575,experimentadas,0.8080,0.9999,SPEAKER_03
21.635,21.656,y,0.6940,0.9998,SPEAKER_03
21.676,21.736,que,0.2840,0.9751,SPEAKER_03
21.757,21.858,tan,0.5690,0.9982,SPEAKER_03
21.878,22.12,directamente,0.0840,1.0000,SPEAKER_03
22.1,23.17,trabajan,0.7000,1.0000,SPEAKER_03
23.452,23.513,en,0.7320,1.0000,SPEAKER_03
23.553,23.735,esta,0.9270,0.9999,SPEAKER_03
23.816,24.018,área,0.9210,0.9999,SPEAKER_03
24.684,24.805,que,0.7900,0.5565,SPEAKER_03
24.906,25.007,es,0.8870,1.0000,SPEAKER_03
25.188,25.289,una,0.7040,1.0000,SPEAKER_03
25.31,25.35,de,0.9980,1.0000,SPEAKER_03
25.39,25.451,las,0.9990,1.0000,SPEAKER_03
25.491,25.653,áreas,0.7670,0.9998,SPEAKER_03
25.774,26.016,claves,0.7990,0.9989,SPEAKER_03
26.077,26.137,del,0.6370,0.9998,SPEAKER_03
26.178,26.46,ordenamiento,0.1060,0.9999,SPEAKER_03
26.44,27.165,constitucional,0.3620,0.8908,SPEAKER_03
27.205,27.346,del,0.4570,0.9944,SPEAKER_03
27.407,27.568,país.,0.9970,0.9936,SPEAKER_03
27.588,29.3,El,0.9540,0.9936,SPEAKER_03
29.824,30.005,tema,0.9840,0.9998,SPEAKER_03
30.046,30.59,tiene,0.9160,0.9993,SPEAKER_03
30.61,30.69,que,0.7960,0.9999,SPEAKER_03
30.751,30.831,ver,0.8190,0.9999,SPEAKER_03
30.892,30.972,con,0.6720,0.9997,SPEAKER_03
31.033,31.073,la,0.9980,0.9997,SPEAKER_03
31.133,31.516,función,0.8310,0.9988,SPEAKER_03
31.536,31.556,y,0.9840,0.9995,SPEAKER_03
