start,end,word,alignment_score,probability,speaker
3.54,4.525,Me,0.6000,0.8834,SPEAKER_06
4.585,5.047,corresponde,0.8540,1.0000,SPEAKER_06
5.128,5.349,hoy,0.8320,0.9990,SPEAKER_06
5.65,6.133,moderar,0.9820,0.9994,SPEAKER_06
7.62,7.68,la,0.9850,0.9996,SPEAKER_06
7.72,8.022,tercera,0.9310,0.9997,SPEAKER_06
8.082,8.404,sesión,0.8160,0.9999,SPEAKER_06
8.424,8.484,del,0.3300,0.9999,SPEAKER_06
8.504,9.449,seminario,0.8080,0.9980,SPEAKER_06
9.469,10.454,titulado,0.5640,0.9970,SPEAKER_06
10.534,11.057,Transición,0.7940,0.9984,SPEAKER_06
11.077,11.097,a,0.9900,0.9999,SPEAKER_06
11.137,11.177,la,0.5000,1.0000,SPEAKER_06
11.559,11.76,Democracia,0.1000,0.8539,SPEAKER_06
11.74,11.8,y,0.1330,0.9983,SPEAKER_06
11.881,12.303,Sistema,0.3260,0.7483,SPEAKER_06
12.323,12.363,de,0.4300,0.9999,SPEAKER_06
12.464,12.705,Partidos,0.6240,0.9992,SPEAKER_06
12.785,13.228,Políticos.,0.8740,0.9997,SPEAKER_06
16.444,16.524,En,0.9740,0.9998,SPEAKER_06
16.585,16.685,una,0.9650,0.9999,SPEAKER_06
16.745,16.946,primera,0.8850,1.0000,SPEAKER_06
17.007,17.288,sesión,0.8450,1.0000,SPEAKER_06
17.308,17.348,me,0.4760,0.7951,SPEAKER_06
17.389,17.771,expuso,0.8080,0.9929,SPEAKER_06
17.791,17.831,el,0.4620,0.9866,SPEAKER_06
17.952,18.454,profesor,0.6890,0.9831,SPEAKER_06
18.675,19.017,"Uneus,",0.7900,0.9258,SPEAKER_06
19.037,19.077,en,0.2720,0.9733,SPEAKER_06
19.58,19.64,una,0.3080,0.9983,SPEAKER_06
19.62,19.841,segunda,0.0690,0.0003,SPEAKER_06
19.861,19.981,sesión,0.0950,0.9629,SPEAKER_06
20.001,20.343,expuso...,0.4700,0.6579,SPEAKER_06
20.363,21.226,¿Quién,0.5900,0.8392,SPEAKER_06
21.246,21.728,expuso,0.7990,0.9912,SPEAKER_06
25.582,25.683,una,0.6560,0.8784,SPEAKER_06
25.723,25.984,segunda,0.7810,0.9989,SPEAKER_06
26.124,26.947,sesión?,0.3820,0.9994,SPEAKER_06
28.674,28.855,Ahora,0.8850,0.9398,SPEAKER_06
28.895,28.995,va,0.6800,0.4811,SPEAKER_06
29.015,29.035,a,0.8480,0.9998,SPEAKER_06
29.136,29.316,poner,0.8480,0.9802,SPEAKER_06
29.377,29.638,"tú,",0.6230,0.8808,SPEAKER_06
29.658,29.778,pero,0.7370,0.8952,SPEAKER_06
29.818,29.979,esta,0.5680,0.9961,SPEAKER_06
30.019,30.059,es,0.0040,0.9999,SPEAKER_06
30.079,30.119,la,0.0000,1.0000,SPEAKER_06
30.139,30.3,tercera.,0.1360,0.9975,SPEAKER_06
30.56,31.147,Esta,0.2340,0.6766,SPEAKER_06
31.167,31.208,es,0.4040,1.0000,SPEAKER_06
31.248,31.309,la,0.7430,1.0000,SPEAKER_06
31.349,31.673,segunda.,0.6960,0.9999,SPEAKER_06
31.693,31.754,"Ah,",0.0600,0.8432,SPEAKER_06
31.774,31.875,esta,0.4020,0.9988,SPEAKER_06
31.896,31.936,es,0.4840,1.0000,SPEAKER_06
31.956,32.017,la,0.8510,1.0000,SPEAKER_06
