start,end,word,alignment_score,probability,speaker
0.0,0.526,Voz,0.8450,0.9958,SPEAKER_00
0.608,0.668,de,0.8740,0.9999,SPEAKER_00
0.709,0.77,la,0.7500,1.0000,SPEAKER_00
0.85,1.154,Iglesia,0.8290,0.9591,SPEAKER_00
1.235,1.701,Católica,0.9940,0.9993,SPEAKER_00
1.721,1.782,que,0.3330,0.9530,SPEAKER_00
2.41,2.511,no,0.9340,0.9998,SPEAKER_00
2.612,2.774,fue,0.7070,0.9997,SPEAKER_00
2.794,3.26,escuchada.,0.6420,1.0000,SPEAKER_00
3.92,4.466,Voz,0.9200,1.0000,SPEAKER_00
4.668,4.81,para,0.8460,0.9999,SPEAKER_00
4.871,4.931,la,0.8960,1.0000,SPEAKER_00
4.972,5.053,que,0.7430,0.9997,SPEAKER_00
5.113,5.174,no,0.9170,1.0000,SPEAKER_00
5.255,5.396,hubo,0.9930,1.0000,SPEAKER_00
5.417,5.942,espacio,0.7320,1.0000,SPEAKER_00
5.983,6.205,entre,0.7840,1.0000,SPEAKER_00
6.307,6.367,los,0.9660,1.0000,SPEAKER_00
6.408,6.489,que,0.7810,1.0000,SPEAKER_00
6.65,6.974,reían,0.7870,0.9999,SPEAKER_00
7.035,7.055,y,0.9350,1.0000,SPEAKER_00
7.136,7.54,celebraban.,0.6430,0.9996,SPEAKER_00
7.88,8.509,En,0.8710,0.9999,SPEAKER_00
8.549,8.61,el,0.9720,1.0000,SPEAKER_00
8.671,8.874,canal,0.9860,0.9990,SPEAKER_00
8.915,8.976,de,0.9260,1.0000,SPEAKER_00
9.036,9.503,televisión,0.9440,0.9998,SPEAKER_00
9.584,9.645,de,0.8400,1.0000,SPEAKER_00
9.706,9.746,la,0.9920,1.0000,SPEAKER_00
9.828,10.335,Universidad,0.8630,0.9999,SPEAKER_00
10.538,10.72,"Católica,",0.1060,1.0000,SPEAKER_00
11.48,11.682,la,0.4700,0.9998,SPEAKER_00
11.784,12.067,última,0.8610,1.0000,SPEAKER_00
12.168,12.675,transmisión,0.9070,1.0000,SPEAKER_00
12.695,12.735,de,0.4940,1.0000,SPEAKER_00
13.404,13.444,A,0.9190,0.9870,SPEAKER_00
13.525,13.687,esta,0.9240,0.6876,SPEAKER_00
13.788,13.971,hora,0.9960,0.9976,SPEAKER_00
14.011,14.355,se,0.8310,0.9980,SPEAKER_00
14.416,14.76,improvisa.,0.5000,0.9989,SPEAKER_00
45.34,46.343,Voz,0.3900,0.4082,SPEAKER_02
46.363,48.228,para,0.3650,0.0006,SPEAKER_02
48.308,48.569,la,0.5180,0.1377,SPEAKER_02
48.589,49.15,que,0.3900,0.0029,SPEAKER_02
49.17,49.251,no,0.6460,0.1753,SPEAKER_02
49.431,49.612,hubo,0.2310,0.1163,SPEAKER_02
49.632,50.133,espacio,0.2950,0.0004,SPEAKER_02
50.153,51.998,entre,0.5040,0.0041,SPEAKER_02
52.018,56.651,los,0.5450,0.2423,SPEAKER_02
56.671,56.771,que,0.4520,0.0115,SPEAKER_02
56.892,59.378,reían,0.5280,0.0018,SPEAKER_02
59.398,59.418,y,0.5560,0.0847,SPEAKER_02
59.479,60.0,celebraban.,0.3880,0.6438,SPEAKER_02
71.48,75.308,Voz,0.3540,0.4268,SPEAKER_01
75.328,77.092,para,0.5970,0.0008,SPEAKER_01
77.112,77.172,la,0.3800,0.1424,SPEAKER_01
77.192,77.273,que,0.4030,0.0047,SPEAKER_01
77.313,77.373,no,0.5480,0.1766,SPEAKER_01
77.673,79.357,hubo,0.2030,0.1067,SPEAKER_01
79.397,80.52,espacio,0.5560,0.0004,SPEAKER_01
81.321,82.143,entre,0.4560,0.0030,SPEAKER_01
82.183,82.263,los,0.3780,0.2014,SPEAKER_01
82.283,82.364,que,0.4390,0.0114,SPEAKER_01
82.384,83.446,reían,0.5280,0.0040,SPEAKER_01
83.466,83.486,y,0.6360,0.0649,SPEAKER_01
83.646,90.0,celebraban.,0.4900,0.6271,SPEAKER_01
90.0,90.606,Un,0.3310,0.5870,SPEAKER_02
90.626,90.93,discurso,0.3360,0.9974,SPEAKER_02
90.95,91.071,de,0.5860,0.9984,SPEAKER_02
91.091,91.334,la,0.5800,0.5729,SPEAKER_02
91.354,92.243,"tencha,",0.7180,0.9544,SPEAKER_02
92.607,92.647,el,0.0700,0.8123,SPEAKER_02
92.667,93.132,patito,0.7840,0.7632,SPEAKER_02
93.415,93.9,escuchó.,0.4960,0.9573,SPEAKER_02
93.9,95.111,Un,0.3340,0.9987,SPEAKER_02
95.131,95.474,discurso,0.1440,0.9999,SPEAKER_02
95.495,95.535,de,0.5900,1.0000,SPEAKER_02
95.595,95.656,la,0.8590,1.0000,SPEAKER_02
95.757,96.504,"tencha,",0.8800,0.9998,SPEAKER_02
96.524,96.585,que,0.3180,0.9879,SPEAKER_02
96.807,97.291,en,0.7760,0.9994,SPEAKER_02
97.311,97.796,México,0.8620,0.9992,SPEAKER_02
97.856,98.058,así,0.4000,0.9877,SPEAKER_02
98.078,98.3,decía.,0.3720,0.9447,SPEAKER_02
100.54,101.707,Ay,0.4170,0.7371,SPEAKER_02
101.727,101.768,de,0.0020,0.7980,SPEAKER_02
101.788,102.13,"mí,",0.5230,0.6646,SPEAKER_02
102.15,103.82,"llorona,",0.5910,0.8282,SPEAKER_02
103.84,104.645,"llorona,",0.6420,0.9943,SPEAKER_02
105.249,105.611,llorona,0.2680,0.9704,SPEAKER_02
105.631,105.752,de,0.6060,0.9968,SPEAKER_02
105.772,106.557,azul,0.1830,0.9359,SPEAKER_02
106.577,107.08,celeste.,0.5290,0.9552,SPEAKER_02
108.74,109.305,"Sí,",0.9070,0.8993,SPEAKER_00
110.073,110.456,"risas,",0.9270,0.9990,SPEAKER_00
110.638,111.284,carcajadas,0.8870,0.9998,SPEAKER_00
111.688,111.769,de,0.9900,0.5521,SPEAKER_00
111.809,111.89,los,0.9170,0.9999,SPEAKER_00
111.95,112.031,que,0.8070,0.9999,SPEAKER_00
112.092,112.536,supieron,0.9360,0.9999,SPEAKER_00
112.597,112.637,y,0.5210,0.9999,SPEAKER_00
112.677,112.98,"callaron,",0.4620,0.9996,SPEAKER_00
113.06,113.673,de,0.7510,0.9996,SPEAKER_00
113.714,113.816,los,0.9550,1.0000,SPEAKER_00
113.877,114.0,que,0.6800,1.0000,SPEAKER_00
114.143,114.225,no,0.9860,0.9999,SPEAKER_00
114.347,114.817,quisieron,0.8640,0.9998,SPEAKER_00
114.838,114.96,"saber,",0.1660,0.9998,SPEAKER_00
115.16,115.785,los,0.6950,0.9406,SPEAKER_00
115.846,115.926,que,0.9540,1.0000,SPEAKER_00
116.088,116.511,reían,0.8520,0.9997,SPEAKER_00
117.197,117.499,mientras,0.8380,0.9602,SPEAKER_00
117.62,117.701,en,0.9300,0.9991,SPEAKER_00
117.822,118.165,nuestro,0.9340,0.9987,SPEAKER_00
118.266,118.548,Chile,0.8560,0.9995,SPEAKER_00
119.234,119.335,se,0.9420,0.9970,SPEAKER_00
119.415,120.0,"encarcelaba,",0.7030,0.8972,SPEAKER_00
120.0,120.71,se,0.8230,0.8458,SPEAKER_00
120.811,121.439,"torturaba,",0.9800,0.9994,SPEAKER_00
122.554,122.656,se,0.9020,0.9997,SPEAKER_00
122.716,123.0,mataba.,0.5660,0.9999,SPEAKER_00
124.08,129.282,"Chile,",0.5170,0.1116,SPEAKER_01
129.302,129.784,quisiera,0.1740,0.9984,SPEAKER_01
129.804,131.733,cantarte,0.5100,0.9989,SPEAKER_01
131.753,131.913,una,0.3460,0.9969,SPEAKER_01
131.934,132.998,coca,0.6700,0.9041,SPEAKER_01
133.239,133.46,feliz.,0.4560,0.9996,SPEAKER_01
138.96,140.246,Mira,0.6800,0.9936,SPEAKER_01
140.266,141.331,lo,0.4640,0.9994,SPEAKER_01
141.351,141.512,que,0.4230,0.9999,SPEAKER_01
141.532,141.592,han,0.0030,0.9285,SPEAKER_01
141.612,141.853,hecho,0.4010,1.0000,SPEAKER_01
141.874,142.175,de,0.7580,0.9998,SPEAKER_01
142.195,142.677,ti,0.8880,0.9979,SPEAKER_01
143.622,143.662,mi,0.1220,0.6341,SPEAKER_01
143.682,144.425,"país,",0.2020,0.9997,SPEAKER_01
144.446,144.807,de,0.4140,0.9986,SPEAKER_01
144.827,144.868,ti,0.0280,1.0000,SPEAKER_01
144.888,144.928,mi,0.0560,0.9998,SPEAKER_01
144.948,147.56,país.,0.4540,1.0000,SPEAKER_01
