start,end,word,alignment_score,probability,speaker
18.28,19.771,Radio,0.6660,0.9814,SPEAKER_00
19.811,20.234,Moscú,0.8700,0.9945,SPEAKER_00
20.859,21.363,comienza,0.8870,0.9949,SPEAKER_00
21.383,21.423,su,0.4260,1.0000,SPEAKER_00
21.766,22.169,diario,0.8020,0.9996,SPEAKER_00
22.27,22.894,programa,0.9140,0.9999,SPEAKER_00
23.317,23.559,para,0.9220,0.9554,SPEAKER_00
23.579,23.7,Chile.,0.1780,0.9999,SPEAKER_00
30.28,31.284,Escucha,0.8810,0.9353,SPEAKER_01
32.448,33.05,"Chile,",0.2620,0.9510,SPEAKER_01
33.07,33.17,las,0.6530,0.9945,SPEAKER_01
33.251,33.773,noticias,0.7720,0.9999,SPEAKER_01
33.833,33.933,que,0.9020,0.9988,SPEAKER_01
33.973,34.034,la,0.8180,0.9964,SPEAKER_01
34.134,34.455,Junta,0.7970,0.9801,SPEAKER_01
34.495,35.278,esconde,0.8740,0.9997,SPEAKER_01
35.76,35.9,y,0.6530,0.9993,SPEAKER_01
35.92,36.382,"prohíbe,",0.8380,0.9982,SPEAKER_01
37.165,37.245,lo,0.8500,0.9983,SPEAKER_01
37.305,37.386,que,0.6660,1.0000,SPEAKER_01
37.466,37.807,ocurre,0.9100,1.0000,SPEAKER_01
37.988,38.449,dentro,0.7030,0.9993,SPEAKER_01
38.469,38.59,de,0.7640,1.0000,SPEAKER_01
38.61,38.891,Chile,0.8080,0.9996,SPEAKER_01
38.911,38.931,y,0.9970,0.9785,SPEAKER_01
39.533,39.594,la,0.9680,0.9996,SPEAKER_01
39.754,39.875,voz,0.3670,0.9992,SPEAKER_01
40.075,40.156,de,0.9550,0.9999,SPEAKER_01
40.216,40.276,la,0.9040,0.9998,SPEAKER_01
40.477,41.019,solidaridad,0.9030,0.9995,SPEAKER_01
41.139,41.28,del,0.8380,0.9997,SPEAKER_01
41.3,41.42,mundo.,0.1660,0.9998,SPEAKER_01
42.04,43.068,Escucha,0.7340,0.9993,SPEAKER_01
43.794,44.177,"Chile,",0.6430,0.9997,SPEAKER_01
44.802,44.983,un,0.8060,0.9997,SPEAKER_01
45.064,45.608,programa,0.7970,0.9999,SPEAKER_01
45.648,45.689,de,0.4800,0.9997,SPEAKER_01
46.435,46.818,Radio,0.7810,0.9990,SPEAKER_01
46.838,47.14,Moscú.,0.4350,0.9984,SPEAKER_01
53.12,54.172,Muy,0.5180,0.9893,SPEAKER_00
54.212,54.516,buenas,0.6460,0.9999,SPEAKER_00
54.617,54.88,"tardes,",0.9020,1.0000,SPEAKER_00
55.345,55.77,amigas,0.8280,0.9982,SPEAKER_00
55.79,55.81,y,0.9790,0.9997,SPEAKER_00
56.033,56.437,amigos,0.6940,0.9999,SPEAKER_00
56.457,56.559,de,0.7250,0.9998,SPEAKER_00
56.579,56.7,Chile.,0.1670,0.9997,SPEAKER_00
56.84,57.429,Muy,0.5360,0.9996,SPEAKER_01
57.469,57.632,buenas,0.8020,1.0000,SPEAKER_01
57.733,58.119,"tardes,",0.8190,1.0000,SPEAKER_01
58.443,58.829,queridos,0.7300,0.9999,SPEAKER_01
58.951,59.6,compatriotas.,0.6610,0.9998,SPEAKER_01
60.0,60.43,Les,0.6780,0.9468,SPEAKER_00
