start,end,word,alignment_score,probability,speaker
0.0,0.603,En,0.6040,0.9991,SPEAKER_01
0.623,1.065,"Santiago,",0.9350,0.9999,SPEAKER_01
1.588,2.151,dirigentes,0.9010,0.9998,SPEAKER_01
2.191,2.754,demócrata,0.8240,0.9371,SPEAKER_01
2.814,3.297,"cristianos,",0.9870,0.9922,SPEAKER_01
3.337,4.161,"radicales,",0.9070,1.0000,SPEAKER_01
4.242,5.186,"socialistas,",0.8400,0.9999,SPEAKER_01
5.387,5.91,comunistas,0.8240,1.0000,SPEAKER_01
5.93,5.95,y,0.9850,0.9798,SPEAKER_01
6.573,6.634,de,0.8680,1.0000,SPEAKER_01
6.714,6.895,otras,0.8400,1.0000,SPEAKER_01
7.016,7.357,fuerzas,0.5370,0.9999,SPEAKER_01
7.378,7.498,de,0.5000,1.0000,SPEAKER_01
7.518,7.88,oposición,0.3410,1.0000,SPEAKER_01
7.86,9.45,repudiaron,0.9560,0.9246,SPEAKER_01
9.47,9.51,en,0.5000,0.9595,SPEAKER_01
9.933,10.014,un,0.9930,1.0000,SPEAKER_01
10.094,10.638,documento,0.8920,1.0000,SPEAKER_01
10.678,11.503,conjunto,0.9520,0.9999,SPEAKER_01
11.523,11.563,el,0.4970,0.9979,SPEAKER_01
12.409,12.831,período,0.9690,0.9200,SPEAKER_01
12.892,12.972,de,0.9340,1.0000,SPEAKER_01
13.073,13.556,transición,0.9470,0.9999,SPEAKER_01
13.657,13.717,de,0.7380,1.0000,SPEAKER_01
13.757,14.119,ocho,0.8540,0.8656,SPEAKER_01
14.14,14.22,años,0.2300,1.0000,SPEAKER_01
14.2,14.603,que,0.6040,0.9539,SPEAKER_01
14.683,14.804,es,0.5230,1.0000,SPEAKER_01
14.885,14.925,la,0.9020,1.0000,SPEAKER_01
15.026,15.61,continuación,0.8750,1.0000,SPEAKER_01
15.63,15.67,de,0.4160,1.0000,SPEAKER_01
15.892,15.972,un,0.9680,1.0000,SPEAKER_01
16.053,16.415,régimen,0.9540,1.0000,SPEAKER_01
16.436,16.496,que,0.3340,1.0000,SPEAKER_01
17.161,17.584,mantiene,0.8480,1.0000,SPEAKER_01
17.604,18.329,situaciones,0.7170,1.0000,SPEAKER_01
18.349,18.409,que,0.2930,1.0000,SPEAKER_01
18.45,19.275,lesionan,0.5100,0.9998,SPEAKER_01
19.396,19.477,los,0.6330,1.0000,SPEAKER_01
19.557,19.799,derechos,0.4280,0.9999,SPEAKER_01
19.819,19.96,humanos,0.0960,1.0000,SPEAKER_01
19.94,20.708,y,0.4910,1.0000,SPEAKER_01
20.849,20.95,los,0.8360,1.0000,SPEAKER_01
21.011,21.536,conceptos,0.9860,1.0000,SPEAKER_01
21.557,21.597,de,0.5000,1.0000,SPEAKER_01
22.143,22.527,Estado,0.8000,0.8314,SPEAKER_01
22.567,22.628,de,0.7320,1.0000,SPEAKER_01
22.709,23.052,Derecho,0.7400,0.9976,SPEAKER_01
23.072,23.092,y,0.9870,1.0000,SPEAKER_01
23.396,23.84,Democracia.,0.1700,0.9566,SPEAKER_01
24.78,25.708,La,0.8590,0.9997,SPEAKER_01
25.829,26.05,nueva,0.9260,0.9980,SPEAKER_01
26.171,26.797,"constitución,",0.9220,0.8413,SPEAKER_01
26.837,27.603,dice,0.9310,0.9999,SPEAKER_01
27.664,27.764,la,0.5780,1.0000,SPEAKER_01
27.805,28.269,declaración,0.7820,0.8972,SPEAKER_01
28.349,28.43,de,0.6740,1.0000,SPEAKER_01
28.47,28.571,las,0.9050,0.9999,SPEAKER_01
28.672,28.995,fuerzas,0.7560,0.9997,SPEAKER_01
29.075,29.136,de,0.9240,1.0000,SPEAKER_01
29.237,29.68,"oposición,",0.6950,1.0000,SPEAKER_01
30.0,30.686,no,0.7750,0.5173,SPEAKER_01
30.827,31.331,significa,0.9810,0.9997,SPEAKER_01
31.392,31.473,una,0.7360,0.9996,SPEAKER_01
31.533,31.856,etapa,0.8520,0.9999,SPEAKER_01
31.896,31.977,de,0.9860,0.9999,SPEAKER_01
32.058,32.623,transición,0.8560,0.9999,SPEAKER_01
33.127,33.329,hacia,0.9380,0.9961,SPEAKER_01
33.409,33.45,la,0.9960,0.9999,SPEAKER_01
33.53,34.418,normalidad,0.9360,0.9998,SPEAKER_01
34.438,34.66,democrática,0.0800,0.9999,SPEAKER_01
34.64,34.982,ni,0.7560,0.4528,SPEAKER_01
35.626,36.209,garantiza,0.9640,0.9996,SPEAKER_01
36.27,36.33,el,0.9420,0.9997,SPEAKER_01
36.39,37.054,funcionamiento,0.8530,0.9999,SPEAKER_01
37.135,37.195,de,0.9730,0.9998,SPEAKER_01
37.235,37.316,un,0.7450,0.9999,SPEAKER_01
37.396,37.738,régimen,0.9880,0.9999,SPEAKER_01
37.758,37.819,que,0.3330,0.9990,SPEAKER_01
38.402,38.865,respete,0.9710,0.9996,SPEAKER_01
38.945,39.046,los,0.8850,0.9996,SPEAKER_01
39.106,39.368,derechos,0.8590,0.9997,SPEAKER_01
39.468,39.831,civiles,0.9700,0.9995,SPEAKER_01
39.851,39.871,y,0.9990,0.9995,SPEAKER_01
40.092,40.575,políticos,0.9070,0.9999,SPEAKER_01
40.736,41.44,fundamentales.,0.8430,0.9999,SPEAKER_01
