start,end,word,alignment_score,probability,speaker
0.0,0.908,Atención,0.4460,0.9773,SPEAKER_00
1.271,1.311,a,0.7600,0.9976,SPEAKER_00
1.493,1.755,todos,0.8970,0.9982,SPEAKER_00
1.957,2.461,nuestros,0.4450,0.9977,SPEAKER_00
2.482,2.905,oyentes,0.8000,0.9914,SPEAKER_00
3.046,3.147,de,0.8280,0.9994,SPEAKER_00
3.309,3.672,Chile,0.6260,0.9978,SPEAKER_00
4.237,4.257,y,0.0130,0.9974,SPEAKER_00
4.277,4.439,del,0.7720,0.9940,SPEAKER_00
4.459,4.62,estudio.,0.1270,0.8954,SPEAKER_00
5.0,5.928,"Atención,",0.8610,0.9870,SPEAKER_00
6.755,7.744,Escucha,0.4100,0.8281,SPEAKER_00
7.764,8.067,Chile,0.7660,0.9805,SPEAKER_00
8.107,8.208,de,0.7690,0.9716,SPEAKER_00
8.329,8.611,Radio,0.8700,0.9990,SPEAKER_00
8.954,9.055,Moscú,0.1500,0.9258,SPEAKER_00
9.075,9.64,presenta,0.6730,0.9997,SPEAKER_00
9.62,10.609,una,0.5590,0.6578,SPEAKER_00
10.69,11.356,información,0.8930,1.0000,SPEAKER_00
11.962,12.628,importante,0.8100,0.9984,SPEAKER_00
13.698,13.718,y,0.0120,0.9953,SPEAKER_00
13.738,13.92,exclusiva,0.1090,0.9999,SPEAKER_00
13.9,14.509,que,0.8100,0.9989,SPEAKER_00
14.55,14.916,acabamos,0.8150,1.0000,SPEAKER_00
14.997,15.078,de,0.7510,1.0000,SPEAKER_00
15.18,15.504,recibir,0.9340,0.9998,SPEAKER_00
15.626,16.236,directamente,0.9190,0.9998,SPEAKER_00
16.297,16.418,de,0.3240,0.9986,SPEAKER_00
16.439,16.54,Chile,0.2000,0.9998,SPEAKER_00
16.52,17.133,de,0.6590,0.8581,SPEAKER_00
17.153,17.501,nuestro,0.5700,0.9792,SPEAKER_00
17.562,18.093,corresponsal,0.5600,0.9777,SPEAKER_00
18.114,18.155,en,0.0070,0.6651,SPEAKER_00
18.175,18.42,Santiago.,0.2630,0.8998,SPEAKER_00
18.7,19.284,La,0.9390,0.9986,SPEAKER_00
19.365,19.687,lista,0.9410,0.9991,SPEAKER_00
19.868,20.392,secreta,0.8990,0.9997,SPEAKER_00
20.412,21.117,de,0.4660,1.0000,SPEAKER_00
21.178,21.258,los,0.8160,0.9973,SPEAKER_00
21.278,21.983,174,0.7170,0.9920,SPEAKER_00
22.084,22.366,chilenos,0.3890,0.9990,SPEAKER_00
22.406,22.447,y,0.8460,0.8137,SPEAKER_00
22.568,24.32,chilenas,0.4670,0.9444,SPEAKER_00
24.3,25.232,a,0.8480,0.8300,SPEAKER_00
25.252,25.516,quienes,0.4570,0.9077,SPEAKER_00
25.536,25.657,la,0.5180,0.9551,SPEAKER_00
25.678,26.204,luchadura,0.6890,0.5027,SPEAKER_00
26.65,26.792,prohíbe,0.0260,0.9193,SPEAKER_00
26.812,27.157,entrar,0.6940,0.3349,SPEAKER_00
27.177,27.319,al,0.3760,0.9998,SPEAKER_00
27.339,27.44,país.,0.1990,0.9999,SPEAKER_00
27.42,28.416,Y,0.9690,0.0074,SPEAKER_00
28.436,28.579,con,0.3430,0.1649,SPEAKER_00
28.599,29.29,mostazos,0.5550,0.6942,SPEAKER_00
29.31,29.493,de,0.7260,0.5439,SPEAKER_00
29.574,29.94,"extrañamiento,",0.1620,0.8557,SPEAKER_00
30.66,31.027,después,0.2390,0.9932,SPEAKER_00
31.047,31.19,de,0.4820,0.9943,SPEAKER_00
31.251,31.393,verlos,0.3220,0.5713,SPEAKER_00
31.577,32.27,desaparecer,0.4850,0.9974,SPEAKER_00
32.29,32.331,en,0.2820,0.9727,SPEAKER_00
32.351,32.555,las,0.4810,0.7880,SPEAKER_00
32.575,32.86,"listas,",0.4370,0.7412,SPEAKER_00
32.84,33.592,los,0.5090,0.3735,SPEAKER_00
33.714,34.568,autorizamos,0.6750,0.9661,SPEAKER_00
34.751,34.873,para,0.7880,0.9964,SPEAKER_00
35.035,35.34,ingresar.,0.1960,0.7243,SPEAKER_00
35.52,36.087,Se,0.7720,0.9921,SPEAKER_00
36.168,36.431,trata,0.9300,0.9999,SPEAKER_00
36.492,36.573,de,0.9160,0.9999,SPEAKER_00
36.674,37.362,compatriotas,0.9510,0.9994,SPEAKER_00
37.605,38.213,doblemente,0.9210,0.9983,SPEAKER_00
38.253,38.84,exiliados,0.5650,0.6971,SPEAKER_00
38.82,39.45,con,0.7660,0.2164,SPEAKER_00
39.47,39.714,quienes,0.6720,0.9956,SPEAKER_00
40.059,40.12,se,0.4080,0.9838,SPEAKER_00
40.14,40.242,ha,0.7660,0.9024,SPEAKER_00
40.343,40.709,juzgado,0.7380,0.9973,SPEAKER_00
40.749,41.48,probablemente.,0.4960,0.5572,SPEAKER_00
41.54,42.21,Creemos,0.8460,0.9895,SPEAKER_00
42.352,42.433,que,0.6570,0.9991,SPEAKER_00
42.494,42.859,ninguno,0.6160,0.9978,SPEAKER_00
42.92,43.042,de,0.6680,1.0000,SPEAKER_00
43.062,43.164,ellos,0.3670,1.0000,SPEAKER_00
43.366,43.427,va,0.8940,0.9374,SPEAKER_00
43.63,43.651,a,0.9290,0.9995,SPEAKER_00
43.671,43.996,denunciar,0.2750,0.9914,SPEAKER_00
44.016,44.138,a,0.7420,0.9871,SPEAKER_00
44.158,44.199,la,0.0010,0.6988,SPEAKER_00
44.219,44.32,lucha,0.1990,0.5299,SPEAKER_00
44.3,45.233,por,0.6330,0.9656,SPEAKER_00
45.253,45.476,el,0.4080,0.9176,SPEAKER_00
45.497,45.923,sangrado,0.6220,0.5877,SPEAKER_00
45.984,46.349,derecho,0.7090,0.9548,SPEAKER_00
46.369,46.389,a,0.8590,0.9974,SPEAKER_00
46.47,46.714,vivir,0.7920,0.9993,SPEAKER_00
46.754,46.815,en,0.8500,0.9999,SPEAKER_00
46.856,46.917,la,0.8650,0.9481,SPEAKER_00
46.957,47.18,patria,0.4160,0.9698,SPEAKER_00
47.16,47.302,y,0.3830,0.4642,SPEAKER_00
47.322,47.484,que,0.6320,0.8025,SPEAKER_00
48.455,48.82,llevará,0.5570,0.9661,SPEAKER_00
48.84,48.88,la,0.8390,0.9739,SPEAKER_00
48.941,49.427,denuncia,0.4630,0.9995,SPEAKER_00
49.487,49.548,de,0.4020,0.7734,SPEAKER_00
49.629,50.155,este,0.7760,0.8156,SPEAKER_00
50.175,50.277,nuevo,0.0030,0.8394,SPEAKER_00
50.297,50.58,asesinato,0.2590,0.7079,SPEAKER_00
50.56,51.052,ante,0.5050,0.9896,SPEAKER_00
51.073,51.134,los,0.2030,0.9975,SPEAKER_00
51.38,51.79,tribunales,0.4320,0.9543,SPEAKER_00
51.913,52.201,"chilenos,",0.3780,0.7819,SPEAKER_00
52.8,53.107,ante,0.4790,0.9978,SPEAKER_00
53.148,53.21,la,0.3620,0.9784,SPEAKER_00
53.251,53.579,prensa,0.7060,0.9206,SPEAKER_00
53.62,53.702,de,0.8940,0.9955,SPEAKER_00
53.825,54.091,Chile,0.5480,0.9993,SPEAKER_00
54.112,54.173,y,0.6580,0.9998,SPEAKER_00
54.194,54.337,del,0.2250,0.9871,SPEAKER_00
54.358,54.48,"mundo,",0.1660,0.9998,SPEAKER_00
54.68,55.538,ante,0.7650,0.9929,SPEAKER_00
55.558,55.782,los,0.5950,0.9881,SPEAKER_00
55.844,56.232,organismos,0.4280,0.9961,SPEAKER_00
56.354,56.66,internacionales,0.0920,0.9997,SPEAKER_00
57.42,58.09,y,0.8880,0.5160,SPEAKER_00
58.11,58.333,ante,0.6220,0.9947,SPEAKER_00
58.353,58.495,el,0.4950,0.9914,SPEAKER_00
58.556,59.226,movimiento,0.8180,0.7388,SPEAKER_00
59.266,59.388,de,0.8120,0.9987,SPEAKER_00
59.672,60.24,solidaridad.,0.8330,0.9921,SPEAKER_00
61.02,61.867,Esta,0.8660,0.9538,SPEAKER_00
61.888,62.032,es,0.3580,0.9981,SPEAKER_00
62.053,62.156,la,0.3880,0.9693,SPEAKER_00
62.177,62.301,lista.,0.1670,0.9811,SPEAKER_00
63.1,64.912,"Abrigocino,",0.7940,0.3762,SPEAKER_00
64.933,65.36,Guayamón.,0.5230,0.4134,SPEAKER_00
66.18,66.774,Acevedo,0.7060,0.8372,SPEAKER_00
66.794,67.408,"Soto,",0.5290,0.9734,SPEAKER_00
67.552,67.633,Juan,0.2180,0.9989,SPEAKER_00
67.654,67.94,Eduardo.,0.3900,0.9997,SPEAKER_00
68.5,69.453,Aguirre,0.3950,0.9580,SPEAKER_00
69.474,69.494,y,0.6410,0.5520,SPEAKER_00
69.534,69.92,"Gáñez,",0.7240,0.8191,SPEAKER_00
70.589,70.853,Jorge,0.6680,0.9958,SPEAKER_00
70.954,71.4,Patricio.,0.2950,0.9970,SPEAKER_00
71.54,72.371,Ahumada,0.9070,0.9797,SPEAKER_00
72.473,73.101,"González,",0.5880,0.9975,SPEAKER_00
73.628,74.216,Roberto,0.8130,0.9929,SPEAKER_00
74.237,74.5,Fernández.,0.2170,0.8383,SPEAKER_00
75.4,76.191,Aldonel,0.2640,0.9275,SPEAKER_00
76.211,76.556,"Vargas,",0.8770,0.9985,SPEAKER_00
77.245,77.975,Fernando,0.5690,0.9887,SPEAKER_00
77.996,78.34,Sandoz.,0.7680,0.6587,SPEAKER_00
78.38,79.334,Aldonel,0.5590,0.9956,SPEAKER_00
79.395,79.801,"Vargas,",0.8050,0.9998,SPEAKER_00
80.288,80.694,Gabriel,0.4540,0.9779,SPEAKER_00
80.755,81.12,Alejandro.,0.3190,0.9871,SPEAKER_00
81.44,82.354,Álvarez,0.4350,0.9739,SPEAKER_00
82.374,82.82,"Torvos,",0.7490,0.5266,SPEAKER_00
83.429,83.714,Jaime,0.5580,0.9970,SPEAKER_00
83.734,84.16,Alfonso.,0.3860,0.9949,SPEAKER_00
84.36,85.293,Andaur,0.8760,0.6988,SPEAKER_00
85.739,86.022,"Gallego,",0.3860,0.6282,SPEAKER_00
86.773,87.158,Tino,0.8260,0.3703,SPEAKER_00
87.178,87.34,Rolando.,0.1240,0.7871,SPEAKER_00
87.42,88.656,Andrade,0.7770,0.8258,SPEAKER_00
88.919,89.507,"Andrade,",0.8920,0.9015,SPEAKER_00
90.094,90.439,Sergio,0.3490,0.9975,SPEAKER_00
90.459,90.56,Luis.,0.1930,0.9906,SPEAKER_00
91.46,92.131,Ángel,0.4990,0.9908,SPEAKER_00
92.151,92.843,"Castillo,",0.6250,0.9230,SPEAKER_00
93.189,93.738,Luis,0.5120,0.9998,SPEAKER_00
93.758,93.9,Sergio.,0.1370,0.9956,SPEAKER_00
94.34,95.436,Baratini,0.7100,0.8742,SPEAKER_00
95.558,96.187,"Cardelli,",0.8390,0.8885,SPEAKER_00
