start,end,word,alignment_score,probability,speaker
11.1,11.608,¡Solidaridad,0.6310,0.8320,SPEAKER_01
11.932,12.968,Internacional,0.9550,0.9101,SPEAKER_01
13.313,13.658,con,0.9100,0.9969,SPEAKER_01
13.678,13.8,Chile!,0.1360,0.9987,SPEAKER_01
14.16,14.542,A,0.8240,0.7494,SPEAKER_00
14.562,14.844,diez,0.7290,0.6782,SPEAKER_00
14.905,15.066,años,0.9790,0.9999,SPEAKER_00
15.126,15.247,del,0.6850,0.9991,SPEAKER_00
15.307,15.73,golpe,0.7360,0.9875,SPEAKER_00
15.75,16.192,fascista,0.8120,0.6537,SPEAKER_00
16.213,16.233,y,0.9880,0.9823,SPEAKER_00
16.273,16.877,el,0.9190,0.9987,SPEAKER_00
16.917,17.5,asesinato,0.9090,0.9999,SPEAKER_00
17.561,17.681,del,0.9510,0.9995,SPEAKER_00
17.742,18.285,presidente,0.9600,0.9695,SPEAKER_00
18.406,19.332,"constitucional,",0.9310,0.9998,SPEAKER_00
20.076,20.479,Salvador,0.7130,0.9924,SPEAKER_00
20.499,20.74,Allende.,0.2220,0.9989,SPEAKER_00
37.4,37.724,¡Solidaridad,0.0770,0.0383,SPEAKER_01
37.745,38.677,Internacional,0.4740,0.4959,SPEAKER_01
39.123,39.569,con,0.5870,0.0008,SPEAKER_01
39.671,40.38,Chile!,0.5850,0.0003,SPEAKER_01
50.72,50.942,Repudiaron,0.2510,0.6466,SPEAKER_00
50.983,51.023,la,0.9500,0.9891,SPEAKER_00
51.064,51.569,"decisión,",0.8020,0.9987,SPEAKER_00
51.69,52.236,valentía,0.9780,0.9988,SPEAKER_00
52.256,52.276,y,0.9890,0.9720,SPEAKER_00
52.297,53.004,alto,0.9300,0.9989,SPEAKER_00
53.044,53.327,nivel,0.8920,0.9995,SPEAKER_00
53.388,53.489,de,0.6940,0.9996,SPEAKER_00
53.509,53.792,lucha,0.8110,0.9995,SPEAKER_00
53.853,53.974,del,0.9000,0.9927,SPEAKER_00
54.035,54.257,pueblo,0.8550,0.9996,SPEAKER_00
54.419,54.56,chileno,0.1430,0.9994,SPEAKER_00
54.54,55.245,y,0.7100,0.5281,SPEAKER_00
55.305,55.989,repudiaron,0.8970,0.9992,SPEAKER_00
56.11,56.191,con,0.9330,0.9917,SPEAKER_00
56.231,56.331,los,0.8250,0.9986,SPEAKER_00
56.432,56.613,más,0.4660,0.9965,SPEAKER_00
56.633,56.855,duros,0.4240,0.9999,SPEAKER_00
56.955,57.66,calificativos,0.9110,0.9986,SPEAKER_00
58.244,58.324,los,0.6860,0.9856,SPEAKER_00
58.425,58.787,diez,0.8300,0.3230,SPEAKER_00
58.827,58.908,años,0.2360,0.9997,SPEAKER_00
58.948,59.049,de,0.8000,0.9998,SPEAKER_00
59.069,59.512,"miseria,",0.9240,0.9992,SPEAKER_00
60.015,60.599,terror,0.8880,0.9963,SPEAKER_00
60.619,60.639,y,0.0000,0.9998,SPEAKER_00
60.659,60.8,sangre,0.4150,0.9999,SPEAKER_00
60.78,60.861,de,0.3440,0.9922,SPEAKER_00
61.548,61.609,la,0.9760,0.9998,SPEAKER_00
61.71,61.972,Junta,0.9700,0.7183,SPEAKER_00
62.073,62.417,Militar,0.9030,0.9966,SPEAKER_00
62.437,63.569,encabezada,0.8490,0.9732,SPEAKER_00
63.65,63.751,por,0.9980,0.9999,SPEAKER_00
63.771,64.458,Augusto,0.7280,0.9996,SPEAKER_00
64.478,64.66,Pinochet.,0.1150,0.9988,SPEAKER_00
64.88,65.364,La,0.8920,0.9938,SPEAKER_01
65.425,65.707,prensa,0.7500,0.9997,SPEAKER_01
65.788,66.231,soviética,0.9910,0.9998,SPEAKER_01
66.272,66.816,colaboró,0.8300,0.9997,SPEAKER_01
66.897,66.998,con,0.8260,0.9998,SPEAKER_01
67.058,67.522,abundante,0.8770,0.9967,SPEAKER_01
67.563,68.148,información,0.7010,0.9996,SPEAKER_01
68.168,68.208,de,0.4950,0.4891,SPEAKER_01
