start,end,word,alignment_score,probability,speaker
0.0,0.685,La,0.9340,0.9921,SPEAKER_02
0.765,1.47,concentración,0.8660,0.9906,SPEAKER_02
1.51,1.672,del,0.3950,0.9982,SPEAKER_02
1.792,2.054,pacto,0.8780,0.9462,SPEAKER_02
2.235,2.517,"FIBI,",0.6880,0.4731,SPEAKER_02
3.706,4.149,recibida,0.8010,0.8338,SPEAKER_02
4.189,4.41,por,0.3080,0.9999,SPEAKER_02
4.431,4.551,un,0.2980,0.9988,SPEAKER_02
4.572,4.793,dienso,0.5250,0.6107,SPEAKER_02
4.934,5.055,en,0.6880,0.8501,SPEAKER_02
5.075,5.256,que,0.6080,0.9672,SPEAKER_02
5.276,5.397,se,0.7150,0.9957,SPEAKER_02
5.417,5.82,expresaba,0.3850,0.9836,SPEAKER_02
5.8,7.15,FIBI,0.6280,0.8171,SPEAKER_02
7.452,7.593,por,0.9910,0.9251,SPEAKER_02
7.674,7.734,la,0.8060,1.0000,SPEAKER_02
7.835,8.318,libertad,0.8530,0.9996,SPEAKER_02
8.339,8.359,y,0.9990,0.9995,SPEAKER_02
8.661,8.721,la,0.9800,1.0000,SPEAKER_02
8.822,9.427,"justicia,",0.8570,1.0000,SPEAKER_02
9.971,10.132,por,0.5680,0.9999,SPEAKER_02
10.192,10.253,la,0.9210,1.0000,SPEAKER_02
10.313,10.917,democracia,0.8630,1.0000,SPEAKER_02
10.938,10.958,y,0.8810,1.0000,SPEAKER_02
11.038,11.079,la,0.0010,1.0000,SPEAKER_02
11.099,11.28,"paz,",0.6360,0.9998,SPEAKER_02
12.34,13.03,constituyó,0.3980,0.9982,SPEAKER_02
13.05,13.781,una,0.9570,1.0000,SPEAKER_02
13.862,14.065,gran,0.8930,0.9995,SPEAKER_02
14.186,14.612,jornada,0.9570,0.9995,SPEAKER_02
14.714,15.16,unitaria.,0.5370,0.9924,SPEAKER_02
