start,end,word,alignment_score,probability,speaker
0.0,0.444,Antes,0.3110,0.9952,SPEAKER_00
0.464,0.565,que,0.6980,0.9991,SPEAKER_00
0.605,0.827,"nada,",0.9460,1.0000,SPEAKER_00
1.654,2.259,permítanme,0.5220,0.9963,SPEAKER_00
2.279,2.42,un,0.3700,0.9998,SPEAKER_00
2.441,2.743,saludo,0.5250,0.9997,SPEAKER_00
2.804,3.288,"especial,",0.5410,0.9995,SPEAKER_00
3.812,3.974,un,0.5080,0.9925,SPEAKER_00
3.994,4.195,saludo,0.3490,0.9999,SPEAKER_00
4.236,4.276,de,0.6840,1.0000,SPEAKER_00
4.337,4.76,admiración,0.2600,0.9999,SPEAKER_00
4.74,5.731,para,0.7260,0.5559,SPEAKER_00
5.772,5.852,los,0.7060,0.9997,SPEAKER_00
5.893,5.974,que,0.6790,0.9999,SPEAKER_00
6.035,6.298,hacen,0.6470,0.9995,SPEAKER_00
6.318,6.722,posible,0.6400,0.9998,SPEAKER_00
6.783,6.884,la,0.6050,0.9998,SPEAKER_00
6.985,7.43,aparición,0.7130,0.9993,SPEAKER_00
7.491,7.713,del,0.8640,0.5627,SPEAKER_00
7.855,8.118,siglo,0.4990,0.7736,SPEAKER_00
8.138,8.179,en,0.0020,0.8853,SPEAKER_00
8.199,8.32,"Chile,",0.1650,0.9446,SPEAKER_00
9.44,9.662,para,0.8590,0.9999,SPEAKER_00
9.763,10.025,quienes,0.5690,1.0000,SPEAKER_00
10.207,10.308,lo,0.8450,0.9951,SPEAKER_00
10.389,10.893,"reparten,",0.9180,0.9973,SPEAKER_00
11.62,11.721,para,0.8950,1.0000,SPEAKER_00
11.801,12.003,quienes,0.6190,1.0000,SPEAKER_00
12.124,13.053,extienden,0.3610,0.9735,SPEAKER_00
13.073,13.133,sus,0.0080,0.9999,SPEAKER_00
13.153,13.375,arterias,0.6720,0.9102,SPEAKER_00
13.537,13.9,informativas,0.2810,0.9999,SPEAKER_00
13.88,15.102,llegando,0.7960,0.9707,SPEAKER_00
15.143,15.183,a,0.6670,0.9999,SPEAKER_00
15.245,15.489,cada,0.7250,0.9999,SPEAKER_00
15.55,15.876,rincón,0.5320,1.0000,SPEAKER_00
15.896,15.998,del,0.3640,0.9999,SPEAKER_00
16.019,16.12,país.,0.2000,1.0000,SPEAKER_00
17.04,17.585,En,0.7460,0.9843,SPEAKER_00
17.626,17.828,estos,0.5210,0.9987,SPEAKER_00
17.888,18.131,días,0.8740,1.0000,SPEAKER_00
18.272,18.373,de,0.6770,0.9998,SPEAKER_00
18.434,18.878,censura,0.7810,0.9944,SPEAKER_00
18.939,19.181,total,0.9690,0.9999,SPEAKER_00
19.222,19.727,impuesta,0.8950,0.9983,SPEAKER_00
19.787,19.888,con,0.9770,0.9046,SPEAKER_00
19.929,20.01,las,0.4360,0.9883,SPEAKER_00
20.05,20.454,bayonetas,0.8240,0.9913,SPEAKER_00
20.494,20.575,de,0.6710,1.0000,SPEAKER_00
20.616,20.656,la,0.9730,0.9998,SPEAKER_00
20.717,21.08,"dictadura,",0.5590,0.9999,SPEAKER_00
21.2,21.947,el,0.4160,0.9835,SPEAKER_00
21.967,22.371,papel,0.6650,0.9998,SPEAKER_00
22.411,22.653,del,0.5250,0.9941,SPEAKER_00
22.673,22.915,diario,0.7110,0.9862,SPEAKER_00
22.976,23.077,del,0.8540,0.9985,SPEAKER_00
23.158,23.4,pueblo,0.5380,0.9998,SPEAKER_00
23.501,23.622,se,0.4540,1.0000,SPEAKER_00
23.703,24.328,acrecienta,0.6200,0.9879,SPEAKER_00
24.429,24.651,cada,0.7110,1.0000,SPEAKER_00
24.792,24.974,día,0.7260,1.0000,SPEAKER_00
25.236,25.297,más,0.0100,0.9996,SPEAKER_00
25.317,25.337,y,0.0770,0.9999,SPEAKER_00
25.357,25.66,más.,0.6600,0.9999,SPEAKER_00
26.38,27.231,Cada,0.9440,0.9968,SPEAKER_00
27.312,27.677,palabra,0.9180,1.0000,SPEAKER_00
27.717,27.798,es,0.5850,1.0000,SPEAKER_00
27.92,28.021,un,0.7790,0.9998,SPEAKER_00
28.042,28.244,arma,0.7740,0.9999,SPEAKER_00
28.264,28.346,en,0.6760,1.0000,SPEAKER_00
28.427,28.467,la,0.8200,1.0000,SPEAKER_00
28.548,28.71,lucha,0.7930,1.0000,SPEAKER_00
28.812,29.034,contra,0.7980,1.0000,SPEAKER_00
29.075,29.136,la,0.5620,0.9986,SPEAKER_00
29.318,29.48,tiranía.,0.1260,0.9989,SPEAKER_00
30.0,30.363,Y,0.8100,0.5842,SPEAKER_00
30.384,30.525,por,0.3120,0.9739,SPEAKER_00
30.545,30.787,"eso,",0.6170,0.9897,SPEAKER_00
30.888,31.413,"estimado,",0.8150,0.6290,SPEAKER_00
32.019,32.503,tratando,0.8530,0.9983,SPEAKER_00
32.523,32.564,de,0.5030,0.9991,SPEAKER_00
32.705,33.048,alargar,0.8140,0.9989,SPEAKER_00
33.27,33.311,su,0.0000,0.9973,SPEAKER_00
33.331,33.613,régimen,0.9210,0.9937,SPEAKER_00
33.714,33.896,para,0.5100,0.8941,SPEAKER_00
33.916,34.058,los,0.3980,0.7890,SPEAKER_00
34.078,34.34,"ancios,",0.3510,0.3981,SPEAKER_00
34.32,35.105,recurre,0.6640,0.9880,SPEAKER_00
35.145,35.165,a,0.6770,0.9969,SPEAKER_00
35.226,35.286,la,0.8360,0.9977,SPEAKER_00
35.346,36.051,"progresión,",0.5580,0.6911,SPEAKER_00
36.755,36.795,a,0.7260,0.9966,SPEAKER_00
36.856,36.936,la,0.6580,0.9980,SPEAKER_00
37.298,37.56,"censura,",0.3680,0.9990,SPEAKER_00
38.486,38.566,en,0.8300,0.9869,SPEAKER_00
38.647,38.687,el,0.0020,0.9983,SPEAKER_00
38.707,39.271,inútil,0.2470,0.9977,SPEAKER_00
39.291,39.552,empeño,0.5250,0.9917,SPEAKER_00
39.613,39.734,de,0.7000,0.9935,SPEAKER_00
39.754,40.418,"neutralizar,",0.7890,0.9960,SPEAKER_00
40.478,40.559,de,0.9210,0.9998,SPEAKER_00
40.639,40.78,"evitar,",0.1430,0.7302,SPEAKER_00
41.56,42.288,de,0.4160,0.9972,SPEAKER_00
42.308,42.611,hacer,0.6300,0.9996,SPEAKER_00
42.712,43.44,desaparecer,0.6720,0.9996,SPEAKER_00
43.621,43.682,la,0.9180,0.9980,SPEAKER_00
43.743,44.248,protesta,0.8800,0.8979,SPEAKER_00
44.268,44.288,y,0.8600,0.5573,SPEAKER_00
44.652,44.733,la,0.7480,0.9462,SPEAKER_00
44.773,44.996,rebelión,0.3900,0.6914,SPEAKER_00
45.016,45.097,para,0.1330,0.8324,SPEAKER_00
45.117,45.157,el,0.0000,0.4406,SPEAKER_00
45.178,45.42,rato.,0.5490,0.5489,SPEAKER_00
45.6,46.366,Como,0.5540,0.9786,SPEAKER_00
46.386,46.487,si,0.4020,0.9997,SPEAKER_00
46.507,46.728,así,0.6940,0.9993,SPEAKER_00
46.789,46.99,fuera,0.8370,0.9998,SPEAKER_00
47.091,47.413,posible,0.6130,0.9999,SPEAKER_00
47.454,47.837,evitar,0.8060,0.9972,SPEAKER_00
47.957,48.038,que,0.8200,0.9998,SPEAKER_00
48.098,48.159,se,0.6480,0.9999,SPEAKER_00
48.179,48.683,escuche,0.7860,0.9996,SPEAKER_00
49.428,49.509,el,0.4890,0.9892,SPEAKER_00
49.529,50.033,estruendo,0.4800,0.9420,SPEAKER_00
50.073,50.154,de,0.8020,0.9996,SPEAKER_00
50.214,50.395,esa,0.4920,0.9982,SPEAKER_00
50.557,50.657,voz,0.2850,0.9894,SPEAKER_00
50.677,51.04,colectiva,0.4790,0.9999,SPEAKER_00
51.02,51.202,que,0.2150,0.9978,SPEAKER_00
51.243,51.87,"exige,",0.8410,0.9996,SPEAKER_00
52.295,52.579,fuera,0.6580,0.6495,SPEAKER_00
52.66,53.065,"Pinochet,",0.7600,0.9681,SPEAKER_00
53.51,54.199,democracia,0.7210,0.9942,SPEAKER_00
54.219,54.34,ahora.,0.1660,0.8943,SPEAKER_00
54.84,55.606,Y,0.8560,0.8475,SPEAKER_00
55.626,55.808,este,0.6540,0.8983,SPEAKER_00
55.868,56.191,saludo,0.7140,0.9213,SPEAKER_00
56.715,57.28,"personal,",0.8480,0.4080,SPEAKER_00
57.925,58.066,pero,0.9830,0.9927,SPEAKER_00
58.087,58.349,que,0.3480,0.9668,SPEAKER_00
58.47,58.974,repasota,0.5020,0.4611,SPEAKER_00
58.994,59.034,o,0.7380,0.9403,SPEAKER_00
59.095,59.175,que,0.8550,0.9994,SPEAKER_00
59.236,59.76,sintetiza,0.5830,0.9658,SPEAKER_00
60.0,60.161,El,0.3460,0.7758,SPEAKER_00
60.182,60.424,cariño,0.5290,0.1501,SPEAKER_00
60.464,60.484,y,0.6650,0.0093,SPEAKER_00
60.505,60.545,la,0.3360,0.5910,SPEAKER_00
60.626,61.029,admiración,0.4180,0.6735,SPEAKER_00
61.05,61.13,de,0.8040,0.5147,SPEAKER_00
61.191,61.433,todos,0.6000,0.5940,SPEAKER_00
62.099,62.342,tiene,0.5640,0.9947,SPEAKER_00
62.382,62.543,como,0.5680,0.5108,SPEAKER_00
62.644,62.907,razón,0.8300,0.1563,SPEAKER_00
63.129,63.351,inmediata,0.3990,0.6936,SPEAKER_00
63.452,63.512,la,0.5750,0.9925,SPEAKER_00
63.533,63.815,llegada,0.7500,0.9928,SPEAKER_00
63.856,63.876,a,0.5190,0.9980,SPEAKER_00
64.078,64.239,nuestras,0.0020,0.9991,SPEAKER_00
64.259,64.36,manos,0.2040,0.9989,SPEAKER_00
64.34,65.049,de,0.3880,0.8938,SPEAKER_00
65.069,65.11,un,0.0860,0.9934,SPEAKER_00
65.13,66.285,"suplemento,",0.6000,0.9977,SPEAKER_00
66.467,66.508,un,0.0330,0.9950,SPEAKER_00
66.528,66.629,éxito,0.1450,0.9974,SPEAKER_00
66.65,66.71,de,0.5700,0.9998,SPEAKER_00
66.751,66.994,nuestro,0.8640,0.9549,SPEAKER_00
67.035,67.197,querido,0.1870,0.9984,SPEAKER_00
67.217,67.48,"siglo,",0.5980,0.9896,SPEAKER_00
68.14,69.117,editado,0.7620,0.9237,SPEAKER_00
69.138,69.301,luego,0.3940,0.9807,SPEAKER_00
69.341,69.402,de,0.3480,0.9831,SPEAKER_00
69.463,69.504,la,0.9760,0.9956,SPEAKER_00
69.565,69.85,segunda,0.9530,0.6331,SPEAKER_00
69.891,70.217,protesta,0.5020,0.9913,SPEAKER_00
70.237,70.42,nacional.,0.2210,0.9771,SPEAKER_00
70.68,70.914,El,0.6330,0.9999,SPEAKER_00
70.999,71.127,día,0.3280,0.9937,SPEAKER_00
71.148,71.361,siguiente.,0.0970,0.9972,SPEAKER_00
72.2,72.905,Una,0.4990,0.8644,SPEAKER_00
72.985,73.227,hoja,0.8940,0.9996,SPEAKER_00
73.751,74.053,plena,0.9400,0.9999,SPEAKER_00
74.093,74.153,de,0.8480,0.3124,SPEAKER_00
74.234,74.697,información,0.9950,0.9979,SPEAKER_00
74.717,74.778,con,0.3290,0.9991,SPEAKER_00
75.04,75.1,un,0.9040,0.6217,SPEAKER_00
75.12,75.483,balance,0.9670,0.9983,SPEAKER_00
75.523,76.248,"concreto,",0.7950,0.9965,SPEAKER_00
76.59,76.993,"breve,",0.7130,0.9923,SPEAKER_00
77.214,77.376,pero,0.9670,1.0000,SPEAKER_00
77.496,78.04,contundente,0.4500,0.9770,SPEAKER_00
78.02,78.446,de,0.5650,1.0000,SPEAKER_00
78.791,78.994,las,0.4960,0.9999,SPEAKER_00
79.014,79.339,acciones,0.5710,0.8295,SPEAKER_00
79.38,79.846,desarrolladas,0.6010,0.9999,SPEAKER_00
79.927,79.968,a,0.5930,0.9999,SPEAKER_00
80.009,80.333,través,0.3200,0.8771,SPEAKER_00
80.354,80.455,de,0.6260,0.9992,SPEAKER_00
