start,end,word,alignment_score,probability,speaker
0.0,0.382,La,0.6440,0.9354,SPEAKER_01
0.443,0.765,Comisión,0.7770,0.9785,SPEAKER_01
0.845,1.127,Chilena,0.6780,0.8590,SPEAKER_01
1.147,1.188,de,0.4950,0.9987,SPEAKER_01
1.208,1.631,Derechos,0.6210,0.9161,SPEAKER_01
1.711,2.013,Humanos,0.9200,0.9983,SPEAKER_01
2.053,2.577,afirmó,0.7340,0.9657,SPEAKER_01
2.597,2.697,que,0.8880,0.9973,SPEAKER_01
2.718,2.818,en,0.6100,0.9973,SPEAKER_01
2.879,2.939,el,0.7960,0.9995,SPEAKER_01
3.02,3.221,país,0.9150,0.9986,SPEAKER_01
3.241,3.281,se,0.4960,0.9924,SPEAKER_01
3.603,3.865,ha,0.7920,0.9991,SPEAKER_01
3.885,4.469,profundizado,0.5740,0.9983,SPEAKER_01
4.509,4.549,la,0.6670,0.9974,SPEAKER_01
4.771,5.234,espiral,0.8590,0.9972,SPEAKER_01
5.455,5.556,de,0.6020,0.9991,SPEAKER_01
5.596,5.697,la,0.7560,0.9998,SPEAKER_01
5.717,6.2,violencia.,0.6370,0.9999,SPEAKER_01
6.4,6.803,En,0.6310,0.9227,SPEAKER_00
6.864,6.964,una,0.9500,0.9992,SPEAKER_00
7.045,7.569,declaración,0.8690,0.9999,SPEAKER_00
7.69,8.033,"pública,",0.8130,0.9980,SPEAKER_00
8.073,8.597,la,0.9620,0.9998,SPEAKER_00
8.658,9.021,entidad,0.7250,0.9998,SPEAKER_00
9.041,9.121,que,0.4380,0.9993,SPEAKER_00
9.182,9.625,preside,0.6420,0.9932,SPEAKER_00
9.706,9.887,el,0.3440,0.9561,SPEAKER_00
9.908,10.25,exministro,0.7960,0.8657,SPEAKER_00
10.613,10.714,de,0.4840,0.9998,SPEAKER_00
10.734,10.936,"Justicia,",0.1630,0.9391,SPEAKER_00
10.956,11.218,Jaime,0.8060,0.9492,SPEAKER_00
11.238,11.5,"Castillo,",0.2800,0.9979,SPEAKER_00
12.18,12.746,manifiesta,0.4640,0.9220,SPEAKER_00
12.766,12.847,su,0.2950,0.9992,SPEAKER_00
12.907,13.594,preocupación,0.6760,1.0000,SPEAKER_00
14.059,14.12,por,0.4760,0.9986,SPEAKER_00
14.2,14.301,la,0.8200,0.9999,SPEAKER_00
14.362,14.625,muerte,0.9450,0.9997,SPEAKER_00
14.665,14.726,de,0.8950,0.9999,SPEAKER_00
14.807,15.11,Víctor,0.7480,0.9987,SPEAKER_00
15.17,15.534,Huerta,0.5890,0.9954,SPEAKER_00
15.554,15.675,en,0.8060,0.9988,SPEAKER_00
15.696,16.16,"Concepción,",0.3750,0.9968,SPEAKER_00
16.94,17.384,señalado,0.3320,0.9458,SPEAKER_00
17.526,17.991,oficialmente,0.5300,1.0000,SPEAKER_00
18.051,18.152,por,0.8490,0.9999,SPEAKER_00
18.213,18.475,el,0.6240,0.9974,SPEAKER_00
18.556,18.738,régimen,0.3280,0.8856,SPEAKER_00
19.122,19.304,como,0.8210,0.9992,SPEAKER_00
19.849,20.031,activista,0.0080,0.6205,SPEAKER_00
20.051,20.172,del,0.2520,0.9364,SPEAKER_00
20.193,20.576,partido,0.8780,0.5212,SPEAKER_00
20.677,20.96,comunista,0.3520,0.9976,SPEAKER_00
20.94,21.708,y,0.7300,0.6357,SPEAKER_00
21.748,21.869,por,0.5650,0.9999,SPEAKER_00
21.91,21.97,la,0.9760,0.9999,SPEAKER_00
22.031,22.515,detención,0.8830,0.9997,SPEAKER_00
22.556,22.657,de,0.5940,0.9998,SPEAKER_00
22.738,22.798,un,0.8660,0.9999,SPEAKER_00
22.839,23.101,grupo,0.5550,0.9999,SPEAKER_00
23.121,23.162,de,0.2470,0.9999,SPEAKER_00
23.263,23.687,personas,0.6590,0.9970,SPEAKER_00
24.172,24.313,en,0.2060,0.9998,SPEAKER_00
24.333,24.515,esta,0.6130,0.5175,SPEAKER_00
24.636,24.919,misma,0.6600,0.9999,SPEAKER_00
24.939,25.04,zona.,0.1970,0.5141,SPEAKER_00
25.02,25.706,Según,0.7050,0.8899,SPEAKER_01
25.746,25.847,el,0.2960,0.9970,SPEAKER_01
25.887,26.189,informe,0.8360,0.9995,SPEAKER_01
26.27,26.351,de,0.6940,0.9969,SPEAKER_01
26.371,26.451,la,0.6930,0.9951,SPEAKER_01
26.472,26.956,"dictadura,",0.7480,0.9849,SPEAKER_01
27.117,27.399,Víctor,0.5940,0.9765,SPEAKER_01
27.419,27.843,"Huerta,",0.6220,0.9919,SPEAKER_01
27.863,27.984,que,0.7710,0.9965,SPEAKER_01
28.044,28.427,portaba,0.8730,0.9770,SPEAKER_01
28.649,28.689,un,0.1300,0.9991,SPEAKER_01
28.71,29.113,revólver,0.7590,0.9906,SPEAKER_01
29.314,29.335,y,0.9310,0.9894,SPEAKER_01
29.375,29.718,material,0.9620,0.9997,SPEAKER_01
29.738,29.778,de,0.0000,0.9999,SPEAKER_01
29.798,30.02,"propaganda,",0.0910,0.9996,SPEAKER_01
30.36,30.828,murió,0.2760,0.9990,SPEAKER_01
30.848,30.889,en,0.4380,0.9998,SPEAKER_01
