start,end,word,alignment_score,probability,speaker
0.0,0.928,Continúan,0.6370,0.9795,SPEAKER_01
0.948,1.109,los,0.4090,0.9996,SPEAKER_01
1.13,1.775,preparativos,0.7100,0.9983,SPEAKER_01
2.38,2.522,para,0.9290,0.9977,SPEAKER_01
2.602,2.643,la,0.5460,0.9999,SPEAKER_01
2.743,3.167,tercera,0.8610,0.9318,SPEAKER_01
3.288,3.712,jornada,0.7840,0.9852,SPEAKER_01
3.792,4.256,nacional,0.5560,0.9994,SPEAKER_01
4.277,4.498,de,0.7400,0.9999,SPEAKER_01
4.519,4.7,"protesta,",0.1110,0.7154,SPEAKER_01
5.38,5.622,pues,0.1480,0.8869,SPEAKER_01
5.642,5.702,se,0.3850,0.9974,SPEAKER_01
5.722,5.803,va,0.6660,0.9997,SPEAKER_01
5.823,5.843,a,0.4300,0.9999,SPEAKER_01
5.883,6.347,realizar,0.7770,0.9964,SPEAKER_01
6.387,6.447,en,0.8740,0.9999,SPEAKER_01
6.628,6.81,todo,0.7400,0.9978,SPEAKER_01
7.092,7.414,Chile,0.6970,0.9999,SPEAKER_01
7.817,7.897,el,0.7940,0.8224,SPEAKER_01
8.058,8.582,martes,0.7660,0.9998,SPEAKER_01
8.602,9.186,"próximo,",0.8060,0.9999,SPEAKER_01
9.73,10.132,4,0.6760,0.9247,SPEAKER_01
10.193,10.354,de,0.8020,0.9997,SPEAKER_01
10.374,10.636,julio,0.6870,0.9994,SPEAKER_01
10.656,10.716,de,0.4240,1.0000,SPEAKER_01
10.777,11.28,1983.,0.7950,0.9995,SPEAKER_01
12.28,12.783,Crece,0.4840,0.9056,SPEAKER_00
12.864,12.904,la,0.9640,1.0000,SPEAKER_00
12.985,13.388,tensión,0.8730,0.9736,SPEAKER_00
13.428,13.992,política,0.7100,1.0000,SPEAKER_00
14.032,14.072,en,0.4860,0.7435,SPEAKER_00
14.354,14.616,tanto,0.7420,0.9882,SPEAKER_00
14.697,14.777,el,0.7420,0.9909,SPEAKER_00
14.858,15.019,país,0.6390,1.0000,SPEAKER_00
15.059,15.603,sigue,0.5490,0.9999,SPEAKER_00
15.663,16.368,hundiéndose,0.6860,0.9987,SPEAKER_00
16.469,16.57,en,0.7720,0.9162,SPEAKER_00
16.65,16.691,la,0.9160,1.0000,SPEAKER_00
16.771,17.053,crisis,0.9600,1.0000,SPEAKER_00
17.093,18.06,socioeconómica.,0.1610,0.9964,SPEAKER_00
18.2,18.769,Diversos,0.1040,0.9953,SPEAKER_01
18.789,19.135,sectores,0.9220,0.9995,SPEAKER_01
19.338,19.826,continúan,0.7870,0.9984,SPEAKER_01
19.846,20.273,sumándose,0.6270,0.9976,SPEAKER_01
20.293,20.374,a,0.5360,1.0000,SPEAKER_01
20.395,20.557,la,0.6820,0.9928,SPEAKER_01
20.577,20.76,"protesta,",0.1140,0.9999,SPEAKER_01
20.9,21.588,en,0.3450,0.9992,SPEAKER_01
21.608,21.85,tanto,0.8400,0.9994,SPEAKER_01
21.952,22.356,circulan,0.9190,0.9999,SPEAKER_01
22.417,23.003,profundamente,0.8940,0.7661,SPEAKER_01
23.084,23.327,los,0.2590,1.0000,SPEAKER_01
23.347,23.873,instructivos,0.7560,0.9942,SPEAKER_01
24.034,24.176,para,0.9670,1.0000,SPEAKER_01
24.196,24.277,el,0.8820,1.0000,SPEAKER_01
24.358,24.56,martes.,0.4580,0.9999,SPEAKER_01
24.58,24.945,Ante,0.8580,0.9965,SPEAKER_00
25.026,25.067,la,0.9660,1.0000,SPEAKER_00
25.148,25.513,rígida,0.5560,0.9999,SPEAKER_00
25.534,25.879,censura,0.7070,0.9997,SPEAKER_00
25.94,26.0,de,0.9040,1.0000,SPEAKER_00
26.082,26.386,prensa,0.7740,0.9996,SPEAKER_00
26.508,26.832,impuesta,0.8440,0.9983,SPEAKER_00
26.914,27.015,por,0.9810,1.0000,SPEAKER_00
27.076,27.157,la,0.8250,0.9986,SPEAKER_00
27.177,27.38,"dictadura,",0.1080,0.7921,SPEAKER_00
27.36,28.367,circulan,0.0960,0.4575,SPEAKER_00
28.388,28.488,en,0.2800,0.9818,SPEAKER_00
28.509,28.992,Santiago,0.7690,0.9840,SPEAKER_00
29.274,29.294,y,0.0010,0.9419,SPEAKER_00
29.315,29.657,otras,0.4950,0.8738,SPEAKER_00
29.677,30.1,ciudades,0.7290,0.9988,SPEAKER_00
30.705,31.33,documentos,0.7620,0.8763,SPEAKER_00
31.471,31.591,con,0.9410,0.9846,SPEAKER_00
31.652,32.438,instrucciones,0.6750,0.9972,SPEAKER_00
32.458,32.478,a,0.0020,0.8960,SPEAKER_00
32.498,32.539,la,0.3750,0.9927,SPEAKER_00
32.559,32.76,"población,",0.1060,0.9965,SPEAKER_00
33.1,33.728,en,0.9330,0.9800,SPEAKER_00
33.749,33.809,el,0.5020,0.9714,SPEAKER_00
33.87,33.951,que,0.8300,0.9984,SPEAKER_00
34.032,34.093,se,0.4590,0.9973,SPEAKER_00
34.114,34.357,"llama,",0.9460,0.9969,SPEAKER_00
34.397,34.945,entre,0.9400,0.9970,SPEAKER_00
35.026,35.228,otras,0.7310,0.9864,SPEAKER_00
35.35,35.674,"cosas,",0.7190,0.9964,SPEAKER_00
35.978,36.12,a...,0.4320,0.8182,SPEAKER_00
36.1,36.671,No,0.6180,0.8179,SPEAKER_00
36.874,37.241,enviar,0.7030,0.9946,SPEAKER_00
37.302,37.669,los,0.5010,0.8231,SPEAKER_00
37.69,37.832,niños,0.4840,0.9997,SPEAKER_00
37.873,37.894,a,0.0040,0.9996,SPEAKER_00
37.914,38.077,la,0.7090,0.9943,SPEAKER_00
38.097,38.26,escuela.,0.1250,0.9991,SPEAKER_00
38.52,39.029,No,0.7260,0.9955,SPEAKER_00
39.151,39.802,realizar,0.7360,0.9985,SPEAKER_00
39.965,40.433,gestiones,0.6510,0.9997,SPEAKER_00
40.555,40.88,públicas.,0.6370,0.9995,SPEAKER_00
40.9,41.191,No,0.7780,0.9679,SPEAKER_00
41.275,41.462,hacer,0.7520,0.9996,SPEAKER_00
41.649,41.941,compras.,0.2970,0.9997,SPEAKER_00
42.06,42.343,Y,0.7910,0.9970,SPEAKER_00
42.383,42.464,de,0.6330,0.9981,SPEAKER_00
42.545,42.767,8,0.6510,0.8578,SPEAKER_00
42.787,42.807,a,0.8210,0.9965,SPEAKER_00
42.888,43.191,10,0.7030,0.9998,SPEAKER_00
43.231,43.292,de,0.8990,0.9994,SPEAKER_00
43.332,43.393,la,0.9580,0.9998,SPEAKER_00
43.453,43.736,"noche,",0.7780,0.9999,SPEAKER_00
44.443,45.13,"cocinas,",0.3670,0.9164,SPEAKER_00
45.15,45.816,"cacerolas,",0.5970,0.9094,SPEAKER_00
45.836,46.22,apagones.,0.2040,0.9623,SPEAKER_00
46.34,46.764,Hace,0.4650,0.9260,SPEAKER_01
46.784,47.046,pocos,0.5680,0.9996,SPEAKER_01
47.066,47.288,"días,",0.6900,0.9999,SPEAKER_01
47.793,47.954,el,0.6700,0.9994,SPEAKER_01
48.015,48.317,recién,0.4330,0.9985,SPEAKER_01
48.378,48.681,nombrado,0.8620,0.9997,SPEAKER_01
48.741,49.306,comandante,0.7830,0.9966,SPEAKER_01
49.367,49.427,de,0.8980,0.9973,SPEAKER_01
49.488,49.548,la,0.7910,0.9999,SPEAKER_01
49.609,50.033,guarnición,0.8340,0.9303,SPEAKER_01
50.214,50.517,militar,0.5160,0.9992,SPEAKER_01
50.537,50.658,de,0.5780,0.9997,SPEAKER_01
50.678,50.9,"Santiago,",0.2540,0.9996,SPEAKER_01
51.16,51.847,que,0.7060,0.9937,SPEAKER_00
51.908,52.575,reemplazó,0.7280,0.9983,SPEAKER_00
52.616,52.717,el,0.2340,0.8843,SPEAKER_00
52.737,53.364,destituido,0.4430,0.9308,SPEAKER_00
53.404,53.829,general,0.6690,0.9901,SPEAKER_00
54.273,54.9,"Esquerorosco,",0.4970,0.6870,SPEAKER_00
55.02,56.139,amenazó,0.5280,0.9716,SPEAKER_01
56.16,56.261,con,0.6080,0.9823,SPEAKER_01
56.384,56.709,severas,0.5660,0.8792,SPEAKER_01
56.77,57.157,medidas,0.8090,0.9994,SPEAKER_01
57.177,57.36,contra...,0.1110,0.6830,SPEAKER_01
58.88,59.486,Este,0.8260,0.0491,SPEAKER_00
59.547,60.012,comandante,0.8920,0.9928,SPEAKER_00
60.052,60.355,incluye,0.2540,0.4593,SPEAKER_00
60.416,60.638,también,0.8480,0.9975,SPEAKER_00
60.659,60.699,el,0.3930,0.6962,SPEAKER_00
60.8,61.002,jefe,0.8810,0.9959,SPEAKER_00
61.083,61.144,de,0.9200,0.9975,SPEAKER_00
61.184,61.245,la,0.8450,0.9986,SPEAKER_00
61.326,61.528,zona,0.8090,0.9343,SPEAKER_00
61.568,61.609,en,0.0060,0.9748,SPEAKER_00
61.629,62.073,estado,0.7630,0.9941,SPEAKER_00
62.114,62.174,de,0.8840,0.9999,SPEAKER_00
62.255,62.72,emergencia,0.5280,0.9999,SPEAKER_00
62.7,63.024,de,0.5710,0.9957,SPEAKER_00
63.064,63.105,la,0.8760,1.0000,SPEAKER_00
63.185,63.408,región,0.9580,0.9972,SPEAKER_00
63.448,64.237,"metropolitana,",0.8600,0.9996,SPEAKER_00
64.541,64.601,se,0.6780,0.9919,SPEAKER_00
64.642,64.905,llama,0.8740,1.0000,SPEAKER_00
65.188,65.734,Osvaldo,0.6250,0.9920,SPEAKER_00
65.875,66.3,"Hernández,",0.5060,0.9990,SPEAKER_00
66.38,66.972,y,0.8740,0.9990,SPEAKER_01
66.992,67.054,se,0.7170,0.9994,SPEAKER_01
67.115,67.34,cree,0.9300,0.9994,SPEAKER_01
67.442,67.564,que,0.8220,0.8413,SPEAKER_01
67.625,67.728,el,0.7830,0.7901,SPEAKER_01
67.85,67.972,hoyo,0.3140,0.9894,SPEAKER_01
67.993,68.197,del,0.5420,0.9964,SPEAKER_01
68.218,68.36,queque.,0.1430,0.8114,SPEAKER_01
68.74,69.445,También,0.7120,0.9610,SPEAKER_01
69.485,69.566,el,0.5220,0.9998,SPEAKER_01
69.646,70.089,capitán,0.8950,0.9623,SPEAKER_01
70.11,70.593,"general,",0.8970,0.9998,SPEAKER_01
70.976,71.076,que,0.7270,0.9966,SPEAKER_01
71.137,71.439,piensa,0.6070,0.9373,SPEAKER_01
71.499,71.781,darse,0.6080,0.8496,SPEAKER_01
71.821,71.882,el,0.8570,0.9991,SPEAKER_01
71.942,72.184,grado,0.8940,0.9999,SPEAKER_01
72.244,72.466,de,0.8780,0.9942,SPEAKER_01
72.768,73.09,honorar,0.5830,0.6508,SPEAKER_01
73.413,73.453,el,0.0010,0.4986,SPEAKER_01
73.473,73.735,general,0.3520,0.7402,SPEAKER_01
74.319,74.5,"Pinochet,",0.1240,0.7857,SPEAKER_01
75.32,75.744,dijo,0.7710,0.9980,SPEAKER_01
75.764,75.946,que,0.6430,1.0000,SPEAKER_01
76.027,76.108,no,0.9250,0.9999,SPEAKER_01
76.37,76.976,permitiría,0.8570,0.9999,SPEAKER_01
77.016,77.703,ni,0.8740,0.9988,SPEAKER_01
77.844,77.965,una,0.9340,0.9999,SPEAKER_01
78.147,78.329,sola,0.5350,0.9998,SPEAKER_01
78.41,78.854,protesta,0.8910,0.9993,SPEAKER_01
78.975,79.197,más,0.7240,0.9952,SPEAKER_01
79.217,79.318,en,0.3140,0.9921,SPEAKER_01
79.339,79.379,el,0.0040,0.9803,SPEAKER_01
79.399,79.5,país.,0.2000,0.9997,SPEAKER_01
82.1,83.46,"Cienañosradio.cl,",0.3740,0.8241,SPEAKER_01
83.805,84.232,guárdalo,0.7340,0.9974,SPEAKER_01
