start,end,word,alignment_score,probability,speaker
0.0,0.984,Hasta,0.7870,0.8549,SPEAKER_00
1.205,1.266,sus,0.2060,0.7382,SPEAKER_00
1.326,1.567,últimos,0.8240,0.9826,SPEAKER_00
1.587,1.909,"días,",0.7180,0.9980,SPEAKER_00
2.612,2.833,este,0.7080,0.9527,SPEAKER_00
2.953,3.154,año,0.8550,0.9986,SPEAKER_00
3.174,3.938,"1983,",0.8450,0.9564,SPEAKER_00
4.038,4.38,se,0.3790,0.9925,SPEAKER_00
4.42,5.967,caracteriza,0.6710,0.9994,SPEAKER_00
6.047,6.168,en,0.8340,0.8958,SPEAKER_00
6.188,6.389,Chile,0.4550,0.6965,SPEAKER_00
6.469,6.57,por,0.9570,0.9957,SPEAKER_00
6.63,6.69,el,0.9780,0.9994,SPEAKER_00
6.75,7.212,desarrollo,0.8700,0.9984,SPEAKER_00
7.253,7.916,ascendente,0.5720,0.9944,SPEAKER_00
7.956,8.056,de,0.4530,0.9984,SPEAKER_00
8.117,8.177,la,0.7540,0.9928,SPEAKER_00
8.237,8.418,ruta,0.8870,0.8186,SPEAKER_00
8.438,8.498,de,0.5480,0.9870,SPEAKER_00
8.559,8.719,las,0.5280,0.9800,SPEAKER_00
8.739,8.9,"marcas,",0.2640,0.5356,SPEAKER_00
8.96,9.869,por,0.4420,0.9996,SPEAKER_00
9.93,10.011,el,0.1140,0.9998,SPEAKER_00
10.031,10.658,enfrentamiento,0.6380,0.9776,SPEAKER_00
10.738,11.203,combativo,0.9180,0.9943,SPEAKER_00
11.284,11.345,de,0.5940,0.9976,SPEAKER_00
11.446,11.708,nuestro,0.4770,0.9996,SPEAKER_00
11.729,12.194,pueblo,0.3840,0.9998,SPEAKER_00
12.214,12.416,con,0.3880,0.9946,SPEAKER_00
12.436,12.517,el,0.2700,0.9968,SPEAKER_00
12.537,12.84,"fascismo,",0.2790,0.8062,SPEAKER_00
13.6,13.782,por,0.6420,0.9994,SPEAKER_00
13.803,13.863,el,0.7010,0.9996,SPEAKER_00
13.904,14.289,despide,0.7020,0.6480,SPEAKER_00
14.39,14.876,incursante,0.6030,0.6952,SPEAKER_00
14.896,14.937,de,0.4500,0.7267,SPEAKER_00
15.139,15.382,grandes,0.6200,0.8688,SPEAKER_00
15.484,15.504,y,0.2040,0.9989,SPEAKER_00
15.524,16.152,pequeñas,0.4460,0.9979,SPEAKER_00
16.172,16.8,"reivindicaciones,",0.2970,0.9539,SPEAKER_00
17.76,18.024,por,0.3290,0.9998,SPEAKER_00
18.044,18.085,la,0.8900,0.9979,SPEAKER_00
18.227,18.369,acción,0.6880,0.9992,SPEAKER_00
18.43,19.284,conjunta,0.1900,0.9655,SPEAKER_00
19.304,19.385,de,0.8450,0.9979,SPEAKER_00
19.487,19.588,muy,0.6940,0.9990,SPEAKER_00
19.731,20.096,amplias,0.4000,0.9858,SPEAKER_00
20.117,20.36,"fuerzas,",0.3880,0.9996,SPEAKER_00
20.36,21.128,por,0.5390,0.9435,SPEAKER_00
21.229,21.309,la,0.9310,0.9522,SPEAKER_00
21.41,21.996,decisión,0.6810,0.9693,SPEAKER_00
22.42,22.602,con,0.8540,0.9961,SPEAKER_00
22.622,22.804,que,0.5530,0.9985,SPEAKER_00
22.824,23.067,se,0.7390,0.9491,SPEAKER_00
23.087,23.309,exige,0.4090,0.9273,SPEAKER_00
23.37,23.45,el,0.8860,0.9998,SPEAKER_00
23.551,23.975,término,0.7710,0.9999,SPEAKER_00
24.016,24.076,de,0.8210,0.9996,SPEAKER_00
24.097,24.278,la,0.8790,0.9973,SPEAKER_00
24.299,24.46,tiranía.,0.1280,0.8023,SPEAKER_00
24.44,25.654,Y,0.8330,0.0202,SPEAKER_00
25.674,25.978,es,0.5800,0.1093,SPEAKER_00
26.099,26.281,esto,0.6360,0.7984,SPEAKER_00
26.301,26.342,lo,0.6290,0.9820,SPEAKER_00
26.362,26.423,que,0.8520,0.9975,SPEAKER_00
26.483,26.524,ha,0.7720,0.9908,SPEAKER_00
26.605,26.949,cambiado,0.8470,0.9972,SPEAKER_00
26.969,27.333,totalmente,0.2590,0.9850,SPEAKER_00
27.596,27.637,la,0.0120,0.9961,SPEAKER_00
27.657,27.96,situación,0.2530,0.9977,SPEAKER_00
27.94,27.98,y,0.0900,0.7973,SPEAKER_00
28.001,28.041,lo,0.1500,0.9969,SPEAKER_00
29.05,29.13,que,0.7270,0.9992,SPEAKER_00
29.191,29.574,apresura,0.7780,0.9753,SPEAKER_00
29.655,29.715,el,0.9730,0.9966,SPEAKER_00
29.877,30.018,fin,0.7650,0.9838,SPEAKER_00
30.058,30.119,de,0.9090,0.9975,SPEAKER_00
30.179,30.623,Pinochet,0.6750,0.9762,SPEAKER_00
31.027,31.067,y,0.7890,0.9901,SPEAKER_00
31.087,31.168,de,0.8660,0.9911,SPEAKER_00
31.269,31.471,su,0.7810,0.9992,SPEAKER_00
31.572,32.076,régimen,0.2540,0.9987,SPEAKER_00
32.096,32.56,antinacional.,0.1500,0.9924,SPEAKER_00
33.38,34.287,Se,0.4040,0.9837,SPEAKER_00
34.307,34.871,eleva,0.6950,0.9979,SPEAKER_00
34.892,34.952,día,0.3900,0.9890,SPEAKER_00
35.053,35.073,a,0.0050,0.9980,SPEAKER_00
35.093,35.254,día,0.8630,0.9997,SPEAKER_00
35.375,35.416,la,0.9920,0.9939,SPEAKER_00
35.496,35.98,conciencia,0.7430,0.9690,SPEAKER_00
36.02,36.081,de,0.6900,0.9996,SPEAKER_00
36.141,36.242,las,0.9100,0.9948,SPEAKER_00
36.322,36.584,masas,0.8090,0.9914,SPEAKER_00
36.625,37.29,sobre,0.6480,0.9860,SPEAKER_00
37.391,37.431,la,0.9550,0.9993,SPEAKER_00
37.512,37.915,situación,0.9360,0.9993,SPEAKER_00
38.076,38.338,real,0.9840,0.9989,SPEAKER_00
38.378,38.539,del,0.5640,0.9987,SPEAKER_00
38.56,38.64,país,0.2500,0.9929,SPEAKER_00
38.62,39.426,y,0.8130,0.5284,SPEAKER_00
39.447,39.588,se,0.6620,0.9920,SPEAKER_00
39.608,39.93,van,0.7210,0.9881,SPEAKER_00
39.951,40.374,evaporando,0.4360,0.9532,SPEAKER_00
40.394,40.414,a,0.5710,0.9980,SPEAKER_00
40.455,40.515,la,0.9170,0.9934,SPEAKER_00
40.576,40.939,batalla,0.9750,0.9976,SPEAKER_00
40.979,41.745,antifascista,0.5420,0.9949,SPEAKER_00
42.148,42.592,sectores,0.8110,0.9933,SPEAKER_00
42.753,42.935,cada,0.9450,0.9977,SPEAKER_00
42.995,43.116,vez,0.9000,0.9995,SPEAKER_00
43.197,43.378,más,0.5060,0.7507,SPEAKER_00
43.398,43.64,amplios,0.2170,0.7840,SPEAKER_00
43.62,44.288,y,0.8590,0.7673,SPEAKER_00
44.308,44.369,de,0.9670,0.9598,SPEAKER_00
44.47,44.713,esto,0.9000,0.6982,SPEAKER_00
45.3,45.361,la,0.7200,0.8023,SPEAKER_00
45.381,45.847,aprobadora,0.9150,0.9640,SPEAKER_00
45.887,46.414,mayoría,0.6840,0.9998,SPEAKER_00
46.474,46.535,de,0.8240,0.9920,SPEAKER_00
46.576,46.758,los,0.5000,0.9922,SPEAKER_00
46.778,46.96,chilenos.,0.1370,0.9857,SPEAKER_00
48.0,48.267,Hay,0.8370,0.9915,SPEAKER_00
48.41,48.472,una,0.9430,0.9995,SPEAKER_00
48.656,48.943,lucha,0.7850,0.9922,SPEAKER_00
49.128,49.641,generalizada.,0.4180,0.9855,SPEAKER_00
50.4,51.11,La,0.7580,0.9983,SPEAKER_00
51.272,51.719,iniciativa,0.9260,0.9970,SPEAKER_00
51.759,52.165,está,0.5700,0.9897,SPEAKER_00
