start,end,word,alignment_score,probability,speaker
0.0,1.111,La,0.6820,0.9991,SPEAKER_00
1.191,1.494,unidad,0.9860,0.9999,SPEAKER_00
1.575,1.636,de,0.9540,0.9996,SPEAKER_00
1.737,1.918,toda,0.9860,0.9999,SPEAKER_00
1.999,2.06,la,0.7940,1.0000,SPEAKER_00
2.161,2.726,oposición,0.9180,0.9999,SPEAKER_00
2.746,2.787,es,0.5000,0.9999,SPEAKER_00
3.271,3.392,una,0.9630,0.9999,SPEAKER_00
3.513,4.079,necesidad,0.9270,1.0000,SPEAKER_00
4.099,4.22,vital.,0.1670,0.9969,SPEAKER_00
5.12,6.168,"Obviamente,",0.8330,0.9999,SPEAKER_00
6.208,6.973,cuando,0.9100,1.0000,SPEAKER_00
7.074,7.155,se,0.9360,1.0000,SPEAKER_00
7.255,7.537,trata,0.9220,1.0000,SPEAKER_00
7.598,7.658,de,0.8680,1.0000,SPEAKER_00
7.779,8.243,producir,0.9620,1.0000,SPEAKER_00
8.263,8.303,el,0.4960,1.0000,SPEAKER_00
8.504,9.451,entendimiento,0.9240,1.0000,SPEAKER_00
9.512,9.572,de,0.6510,1.0000,SPEAKER_00
9.612,10.136,sectores,0.7880,0.9974,SPEAKER_00
10.156,10.378,tan,0.7580,0.9999,SPEAKER_00
10.398,10.68,vastos,0.5850,0.9969,SPEAKER_00
10.66,11.385,que,0.3930,0.5687,SPEAKER_00
11.405,11.606,van,0.9300,1.0000,SPEAKER_00
11.627,11.828,desde,0.7020,0.9999,SPEAKER_00
11.868,11.909,la,0.9800,1.0000,SPEAKER_00
11.969,12.412,"izquierda,",0.7780,1.0000,SPEAKER_00
12.996,13.318,pasan,0.9590,0.9999,SPEAKER_00
13.459,13.58,por,0.9760,1.0000,SPEAKER_00
13.701,13.902,todo,0.9430,1.0000,SPEAKER_00
13.942,14.003,el,0.9720,1.0000,SPEAKER_00
14.124,14.486,"centro,",0.8880,0.9985,SPEAKER_00
15.03,15.171,para,0.9330,1.0000,SPEAKER_00
