start,end,word,alignment_score,probability,speaker
0.0,0.483,Y,0.8300,0.8662,SPEAKER_01
0.503,0.564,por,0.5730,0.9301,SPEAKER_01
0.604,0.946,supuesto,0.6790,0.9975,SPEAKER_01
1.187,1.268,un,0.6610,0.8787,SPEAKER_01
1.288,1.59,saludo,0.5860,0.9998,SPEAKER_01
1.771,2.294,cordial,0.8340,0.9767,SPEAKER_01
2.415,2.697,cuando,0.9130,0.9342,SPEAKER_01
2.818,2.959,se,0.7120,0.9987,SPEAKER_01
2.979,3.422,preparan,0.7270,0.8142,SPEAKER_01
3.985,4.025,en,0.0000,0.8163,SPEAKER_01
4.045,4.146,Chile,0.0000,0.9997,SPEAKER_01
4.166,4.307,para,0.8580,0.9628,SPEAKER_01
4.347,4.408,la,0.9000,0.9999,SPEAKER_01
4.468,4.931,tercera,0.9290,0.9930,SPEAKER_01
5.072,5.555,jornada,0.9320,0.9990,SPEAKER_01
5.635,5.716,de,0.8610,0.9997,SPEAKER_01
5.817,6.179,protesta,0.5800,0.9945,SPEAKER_01
6.199,6.38,nacional.,0.1110,0.9991,SPEAKER_01
6.7,7.002,Y,0.8560,0.9971,SPEAKER_00
7.022,7.083,en,0.8400,0.9999,SPEAKER_00
7.123,7.203,el,0.9780,0.9998,SPEAKER_00
7.264,7.505,"mundo,",0.7130,0.9996,SPEAKER_00
8.069,8.129,el,0.8520,0.9998,SPEAKER_00
8.21,8.753,consiguiente,0.7700,0.9966,SPEAKER_00
8.854,9.076,marco,0.9010,0.8900,SPEAKER_00
9.196,9.74,solidario,0.9740,0.9986,SPEAKER_00
9.76,9.8,en,0.4990,0.9990,SPEAKER_00
10.203,10.505,esta,0.8430,0.9998,SPEAKER_00
10.565,10.787,lucha,0.8100,1.0000,SPEAKER_00
10.988,11.612,frontal,0.8380,0.9984,SPEAKER_00
11.834,12.196,contra,0.9790,0.9999,SPEAKER_00
12.276,12.337,la,0.7440,1.0000,SPEAKER_00
12.458,12.84,tiranía.,0.6150,0.9997,SPEAKER_00
12.88,13.324,Así,0.3220,0.9706,SPEAKER_01
13.344,13.405,es,0.5650,0.9996,SPEAKER_01
13.465,13.788,"amigos,",0.8160,0.9392,SPEAKER_01
14.232,14.857,tercera,0.7490,0.9999,SPEAKER_01
14.998,15.442,"jornada,",0.9900,1.0000,SPEAKER_01
15.462,15.503,el,0.4980,1.0000,SPEAKER_01
15.906,16.31,martes,0.8250,0.9998,SPEAKER_01
16.33,17.036,12,0.7080,0.9952,SPEAKER_01
17.056,17.399,de,0.5360,1.0000,SPEAKER_01
17.419,17.54,julio.,0.1520,0.9990,SPEAKER_01
17.58,17.986,Y,0.8960,0.9894,SPEAKER_00
18.006,18.351,todos,0.3180,0.9939,SPEAKER_00
18.371,18.452,a,0.5430,0.9990,SPEAKER_00
18.473,18.797,"una,",0.5730,0.9986,SPEAKER_00
19.345,19.527,como,0.9580,1.0000,SPEAKER_00
19.791,20.258,fuente,0.6450,0.7742,SPEAKER_00
20.278,20.44,ovejuna.,0.1250,0.9791,SPEAKER_00
20.62,20.682,A,0.1460,0.9999,SPEAKER_01
20.702,20.764,ver,0.1020,1.0000,SPEAKER_01
20.785,20.908,"Katia,",0.2270,0.7205,SPEAKER_01
20.97,21.485,"veamos,",0.3590,0.9969,SPEAKER_01
21.506,21.712,¿cómo,0.5980,0.9932,SPEAKER_01
21.876,21.918,es,0.0000,0.9909,SPEAKER_01
21.938,22.021,eso?,0.2500,0.9936,SPEAKER_01
22.0,22.926,Claro,0.6810,0.8597,SPEAKER_00
22.966,23.308,pues,0.2900,0.7754,SPEAKER_00
23.369,24.254,"Pepe,",0.5930,0.5383,SPEAKER_00
24.274,24.315,se,0.1520,0.9965,SPEAKER_00
24.335,24.617,trata,0.6570,0.9998,SPEAKER_00
24.697,24.798,que,0.5740,0.9552,SPEAKER_00
24.979,25.301,todos,0.7620,0.9968,SPEAKER_00
25.945,26.71,participan,0.7930,0.9955,SPEAKER_00
26.73,26.75,y,0.9640,0.9761,SPEAKER_00
26.77,27.636,son,0.7350,0.9463,SPEAKER_00
27.716,28.36,responsables.,0.5210,0.9995,SPEAKER_00
28.46,29.268,Que,0.8820,0.9899,SPEAKER_00
29.349,29.43,no,0.9660,0.9996,SPEAKER_00
29.471,29.572,hay,0.8950,0.9991,SPEAKER_00
29.733,29.915,quien,0.8630,0.9972,SPEAKER_00
30.077,30.239,sea,0.7100,0.9810,SPEAKER_00
30.259,30.319,la,0.3930,0.9978,SPEAKER_00
30.38,30.784,"cabeza,",0.7930,0.9953,SPEAKER_00
31.108,31.209,que,0.7930,0.9989,SPEAKER_00
31.391,31.593,todos,0.4800,0.9970,SPEAKER_00
31.673,32.037,son,0.5100,0.9984,SPEAKER_00
32.057,32.32,cabezas.,0.2580,0.8932,SPEAKER_00
32.36,32.882,Es,0.6520,0.9987,SPEAKER_00
32.963,33.184,"decir,",0.8510,1.0000,SPEAKER_00
34.048,34.148,que,0.8600,0.9998,SPEAKER_00
34.289,34.49,todo,0.9140,0.9998,SPEAKER_00
34.53,34.651,un,0.6780,0.9995,SPEAKER_00
34.771,35.053,"pueblo,",0.9160,0.9999,SPEAKER_00
35.635,36.439,"colectiva,",0.5080,0.9958,SPEAKER_00
36.459,36.901,"masiva,",0.9490,0.9998,SPEAKER_00
37.303,39.132,"extensamente,",0.8840,0.9901,SPEAKER_00
39.152,39.192,se,0.0000,0.9533,SPEAKER_00
39.212,39.634,revela,0.5870,0.7770,SPEAKER_00
39.916,40.277,contra,0.9910,0.9997,SPEAKER_00
40.358,40.438,el,0.8910,0.9994,SPEAKER_00
40.699,40.84,tirano.,0.1490,0.9953,SPEAKER_00
40.9,41.344,Y,0.7500,0.9457,SPEAKER_01
41.364,41.727,claro,0.8810,0.9989,SPEAKER_01
41.808,41.888,que,0.8600,0.9999,SPEAKER_01
41.989,42.11,"sí,",0.6670,0.9667,SPEAKER_01
42.776,42.937,por,0.6740,0.9991,SPEAKER_01
42.957,43.199,eso,0.9080,0.9998,SPEAKER_01
43.603,43.683,si,0.7780,0.9816,SPEAKER_01
43.704,43.845,hay,0.6010,0.9993,SPEAKER_01
43.966,44.349,quien,0.5380,0.9996,SPEAKER_01
44.369,44.914,pregunte,0.7370,0.9995,SPEAKER_01
44.934,44.954,o,0.9470,0.9994,SPEAKER_01
45.115,45.68,"interrogue,",0.6020,0.9061,SPEAKER_01
45.68,46.527,quien,0.6240,0.6224,SPEAKER_01
46.668,47.172,convocó,0.8670,0.9964,SPEAKER_01
47.192,47.233,a,0.7040,0.9972,SPEAKER_01
47.293,47.354,la,0.9410,0.9987,SPEAKER_01
47.414,47.918,"protesta,",0.9510,0.9998,SPEAKER_01
47.979,48.443,quien,0.6330,0.9921,SPEAKER_01
48.604,48.685,la,0.8170,0.9999,SPEAKER_01
48.725,49.189,"dirige,",0.9280,0.9996,SPEAKER_01
49.632,49.854,quien,0.5820,0.9992,SPEAKER_01
49.935,50.016,la,0.9550,1.0000,SPEAKER_01
50.116,50.58,"encabeza,",0.5300,0.9998,SPEAKER_01
51.24,51.43,los,0.5860,0.9962,SPEAKER_01
51.557,51.747,chilenos,0.0820,0.9996,SPEAKER_01
51.769,52.001,permanecen.,0.0930,0.5273,SPEAKER_01
52.0,52.344,Pueden,0.2980,0.5942,SPEAKER_01
52.364,52.87,perfectamente,0.9260,0.9856,SPEAKER_01
52.891,53.903,"decir,",0.3560,0.9905,SPEAKER_01
53.923,54.47,fuente,0.8580,0.6616,SPEAKER_01
54.551,55.219,"ovejuna,",0.6560,0.9469,SPEAKER_01
55.239,55.36,señor.,0.1690,0.9946,SPEAKER_01
55.58,56.062,Es,0.8740,0.9987,SPEAKER_00
56.123,56.424,"decir,",0.7710,1.0000,SPEAKER_00
57.128,57.49,todos,0.7110,0.9984,SPEAKER_00
57.53,57.651,los,0.7480,0.9999,SPEAKER_00
57.711,58.173,"chilenos,",0.7740,0.9998,SPEAKER_00
58.877,59.279,todos,0.4790,0.9997,SPEAKER_00
59.38,59.601,los,0.3240,0.9999,SPEAKER_00
59.621,60.264,"patriotas,",0.8070,0.9871,SPEAKER_00
61.33,61.43,todos,0.2550,0.9988,SPEAKER_00
61.45,61.611,los,0.4480,0.9995,SPEAKER_00
61.631,61.692,que,0.2940,0.9993,SPEAKER_00
61.712,62.053,se,0.7500,0.9951,SPEAKER_00
62.335,62.717,oponen,0.7220,0.9998,SPEAKER_00
62.797,62.817,a,0.5420,0.9999,SPEAKER_00
62.837,62.958,la,0.6330,0.9997,SPEAKER_00
62.978,63.36,"tiranía,",0.5530,0.9995,SPEAKER_00
63.38,63.985,hasta,0.2540,0.9971,SPEAKER_00
64.045,64.146,los,0.9530,0.9998,SPEAKER_00
64.246,64.67,clásicos,0.8200,0.9999,SPEAKER_00
64.73,64.791,de,0.9200,0.9999,SPEAKER_00
64.831,64.871,la,0.9880,0.9999,SPEAKER_00
64.952,65.415,literatura,0.9240,0.9999,SPEAKER_00
65.456,65.979,"española,",0.8540,0.9999,SPEAKER_00
66.564,67.229,combaten,0.9920,0.9993,SPEAKER_00
67.37,67.632,contra,0.9580,0.9984,SPEAKER_00
67.692,67.753,la,0.8840,0.9936,SPEAKER_00
67.833,68.377,dictadura,0.8090,0.9909,SPEAKER_00
68.398,68.539,de,0.5130,0.9994,SPEAKER_00
68.559,68.74,Pinochet.,0.1160,0.9887,SPEAKER_00
68.94,69.427,Y,0.7750,0.2111,SPEAKER_00
69.448,69.691,esto,0.4720,0.6077,SPEAKER_00
69.752,69.813,los,0.2070,0.9392,SPEAKER_00
69.894,70.382,considera,0.6640,0.9942,SPEAKER_00
70.463,70.747,como,0.7270,0.9997,SPEAKER_00
70.767,70.909,sus,0.6670,0.9989,SPEAKER_00
71.234,71.64,enemigos.,0.2950,0.9998,SPEAKER_00
71.76,72.207,La,0.8540,0.9892,SPEAKER_01
72.308,72.836,tercera,0.7130,0.9981,SPEAKER_01
73.039,73.486,jornada,0.8840,0.9997,SPEAKER_01
73.567,73.669,de,0.9020,0.9991,SPEAKER_01
73.77,74.237,protesta,0.7350,0.9986,SPEAKER_01
74.258,74.44,nacional.,0.1110,0.9971,SPEAKER_01
74.82,75.83,"Ah,",0.2640,0.9677,SPEAKER_01
75.851,75.932,y,0.8520,0.4500,SPEAKER_01
76.134,76.376,cómo,0.9480,0.8388,SPEAKER_01
76.396,76.437,se,0.4890,0.9997,SPEAKER_01
76.699,77.185,portarán,0.7100,0.9980,SPEAKER_01
77.205,77.548,nuestros,0.2570,0.9998,SPEAKER_01
77.75,78.175,leones,0.4930,0.9991,SPEAKER_01
78.195,78.276,del,0.3260,0.9961,SPEAKER_01
78.296,78.7,exterior.,0.3910,0.9999,SPEAKER_01
79.36,80.071,Seguro,0.8620,0.9903,SPEAKER_01
80.152,80.315,"que,",0.7520,0.9999,SPEAKER_01
80.579,80.701,muy,0.8090,0.9997,SPEAKER_01
80.741,81.026,"bien,",0.7820,1.0000,SPEAKER_01
81.066,81.777,"activos,",0.7290,0.9953,SPEAKER_01
81.798,81.96,audaces.,0.1260,0.8304,SPEAKER_01
82.0,82.322,"Y,",0.6800,0.1170,SPEAKER_01
83.57,83.751,sobre,0.9480,0.9585,SPEAKER_01
83.791,83.932,"todo,",0.9850,0.9997,SPEAKER_01
83.953,84.556,entregando,0.4580,0.9943,SPEAKER_01
84.657,84.798,sus,0.4360,0.9756,SPEAKER_01
84.858,85.341,informaciones,0.5040,0.9948,SPEAKER_01
85.382,85.603,en,0.4870,0.8170,SPEAKER_01
85.623,85.825,forma,0.9790,0.9992,SPEAKER_01
85.865,86.831,oportuna,0.9190,0.9993,SPEAKER_01
87.274,87.334,a,0.8340,0.9941,SPEAKER_01
87.374,87.737,nuestros,0.6990,0.9973,SPEAKER_01
87.817,88.26,teléfonos.,0.2740,0.9998,SPEAKER_01
88.68,90.106,"Recuérdenlos,",0.7220,0.8740,SPEAKER_01
90.126,90.267,el,0.8470,0.9948,SPEAKER_01
90.91,93.682,2-3-3-6-8-8-2,0.8210,0.1378,SPEAKER_01
95.35,95.37,y,0.5390,0.8863,SPEAKER_01
95.45,97.74,2-3-3-7-5-0-7.,0.7980,0.9995,SPEAKER_01
97.84,98.603,Vamos,0.8140,0.9946,SPEAKER_01
98.623,98.644,a,0.9970,0.9999,SPEAKER_01
98.784,99.306,"repetirlos,",0.9190,0.9993,SPEAKER_01
99.829,100.713,2-3-3-6-8-8-2,0.8350,0.9989,SPEAKER_01
101.777,101.798,y,0.0020,0.9296,SPEAKER_01
101.818,106.9,2-3-3-7-5-0-7.,0.7710,0.9980,SPEAKER_01
107.88,108.225,Les,0.2660,0.9999,SPEAKER_01
108.245,108.61,estaremos,0.7560,1.0000,SPEAKER_01
108.853,109.441,esperando,0.8550,0.9996,SPEAKER_01
109.664,109.725,las,0.0070,0.9995,SPEAKER_01
109.745,110.232,24,0.7370,0.9998,SPEAKER_01
110.252,110.374,horas,0.3990,0.9999,SPEAKER_01
110.414,110.475,del,0.0010,0.9991,SPEAKER_01
110.496,110.84,día.,0.6920,0.9999,SPEAKER_01
111.0,111.289,¿Qué,0.1720,0.9995,SPEAKER_00
111.311,111.422,pasa?,0.1980,0.9976,SPEAKER_00
112.0,112.221,Como,0.7700,1.0000,SPEAKER_00
112.262,112.342,en,0.4910,0.9999,SPEAKER_00
112.362,112.503,las,0.3430,0.9999,SPEAKER_00
112.523,112.886,jornadas,0.8250,1.0000,SPEAKER_00
113.047,113.51,"anteriores,",0.9520,0.9995,SPEAKER_00
114.074,114.275,los,0.4680,0.9998,SPEAKER_00
114.295,114.638,chilenos,0.7410,0.9997,SPEAKER_00
114.678,114.799,del,0.6930,0.9998,SPEAKER_00
114.839,115.242,exterior,0.8750,0.9999,SPEAKER_00
115.805,115.986,se,0.6980,1.0000,SPEAKER_00
116.007,116.53,pargarán,0.7080,0.9997,SPEAKER_00
116.55,116.57,a,0.0450,0.9998,SPEAKER_00
116.651,116.711,la,0.5820,1.0000,SPEAKER_00
116.752,117.074,altura,0.9120,1.0000,SPEAKER_00
117.134,117.215,de,0.7020,0.9678,SPEAKER_00
117.275,117.335,las,0.6660,0.9998,SPEAKER_00
117.416,118.04,circunstancias,0.5450,0.9984,SPEAKER_00
118.02,118.847,y,0.6810,0.9768,SPEAKER_00
118.867,119.068,harán,0.5150,0.9931,SPEAKER_00
119.129,119.573,patente,0.8530,0.9999,SPEAKER_00
119.835,119.915,su,0.3800,0.9995,SPEAKER_00
119.935,120.339,apoyo,0.9550,0.9998,SPEAKER_00
120.359,120.379,a,0.9770,0.2517,SPEAKER_00
120.984,121.024,la,0.7900,0.3934,SPEAKER_00
121.105,121.367,lucha,0.9200,0.3985,SPEAKER_00
121.387,122.012,heroica,0.6140,0.9941,SPEAKER_00
122.032,122.093,que,0.3180,0.9999,SPEAKER_00
122.194,122.234,se,0.7020,0.9996,SPEAKER_00
122.496,122.536,da,0.0050,1.0000,SPEAKER_00
122.557,122.678,en,0.6200,0.9989,SPEAKER_00
122.698,122.799,el,0.6860,0.9996,SPEAKER_00
122.819,123.0,interior.,0.1110,0.9991,SPEAKER_00
123.2,124.045,Y,0.7940,0.9997,SPEAKER_00
124.065,124.145,que,0.8490,0.9051,SPEAKER_00
124.206,124.286,los,0.8330,0.5850,SPEAKER_00
124.427,124.809,amigos,0.8980,0.9995,SPEAKER_00
124.87,124.97,del,0.8800,1.0000,SPEAKER_00
125.051,125.232,pueblo,0.8340,0.9999,SPEAKER_00
125.272,125.312,de,0.1200,0.9994,SPEAKER_00
125.413,125.734,Chile,0.5390,0.9835,SPEAKER_00
126.318,126.64,estarán,0.5240,1.0000,SPEAKER_00
126.68,126.881,otra,0.5240,0.7001,SPEAKER_00
126.901,127.102,vez,0.6590,0.9904,SPEAKER_00
127.142,127.625,entregando,0.7900,0.8162,SPEAKER_00
127.645,127.686,su,0.4940,0.9956,SPEAKER_00
128.43,128.852,amplio,0.8830,0.9999,SPEAKER_00
129.094,130.019,corazón,0.7250,0.9984,SPEAKER_00
130.039,130.24,solidario.,0.1080,0.9999,SPEAKER_00
130.36,131.021,Seguro.,0.2570,0.9999,SPEAKER_00
131.02,132.114,"Entonces,",0.7830,0.9987,SPEAKER_01
132.235,132.539,"amigos,",0.6240,0.9998,SPEAKER_01
132.985,133.592,esperamos,0.8840,0.9999,SPEAKER_01
133.815,134.038,las,0.4750,0.9997,SPEAKER_01
134.058,134.24,noticias.,0.1070,0.9999,SPEAKER_01
134.58,135.429,Escucha,0.7450,0.9999,SPEAKER_01
135.449,135.732,Chile,0.7760,0.9990,SPEAKER_01
135.752,135.793,en,0.5000,0.9967,SPEAKER_01
136.278,136.419,la,0.8230,0.9992,SPEAKER_01
136.439,137.005,tercera,0.7310,0.9998,SPEAKER_01
137.127,137.592,jornada,0.9320,0.9997,SPEAKER_01
137.672,137.753,de,0.8800,0.9997,SPEAKER_01
137.874,138.218,protesta,0.5770,0.9977,SPEAKER_01
138.238,138.42,nacional.,0.1120,0.9993,SPEAKER_01
139.02,139.897,12,0.6650,0.9974,SPEAKER_01
139.938,140.019,de,0.8500,0.9972,SPEAKER_01
140.101,140.325,julio,0.8450,0.9980,SPEAKER_01
140.346,140.387,de,0.4950,1.0000,SPEAKER_01
140.407,141.1,1983.,0.8230,0.9930,SPEAKER_01
142.0,143.146,Chile,0.8650,0.9995,SPEAKER_01
143.29,143.76,protesta.,0.5090,0.9997,SPEAKER_01
143.74,144.564,Chile,0.6430,0.9998,SPEAKER_01
144.729,145.121,exige.,0.2980,0.9986,SPEAKER_01
145.46,146.669,Democracia,0.9590,0.9870,SPEAKER_01
147.018,147.14,ahora.,0.1680,0.9988,SPEAKER_01
147.98,148.341,Fuera,0.6330,0.9986,SPEAKER_01
148.425,148.701,Pinochet.,0.3380,0.9995,SPEAKER_01
148.86,149.409,Y,0.7900,0.6332,SPEAKER_01
149.43,149.641,punto.,0.6210,0.9977,SPEAKER_01
