start,end,word,alignment_score,probability,speaker
0.0,1.207,Volvamos,0.8340,0.9510,SPEAKER_02
1.227,1.267,al,0.4900,0.9996,SPEAKER_02
1.448,1.831,"pasado,",0.7050,0.9999,SPEAKER_02
2.615,2.676,a,0.7930,0.9995,SPEAKER_02
2.736,2.837,los,0.9380,0.9998,SPEAKER_02
3.078,3.4,mil,0.4530,0.9984,SPEAKER_02
3.42,3.682,días,0.7500,0.9998,SPEAKER_02
4.044,4.084,de,0.0040,0.9995,SPEAKER_02
4.104,4.426,"Allende,",0.5870,0.9919,SPEAKER_02
5.21,5.251,a,0.7810,0.9992,SPEAKER_02
5.311,5.432,los,0.9760,0.9999,SPEAKER_02
5.552,5.754,años,0.7730,0.9999,SPEAKER_02
5.774,5.975,del,0.3790,0.9996,SPEAKER_02
6.096,6.679,gobierno,0.8090,0.9791,SPEAKER_02
6.699,6.86,popular.,0.1240,0.9996,SPEAKER_02
8.2,8.462,Y,0.8100,0.9997,SPEAKER_02
8.482,8.825,miremos,0.9380,0.9999,SPEAKER_02
8.866,9.168,este,0.2220,0.7990,SPEAKER_02
9.209,9.572,sector,0.9310,0.9996,SPEAKER_02
9.632,9.693,de,0.9260,0.9999,SPEAKER_02
9.753,9.794,la,0.9950,0.9999,SPEAKER_02
9.874,10.338,"población,",0.9550,0.9999,SPEAKER_02
11.044,11.145,las,0.5790,0.9991,SPEAKER_02
11.306,12.557,"mujeres,",0.6840,1.0000,SPEAKER_02
12.577,12.779,los,0.7810,0.9996,SPEAKER_02
12.799,12.92,niños.,0.1590,0.9997,SPEAKER_02
14.4,15.184,Recordémoslo,0.8860,0.9855,SPEAKER_02
15.225,15.285,en,0.8790,0.9997,SPEAKER_02
15.345,15.446,una,0.9410,0.9997,SPEAKER_02
15.526,16.15,conversación,0.8110,0.9999,SPEAKER_02
16.19,16.391,con,0.8790,0.9996,SPEAKER_02
16.451,16.552,una,0.8990,0.9999,SPEAKER_02
16.632,16.833,mujer,0.9080,0.9998,SPEAKER_02
17.014,17.397,"chilena,",0.8720,0.9998,SPEAKER_02
18.101,18.221,con,0.9710,0.9996,SPEAKER_02
18.302,18.382,una,0.5290,0.9989,SPEAKER_02
18.483,19.006,dirigente,0.9690,0.9994,SPEAKER_02
19.106,20.494,"comunista,",0.8980,0.9996,SPEAKER_02
20.514,20.997,Julieta,0.5490,0.9993,SPEAKER_02
21.117,21.64,Campuzano.,0.5180,0.9800,SPEAKER_02
22.56,23.331,Durante,0.7580,0.9980,SPEAKER_02
23.392,23.615,varios,0.8960,0.9998,SPEAKER_02
23.757,24.143,periodos,0.9310,0.9966,SPEAKER_02
24.285,24.427,fue,0.6390,0.9974,SPEAKER_02
24.488,24.874,senadora,0.8470,0.9904,SPEAKER_02
24.934,25.016,de,0.9490,0.9999,SPEAKER_02
25.056,25.117,la,0.6340,0.9999,SPEAKER_02
25.137,25.34,República.,0.0990,0.7990,SPEAKER_02
26.28,26.688,Esta,0.5130,0.9870,SPEAKER_02
26.77,26.933,es,0.6140,0.9996,SPEAKER_02
26.954,27.178,nuestra,0.5730,0.9995,SPEAKER_02
27.26,27.974,conversación,0.7220,0.9999,SPEAKER_02
28.097,28.158,con,0.1340,0.9998,SPEAKER_02
28.178,28.28,ella.,0.2000,0.9988,SPEAKER_02
29.24,30.064,¿Qué,0.2090,0.8761,SPEAKER_00
30.084,30.667,"significó,",0.5670,0.9949,SPEAKER_00
31.632,32.034,compañera,0.5990,0.9974,SPEAKER_00
32.094,32.456,"Julieta,",0.7690,0.9980,SPEAKER_00
32.537,33.079,especialmente,0.8830,0.9977,SPEAKER_00
33.18,33.461,para,0.9420,0.9964,SPEAKER_00
34.366,34.486,las,0.6640,0.9969,SPEAKER_00
34.587,34.949,mujeres,0.9780,0.9997,SPEAKER_00
34.969,34.989,y,0.9800,0.9977,SPEAKER_00
35.029,35.371,los,0.8440,0.9997,SPEAKER_00
35.532,35.813,"niños,",0.9740,0.9996,SPEAKER_00
36.014,36.094,el,0.7660,0.9983,SPEAKER_00
36.175,36.496,gobierno,0.7640,0.9514,SPEAKER_00
36.577,36.617,de,0.8810,0.9998,SPEAKER_00
36.657,36.697,la,0.4460,0.9995,SPEAKER_00
36.778,37.059,unidad,0.6070,0.7976,SPEAKER_00
37.079,37.24,popular?,0.1240,0.9994,SPEAKER_00
37.64,38.245,Usted,0.5700,0.9900,SPEAKER_01
38.306,38.427,me,0.6040,0.9976,SPEAKER_01
38.508,38.891,pregunta,0.3890,0.9993,SPEAKER_01
38.911,39.193,algo,0.3600,0.9996,SPEAKER_01
39.314,39.436,que,0.6010,0.9964,SPEAKER_01
40.707,40.747,no,0.3060,0.9944,SPEAKER_01
40.908,41.13,puedo,0.5220,0.9943,SPEAKER_01
41.171,41.433,hablar,0.5420,0.9997,SPEAKER_01
41.594,41.897,sin,0.2870,0.9997,SPEAKER_01
41.917,42.28,emocionarme.,0.1400,0.9397,SPEAKER_01
43.34,44.485,"Allende,",0.5260,0.0646,SPEAKER_01
44.806,44.847,en,0.1320,0.9987,SPEAKER_01
44.867,44.927,sus,0.0110,0.9998,SPEAKER_01
44.947,45.289,últimas,0.8300,0.9994,SPEAKER_01
45.389,45.811,"palabras,",0.8800,1.0000,SPEAKER_01
45.992,46.152,que,0.7300,0.9961,SPEAKER_01
46.534,46.996,pudiéramos,0.6610,0.9933,SPEAKER_01
47.197,47.498,"decir,",0.6560,0.9993,SPEAKER_01
48.503,48.583,fue,0.4430,0.9693,SPEAKER_01
48.663,48.824,su,0.5880,0.9876,SPEAKER_01
48.904,49.447,testamento,0.6780,0.9940,SPEAKER_01
49.547,50.07,"político,",0.9550,0.9988,SPEAKER_01
50.11,51.958,se,0.7820,0.9803,SPEAKER_01
51.978,52.159,dirigió,0.1380,0.9827,SPEAKER_01
52.179,52.199,a,0.0010,0.9997,SPEAKER_01
52.219,52.279,las,0.0010,0.9276,SPEAKER_01
52.299,52.46,mujeres.,0.1260,0.9999,SPEAKER_01
53.42,54.272,Él,0.5080,0.9743,SPEAKER_01
54.292,54.616,"dijo,",0.8660,0.9877,SPEAKER_01
55.691,55.833,me,0.5480,0.9904,SPEAKER_01
55.853,56.096,dirijo,0.4320,0.9727,SPEAKER_01
56.116,56.137,a,0.0070,0.9998,SPEAKER_01
56.157,56.258,la,0.6270,0.9589,SPEAKER_01
56.279,56.4,mujer.,0.1640,0.9999,SPEAKER_01
57.36,58.03,¿Qué,0.2380,0.7705,SPEAKER_01
58.051,58.261,significa?,0.1020,0.3824,SPEAKER_01
58.24,58.664,Sufre,0.2760,0.1616,SPEAKER_01
58.705,58.765,de,0.4880,0.8934,SPEAKER_01
58.987,59.593,nuestros,0.3630,0.9920,SPEAKER_01
59.614,61.23,esfuerzos,0.3780,0.9989,SPEAKER_01
61.25,61.351,por,0.9240,0.7817,SPEAKER_01
61.391,61.674,ella,0.3080,0.2149,SPEAKER_01
