start,end,word,alignment_score,probability,speaker
0.0,0.502,El,0.8830,0.9983,SPEAKER_01
0.602,0.923,fiscal,0.7980,0.9801,SPEAKER_01
0.983,1.324,militar,0.9390,1.0000,SPEAKER_01
1.405,1.465,en,0.7360,0.9986,SPEAKER_01
1.605,1.846,tiempo,0.7200,0.9891,SPEAKER_01
1.886,1.946,de,0.8720,1.0000,SPEAKER_01
2.027,2.308,"guerra,",0.9080,0.9999,SPEAKER_01
2.348,3.07,Francisco,0.6900,0.9997,SPEAKER_01
3.09,3.933,"Baggetti,",0.1790,0.7911,SPEAKER_01
3.953,4.214,pidió,0.8210,0.9998,SPEAKER_01
4.334,4.555,pena,0.9580,0.9999,SPEAKER_01
4.615,4.695,de,0.9680,1.0000,SPEAKER_01
4.776,5.077,muerte,0.9820,1.0000,SPEAKER_01
5.097,5.117,y,0.9930,0.9997,SPEAKER_01
5.157,5.739,consejo,0.4740,0.9889,SPEAKER_01
5.779,5.839,de,0.9300,1.0000,SPEAKER_01
5.919,6.18,guerra,0.8700,0.9998,SPEAKER_01
6.2,6.461,para,0.1460,0.9988,SPEAKER_01
6.562,6.762,tres,0.8110,0.9633,SPEAKER_01
6.802,6.883,de,0.7620,1.0000,SPEAKER_01
6.943,7.103,los,0.7060,1.0000,SPEAKER_01
7.123,7.304,siete,0.6770,0.9999,SPEAKER_01
7.404,7.966,inculpados,0.7310,0.9991,SPEAKER_01
8.066,8.167,por,0.9620,1.0000,SPEAKER_01
8.207,8.287,el,0.7200,1.0000,SPEAKER_01
8.347,8.889,atentado,0.9880,0.9999,SPEAKER_01
9.07,9.431,al,0.8560,0.9997,SPEAKER_01
9.451,9.491,ex,0.0060,0.9994,SPEAKER_01
9.511,10.013,intendente,0.9450,0.8837,SPEAKER_01
10.033,10.113,de,0.2320,1.0000,SPEAKER_01
10.213,10.695,"Santiago,",0.8350,0.9999,SPEAKER_01
10.795,11.177,General,0.8600,0.6236,SPEAKER_01
11.698,12.08,Karol,0.8050,0.7345,SPEAKER_01
12.1,12.22,Urzúa.,0.1710,0.8449,SPEAKER_01
12.52,12.943,En,0.7960,0.8775,SPEAKER_01
12.963,13.446,dictamen,0.5200,0.7232,SPEAKER_01
13.466,13.506,el,0.0040,0.4585,SPEAKER_01
13.526,13.868,fiscal,0.6540,1.0000,SPEAKER_01
13.908,14.23,militar,0.9690,1.0000,SPEAKER_01
14.271,14.693,afecta,0.9100,0.9983,SPEAKER_01
14.713,14.733,a,0.9430,0.9022,SPEAKER_01
14.854,15.136,Jorge,0.7730,0.9935,SPEAKER_01
15.196,15.478,Palma,0.8670,0.9906,SPEAKER_01
15.498,16.404,"Donoso,",0.7160,0.9951,SPEAKER_01
16.424,16.705,Carlos,0.4370,0.9999,SPEAKER_01
16.806,17.168,Alberto,0.8200,1.0000,SPEAKER_01
17.208,17.611,Aramero,0.7370,0.7356,SPEAKER_01
17.631,18.033,y,0.8830,0.9940,SPEAKER_01
18.174,18.456,Jorge,0.5820,0.9949,SPEAKER_01
18.536,19.019,Marqués,0.3060,0.6752,SPEAKER_01
19.04,19.14,Mora.,0.1930,0.9627,SPEAKER_01
19.7,20.262,Los,0.4780,0.9948,SPEAKER_01
20.463,20.624,tres,0.5180,0.9999,SPEAKER_01
20.684,21.025,jóvenes,0.8790,0.9999,SPEAKER_01
21.066,21.146,son,0.5620,0.7317,SPEAKER_01
21.226,21.628,acusados,0.8560,0.9999,SPEAKER_01
21.648,21.688,de,0.2100,1.0000,SPEAKER_01
21.809,22.11,ser,0.7710,0.9999,SPEAKER_01
22.431,22.913,autores,0.7780,0.9958,SPEAKER_01
23.054,23.696,intelectuales,0.9000,0.9999,SPEAKER_01
23.817,23.857,y,0.4990,0.9979,SPEAKER_01
23.877,24.399,materiales,0.9300,1.0000,SPEAKER_01
24.519,24.56,en,0.5480,0.9331,SPEAKER_01
24.62,24.68,la,0.8900,0.9999,SPEAKER_01
24.74,24.961,muerte,0.6200,0.9838,SPEAKER_01
25.021,25.062,de,0.8360,0.9993,SPEAKER_01
25.102,25.544,Urzúa,0.5900,0.9993,SPEAKER_01
