start,end,word,alignment_score,probability,speaker
0.96,1.972,"Navidad,",0.4360,0.9543,SPEAKER_00
1.993,2.924,"Navidad,",0.3280,0.9757,SPEAKER_00
2.944,3.106,a,0.7110,0.9925,SPEAKER_00
3.126,3.875,esconder,0.5710,0.9994,SPEAKER_00
3.896,4.078,la,0.6400,0.9998,SPEAKER_00
4.098,4.28,"realidad,",0.1120,0.9993,SPEAKER_00
5.1,6.498,guárdala,0.7000,0.9293,SPEAKER_00
6.519,6.559,en,0.2040,0.9997,SPEAKER_00
6.579,6.681,algún,0.0960,0.9992,SPEAKER_00
6.701,7.43,bolsillo,0.4640,0.9987,SPEAKER_00
7.572,7.795,por,0.5920,0.9980,SPEAKER_00
8.038,8.18,"tierra,",0.1440,0.9711,SPEAKER_00
9.8,10.689,que,0.5490,0.7121,SPEAKER_00
10.709,11.153,hoy,0.3800,1.0000,SPEAKER_00
11.174,12.082,Navidad,0.3020,0.9774,SPEAKER_00
12.345,12.446,tiene,0.0310,0.9921,SPEAKER_00
12.466,12.507,un,0.0000,0.9978,SPEAKER_00
12.527,12.709,brillo,0.3670,0.8298,SPEAKER_00
12.729,12.991,de,0.9460,0.9861,SPEAKER_00
13.254,13.88,bondad.,0.8770,0.7230,SPEAKER_00
15.04,15.771,"Navidad,",0.9200,0.9945,SPEAKER_01
15.974,16.42,"Navidad,",0.8670,1.0000,SPEAKER_01
16.44,16.461,a,0.2620,1.0000,SPEAKER_01
16.501,17.273,esconder,0.9290,1.0000,SPEAKER_01
17.394,17.455,la,0.9130,1.0000,SPEAKER_01
17.618,17.8,realidad.,0.1100,1.0000,SPEAKER_01
18.08,18.486,Esa,0.7560,0.9297,SPEAKER_00
18.546,18.81,parece,0.8730,0.9995,SPEAKER_00
18.891,19.053,ser,0.4220,0.9999,SPEAKER_00
19.114,19.155,la,0.9380,1.0000,SPEAKER_00
19.216,19.641,consigna,0.8650,0.9973,SPEAKER_00
19.702,19.763,de,0.8510,0.9707,SPEAKER_00
19.925,20.027,fin,0.6430,0.9227,SPEAKER_00
20.047,20.128,de,0.7430,1.0000,SPEAKER_00
20.189,20.412,año,0.7650,0.9999,SPEAKER_00
20.452,20.534,de,0.9080,0.9999,SPEAKER_00
20.574,20.635,la,0.7520,0.9984,SPEAKER_00
20.696,21.02,dictadura.,0.3160,0.8863,SPEAKER_00
21.28,21.724,Y,0.8310,0.9999,SPEAKER_01
21.744,21.946,"claro,",0.9500,0.9999,SPEAKER_01
22.067,22.168,una,0.7920,1.0000,SPEAKER_01
22.188,22.249,de,0.5960,1.0000,SPEAKER_01
22.289,22.35,las,0.5730,1.0000,SPEAKER_01
22.531,22.854,fórmulas,0.8270,0.9998,SPEAKER_01
22.955,23.076,de,0.6960,0.9999,SPEAKER_01
23.097,23.561,ocultar,0.9460,0.9999,SPEAKER_01
23.642,23.702,la,0.8850,0.9823,SPEAKER_01
23.763,24.187,realidad,0.8680,0.9992,SPEAKER_01
24.207,24.267,es,0.7450,0.9999,SPEAKER_01
24.893,24.974,la,0.9940,0.9888,SPEAKER_01
25.135,25.68,represión.,0.7930,0.9997,SPEAKER_01
25.66,26.325,Así,0.2770,0.9840,SPEAKER_00
26.345,26.908,carabineros,0.6950,0.9022,SPEAKER_00
27.07,27.09,y,0.1470,0.9997,SPEAKER_00
27.11,27.251,la,0.6340,0.8197,SPEAKER_00
27.271,27.754,CNI,0.6830,0.8936,SPEAKER_00
28.439,28.64,salen,0.5840,0.9201,SPEAKER_00
28.701,28.721,a,0.2790,1.0000,SPEAKER_00
28.822,29.204,reprimir,0.9350,0.9999,SPEAKER_00
29.244,29.265,a,0.0350,0.9991,SPEAKER_00
29.325,29.405,los,0.7460,1.0000,SPEAKER_00
29.506,29.909,vendedores,0.8640,0.9999,SPEAKER_00
29.949,30.553,ambulantes,0.8940,0.9995,SPEAKER_00
30.614,30.714,del,0.7680,0.9526,SPEAKER_00
30.936,31.117,centro,0.7210,0.9785,SPEAKER_00
31.157,31.218,de,0.6330,1.0000,SPEAKER_00
31.379,31.56,"Santiago,",0.1150,0.9997,SPEAKER_00
31.78,32.524,es,0.6960,0.9999,SPEAKER_00
32.564,32.846,"decir,",0.8400,1.0000,SPEAKER_00
33.429,33.469,a,0.8080,1.0000,SPEAKER_00
33.53,34.053,trabajadores,0.8700,1.0000,SPEAKER_00
34.113,34.555,cesantes,0.7640,0.7738,SPEAKER_00
35.179,35.259,que,0.5990,0.7439,SPEAKER_00
35.32,35.44,se,0.5350,0.9945,SPEAKER_00
35.48,35.581,ven,0.5270,0.9997,SPEAKER_00
35.601,35.983,obligados,0.6940,1.0000,SPEAKER_00
36.044,36.064,a,0.6340,1.0000,SPEAKER_00
36.184,36.466,vender,0.7750,0.9999,SPEAKER_00
36.607,37.049,productos,0.8600,1.0000,SPEAKER_00
37.13,37.17,en,0.3180,0.8628,SPEAKER_00
37.21,37.451,las,0.5400,0.9999,SPEAKER_00
37.471,37.753,calles,0.8130,0.9999,SPEAKER_00
38.276,38.397,para,0.9420,0.9997,SPEAKER_00
38.437,38.718,poder,0.2520,1.0000,SPEAKER_00
38.738,39.04,vivir.,0.6610,0.9998,SPEAKER_00
39.36,39.562,Por,0.4130,0.9996,SPEAKER_01
39.623,39.886,"ejemplo,",0.8540,1.0000,SPEAKER_01
39.907,40.312,Radio,0.5950,0.9793,SPEAKER_01
40.453,40.716,Sirena,0.7790,0.8906,SPEAKER_01
40.777,41.304,denunció,0.6330,0.9990,SPEAKER_01
41.385,41.425,la,0.6650,0.9999,SPEAKER_01
41.506,41.972,violencia,0.9130,1.0000,SPEAKER_01
42.032,42.093,de,0.9300,1.0000,SPEAKER_01
42.134,42.194,la,0.7460,0.9999,SPEAKER_01
42.255,42.397,policía,0.0010,0.9974,SPEAKER_01
42.417,42.68,"binocletista,",0.0790,0.6931,SPEAKER_01
43.3,43.886,quienes,0.8100,0.9782,SPEAKER_01
43.987,44.21,las,0.6270,0.8666,SPEAKER_01
44.25,44.715,emprendieron,0.8190,0.9939,SPEAKER_01
44.735,44.755,a,0.9740,0.9947,SPEAKER_01
44.836,45.524,lumazos,0.7180,0.9850,SPEAKER_01
45.564,45.665,no,0.9820,0.7795,SPEAKER_01
45.847,46.11,solo,0.8500,0.7269,SPEAKER_01
46.272,46.373,con,0.9690,0.9999,SPEAKER_01
46.413,46.494,los,0.6490,1.0000,SPEAKER_01
46.615,47.08,"ambulantes,",0.5470,0.9999,SPEAKER_01
47.62,47.821,sino,0.7870,0.9999,SPEAKER_01
47.902,48.123,también,0.9270,1.0000,SPEAKER_01
48.143,48.204,con,0.3330,1.0000,SPEAKER_01
48.224,48.385,los,0.6510,1.0000,SPEAKER_01
48.566,49.11,transeúntes,0.7750,0.9897,SPEAKER_01
49.251,49.351,que,0.7140,0.6472,SPEAKER_01
49.472,50.217,protestaron,0.9100,0.9999,SPEAKER_01
50.398,50.519,por,0.9910,1.0000,SPEAKER_01
50.579,50.639,la,0.8370,1.0000,SPEAKER_01
50.68,51.102,brutalidad,0.9160,0.9997,SPEAKER_01
51.143,51.264,de,0.1740,0.9999,SPEAKER_01
51.324,51.787,carabineros,0.7490,0.9830,SPEAKER_01
52.351,52.371,y,0.7400,0.8277,SPEAKER_01
52.411,53.256,especialmente,0.1550,0.9997,SPEAKER_01
53.276,53.337,la,0.8710,0.9994,SPEAKER_01
53.76,53.84,CNI.,0.2500,0.9843,SPEAKER_01
54.0,54.758,Este,0.5820,0.8521,SPEAKER_00
54.779,54.82,es,0.0010,0.9994,SPEAKER_00
54.84,54.943,el,0.5720,0.9996,SPEAKER_00
55.168,55.476,espíritu,0.3020,0.9979,SPEAKER_00
55.496,55.66,Navidad.,0.1240,0.1745,SPEAKER_00
55.66,55.741,El,0.1560,0.0594,SPEAKER_00
55.761,55.822,fin,0.1590,0.0128,SPEAKER_00
55.842,55.882,de,0.4510,0.5945,SPEAKER_00
55.902,55.983,año,0.7060,0.1050,SPEAKER_00
56.044,56.225,del,0.4910,0.6351,SPEAKER_00
56.246,56.892,"binocletismo,",0.6680,0.5124,SPEAKER_00
57.619,58.063,regalar,0.7080,0.9960,SPEAKER_00
58.144,58.447,palos,0.8820,0.9938,SPEAKER_00
58.79,58.851,a,0.4180,0.9686,SPEAKER_00
58.871,59.215,diestas,0.5570,0.8032,SPEAKER_00
59.275,59.538,y,0.5980,0.9983,SPEAKER_00
59.558,59.8,"siniestras,",0.1620,0.9964,SPEAKER_00
60.5,60.986,imponer,0.8960,0.9985,SPEAKER_00
61.047,61.087,el,0.6240,0.6820,SPEAKER_00
61.188,61.553,silencio,0.4540,0.9971,SPEAKER_00
61.573,62.18,"absoluto,",0.6220,0.9998,SPEAKER_00
62.747,62.828,la,0.9520,0.9940,SPEAKER_00
62.949,63.172,paz,0.6960,0.9976,SPEAKER_00
63.212,63.253,de,0.6780,0.9974,SPEAKER_00
63.273,63.455,los,0.3310,0.9999,SPEAKER_00
63.475,63.88,cementerios.,0.2890,0.9980,SPEAKER_00
63.96,64.475,Eso,0.7380,0.9733,SPEAKER_00
64.496,64.537,es,0.0010,0.9999,SPEAKER_00
64.558,64.62,lo,0.7700,0.9999,SPEAKER_00
64.723,64.846,que,0.2060,0.9999,SPEAKER_00
64.867,65.321,intentan.,0.7040,0.9989,SPEAKER_00
65.92,66.122,Pero,0.7400,0.9996,SPEAKER_01
66.182,66.303,las,0.5500,0.9998,SPEAKER_01
66.363,66.746,"mujeres,",0.7350,1.0000,SPEAKER_01
66.767,66.847,por,0.8290,1.0000,SPEAKER_01
66.888,67.21,"ejemplo,",0.9210,1.0000,SPEAKER_01
67.331,67.412,no,0.8770,0.9998,SPEAKER_01
67.432,67.734,están,0.7330,0.9999,SPEAKER_01
67.795,68.258,dispuestas,0.8500,0.9999,SPEAKER_01
68.379,68.44,a,0.5020,0.9998,SPEAKER_01
68.52,68.883,recibir,0.8250,0.9999,SPEAKER_01
68.903,68.944,de,0.4980,0.9978,SPEAKER_01
69.347,69.689,regalo,0.8930,0.9995,SPEAKER_01
69.73,70.496,de,0.4740,0.9999,SPEAKER_01
70.516,70.637,Pascua,0.0000,0.8856,SPEAKER_01
70.657,70.919,una,0.9020,0.9883,SPEAKER_01
70.939,71.08,mordaza,0.1440,0.8540,SPEAKER_01
71.06,71.867,y,0.8230,0.7007,SPEAKER_01
71.887,72.371,organizan,0.9120,0.9999,SPEAKER_01
72.451,72.552,para,0.8990,0.9997,SPEAKER_01
72.633,72.734,el,0.5400,1.0000,SPEAKER_01
72.794,73.621,jueves,0.6500,0.9899,SPEAKER_01
73.641,73.681,29,0.9760,0.9990,SPEAKER_01
74.307,74.407,su,0.8310,0.9817,SPEAKER_01
74.589,74.932,propio,0.8570,0.9999,SPEAKER_01
75.214,75.96,caufolicanado.,0.4800,0.7827,SPEAKER_01
77.0,77.765,Queremos,0.9450,0.9990,SPEAKER_00
77.946,78.389,concretar,0.7770,0.9767,SPEAKER_00
78.429,78.751,nuestro,0.5250,0.9994,SPEAKER_00
78.832,79.396,compromiso,0.6640,0.9999,SPEAKER_00
79.436,79.516,de,0.9260,0.9999,SPEAKER_00
79.577,80.12,unidad,0.4750,0.9993,SPEAKER_00
80.825,80.966,para,0.8360,0.9952,SPEAKER_00
81.026,81.409,afrontar,0.8030,0.9997,SPEAKER_00
81.469,81.872,juntos,0.8370,0.9998,SPEAKER_00
81.952,82.073,la,0.8120,0.9985,SPEAKER_00
82.093,82.536,crisis,0.6420,0.9999,SPEAKER_00
82.637,82.697,que,0.3500,0.9990,SPEAKER_00
82.717,82.798,vive,0.0080,0.9992,SPEAKER_00
82.818,82.878,el,0.1290,0.9997,SPEAKER_00
82.899,83.14,país.,0.3680,0.9996,SPEAKER_00
83.74,84.6,Señalan,0.5360,0.9027,SPEAKER_00
84.641,84.826,las,0.7810,0.9986,SPEAKER_00
84.867,85.44,organizadoras.,0.7820,0.9998,SPEAKER_00
85.66,85.781,En,0.1460,0.0585,SPEAKER_00
85.801,85.882,este,0.2310,0.0897,SPEAKER_00
85.943,86.245,"momento,",0.6030,0.4219,SPEAKER_00
87.012,87.133,las,0.7970,0.9181,SPEAKER_00
87.355,87.84,"mujeres,",0.6740,0.9986,SPEAKER_00
87.961,88.405,el,0.3300,0.9031,SPEAKER_00
88.425,88.99,29,0.6980,0.9836,SPEAKER_00
89.051,89.132,en,0.6920,0.8388,SPEAKER_00
89.192,89.253,el,0.7260,0.9919,SPEAKER_00
89.374,90.06,caufolicán.,0.3190,0.2926,SPEAKER_00
90.2,90.645,María,0.9060,0.9860,SPEAKER_01
90.848,91.111,"Rosa,",0.8330,0.9558,SPEAKER_01
91.374,91.901,dirigente,0.6490,0.9928,SPEAKER_01
91.921,91.982,de,0.6700,0.9998,SPEAKER_01
92.002,92.083,la,0.7980,0.9999,SPEAKER_01
92.144,92.691,Coordinadora,0.9570,0.9835,SPEAKER_01
92.772,93.116,Nacional,0.7920,0.9999,SPEAKER_01
93.298,93.48,"Sindical,",0.1110,0.9917,SPEAKER_01
93.48,94.386,puntualizó,0.5600,0.9931,SPEAKER_01
94.406,94.466,que,0.0360,0.9992,SPEAKER_01
94.486,94.627,este,0.5030,0.9707,SPEAKER_01
94.647,94.848,acto,0.6660,0.9993,SPEAKER_01
94.889,94.949,de,0.8060,0.9995,SPEAKER_01
94.989,95.271,maja,0.8320,0.4404,SPEAKER_01
95.714,96.156,femenino,0.8760,0.9731,SPEAKER_01
96.177,96.76,será,0.6620,0.8561,SPEAKER_01
96.821,96.961,uno,0.4690,0.9999,SPEAKER_01
96.982,97.042,de,0.6740,1.0000,SPEAKER_01
97.062,97.163,los,0.5860,1.0000,SPEAKER_01
97.304,97.626,grandes,0.8770,0.9998,SPEAKER_01
97.827,98.229,eventos,0.8330,0.9993,SPEAKER_01
98.35,98.451,del,0.3440,0.9992,SPEAKER_01
98.612,99.054,diseño,0.6800,0.8489,SPEAKER_01
99.074,99.195,de,0.1740,0.9881,SPEAKER_01
99.296,99.477,lucha,0.6010,0.9695,SPEAKER_01
99.497,100.0,antifascista.,0.4830,0.9855,SPEAKER_01
100.3,100.845,Hoy,0.7350,0.9995,SPEAKER_00
101.551,101.713,nos,0.4860,0.6775,SPEAKER_00
101.733,102.278,encontramos,0.9010,1.0000,SPEAKER_00
102.318,102.661,frente,0.3090,0.9999,SPEAKER_00
102.701,102.722,a,0.9250,1.0000,SPEAKER_00
102.762,102.823,la,0.5270,0.9999,SPEAKER_00
102.903,103.408,crisis,0.5040,1.0000,SPEAKER_00
103.428,103.589,más,0.6510,0.9999,SPEAKER_00
103.751,104.033,grave,0.8580,0.9998,SPEAKER_00
104.094,104.154,de,0.8170,1.0000,SPEAKER_00
104.175,104.598,nuestra,0.4410,0.9999,SPEAKER_00
104.619,104.8,historia.,0.1420,1.0000,SPEAKER_00
105.28,106.045,Ruina,0.7310,0.9830,SPEAKER_00
106.126,106.63,"económica,",0.9290,0.9999,SPEAKER_00
107.234,107.858,"desgobierno,",0.8310,0.9974,SPEAKER_00
107.899,108.584,"corrupción,",0.8680,1.0000,SPEAKER_00
108.604,109.772,represión,0.6910,0.9994,SPEAKER_00
109.792,109.853,que,0.3330,0.9951,SPEAKER_00
110.034,110.417,aumenta,0.9420,0.9999,SPEAKER_00
110.477,110.618,día,0.4330,0.9999,SPEAKER_00
110.638,110.779,a,0.8220,1.0000,SPEAKER_00
110.8,110.88,"día,",0.2500,1.0000,SPEAKER_00
110.92,111.749,paro,0.8310,0.9975,SPEAKER_00
111.83,112.193,"laboral,",0.9870,1.0000,SPEAKER_00
112.517,112.84,"hambre,",0.9820,0.9998,SPEAKER_00
113.346,114.215,violencia,0.4680,0.9780,SPEAKER_00
114.235,114.74,generalizada.,0.3900,0.9985,SPEAKER_00
114.72,115.002,Es,0.4570,0.8700,SPEAKER_01
115.465,115.545,el,0.8040,0.9980,SPEAKER_01
115.787,116.069,juicio,0.7750,0.9993,SPEAKER_01
116.129,116.189,de,0.9430,0.9997,SPEAKER_01
116.23,116.31,las,0.7700,0.9997,SPEAKER_01
116.411,116.934,principales,0.8660,0.9996,SPEAKER_01
116.974,117.639,organizaciones,0.7380,0.9999,SPEAKER_01
117.8,118.182,femeninas,0.9410,0.9997,SPEAKER_01
118.383,118.725,chilenas,0.7160,0.9769,SPEAKER_01
119.249,119.47,sobre,0.8760,0.9603,SPEAKER_01
