start,end,word,alignment_score,probability,speaker
0.0,0.423,"Bueno,",0.2390,0.7470,SPEAKER_03
0.443,0.665,estamos,0.7490,0.9804,SPEAKER_03
0.745,0.846,aquí,0.3690,0.9922,SPEAKER_03
0.866,1.41,entrevistando,0.8120,0.9985,SPEAKER_03
1.43,1.45,a,0.9610,0.6263,SPEAKER_03
1.49,2.477,los,0.6000,0.8107,SPEAKER_03
2.598,2.78,diversos,0.0840,0.6832,SPEAKER_03
2.84,3.464,estudiantes,0.5170,0.8460,SPEAKER_03
3.726,3.928,que,0.7900,0.9699,SPEAKER_03
4.391,4.592,llegan,0.3510,0.9475,SPEAKER_03
4.633,4.773,este,0.8140,0.9217,SPEAKER_03
4.814,5.015,año,0.2820,0.9995,SPEAKER_03
5.035,5.055,a,0.4500,0.7240,SPEAKER_03
5.076,5.136,la,0.4340,0.9929,SPEAKER_03
5.217,5.458,Brigada,0.2990,0.8946,SPEAKER_03
5.478,5.599,Víctor,0.0550,0.8473,SPEAKER_03
5.619,5.72,Jara.,0.2000,0.9398,SPEAKER_03
5.8,6.345,Tal,0.6520,0.9687,SPEAKER_03
6.385,6.527,vez,0.4570,0.9992,SPEAKER_03
6.547,6.688,tú,0.6090,0.9956,SPEAKER_03
6.749,6.87,algo,0.8550,0.7530,SPEAKER_03
6.93,6.991,nos,0.8820,0.9999,SPEAKER_03
7.031,7.213,quieras,0.4930,0.9999,SPEAKER_03
7.273,7.536,contar,0.9420,1.0000,SPEAKER_03
7.576,7.637,de,0.7590,0.9998,SPEAKER_03
7.677,7.717,lo,0.9740,0.9997,SPEAKER_03
7.758,7.839,que,0.7330,1.0000,SPEAKER_03
7.859,7.899,ha,0.3750,0.9999,SPEAKER_03
7.919,8.02,sido,0.5580,1.0000,SPEAKER_03
8.061,8.202,esta,0.7100,0.9689,SPEAKER_03
8.222,8.565,experiencia,0.5260,1.0000,SPEAKER_03
8.585,8.666,este,0.3320,0.8158,SPEAKER_03
8.928,9.07,año,0.9440,1.0000,SPEAKER_03
9.09,9.13,en,0.4840,0.9998,SPEAKER_03
9.554,9.594,la,0.4760,1.0000,SPEAKER_03
9.655,9.958,Brigada,0.5490,0.9997,SPEAKER_03
9.978,10.099,Víctor,0.0190,0.9998,SPEAKER_03
10.119,10.22,Jara.,0.2000,1.0000,SPEAKER_03
10.76,11.555,"Bueno,",0.2530,0.9985,SPEAKER_02
11.576,11.616,yo,0.4360,0.8221,SPEAKER_02
11.677,11.943,segundo,0.8010,0.9560,SPEAKER_02
12.004,12.126,año,0.7840,0.9998,SPEAKER_02
12.208,12.31,que,0.3670,0.9997,SPEAKER_02
12.33,12.452,vengo,0.4520,0.9997,SPEAKER_02
12.473,12.493,a,0.1800,0.7976,SPEAKER_02
12.513,12.575,la,0.4240,0.9999,SPEAKER_02
12.615,12.88,Brigada.,0.3760,0.9819,SPEAKER_02
14.38,15.046,La,0.8570,0.9952,SPEAKER_02
15.086,16.256,experiencia,0.4200,0.9992,SPEAKER_02
16.276,16.417,siempre,0.0030,0.9689,SPEAKER_02
16.437,16.618,para,0.4980,0.9388,SPEAKER_02
16.639,16.78,mí,0.2890,0.9997,SPEAKER_02
16.8,16.84,va,0.2460,0.9986,SPEAKER_02
16.86,16.881,a,0.0090,1.0000,SPEAKER_02
16.901,17.002,ser,0.7620,0.9749,SPEAKER_02
17.062,17.304,mejor.,0.7990,1.0000,SPEAKER_02
17.324,17.405,El,0.8080,0.9114,SPEAKER_02
17.445,17.607,año,0.1580,1.0000,SPEAKER_02
17.627,18.01,pasado,0.8580,0.9988,SPEAKER_02
18.191,18.252,fue,0.2100,1.0000,SPEAKER_02
18.272,18.353,muy,0.5800,1.0000,SPEAKER_02
18.373,18.575,"buena,",0.4010,0.5858,SPEAKER_02
18.595,18.756,este,0.7720,0.9999,SPEAKER_02
18.796,19.018,año,0.1660,1.0000,SPEAKER_02
19.038,19.099,fue,0.0010,1.0000,SPEAKER_02
19.119,19.24,mejor.,0.1670,1.0000,SPEAKER_02
