start,end,word,alignment_score,probability,speaker
0.0,0.887,El,0.7040,0.9943,SPEAKER_00
1.028,1.311,gobierno,0.5560,0.9824,SPEAKER_00
1.371,1.432,de,0.7600,0.9999,SPEAKER_00
1.472,1.714,Estados,0.7450,0.9987,SPEAKER_00
1.815,2.077,Unidos,0.7950,1.0000,SPEAKER_00
2.117,2.621,sigue,0.4350,0.9974,SPEAKER_00
2.722,3.347,prodigando,0.9310,0.9872,SPEAKER_00
3.367,3.488,sus,0.7770,0.9998,SPEAKER_00
3.569,4.154,consejos,0.9070,0.9998,SPEAKER_00
4.275,4.315,a,0.8080,0.9999,SPEAKER_00
4.355,4.416,los,0.9040,0.9999,SPEAKER_00
4.617,4.96,chilenos.,0.4140,0.9996,SPEAKER_00
5.3,6.086,Y,0.7600,0.7318,SPEAKER_00
6.106,6.428,resulta,0.5960,0.9930,SPEAKER_00
6.468,6.569,del,0.8050,0.7988,SPEAKER_00
6.63,6.791,todo,0.9700,1.0000,SPEAKER_00
6.891,7.032,claro,0.9320,0.9997,SPEAKER_00
7.073,7.194,que,0.6410,0.8565,SPEAKER_00
7.214,7.294,es,0.4270,0.8838,SPEAKER_00
7.335,7.456,el,0.3870,0.7603,SPEAKER_00
7.617,8.281,destinatario,0.7990,0.9994,SPEAKER_00
8.624,8.704,de,0.8460,0.9533,SPEAKER_00
8.745,8.805,las,0.8630,0.9999,SPEAKER_00
8.886,9.812,recomendaciones,0.7590,1.0000,SPEAKER_00
10.014,10.115,y,0.6240,1.0000,SPEAKER_00
10.135,10.88,aservencias,0.5590,0.7652,SPEAKER_00
10.86,11.632,que,0.5110,0.9543,SPEAKER_00
11.652,11.673,a,0.0010,0.9886,SPEAKER_00
11.693,12.039,razón,0.4220,0.9976,SPEAKER_00
12.079,12.14,de,0.6510,1.0000,SPEAKER_00
12.242,12.404,una,0.6750,1.0000,SPEAKER_00
12.465,12.486,o,0.4760,0.9999,SPEAKER_00
12.526,12.587,dos,0.2290,1.0000,SPEAKER_00
12.689,12.994,veces,0.5040,0.9989,SPEAKER_00
13.014,13.176,por,0.8860,0.9999,SPEAKER_00
13.197,13.42,"semana,",0.3810,1.0000,SPEAKER_00
13.5,14.166,elige,0.6100,0.5566,SPEAKER_00
14.186,14.226,de,0.6320,0.9999,SPEAKER_00
14.287,14.629,manera,0.4930,0.9999,SPEAKER_00
14.75,15.093,pública,0.5550,0.8658,SPEAKER_00
15.113,15.134,a,0.5750,0.5098,SPEAKER_00
15.214,15.275,la,0.2810,1.0000,SPEAKER_00
15.295,15.981,administración,0.7970,0.9664,SPEAKER_00
16.001,16.364,"Reagan,",0.7160,0.9790,SPEAKER_00
16.727,16.848,por,0.6250,0.9971,SPEAKER_00
16.908,17.453,consulta,0.3750,0.5606,SPEAKER_00
17.473,17.534,del,0.5240,0.9967,SPEAKER_00
17.554,18.098,Departamento,0.8680,0.9885,SPEAKER_00
18.118,18.159,de,0.0000,0.9991,SPEAKER_00
18.179,18.32,"Estado,",0.1430,0.9942,SPEAKER_00
18.54,19.147,con,0.6920,0.9170,SPEAKER_00
19.208,19.613,respecto,0.9500,1.0000,SPEAKER_00
19.633,19.653,a,0.9640,1.0000,SPEAKER_00
19.674,19.714,la,0.8660,1.0000,SPEAKER_00
19.977,20.463,crisis,0.5100,1.0000,SPEAKER_00
20.484,21.071,política,0.6210,1.0000,SPEAKER_00
21.091,21.152,en,0.7460,0.9999,SPEAKER_00
21.212,21.658,desarrollo,0.7830,1.0000,SPEAKER_00
21.678,21.719,en,0.0000,1.0000,SPEAKER_00
21.739,21.86,Chile.,0.1660,0.9999,SPEAKER_00
22.46,23.127,En,0.5980,0.9998,SPEAKER_00
23.167,23.43,cualquier,0.8280,1.0000,SPEAKER_00
23.531,23.794,"caso,",0.9700,1.0000,SPEAKER_00
24.158,24.42,ese,0.5230,0.9995,SPEAKER_00
24.441,25.087,destinatario,0.6920,1.0000,SPEAKER_00
25.269,25.33,no,0.9410,1.0000,SPEAKER_00
25.411,25.673,parece,0.9620,1.0000,SPEAKER_00
25.896,25.956,que,0.1160,1.0000,SPEAKER_00
25.977,26.118,sea,0.3570,0.9988,SPEAKER_00
26.138,26.32,"Pinochet,",0.1200,0.9952,SPEAKER_00
26.3,27.268,a,0.7790,0.1292,SPEAKER_00
27.289,27.49,quien,0.3650,0.9937,SPEAKER_00
27.511,27.551,el,0.3440,0.9988,SPEAKER_00
27.591,28.015,embajador,0.8700,0.9988,SPEAKER_00
28.055,28.721,norteamericano,0.8780,0.9996,SPEAKER_00
28.782,28.862,de,0.7930,0.8234,SPEAKER_00
28.983,29.629,"Santiago,",0.7260,0.9990,SPEAKER_00
29.649,29.972,Mr.,0.6420,0.9870,SPEAKER_00
30.376,30.476,James,0.0030,0.9998,SPEAKER_00
30.497,30.618,T.,0.7340,0.5679,SPEAKER_00
30.638,30.9,"Redwood,",0.2940,0.3090,SPEAKER_00
30.96,31.936,califica,0.7520,0.9985,SPEAKER_00
31.956,32.058,de,0.8020,0.9996,SPEAKER_00
32.383,32.485,el,0.9010,0.9807,SPEAKER_00
32.668,32.973,loco,0.9570,0.9976,SPEAKER_00
32.993,33.197,de,0.8480,0.9999,SPEAKER_00
33.217,33.258,la,0.0000,0.9998,SPEAKER_00
33.278,33.42,moneda.,0.1430,0.9997,SPEAKER_00
33.94,34.706,La,0.7200,0.9984,SPEAKER_00
34.787,35.27,última,0.7900,0.9996,SPEAKER_00
35.291,35.956,desmunición,0.4670,0.9630,SPEAKER_00
35.996,36.399,yanqui,0.7270,0.9255,SPEAKER_00
36.42,36.44,a,0.2140,0.9995,SPEAKER_00
36.5,36.581,los,0.8840,0.9995,SPEAKER_00
36.621,36.984,chilenos,0.7250,0.9934,SPEAKER_00
37.508,37.569,fue,0.2320,0.9920,SPEAKER_00
37.649,38.153,transmitida,0.8480,0.9988,SPEAKER_00
38.254,38.355,por,0.7590,0.9976,SPEAKER_00
38.415,38.496,un,0.6940,0.9991,SPEAKER_00
38.516,38.637,tal,0.6080,0.9937,SPEAKER_00
38.798,38.879,John,0.0000,0.9995,SPEAKER_00
38.899,39.04,"Hughes,",0.1430,0.9548,SPEAKER_00
39.84,40.314,vocero,0.3680,0.9509,SPEAKER_00
40.334,40.416,del,0.7340,0.9887,SPEAKER_00
40.458,41.034,Departamento,0.7580,0.9735,SPEAKER_00
41.055,41.096,de,0.0000,0.9794,SPEAKER_00
41.116,41.261,"Estado,",0.1460,0.9924,SPEAKER_00
41.44,42.146,quien,0.3830,0.9990,SPEAKER_00
42.186,42.468,dice,0.7620,0.9979,SPEAKER_00
42.69,43.698,sentenciosamente,0.6920,0.9954,SPEAKER_00
43.718,43.779,que,0.3390,0.9983,SPEAKER_00
44.283,44.424,la,0.6480,0.9994,SPEAKER_00
44.545,45.291,restauración,0.6110,0.9999,SPEAKER_00
45.311,45.392,de,0.8520,0.9998,SPEAKER_00
45.452,45.533,un,0.8870,0.9997,SPEAKER_00
45.573,46.057,gobierno,0.6600,0.9987,SPEAKER_00
46.077,46.46,democrático,0.2870,0.9999,SPEAKER_00
46.44,47.067,es,0.4000,0.9914,SPEAKER_00
47.088,47.128,el,0.2930,0.9985,SPEAKER_00
47.169,47.391,mejor,0.9360,0.9999,SPEAKER_00
47.492,47.836,medio,0.2940,0.9768,SPEAKER_00
47.857,48.099,para,0.9170,0.9994,SPEAKER_00
48.12,48.909,disminuir,0.3080,0.9998,SPEAKER_00
48.929,48.99,las,0.0240,0.9983,SPEAKER_00
49.01,49.678,tensiones,0.7780,0.9932,SPEAKER_00
49.698,49.739,en,0.0000,0.9944,SPEAKER_00
49.759,49.88,Chile.,0.1650,0.9962,SPEAKER_00
