start,end,word,alignment_score,probability,speaker
0.0,0.645,La,0.7760,0.9872,SPEAKER_01
0.705,0.987,demanda,0.9700,0.9996,SPEAKER_01
1.028,1.088,de,0.2400,0.9992,SPEAKER_01
1.189,1.269,que,0.8720,0.9991,SPEAKER_01
1.33,1.41,se,0.9080,0.9994,SPEAKER_01
1.451,1.632,vaya,0.9270,0.9996,SPEAKER_01
1.713,2.136,Pinochet,0.6140,0.9034,SPEAKER_01
2.257,2.639,moviliza,0.8600,0.9959,SPEAKER_01
2.72,2.881,hoy,0.4950,0.9996,SPEAKER_01
2.901,3.022,en,0.6980,0.9999,SPEAKER_01
3.042,3.244,Chile,0.6460,0.9998,SPEAKER_01
3.284,3.304,a,0.9930,0.9993,SPEAKER_01
3.324,3.647,los,0.7410,0.9999,SPEAKER_01
3.768,3.969,más,0.4350,0.9993,SPEAKER_01
3.989,4.211,amplios,0.5200,0.9963,SPEAKER_01
4.312,4.715,sectores,0.8010,0.9953,SPEAKER_01
4.795,4.876,de,0.6840,0.9999,SPEAKER_01
4.896,5.017,la,0.4690,0.9999,SPEAKER_01
5.037,5.48,ciudadanía.,0.1960,0.9999,SPEAKER_01
5.56,5.862,Es,0.7920,0.9990,SPEAKER_00
5.902,5.962,la,0.6260,1.0000,SPEAKER_00
6.002,6.324,bandera,0.7970,1.0000,SPEAKER_00
6.385,6.465,de,0.8590,1.0000,SPEAKER_00
6.525,7.169,"trabajadores,",0.9100,1.0000,SPEAKER_00
7.209,8.738,"profesionales,",0.8440,0.9999,SPEAKER_00
8.758,9.18,"jóvenes,",0.4820,1.0000,SPEAKER_00
9.2,9.562,pequeños,0.7130,1.0000,SPEAKER_00
9.683,9.723,y,0.4910,0.9998,SPEAKER_00
9.744,10.065,medianos,0.6880,0.9988,SPEAKER_00
10.166,10.789,"empresarios,",0.6570,0.9998,SPEAKER_00
11.373,11.996,"artistas,",0.7370,0.9998,SPEAKER_00
12.137,12.7,"cantosinos,",0.4430,0.7635,SPEAKER_00
12.9,13.564,que,0.4730,0.9997,SPEAKER_00
13.624,14.147,comprendan,0.6550,0.9718,SPEAKER_00
14.509,14.67,que,0.2100,0.8570,SPEAKER_00
14.69,14.75,sin,0.2650,0.9979,SPEAKER_00
14.911,14.952,la,0.1290,0.9998,SPEAKER_00
14.972,15.233,salida,0.8130,1.0000,SPEAKER_00
15.294,15.716,del,0.5010,0.9991,SPEAKER_00
15.736,15.917,dictador,0.1890,0.8137,SPEAKER_00
16.561,16.661,no,0.3180,0.9260,SPEAKER_00
16.681,16.762,hay,0.7720,1.0000,SPEAKER_00
16.862,17.345,ninguna,0.8940,1.0000,SPEAKER_00
17.486,18.089,posibilidad,0.5510,0.9998,SPEAKER_00
18.109,18.15,de,0.5280,1.0000,SPEAKER_00
18.19,18.552,pensar,0.3760,0.9470,SPEAKER_00
18.592,18.954,siquiera,0.7880,0.9993,SPEAKER_00
18.974,19.015,en,0.4960,1.0000,SPEAKER_00
19.618,20.0,democracia.,0.3830,0.9999,SPEAKER_00
20.16,20.543,Además,0.9180,0.9999,SPEAKER_01
20.644,20.725,que,0.4170,0.9776,SPEAKER_01
20.806,20.887,con,0.6340,0.9874,SPEAKER_01
20.907,21.411,Pinochet,0.4020,0.9811,SPEAKER_01
21.432,21.472,en,0.4860,0.9962,SPEAKER_01
21.532,21.593,el,0.8830,1.0000,SPEAKER_01
21.654,21.855,"poder,",0.9520,1.0000,SPEAKER_01
21.896,22.421,cualquiera,0.7200,0.7208,SPEAKER_01
22.501,22.804,promesa,0.8170,0.9991,SPEAKER_01
22.844,22.885,de,0.0020,0.9986,SPEAKER_01
22.905,23.49,apertura,0.7980,0.9966,SPEAKER_01
23.51,23.531,o,0.9090,0.9999,SPEAKER_01
23.753,24.136,maniobra,0.5190,0.9977,SPEAKER_01
24.197,24.399,de,0.8530,0.9036,SPEAKER_01
24.419,24.58,"diálogo,",0.1250,0.9983,SPEAKER_01
24.56,25.505,o,0.8980,0.0393,SPEAKER_01
25.525,25.908,cualquiera,0.7630,0.5692,SPEAKER_01
25.968,26.169,medida,0.9750,0.9955,SPEAKER_01
26.189,26.25,que,0.3330,0.9977,SPEAKER_01
26.431,26.692,pudiera,0.7530,0.9982,SPEAKER_01
26.732,27.135,aparecer,0.8960,0.8668,SPEAKER_01
27.255,27.376,como,0.9470,0.9932,SPEAKER_01
27.416,28.04,encaminada,0.6880,0.9929,SPEAKER_01
28.06,28.08,a,0.9480,0.9943,SPEAKER_01
28.603,28.724,una,0.9530,0.9980,SPEAKER_01
28.844,29.468,"transición,",0.9570,0.9959,SPEAKER_01
29.488,29.528,no,0.4970,0.9921,SPEAKER_01
30.051,30.272,pasa,0.8560,0.9946,SPEAKER_01
30.313,30.373,de,0.4960,0.9990,SPEAKER_01
30.474,30.614,ser,0.9220,0.9998,SPEAKER_01
30.916,31.017,una,0.8560,0.9987,SPEAKER_01
31.177,31.64,ilusión.,0.5870,0.9997,SPEAKER_01
31.74,32.001,Y,0.8150,0.8946,SPEAKER_00
32.162,32.222,así,0.0290,0.6661,SPEAKER_00
32.242,32.483,todo,0.6250,0.8637,SPEAKER_00
32.544,32.986,depende,0.4530,0.9509,SPEAKER_00
33.146,33.187,de,0.0580,0.9994,SPEAKER_00
33.207,33.247,la,0.0370,0.9994,SPEAKER_00
33.267,33.729,voluntad,0.5910,0.9989,SPEAKER_00
33.749,33.87,del,0.4830,0.9984,SPEAKER_00
33.91,34.412,"dictador,",0.6570,0.9969,SPEAKER_00
35.055,35.236,de,0.5780,0.9970,SPEAKER_00
35.256,35.296,su,0.3080,0.9980,SPEAKER_00
35.336,35.758,decisión,0.6210,0.9987,SPEAKER_00
35.819,36.04,de,0.2770,0.9997,SPEAKER_00
36.06,36.401,borrar,0.9090,0.9994,SPEAKER_00
36.502,36.582,de,0.5930,0.9938,SPEAKER_00
36.602,36.783,una,0.6930,0.9934,SPEAKER_00
36.803,37.205,plomada,0.8200,0.8515,SPEAKER_00
37.245,37.788,lo,0.8710,0.9760,SPEAKER_00
37.848,37.928,que,0.7400,0.9999,SPEAKER_00
38.049,38.41,pudieran,0.8910,0.9843,SPEAKER_00
38.451,38.651,haber,0.8090,0.9999,SPEAKER_00
38.752,39.234,prometido,0.9670,0.9999,SPEAKER_00
39.636,39.676,él,0.4200,0.9972,SPEAKER_00
39.696,39.716,o,0.7290,0.9951,SPEAKER_00
39.857,40.078,sus,0.8210,0.9945,SPEAKER_00
40.098,40.54,segundones.,0.3420,0.9598,SPEAKER_00
40.8,41.404,Y,0.8860,0.9953,SPEAKER_01
41.424,41.505,ya,0.7020,0.9996,SPEAKER_01
41.585,41.706,se,0.6100,0.9997,SPEAKER_01
41.726,41.907,sabe,0.7840,0.9999,SPEAKER_01
41.988,42.25,que,0.5910,0.9996,SPEAKER_01
42.27,42.31,la,0.4780,0.9993,SPEAKER_01
42.35,42.954,"lealtad,",0.8280,0.9996,SPEAKER_01
43.176,43.216,la,0.7060,0.9996,SPEAKER_01
43.296,44.222,"consecuencia,",0.5450,0.9832,SPEAKER_01
44.524,44.625,el,0.6000,0.9988,SPEAKER_01
44.726,45.088,respeto,0.9560,0.9999,SPEAKER_01
45.108,45.128,a,0.6570,0.9998,SPEAKER_01
45.209,45.269,la,0.9800,0.9999,SPEAKER_01
45.35,45.652,palabra,0.8740,0.9998,SPEAKER_01
45.692,46.236,empeñada,0.7040,0.9996,SPEAKER_01
46.256,46.276,o,0.9240,0.9960,SPEAKER_01
46.457,46.598,al,0.4660,0.9989,SPEAKER_01
46.618,46.92,"juramento,",0.2360,0.9995,SPEAKER_01
47.6,47.722,no,0.1650,0.9995,SPEAKER_01
47.783,47.884,son,0.1040,0.9998,SPEAKER_01
48.026,48.514,precisamente,0.6580,0.9992,SPEAKER_01
48.554,49.691,características,0.6380,0.9987,SPEAKER_01
49.711,49.772,que,0.0010,0.9959,SPEAKER_01
49.792,50.016,distingue,0.1810,0.6378,SPEAKER_01
50.036,50.056,a,0.0000,0.9767,SPEAKER_01
50.077,50.117,la,0.0000,0.9873,SPEAKER_01
50.138,50.32,Pinochet.,0.1110,0.6374,SPEAKER_01
50.56,50.925,Y,0.7700,0.3442,SPEAKER_00
50.965,51.026,una,0.6580,0.8057,SPEAKER_00
51.087,51.532,"pecada,",0.8660,0.5467,SPEAKER_00
