start,end,word,alignment_score,probability,speaker
0.0,1.128,Y,0.8730,0.9072,SPEAKER_00
1.148,1.37,"ahora,",0.9240,0.9993,SPEAKER_00
1.994,2.055,en,0.3680,0.6101,SPEAKER_00
2.115,2.619,Escucha,0.5640,0.9286,SPEAKER_00
3.062,3.163,China,0.1360,0.4664,SPEAKER_00
3.203,3.264,de,0.6960,0.9889,SPEAKER_00
3.344,3.626,Radio,0.5260,0.9994,SPEAKER_00
3.908,4.895,"Moscú,",0.4150,0.9781,SPEAKER_00
5.077,5.258,boletín,0.1200,0.8249,SPEAKER_00
5.278,5.359,de,0.5860,0.9965,SPEAKER_00
5.379,5.56,noticias.,0.1210,0.9899,SPEAKER_00
6.82,7.806,Dirigentes,0.4360,0.9990,SPEAKER_00
7.846,7.907,de,0.4440,1.0000,SPEAKER_00
7.987,8.309,distintos,0.4880,0.9994,SPEAKER_00
8.39,8.752,sectores,0.5120,0.9998,SPEAKER_00
8.792,8.853,de,0.4640,1.0000,SPEAKER_00
8.893,8.933,la,0.6300,1.0000,SPEAKER_00
8.973,9.436,oposición,0.8150,0.9999,SPEAKER_00
9.577,9.98,chilena,0.7360,0.9998,SPEAKER_00
10.02,10.986,señalaron,0.6690,0.9720,SPEAKER_00
11.006,11.107,que,0.5380,1.0000,SPEAKER_00
11.147,11.187,la,0.7670,1.0000,SPEAKER_00
11.268,11.811,concentración,0.8250,1.0000,SPEAKER_00
11.851,11.952,del,0.7790,0.8951,SPEAKER_00
12.093,12.334,viernes,0.6950,0.9672,SPEAKER_00
12.374,12.515,en,0.5390,1.0000,SPEAKER_00
12.556,12.616,el,0.8420,1.0000,SPEAKER_00
12.676,13.079,Parque,0.4140,0.9018,SPEAKER_00
13.099,13.28,O'Higgins,0.1200,0.8000,SPEAKER_00
13.26,14.408,constituyó,0.9190,0.7043,SPEAKER_00
14.509,14.59,el,0.8850,0.9988,SPEAKER_00
14.69,14.932,primer,0.9670,1.0000,SPEAKER_00
15.073,15.375,paso,0.4030,1.0000,SPEAKER_00
15.395,15.436,de,0.4060,0.9994,SPEAKER_00
15.657,16.1,unidad,0.8040,0.9992,SPEAKER_00
16.584,16.664,en,0.6150,0.9819,SPEAKER_00
16.745,16.806,la,0.9620,0.9998,SPEAKER_00
16.906,17.148,lucha,0.7780,1.0000,SPEAKER_00
17.249,17.49,contra,0.7850,1.0000,SPEAKER_00
17.551,17.611,el,0.5800,1.0000,SPEAKER_00
17.712,18.095,régimen,0.8070,1.0000,SPEAKER_00
18.155,18.578,militar,0.7330,0.9999,SPEAKER_00
18.598,18.639,de,0.0000,1.0000,SPEAKER_00
18.659,18.84,Pinochet.,0.1110,0.9997,SPEAKER_00
20.22,20.401,De,0.7390,0.9968,SPEAKER_00
20.442,20.583,aquí,0.7360,0.9891,SPEAKER_00
20.603,20.643,en,0.7980,0.9999,SPEAKER_00
20.703,21.247,"adelante,",0.9590,1.0000,SPEAKER_00
21.529,22.053,marcharemos,0.8610,1.0000,SPEAKER_00
22.194,22.597,juntos,0.9120,0.9999,SPEAKER_00
22.617,23.423,hasta,0.5010,1.0000,SPEAKER_00
23.443,23.806,lograr,0.9410,0.9886,SPEAKER_00
23.826,23.866,el,0.4990,1.0000,SPEAKER_00
24.209,25.035,restablecimiento,0.8920,1.0000,SPEAKER_00
25.095,25.176,de,0.8450,0.9989,SPEAKER_00
25.216,25.276,la,0.6770,1.0000,SPEAKER_00
25.579,25.8,"democracia,",0.0870,1.0000,SPEAKER_00
25.78,26.81,declaró,0.9350,1.0000,SPEAKER_00
27.052,27.758,Marcial,0.7850,0.9565,SPEAKER_00
27.779,28.061,"Mora,",0.9910,0.9969,SPEAKER_00
28.203,28.849,dirigente,0.7340,0.9995,SPEAKER_00
28.869,28.909,de,0.4990,0.9979,SPEAKER_00
29.131,29.172,la,0.5200,0.9995,SPEAKER_00
29.252,29.656,Alianza,0.7640,0.9997,SPEAKER_00
29.676,30.08,Democrática.,0.2130,0.9963,SPEAKER_00
30.58,31.445,Carlos,0.7680,0.9997,SPEAKER_00
31.546,32.209,"Dupré,",0.1480,0.9981,SPEAKER_00
32.23,32.672,demócrata,0.8200,0.9803,SPEAKER_00
32.773,33.336,"cristiano,",0.9740,0.9976,SPEAKER_00
33.799,34.02,dijo,0.8280,0.9996,SPEAKER_00
34.08,34.181,que,0.8570,0.9992,SPEAKER_00
34.261,34.382,con,0.8990,0.9998,SPEAKER_00
34.422,34.603,ese,0.8990,0.9667,SPEAKER_00
34.704,34.965,acto,0.9350,0.9227,SPEAKER_00
34.985,35.026,la,0.4980,0.9998,SPEAKER_00
35.569,36.112,oposición,0.8630,0.9447,SPEAKER_00
36.152,37.078,demostró,0.5970,0.9999,SPEAKER_00
37.098,37.178,que,0.5070,0.9982,SPEAKER_00
37.299,37.339,es,0.0130,0.9996,SPEAKER_00
37.359,37.52,mayoría,0.2450,0.9960,SPEAKER_00
37.5,37.662,frente,0.0890,0.9982,SPEAKER_00
37.682,37.702,a,0.2120,0.6805,SPEAKER_00
37.722,37.763,un,0.0750,0.9999,SPEAKER_00
37.783,37.965,régimen,0.2570,0.9998,SPEAKER_00
38.611,38.672,de,0.6730,0.9988,SPEAKER_00
38.934,39.621,minoría,0.3100,0.9984,SPEAKER_00
39.642,39.702,que,0.0090,0.9842,SPEAKER_00
39.722,39.864,viola,0.2120,0.9995,SPEAKER_00
39.884,39.985,los,0.2200,0.9994,SPEAKER_00
40.005,40.389,derechos,0.6040,0.9996,SPEAKER_00
40.409,41.5,humanos.,0.6260,0.9997,SPEAKER_00
42.54,43.408,Manuel,0.6660,0.9999,SPEAKER_00
43.529,44.761,"Aduana,",0.5180,0.9919,SPEAKER_00
44.781,45.266,presidente,0.2700,0.2186,SPEAKER_00
