start,end,word,alignment_score,probability,speaker
0.0,0.906,Escucha,0.4360,0.9963,SPEAKER_01
1.127,1.45,Chile,0.7050,0.9899,SPEAKER_01
1.47,1.55,en,0.5530,0.9513,SPEAKER_01
1.691,1.973,Radio,0.8600,0.9994,SPEAKER_01
2.013,2.356,"Moscú,",0.8630,0.9965,SPEAKER_01
2.718,3.241,diariamente,0.8300,0.9999,SPEAKER_01
3.322,3.382,de,0.7650,0.9989,SPEAKER_01
3.403,3.644,6,0.4910,0.9641,SPEAKER_01
3.664,3.684,a,0.4600,0.9999,SPEAKER_01
3.705,3.986,7,0.5350,1.0000,SPEAKER_01
4.027,4.087,de,0.6440,1.0000,SPEAKER_01
4.107,4.208,la,0.3750,1.0000,SPEAKER_01
4.228,4.55,"tarde,",0.8380,1.0000,SPEAKER_01
4.671,4.852,hora,0.8390,0.3852,SPEAKER_01
4.892,4.973,de,0.9040,0.9999,SPEAKER_01
5.053,5.315,"Chile,",0.6280,0.9982,SPEAKER_01
5.436,5.738,primera,0.9270,0.9759,SPEAKER_01
5.819,6.06,"edición,",0.2070,1.0000,SPEAKER_01
6.2,6.662,por,0.7760,1.0000,SPEAKER_01
6.682,6.883,bandas,0.7370,0.9996,SPEAKER_01
7.023,7.104,de,0.8440,1.0000,SPEAKER_01
7.144,7.284,"19,",0.6740,1.0000,SPEAKER_01
7.304,7.586,"22,",0.7520,1.0000,SPEAKER_01
7.606,7.666,"25,",0.9770,1.0000,SPEAKER_01
7.786,8.228,"31,",0.7460,1.0000,SPEAKER_01
8.248,9.594,"41,",0.8190,0.9999,SPEAKER_01
9.614,9.654,49,0.8980,1.0000,SPEAKER_01
9.674,9.694,y,0.9820,0.9991,SPEAKER_01
9.714,9.935,51,0.7800,0.9999,SPEAKER_01
10.257,10.457,"metros,",0.3560,1.0000,SPEAKER_01
10.518,10.538,y,0.6160,1.0000,SPEAKER_01
10.738,11.16,por,0.5020,1.0000,SPEAKER_01
11.18,11.321,onda,0.7140,0.9034,SPEAKER_01
11.522,11.702,media,0.5180,0.9997,SPEAKER_01
12.225,12.546,en,0.4550,0.9998,SPEAKER_01
12.566,12.626,227,0.9890,0.9984,SPEAKER_01
12.807,16.04,metros.,0.7500,1.0000,SPEAKER_01
16.82,16.921,Y,0.6490,0.9999,SPEAKER_01
16.981,17.002,a,0.0750,1.0000,SPEAKER_01
17.042,17.304,partir,0.7080,1.0000,SPEAKER_01
17.385,17.465,de,0.8670,1.0000,SPEAKER_01
17.486,17.566,las,0.5030,0.9971,SPEAKER_01
17.647,17.909,11,0.6880,0.9747,SPEAKER_01
17.95,18.01,de,0.6740,1.0000,SPEAKER_01
18.03,18.111,la,0.6900,1.0000,SPEAKER_01
18.192,18.595,"noche,",0.5810,1.0000,SPEAKER_01
18.635,18.938,nuestro,0.4510,1.0000,SPEAKER_01
18.958,19.321,segundo,0.7290,1.0000,SPEAKER_01
19.341,19.583,bloque,0.3370,0.7838,SPEAKER_01
19.624,20.108,informativo,0.8950,0.9997,SPEAKER_01
20.148,20.612,integrado,0.5920,0.8595,SPEAKER_01
20.632,20.874,por,0.4360,0.9998,SPEAKER_01
20.895,21.177,Radio,0.4680,0.9996,SPEAKER_01
21.197,21.56,Magallanes,0.2520,0.9867,SPEAKER_01
21.54,21.902,y,0.6230,0.8057,SPEAKER_01
21.922,22.385,Escucha,0.6340,0.9977,SPEAKER_01
22.405,22.686,"Chile,",0.7010,0.9998,SPEAKER_01
23.048,23.149,que,0.7350,0.9853,SPEAKER_01
23.209,23.269,se,0.5880,0.9954,SPEAKER_01
23.289,23.672,prolonga,0.7770,0.9995,SPEAKER_01
23.692,23.873,hasta,0.3980,0.9999,SPEAKER_01
23.893,23.953,la,0.9630,0.9996,SPEAKER_01
23.973,24.134,1,0.6180,0.7561,SPEAKER_01
24.174,24.214,de,0.9020,1.0000,SPEAKER_01
24.275,24.315,la,0.8760,1.0000,SPEAKER_01
24.375,24.838,"madrugada,",0.8700,0.9999,SPEAKER_01
25.079,25.26,hora,0.7540,0.9999,SPEAKER_01
25.3,25.381,de,0.7940,1.0000,SPEAKER_01
25.441,25.723,"Chile,",0.8610,1.0000,SPEAKER_01
26.085,26.205,por,0.6520,0.9999,SPEAKER_01
26.225,26.507,bandas,0.8900,1.0000,SPEAKER_01
26.567,26.648,de,0.9270,1.0000,SPEAKER_01
26.668,27.271,"25,",0.7640,1.0000,SPEAKER_01
27.291,27.733,31,0.5920,0.9999,SPEAKER_01
27.794,27.834,y,0.8770,1.0000,SPEAKER_01
27.854,28.035,41,0.7260,0.9999,SPEAKER_01
28.417,28.96,metros.,0.4500,1.0000,SPEAKER_01
30.86,32.703,"100añosradio.cl,",0.5740,0.8618,SPEAKER_00
33.047,33.472,guárdalo,0.7310,0.9992,SPEAKER_00
33.513,33.594,en,0.6460,0.9956,SPEAKER_00
33.614,33.695,tu,0.5120,1.0000,SPEAKER_00
33.736,34.1,memoria.,0.5970,1.0000,SPEAKER_00
