start,end,word,alignment_score,probability,speaker
0.0,0.362,El,0.9230,0.9682,SPEAKER_01
0.423,0.705,Comando,0.5760,0.9799,SPEAKER_01
0.805,1.248,Nacional,0.9570,0.9998,SPEAKER_01
1.349,1.47,de,0.8200,0.9995,SPEAKER_01
1.55,2.175,Trabajadores,0.8920,0.9994,SPEAKER_01
2.376,2.456,que,0.9640,0.5276,SPEAKER_01
2.517,2.859,agrupa,0.8130,0.9967,SPEAKER_01
2.899,2.92,a,0.8910,0.9739,SPEAKER_01
2.98,3.061,las,0.7720,0.9984,SPEAKER_01
3.141,3.665,principales,0.8440,0.9998,SPEAKER_01
3.745,3.785,y,0.4280,0.9961,SPEAKER_01
3.806,3.926,más,0.3350,0.9940,SPEAKER_01
4.047,4.49,poderosas,0.7640,0.9935,SPEAKER_01
4.611,5.376,organizaciones,0.4370,0.9991,SPEAKER_01
5.396,5.739,sindicales,0.3360,0.9985,SPEAKER_01
5.759,5.879,del,0.3800,0.9992,SPEAKER_01
5.9,5.98,país,0.2490,0.9987,SPEAKER_01
5.96,7.028,señaló,0.6040,0.9124,SPEAKER_01
7.129,7.774,públicamente,0.9490,0.9993,SPEAKER_01
8.479,8.58,que,0.8750,0.9944,SPEAKER_01
8.782,9.044,ante,0.5310,0.8743,SPEAKER_01
9.084,9.124,la,0.6440,0.9991,SPEAKER_01
9.205,9.951,continuación,0.5670,0.9324,SPEAKER_01
9.991,10.031,de,0.3460,0.9998,SPEAKER_01
10.112,10.213,las,0.7820,0.9990,SPEAKER_01
10.334,10.575,medidas,0.7840,0.9998,SPEAKER_01
10.636,11.2,represivas,0.2330,0.9859,SPEAKER_01
11.18,11.847,en,0.5100,0.9729,SPEAKER_01
11.907,12.251,contra,0.4870,0.9671,SPEAKER_01
12.271,12.352,de,0.3360,0.9977,SPEAKER_01
12.372,12.534,las,0.4010,0.9969,SPEAKER_01
12.554,13.1,organizaciones,0.4960,0.9987,SPEAKER_01
13.18,13.443,obreras,0.6060,0.9164,SPEAKER_01
13.686,13.706,y,0.5380,0.9984,SPEAKER_01
13.807,14.09,los,0.4980,0.9738,SPEAKER_01
