start,end,word,alignment_score,probability,speaker
0.0,0.362,Al,0.7310,0.7805,SPEAKER_01
0.403,0.704,iniciar,0.9110,0.9991,SPEAKER_01
0.765,0.906,esta,0.7980,0.9971,SPEAKER_01
0.986,1.308,segunda,0.8060,0.9986,SPEAKER_01
1.429,1.61,pata,0.8270,0.6991,SPEAKER_01
1.691,1.751,de,0.7050,0.9989,SPEAKER_01
1.791,2.113,nuestro,0.6340,0.9995,SPEAKER_01
2.133,2.355,diario,0.9790,0.9989,SPEAKER_01
2.395,2.858,"programa,",0.8870,0.9955,SPEAKER_01
2.878,3.261,queremos,0.6710,0.9996,SPEAKER_01
3.341,3.643,saludar,0.9350,0.9995,SPEAKER_01
3.744,3.844,con,0.9330,0.9994,SPEAKER_01
3.884,4.347,especial,0.6800,0.9999,SPEAKER_01
4.388,4.75,afecto,0.8500,0.9979,SPEAKER_01
4.81,4.83,a,0.8110,0.9993,SPEAKER_01
5.012,5.253,todos,0.8880,0.9997,SPEAKER_01
5.273,5.635,nuestros,0.5980,0.9989,SPEAKER_01
5.756,6.179,oyentes,0.7470,0.9761,SPEAKER_01
6.199,6.239,de,0.2030,0.9992,SPEAKER_01
6.259,6.38,"Chile,",0.1570,0.9885,SPEAKER_01
6.54,7.103,que,0.5970,0.9993,SPEAKER_01
7.123,7.203,de,0.7760,0.9957,SPEAKER_01
7.264,7.324,un,0.8960,0.9984,SPEAKER_01
7.404,7.585,modo,0.5180,0.9972,SPEAKER_01
7.605,7.625,u,0.9370,0.9987,SPEAKER_01
7.766,7.967,otro,0.9190,0.9999,SPEAKER_01
7.987,8.047,han,0.3320,0.9878,SPEAKER_01
8.389,8.892,celebrado,0.9090,0.9999,SPEAKER_01
8.912,8.932,o,0.9960,0.9482,SPEAKER_01
8.972,9.615,celebran,0.8640,0.9999,SPEAKER_01
9.736,9.816,en,0.9470,0.9987,SPEAKER_01
9.856,10.037,este,0.9450,0.9994,SPEAKER_01
10.098,10.299,día,0.9290,0.9999,SPEAKER_01
10.781,10.861,el,0.8990,0.8218,SPEAKER_01
10.902,11.464,66º,0.8140,0.8299,SPEAKER_01
11.484,12.429,aniversario,0.8070,0.9987,SPEAKER_01
12.509,12.57,de,0.9180,0.9999,SPEAKER_01
12.61,12.67,la,0.8630,0.9999,SPEAKER_01
12.751,12.972,gran,0.8960,0.6667,SPEAKER_01
13.112,13.695,revolución,0.6850,0.9715,SPEAKER_01
13.715,14.178,socialista,0.6460,0.9999,SPEAKER_01
14.238,14.298,de,0.7920,0.9998,SPEAKER_01
14.359,14.66,"octubre,",0.2170,0.9765,SPEAKER_01
15.26,15.584,fecha,0.6380,0.9991,SPEAKER_01
15.625,15.746,tan,0.8490,0.9991,SPEAKER_01
15.827,16.131,querida,0.8700,0.9997,SPEAKER_01
16.232,16.334,por,0.9930,0.9998,SPEAKER_01
16.374,16.435,la,0.9840,0.9777,SPEAKER_01
16.516,16.739,clase,0.7290,0.9993,SPEAKER_01
16.8,17.083,"obrera,",0.8670,0.9998,SPEAKER_01
17.61,17.711,por,0.9880,0.9999,SPEAKER_01
17.772,17.833,el,0.8140,1.0000,SPEAKER_01
17.914,18.218,pueblo,0.8310,1.0000,SPEAKER_01
18.238,18.4,chileno.,0.1250,0.9990,SPEAKER_01
18.6,18.982,Y,0.8980,0.9192,SPEAKER_00
19.002,19.082,ya,0.7140,0.4764,SPEAKER_00
19.143,19.464,quisiera,0.5840,0.6516,SPEAKER_00
19.504,19.585,en,0.8860,0.9913,SPEAKER_00
19.625,20.107,especial,0.8920,0.9992,SPEAKER_00
20.851,21.173,enviar,0.8460,0.9919,SPEAKER_00
21.233,21.293,un,0.8850,0.5573,SPEAKER_00
21.414,21.635,saludo,0.5010,0.7775,SPEAKER_00
21.715,22.158,cariñoso,0.6900,0.9981,SPEAKER_00
22.258,22.359,en,0.6610,0.9925,SPEAKER_00
22.399,22.801,este,0.3100,0.9964,SPEAKER_00
22.821,22.901,día,0.3060,0.9998,SPEAKER_00
23.725,23.766,a,0.8300,0.9969,SPEAKER_00
23.806,23.886,los,0.5370,0.9999,SPEAKER_00
24.067,24.127,que,0.0020,0.9999,SPEAKER_00
24.147,24.328,nos,0.5590,0.9998,SPEAKER_00
24.348,25.032,escuchan,0.7510,0.9996,SPEAKER_00
25.574,25.635,en,0.7060,0.9998,SPEAKER_00
25.695,25.775,las,0.6720,0.9997,SPEAKER_00
25.997,26.459,cárceles,0.7200,0.9998,SPEAKER_00
26.479,26.579,de,0.6840,0.9996,SPEAKER_00
26.6,26.72,"Chile,",0.1650,0.9973,SPEAKER_00
26.7,28.068,a,0.9020,0.4186,SPEAKER_00
28.088,28.229,los,0.7170,0.9917,SPEAKER_00
28.35,28.832,condenados,0.8650,0.9943,SPEAKER_00
28.852,29.034,a,0.5520,0.9967,SPEAKER_00
29.054,29.456,largas,0.7420,0.9960,SPEAKER_00
29.476,29.717,penas,0.7080,0.9989,SPEAKER_00
29.778,29.838,de,0.7600,0.9971,SPEAKER_00
29.899,30.442,"extinción,",0.7390,0.9286,SPEAKER_00
30.462,30.482,o,0.9770,0.9802,SPEAKER_00
30.502,30.522,a,0.9590,0.9950,SPEAKER_00
31.608,31.749,los,0.7980,0.9987,SPEAKER_00
31.81,31.89,que,0.7430,0.9992,SPEAKER_00
31.91,32.272,esperan,0.8500,0.9941,SPEAKER_00
32.393,32.836,condena,0.9240,0.9600,SPEAKER_00
33.178,33.198,y,0.0970,0.6676,SPEAKER_00
33.218,33.62,"decirles,",0.2760,0.9574,SPEAKER_00
34.82,35.021,la,0.8040,0.9641,SPEAKER_00
35.061,35.524,libertad,0.9060,0.9993,SPEAKER_00
35.786,35.907,no,0.9820,0.9987,SPEAKER_00
36.108,36.53,puede,0.6940,0.9257,SPEAKER_00
