start,end,word,alignment_score,probability,speaker
0.0,1.146,Gracias,0.8720,0.9936,SPEAKER_01
1.166,1.186,a,0.9940,1.0000,SPEAKER_01
1.387,1.447,la,0.8770,0.9997,SPEAKER_01
1.588,2.131,solidaridad,0.9360,0.9998,SPEAKER_01
2.171,2.513,del,0.5470,0.9980,SPEAKER_01
2.613,2.895,pueblo,0.6760,0.9985,SPEAKER_01
3.015,3.518,"soviético,",0.9440,0.9995,SPEAKER_01
4.261,4.543,Radio,0.9250,0.9998,SPEAKER_01
4.603,5.126,Magallanes,0.7090,0.9987,SPEAKER_01
5.327,5.809,continúa,0.9530,0.9994,SPEAKER_01
5.849,6.01,sus,0.5480,1.0000,SPEAKER_01
6.071,6.533,emisiones,0.9000,0.9991,SPEAKER_01
6.573,7.659,desde,0.3530,0.9999,SPEAKER_01
7.679,7.96,Moscú.,0.4010,0.9999,SPEAKER_01
9.08,9.522,Estamos,0.8580,1.0000,SPEAKER_01
9.904,10.125,junto,0.8950,0.9996,SPEAKER_01
10.146,10.186,a,0.0670,1.0000,SPEAKER_01
10.266,10.608,ustedes,0.9740,1.0000,SPEAKER_01
10.628,11.674,todos,0.6310,0.8321,SPEAKER_01
11.754,11.855,los,0.9870,1.0000,SPEAKER_01
11.915,12.156,días,0.9940,1.0000,SPEAKER_01
12.176,12.196,a,0.9860,0.9974,SPEAKER_01
12.237,12.8,las,0.4840,1.0000,SPEAKER_01
12.82,13.403,10,0.8290,0.9023,SPEAKER_01
13.865,13.946,y,0.7810,0.9999,SPEAKER_01
14.006,14.046,a,0.6080,1.0000,SPEAKER_01
14.066,14.167,las,0.6890,1.0000,SPEAKER_01
14.187,14.75,11,0.7680,0.9898,SPEAKER_01
14.77,14.79,y,0.9480,0.9987,SPEAKER_01
14.951,15.273,media,0.9450,0.9999,SPEAKER_01
15.313,15.373,de,0.8350,1.0000,SPEAKER_01
15.433,15.494,la,0.5660,1.0000,SPEAKER_01
15.554,15.815,"noche,",0.9210,1.0000,SPEAKER_01
16.278,16.479,hora,0.8320,0.9956,SPEAKER_01
16.499,16.579,de,0.7200,0.9996,SPEAKER_01
16.599,16.72,"Chile,",0.1660,0.9987,SPEAKER_01
16.92,17.725,por,0.6900,0.9999,SPEAKER_01
17.826,19.395,bandas,0.7830,0.9105,SPEAKER_01
20.019,20.24,de,0.5960,1.0000,SPEAKER_01
20.26,20.602,"16,",0.8960,0.9998,SPEAKER_01
20.623,21.246,"19,",0.7760,0.9999,SPEAKER_01
21.267,21.931,25,0.6160,0.9999,SPEAKER_01
21.951,21.971,y,0.8890,0.9999,SPEAKER_01
