start,end,word,alignment_score,probability,speaker
7.92,8.551,En,0.3980,0.6195,SPEAKER_00
8.572,8.979,escucha,0.4690,0.6279,SPEAKER_00
8.999,9.061,de,0.7380,0.6007,SPEAKER_00
9.223,9.896,"Chile,",0.8250,0.9998,SPEAKER_00
9.916,10.16,noticias.,0.2750,0.9746,SPEAKER_00
11.2,11.664,Amplia,0.2550,0.9924,SPEAKER_00
11.684,12.411,coincidencia,0.4470,0.9851,SPEAKER_00
12.471,12.552,de,0.9300,0.9999,SPEAKER_00
12.592,12.754,todas,0.8390,1.0000,SPEAKER_00
12.794,12.875,las,0.3210,1.0000,SPEAKER_00
12.975,13.5,agencias,0.6530,0.9792,SPEAKER_00
13.52,14.085,informativas,0.8240,0.9998,SPEAKER_00
14.105,14.146,en,0.4700,0.9961,SPEAKER_00
14.529,14.589,sus,0.3080,0.9994,SPEAKER_00
14.751,15.175,espacios,0.7590,0.9178,SPEAKER_00
15.275,15.618,desde,0.2540,0.9935,SPEAKER_00
15.639,15.82,Santiago.,0.1120,0.9998,SPEAKER_00
16.1,16.748,Éxitos,0.6080,0.9642,SPEAKER_00
16.788,16.909,sin,0.6770,0.8782,SPEAKER_00
16.93,17.456,precedentes.,0.7910,0.9999,SPEAKER_00
17.496,18.124,El,0.8140,1.0000,SPEAKER_00
18.184,18.286,más,0.5600,1.0000,SPEAKER_00
18.427,18.609,serio,0.6510,0.9998,SPEAKER_00
18.65,19.075,desafío,0.5480,0.9999,SPEAKER_00
19.095,19.156,a,0.4040,0.9970,SPEAKER_00
19.176,19.318,la,0.6610,1.0000,SPEAKER_00
19.338,19.54,dictadura.,0.1090,0.9999,SPEAKER_00
19.76,20.633,Total,0.5390,0.9956,SPEAKER_00
20.673,21.384,paralización,0.8050,0.8882,SPEAKER_00
21.445,21.526,en,0.5690,1.0000,SPEAKER_00
21.607,22.013,Santiago,0.7450,1.0000,SPEAKER_00
22.033,22.074,y,0.3240,1.0000,SPEAKER_00
22.094,22.155,en,0.6130,0.9998,SPEAKER_00
22.175,22.52,provincias.,0.2400,0.9953,SPEAKER_00
23.02,23.603,Concierto,0.5100,0.9977,SPEAKER_00
23.687,23.728,a,0.4910,0.9638,SPEAKER_00
23.749,23.853,la,0.8020,0.9820,SPEAKER_00
23.874,24.041,chilena.,0.1250,0.9836,SPEAKER_00
24.1,24.786,La,0.6480,0.9991,SPEAKER_00
24.866,25.128,mejor,0.9790,0.9999,SPEAKER_00
25.209,25.269,de,0.8860,0.9999,SPEAKER_00
25.31,25.39,las,0.8180,0.9999,SPEAKER_00
25.511,25.653,ocho,0.3080,0.9812,SPEAKER_00
25.713,26.278,manifestaciones,0.8090,0.9996,SPEAKER_00
26.358,26.419,de,0.7310,0.9999,SPEAKER_00
26.479,26.661,esta,0.8000,0.9989,SPEAKER_00
26.721,27.165,naturaleza,0.6820,1.0000,SPEAKER_00
27.185,27.669,organizada,0.8000,0.9985,SPEAKER_00
27.689,27.709,a,0.9720,0.9998,SPEAKER_00
27.85,28.133,partir,0.8330,1.0000,SPEAKER_00
28.193,28.254,de,0.8450,0.9997,SPEAKER_00
28.334,28.536,mayo,0.7840,0.9999,SPEAKER_00
28.576,28.657,de,0.8500,0.9999,SPEAKER_00
28.717,29.06,1983.,0.9020,0.9990,SPEAKER_00
30.08,30.724,Estos,0.7920,0.9349,SPEAKER_00
30.825,30.946,son,0.9140,0.9999,SPEAKER_00
30.986,31.046,los,0.6880,0.9999,SPEAKER_00
31.208,31.53,titulares,0.5660,0.9999,SPEAKER_00
31.691,31.711,y,0.4370,0.9995,SPEAKER_00
31.731,32.194,contenidos,0.7310,0.9992,SPEAKER_00
32.476,32.879,principales,0.4710,0.9996,SPEAKER_00
32.959,33.02,de,0.9290,0.9976,SPEAKER_00
33.06,33.12,los,0.7270,0.9999,SPEAKER_00
33.181,33.624,despachos,0.7850,0.9955,SPEAKER_00
33.825,33.886,de,0.9400,0.9906,SPEAKER_00
33.926,33.986,los,0.6830,0.9999,SPEAKER_00
34.047,34.651,corresponsales,0.7950,0.9936,SPEAKER_00
34.711,35.154,destacados,0.7130,0.9987,SPEAKER_00
35.275,35.396,en,0.4930,0.9996,SPEAKER_00
35.436,35.476,la,0.4000,0.9999,SPEAKER_00
35.537,35.899,capital,0.6360,0.9976,SPEAKER_00
35.919,36.06,chilena,0.1320,0.9922,SPEAKER_00
36.04,36.362,con,0.4790,0.9427,SPEAKER_00
36.946,37.389,motivo,0.8530,1.0000,SPEAKER_00
37.449,37.53,de,0.8280,0.9999,SPEAKER_00
37.57,37.631,la,0.7540,1.0000,SPEAKER_00
37.711,38.094,Jornada,0.8900,0.8543,SPEAKER_00
38.134,38.516,Nacional,0.4740,1.0000,SPEAKER_00
38.577,38.657,de,0.8660,0.9999,SPEAKER_00
38.698,39.08,Protesta,0.9020,0.9590,SPEAKER_00
39.141,39.201,de,0.9120,0.9999,SPEAKER_00
39.261,40.067,ayer,0.3960,0.9991,SPEAKER_00
40.087,40.651,"27,",0.9700,0.9961,SPEAKER_00
40.691,40.731,la,0.7370,0.9999,SPEAKER_00
40.812,41.214,primera,0.9030,1.0000,SPEAKER_00
41.235,41.476,del,0.4130,0.9984,SPEAKER_00
41.496,41.979,presente,0.8330,0.9999,SPEAKER_00
42.0,42.08,año.,0.2400,1.0000,SPEAKER_00
42.32,42.644,En,0.9550,0.9097,SPEAKER_00
42.725,42.947,"París,",0.8900,0.9940,SPEAKER_00
42.988,43.089,el,0.6700,0.9996,SPEAKER_00
43.109,43.352,diario,0.9560,0.9996,SPEAKER_00
43.392,43.858,derechista,0.8680,0.9830,SPEAKER_00
43.939,44.06,Le,0.5940,0.9951,SPEAKER_00
44.08,44.323,"Monde,",0.6230,0.9959,SPEAKER_00
44.546,44.687,en,0.6560,0.9999,SPEAKER_00
44.707,44.748,su,0.2540,0.9999,SPEAKER_00
44.788,45.254,editorial,0.8970,0.9998,SPEAKER_00
45.294,45.335,de,0.8910,0.9999,SPEAKER_00
45.395,45.679,"hoy,",0.8220,0.9999,SPEAKER_00
45.699,45.82,señala,0.1660,0.9996,SPEAKER_00
45.8,46.509,la,0.7120,0.4114,SPEAKER_00
46.59,46.975,oposición,0.9220,0.9999,SPEAKER_00
47.016,47.117,al,0.5170,0.9996,SPEAKER_00
47.178,47.482,gobierno,0.8690,0.9953,SPEAKER_00
47.522,48.17,autocrático,0.7320,0.9995,SPEAKER_00
48.211,48.474,del,0.4090,0.8687,SPEAKER_00
48.495,48.758,general,0.4690,0.9603,SPEAKER_00
48.778,48.94,Pinochet,0.1250,0.9992,SPEAKER_00
48.92,49.767,tiene,0.4710,0.9896,SPEAKER_00
