start,end,word,alignment_score,probability,speaker
0.0,0.526,El,0.8340,0.9985,SPEAKER_00
0.586,0.728,ex,0.3340,0.9865,SPEAKER_00
0.748,1.234,canciller,0.6320,0.9935,SPEAKER_00
1.254,1.598,Gabriel,0.5680,0.9988,SPEAKER_00
1.618,1.901,"Valdés,",0.7890,0.9763,SPEAKER_00
2.224,2.69,presidente,0.8830,0.9988,SPEAKER_00
2.73,2.77,de,0.9090,0.9987,SPEAKER_00
2.831,2.872,la,0.0160,0.9997,SPEAKER_00
2.892,3.236,Alianza,0.6350,0.9802,SPEAKER_00
3.276,3.66,"Democrática,",0.2840,0.9995,SPEAKER_00
3.9,4.688,reiteró,0.8520,0.9990,SPEAKER_00
4.829,4.89,que,0.9030,0.9977,SPEAKER_00
4.95,5.011,las,0.2640,0.9959,SPEAKER_00
5.092,5.334,fuerzas,0.6690,0.9385,SPEAKER_00
5.354,5.395,de,0.4440,0.9999,SPEAKER_00
5.496,6.001,oposición,0.7790,0.9998,SPEAKER_00
6.061,6.223,a,0.3310,1.0000,SPEAKER_00
6.263,6.324,la,0.7250,1.0000,SPEAKER_00
6.384,6.788,dictadura,0.9210,1.0000,SPEAKER_00
6.829,7.839,realizarán,0.8610,0.9985,SPEAKER_00
7.859,7.98,mañana,0.1660,0.9999,SPEAKER_00
7.96,8.566,su,0.3830,0.6024,SPEAKER_00
8.586,9.01,octava,0.8020,0.9995,SPEAKER_00
9.111,9.576,protesta,0.8890,0.9999,SPEAKER_00
9.656,10.101,"nacional,",0.9730,1.0000,SPEAKER_00
10.969,11.05,pese,0.0010,0.9852,SPEAKER_00
11.07,11.191,al,0.4080,0.9999,SPEAKER_00
11.212,11.515,estado,0.8230,0.9958,SPEAKER_00
11.535,11.575,de,0.4700,0.9999,SPEAKER_00
11.716,12.1,emergencia.,0.3140,0.9984,SPEAKER_00
12.14,12.442,El,0.7940,0.9969,SPEAKER_00
12.543,12.724,país,0.7470,0.9999,SPEAKER_00
12.744,13.208,quiere,0.4260,0.9187,SPEAKER_00
13.288,13.51,"par,",0.8870,0.5343,SPEAKER_00
13.712,13.832,pero,0.8370,0.9965,SPEAKER_00
13.913,13.953,no,0.6860,0.9013,SPEAKER_00
14.034,14.235,está,0.6860,0.9815,SPEAKER_00
14.437,14.719,impuesto,0.6680,0.9228,SPEAKER_00
14.779,14.799,a,0.0260,0.9923,SPEAKER_00
14.82,15.243,continuar,0.6200,0.6688,SPEAKER_00
15.323,15.726,sometido,0.8540,0.9350,SPEAKER_00
15.746,15.767,a,0.9920,1.0000,SPEAKER_00
15.948,16.028,una,0.8250,1.0000,SPEAKER_00
16.089,16.593,experiencia,0.7810,0.9990,SPEAKER_00
16.653,17.096,política,0.8910,0.9998,SPEAKER_00
17.237,17.62,"fracasada,",0.5110,0.9876,SPEAKER_00
17.7,18.331,dice,0.1970,0.8815,SPEAKER_00
18.352,18.541,Valdés.,0.3300,0.9994,SPEAKER_00
18.74,19.385,El,0.3950,0.9362,SPEAKER_00
19.406,19.748,estado,0.2700,0.9997,SPEAKER_00
19.768,19.869,de,0.7920,1.0000,SPEAKER_00
19.93,20.474,"emergencia,",0.8020,1.0000,SPEAKER_00
20.817,20.878,las,0.8130,0.9997,SPEAKER_00
20.958,21.382,detenciones,0.8230,0.9921,SPEAKER_00
21.462,21.987,arbitrarias,0.7370,0.9998,SPEAKER_00
22.068,22.088,y,0.6750,0.9998,SPEAKER_00
22.128,22.471,"masivas,",0.8720,0.9920,SPEAKER_00
22.753,23.237,"confirman,",0.5320,0.9924,SPEAKER_00
23.257,23.6,"agregó,",0.2430,0.9990,SPEAKER_00
23.68,24.41,que,0.2740,0.9997,SPEAKER_00
24.431,24.532,tanto,0.0330,0.7985,SPEAKER_00
24.552,24.654,las,0.5060,0.9223,SPEAKER_00
24.796,25.08,justas,0.4470,0.9938,SPEAKER_00
25.1,25.404,demandas,0.6390,0.9990,SPEAKER_00
25.486,25.567,de,0.4260,0.9610,SPEAKER_00
25.607,25.932,libertad,0.9000,0.9999,SPEAKER_00
25.952,25.973,y,0.9360,1.0000,SPEAKER_00
26.135,26.52,"democracia,",0.2270,0.9999,SPEAKER_00
26.5,27.107,el,0.3900,0.6057,SPEAKER_00
27.188,27.532,régimen,0.6810,0.9596,SPEAKER_00
27.573,27.876,sólo,0.8050,0.6463,SPEAKER_00
27.957,28.159,puede,0.9670,0.9937,SPEAKER_00
28.22,28.584,ofrecer,0.8380,0.9986,SPEAKER_00
28.767,28.827,más,0.1900,0.9914,SPEAKER_00
28.928,29.434,terror,0.6740,0.9414,SPEAKER_00
29.455,29.475,y,0.6780,0.9491,SPEAKER_00
29.576,29.94,represión.,0.3440,0.9375,SPEAKER_00
30.04,30.588,Sobre,0.2830,0.5108,SPEAKER_00
30.608,30.649,el,0.0850,0.4278,SPEAKER_00
