start,end,word,alignment_score,probability,speaker
0.0,0.585,Les,0.7090,0.9811,SPEAKER_00
0.705,1.088,invitamos,0.7840,0.9998,SPEAKER_00
1.109,1.129,a,0.9000,0.9996,SPEAKER_00
1.451,1.794,escuchar,0.7840,0.9992,SPEAKER_00
1.814,1.834,a,0.3430,0.9970,SPEAKER_00
1.915,2.419,continuación,0.8960,0.9997,SPEAKER_00
2.439,2.479,la,0.4820,0.9842,SPEAKER_00
2.499,3.467,lectura,0.9670,0.9999,SPEAKER_00
3.568,3.709,del,0.8850,0.9997,SPEAKER_00
3.83,4.112,texto,0.9630,0.9995,SPEAKER_00
4.213,4.595,complejo,0.8000,0.9374,SPEAKER_00
4.777,4.817,de,0.1920,0.7776,SPEAKER_00
4.837,5.2,este,0.8140,0.9310,SPEAKER_00
5.18,5.969,sociodélico,0.3820,0.6287,SPEAKER_00
5.989,6.414,político,0.9420,0.9846,SPEAKER_00
6.859,6.94,que,0.8460,0.9163,SPEAKER_00
7.041,7.384,reviste,0.9240,0.9474,SPEAKER_00
7.465,7.607,hoy,0.8210,0.9999,SPEAKER_00
7.627,8.396,palpitante,0.6690,0.9970,SPEAKER_00
8.456,8.8,actualidad.,0.2780,0.9980,SPEAKER_00
13.94,15.072,A,0.7220,0.9961,SPEAKER_00
15.092,15.193,las,0.8310,0.9997,SPEAKER_00
15.375,15.799,Fuerzas,0.4320,0.9796,SPEAKER_00
15.82,16.204,Armadas,0.9080,0.9999,SPEAKER_00
16.224,16.244,y,0.9970,0.9998,SPEAKER_00
16.264,16.284,a,0.9990,1.0000,SPEAKER_00
16.85,16.931,la,0.9480,1.0000,SPEAKER_00
17.032,17.376,opinión,0.9740,0.9480,SPEAKER_00
17.639,17.8,pública.,0.1220,0.9997,SPEAKER_00
17.78,19.123,A,0.7220,0.0139,SPEAKER_00
19.143,23.813,las,0.3900,0.0046,SPEAKER_00
23.833,26.078,Fuerzas,0.3490,0.6678,SPEAKER_00
26.379,26.92,Armadas,0.5800,0.9689,SPEAKER_00
27.001,27.021,y,0.2100,0.0362,SPEAKER_00
27.061,27.081,a,0.9920,0.5837,SPEAKER_00
27.281,27.542,la,0.6160,0.1711,SPEAKER_00
27.642,28.163,opinión,0.5420,0.5025,SPEAKER_00
29.566,35.76,pública.,0.4260,0.8326,SPEAKER_00
47.9,48.565,A,0.8240,0.0028,SPEAKER_00
48.686,48.989,las,0.4660,0.0095,SPEAKER_00
49.09,49.957,Fuerzas,0.6430,0.6529,SPEAKER_00
50.158,50.945,Armadas,0.8200,0.9885,SPEAKER_00
50.985,51.005,y,0.9830,0.0225,SPEAKER_00
51.872,52.033,a,0.4580,0.4735,SPEAKER_00
52.053,52.094,la,0.4310,0.2109,SPEAKER_00
52.195,52.537,opinión,0.0660,0.4998,SPEAKER_00
52.558,52.88,pública.,0.2110,0.0077,SPEAKER_00
77.78,77.82,A,0.1370,0.0010,SPEAKER_00
77.841,77.901,los,0.1240,0.1413,SPEAKER_00
77.921,78.083,pueblos,0.3920,0.8573,SPEAKER_00
78.103,78.163,en,0.3770,0.9724,SPEAKER_00
78.183,78.546,"general,",0.8760,0.9991,SPEAKER_00
78.567,79.353,ante,0.8260,0.9908,SPEAKER_00
79.414,79.474,los,0.7380,0.9921,SPEAKER_00
79.535,80.059,escándalos,0.7910,0.9953,SPEAKER_00
80.079,80.099,y,0.0310,0.9399,SPEAKER_00
80.2,80.705,negociados,0.7240,0.9743,SPEAKER_00
80.846,80.906,de,0.8220,0.9890,SPEAKER_00
80.967,81.108,todo,0.8570,0.9665,SPEAKER_00
81.229,81.471,tipo,0.7490,0.9988,SPEAKER_00
81.854,82.399,realizados,0.8390,0.8537,SPEAKER_00
82.419,82.479,por,0.0470,0.9975,SPEAKER_00
82.5,82.56,una,0.2890,0.9963,SPEAKER_00
82.54,83.085,camarilla,0.6490,0.9834,SPEAKER_00
83.125,83.186,de,0.3420,0.9985,SPEAKER_00
83.266,83.65,magnates,0.7580,0.9949,SPEAKER_00
83.912,83.932,y,0.0070,0.9957,SPEAKER_00
83.952,84.396,servidores,0.8540,0.9982,SPEAKER_00
84.436,84.598,del,0.4780,0.9838,SPEAKER_00
84.658,85.001,"régimen,",0.9660,0.9351,SPEAKER_00
85.344,85.425,de,0.9320,0.9774,SPEAKER_00
85.465,85.546,los,0.8860,0.9966,SPEAKER_00
85.606,85.828,cuales,0.9430,0.9934,SPEAKER_00
85.889,86.433,participan,0.9190,0.9759,SPEAKER_00
86.494,86.554,el,0.9640,0.9849,SPEAKER_00
86.655,87.039,propio,0.9060,0.9968,SPEAKER_00
