start,end,word,alignment_score,probability,speaker
9.96,10.885,El,0.3640,0.2978,SPEAKER_01
10.906,11.368,informe,0.9530,0.7421,SPEAKER_01
11.549,11.751,sobre,0.9050,0.9938,SPEAKER_01
12.133,12.294,China,0.3620,0.5718,SPEAKER_01
13.018,13.179,del,0.9070,0.9433,SPEAKER_01
13.28,13.662,Relatorio,0.7160,0.5961,SPEAKER_01
13.702,14.285,Especial,0.7700,0.9966,SPEAKER_01
14.326,14.386,de,0.9320,0.9998,SPEAKER_01
14.446,14.487,la,0.9900,0.9999,SPEAKER_01
14.567,14.909,Comisión,0.8740,0.9998,SPEAKER_01
14.969,15.05,de,0.7140,0.9999,SPEAKER_01
15.07,15.412,Derechos,0.7790,0.9995,SPEAKER_01
15.553,15.855,Humanos,0.8050,0.9995,SPEAKER_01
15.875,15.915,de,0.4680,0.9998,SPEAKER_01
16.076,16.478,Naciones,0.5370,0.9981,SPEAKER_01
16.559,16.78,"Unidas,",0.2590,0.9996,SPEAKER_01
17.56,18.365,aprobado,0.9440,0.9999,SPEAKER_01
18.446,18.566,por,0.9910,1.0000,SPEAKER_01
18.627,18.667,la,0.9900,1.0000,SPEAKER_01
18.707,19.05,Asamblea,0.7270,1.0000,SPEAKER_01
19.11,19.613,"General,",0.6720,0.9877,SPEAKER_01
19.653,20.579,en,0.8950,0.9981,SPEAKER_01
20.62,20.72,la,0.7090,0.9774,SPEAKER_01
20.74,21.183,undécima,0.5640,0.8950,SPEAKER_01
21.344,21.968,condena,0.9160,0.9977,SPEAKER_01
22.009,22.049,al,0.5000,0.9999,SPEAKER_01
22.512,22.854,régimen,0.9790,0.9772,SPEAKER_01
22.934,23.317,militar,0.9480,0.9999,SPEAKER_01
23.458,23.82,fascista,0.4810,0.9827,SPEAKER_01
23.8,24.756,por,0.6370,0.9650,SPEAKER_01
24.817,24.878,la,0.9900,1.0000,SPEAKER_01
24.959,25.488,violación,0.9300,1.0000,SPEAKER_01
25.508,25.63,de,0.6340,1.0000,SPEAKER_01
25.671,25.732,los,0.6440,1.0000,SPEAKER_01
25.793,26.077,derechos,0.2460,0.9979,SPEAKER_01
26.098,26.26,humanos.,0.1250,0.9999,SPEAKER_01
27.24,28.35,Capítulo,0.6800,0.8330,SPEAKER_01
28.37,28.633,10,0.6900,0.9260,SPEAKER_01
29.804,30.773,Conclusiones,0.5750,0.8360,SPEAKER_01
30.793,30.914,y,0.5500,0.9997,SPEAKER_01
30.975,31.58,Recomendaciones,0.5810,0.8237,SPEAKER_01
31.56,33.019,Párrafo,0.8110,0.9338,SPEAKER_00
33.04,34.58,347,0.8110,0.6156,SPEAKER_00
34.56,35.987,El,0.7570,0.9525,SPEAKER_00
36.028,36.53,destino,0.9700,0.9988,SPEAKER_00
36.631,36.711,de,0.9780,0.9998,SPEAKER_00
36.751,36.852,las,0.8720,0.9996,SPEAKER_00
36.952,37.354,personas,0.9240,0.9995,SPEAKER_00
37.395,38.279,desaparecidas,0.7620,0.9999,SPEAKER_00
38.339,39.204,no,0.9480,0.9763,SPEAKER_00
39.284,39.425,ha,0.7880,0.9997,SPEAKER_00
39.445,39.686,sido,0.9760,0.9999,SPEAKER_00
39.727,40.33,aclarado,0.9550,0.9999,SPEAKER_00
40.45,40.571,por,0.7210,0.9980,SPEAKER_00
40.611,40.671,el,0.9720,0.9997,SPEAKER_00
40.752,41.214,gobierno,0.8310,0.8642,SPEAKER_00
41.234,41.254,a,0.9270,0.9682,SPEAKER_00
41.295,42.36,investigar,0.2590,0.9997,SPEAKER_00
42.34,42.985,y,0.7920,0.9969,SPEAKER_00
43.005,43.791,esclarecer,0.7420,0.9945,SPEAKER_00
43.952,44.013,el,0.9780,0.9994,SPEAKER_00
44.073,44.496,destino,0.7890,0.9999,SPEAKER_00
44.557,44.617,de,0.8620,0.9998,SPEAKER_00
44.698,45.222,personas,0.8580,0.9921,SPEAKER_00
45.343,45.423,que,0.7300,0.9980,SPEAKER_00
45.464,45.584,han,0.8770,0.9998,SPEAKER_00
45.625,46.451,desaparecido,0.8460,0.9998,SPEAKER_00
46.753,46.874,por,0.9610,0.9987,SPEAKER_00
47.136,47.459,razones,0.7920,0.9986,SPEAKER_00
47.479,47.66,políticas,0.1110,0.8102,SPEAKER_00
47.64,47.68,y,0.0800,0.7458,SPEAKER_00
47.701,47.721,a,0.2990,0.9992,SPEAKER_00
47.842,49.517,informar,0.7390,0.9994,SPEAKER_00
49.577,49.597,a,0.8760,0.9777,SPEAKER_00
49.739,49.799,sus,0.0010,0.8010,SPEAKER_00
49.819,50.243,familias,0.7710,0.9998,SPEAKER_00
50.647,50.707,de,0.9560,0.9990,SPEAKER_00
50.747,50.808,los,0.7870,0.9986,SPEAKER_00
51.111,51.656,resultados,0.8700,0.9985,SPEAKER_00
51.736,51.797,de,0.8460,0.9992,SPEAKER_00
51.837,51.898,la,0.7740,0.9980,SPEAKER_00
51.918,52.18,investigación,0.0520,0.9990,SPEAKER_00
52.16,52.362,y,0.5490,0.9818,SPEAKER_00
52.382,52.402,a,0.0040,0.9916,SPEAKER_00
52.423,52.645,procesar,0.2530,0.8568,SPEAKER_00
52.988,53.049,y,0.9390,0.9522,SPEAKER_00
53.231,54.039,castigar,0.4540,0.9950,SPEAKER_00
54.059,54.099,a,0.4450,0.9952,SPEAKER_00
54.119,54.18,los,0.0140,0.9957,SPEAKER_00
54.2,54.523,responsables,0.1820,0.9942,SPEAKER_00
54.968,55.028,de,0.4940,0.8231,SPEAKER_00
55.089,55.17,la,0.3290,0.4290,SPEAKER_00
55.432,56.24,investigación.,0.4020,0.8767,SPEAKER_00
56.24,58.918,Las,0.8100,0.3799,SPEAKER_00
58.958,59.723,investigaciones,0.8570,0.9977,SPEAKER_00
59.984,60.548,realizadas,0.8040,0.9988,SPEAKER_00
60.629,60.931,son,0.6300,0.9961,SPEAKER_00
60.951,61.615,groseramente,0.9260,0.9546,SPEAKER_00
61.857,62.38,inadecuadas.,0.1370,0.9884,SPEAKER_00
63.48,63.783,Aún,0.6450,0.9950,SPEAKER_00
63.803,64.733,"más,",0.7940,0.9997,SPEAKER_00
64.753,64.794,el,0.8880,0.9994,SPEAKER_00
64.855,65.239,decreto,0.9810,0.8815,SPEAKER_00
65.259,65.805,ley,0.5020,0.8119,SPEAKER_00
65.825,65.865,de,0.4980,0.9997,SPEAKER_00
66.108,66.734,amnistía,0.6990,0.9973,SPEAKER_00
66.795,66.876,de,0.9400,0.9995,SPEAKER_00
66.937,67.28,1978,0.6960,0.9769,SPEAKER_00
68.48,69.409,transforma,0.8010,0.9542,SPEAKER_00
69.51,69.57,las,0.7230,0.9867,SPEAKER_00
69.692,70.378,investigaciones,0.8720,0.9999,SPEAKER_00
70.439,71.065,judiciales,0.8520,0.9993,SPEAKER_00
71.468,71.569,en,0.7370,0.9991,SPEAKER_00
71.67,71.711,un,0.0270,0.6708,SPEAKER_00
71.731,71.933,mero,0.9280,0.9909,SPEAKER_00
72.054,72.7,formalismo,0.6490,0.8657,SPEAKER_00
72.68,73.545,puesto,0.5470,0.0279,SPEAKER_00
73.565,73.666,que,0.8310,0.9998,SPEAKER_00
73.766,74.229,termina,0.9670,0.9891,SPEAKER_00
74.37,74.51,con,0.8960,0.9996,SPEAKER_00
74.591,74.651,la,0.9400,0.9995,SPEAKER_00
74.832,75.717,identificación,0.8730,0.9988,SPEAKER_00
75.778,75.918,de,0.5330,0.9997,SPEAKER_00
75.938,76.562,oficiales,0.9280,0.9993,SPEAKER_00
77.346,77.507,como,0.9890,0.9983,SPEAKER_00
77.668,78.453,perpetradores,0.9700,0.9973,SPEAKER_00
78.674,78.734,de,0.8070,0.9996,SPEAKER_00
78.815,78.875,los,0.3110,0.9992,SPEAKER_00
79.016,79.76,"desaparecimientos,",0.2410,0.9985,SPEAKER_00
80.48,80.923,ninguno,0.8040,0.9977,SPEAKER_00
80.964,81.024,de,0.6720,0.9997,SPEAKER_00
81.044,81.125,los,0.6230,0.9998,SPEAKER_00
81.266,81.568,cuales,0.7170,0.9999,SPEAKER_00
81.609,81.85,está,0.6300,0.9909,SPEAKER_00
81.871,82.193,sujeto,0.7810,0.9931,SPEAKER_00
82.213,82.294,a,0.3260,0.9961,SPEAKER_00
82.354,82.858,castigo,0.9000,0.9895,SPEAKER_00
82.898,83.644,debido,0.7900,0.9917,SPEAKER_00
83.825,83.866,a,0.8990,0.9997,SPEAKER_00
83.946,84.027,la,0.8790,0.9987,SPEAKER_00
84.128,84.712,aplicación,0.8980,0.9931,SPEAKER_00
84.732,84.773,de,0.5000,0.9988,SPEAKER_00
84.954,85.014,la,0.9210,0.9636,SPEAKER_00
85.216,85.76,amnistía.,0.5820,0.9994,SPEAKER_00
86.24,87.226,El,0.7860,0.9775,SPEAKER_00
87.326,87.548,caso,0.8500,0.9998,SPEAKER_00
87.588,87.668,de,0.8320,0.9992,SPEAKER_00
87.749,88.292,Munchen,0.6370,0.8663,SPEAKER_00
88.754,89.177,demostró,0.8300,0.9920,SPEAKER_00
89.257,89.338,que,0.7470,1.0000,SPEAKER_00
89.398,89.479,los,0.7720,0.9999,SPEAKER_00
89.599,90.102,tribunales,0.8790,0.9995,SPEAKER_00
90.364,90.444,se,0.8390,0.9983,SPEAKER_00
90.505,90.867,dedican,0.9610,0.9994,SPEAKER_00
90.887,90.907,a,0.9940,0.9999,SPEAKER_00
91.249,91.37,una,0.9100,0.9999,SPEAKER_00
91.591,92.275,investigación,0.9510,0.9999,SPEAKER_00
